Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Beban Usaha,Pembayaran Beban Keuangan,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Deposito Berjangka,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Hak-Guna,Akuisisi Entitas Anak Dari Kepentingan Non-Pengendali,Setoran Modal Kepentingan Non-Pengendali,Penambahan Properti Investasi,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Penerimaan Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Pembayaran Dividen Tunai Oleh Entitas Anak,Pembayaran Dividen Tunai,Pembayaran Dividen Tunai Oleh Entitas Anak Kepada Non-Pengendali,Penerimaan Dari Penawaran Umum Perdana Setelah Dikurangi Biaya Emisi Saham,Setoran Modal Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,142652142730.000000,2586407995993.000000,-2207265244617.000000,-182637966114.000000,-22991497434.000000,-11860010390.000000,-19001134708.000000,142652142730.000000,-128367802301.000000,,-125261309217.000000,,176358366.000000,,,,-601895000.000000,-2680956450.000000,-128367802301.000000,7496606808.000000,-484598984602.000000,486879731421.000000,-27097798461.000000,32313658450.000000,,,,,,,7496606808.000000,21780947237.000000,60295559426.000000,82076506663.000000
12M 2019,167083510980.000000,2744512348979.000000,-2250054739268.000000,-197160291297.000000,-88846984451.000000,-12655792489.000000,-28711030494.000000,167083510980.000000,-110278333735.000000,-52000000000.000000,-49282879211.000000,-9036496098.000000,47109574.000000,,,,-6068000.000000,,-110278333735.000000,-64116342513.000000,-729488452395.000000,737665233343.000000,-28354123461.000000,5411000000.000000,,-175500000000.000000,,,,126150000000.000000,-64116342513.000000,-7311165268.000000,82076506663.000000,74765341395.000000
12M 2020,144552764458.000000,2441481023337.000000,-1990241497327.000000,-196127459885.000000,-62952881106.000000,-11769997950.000000,-35836422611.000000,144552764458.000000,-95790623808.000000,-48000000000.000000,-47894353397.000000,-21000000.000000,302282952.000000,,,,,-177553363.000000,-95790623808.000000,-98879001660.000000,-580428981972.000000,546415141094.000000,-33011291644.000000,,-16853869138.000000,-737100000.000000,-14262900000.000000,,,,-98879001660.000000,-50116861010.000000,74765341395.000000,24648480385.000000
12M 2021,36928214512.000000,2331368697344.000000,-1980221517597.000000,-226151806538.000000,-48414778728.000000,-6469759487.000000,-33182620482.000000,36928214512.000000,-87198030628.000000,-55000000000.000000,-10221229621.000000,,463880000.000000,-8238946179.000000,-15104734828.000000,1638000000.000000,,-735000000.000000,-87198030628.000000,402620271839.000000,-18896087917.000000,,-22080256675.000000,,-2517980544.000000,-4914000000.000000,-36724000000.000000,,487752596975.000000,,402620271839.000000,352350455723.000000,24648480385.000000,376998936108.000000
12M 2022,52049252330.000000,2557861126275.000000,-2163883685503.000000,-239935137079.000000,-68873400231.000000,-5918221293.000000,-27201429839.000000,52049252330.000000,-204907410873.000000,-155000000000.000000,-42506912701.000000,-107866800.000000,663900000.000000,-6388090122.000000,,,,-1568441250.000000,-204907410873.000000,-55559933851.000000,,,-1047000000.000000,,-4574933851.000000,,-49938000000.000000,,,,-55559933851.000000,-208418092394.000000,376998936108.000000,168580843714.000000
12M 2023,92804668133.000000,2692636046789.000000,-2212254331248.000000,-255886012269.000000,-97263416007.000000,-8428032592.000000,-25999586540.000000,92804668133.000000,-232448711421.000000,103000000000.000000,-230256262915.000000,-92486223317.000000,527000000.000000,-11514042625.000000,,,,-1719182564.000000,-232448711421.000000,64363402036.000000,,,-2500000000.000000,90000000000.000000,-7519597964.000000,,-15617000000.000000,,,,64363402036.000000,-75280641252.000000,168580843714.000000,93300202462.000000
12M 2024,147155233542.000000,2809885352863.000000,-2243250596800.000000,-263408522660.000000,-103430824171.000000,-15755855369.000000,-36884320321.000000,147155233542.000000,-233830355589.000000,-25000000000.000000,-193562189836.000000,-8506430000.000000,534750000.000000,-7258643753.000000,,,,-37842000.000000,-233830355589.000000,48842251289.000000,-11706944985.000000,23705534779.000000,-31000000000.000000,105000000000.000000,-9996338440.000000,,-27160000000.000000,-65.000000,,,48842251289.000000,-37832870758.000000,93300202462.000000,55467331704.000000
