Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,2586461630919.000000,-2181161910636.000000,405299720283.000000,-329714929015.000000,-257961937270.000000,-71752991745.000000,-329714929015.000000,75584791268.000000,8389269542.000000,2482958310.000000,-11860010390.000000,17766321622.000000,8389269542.000000,83974060810.000000,-23409109312.000000,-27646806250.000000,4237696938.000000,-23409109312.000000,-40786584966.000000,19778366532.000000,4627694056.000000,24406060588.000000,19778366532.000000,19778366532.000000,,19778366532.000000,24406060588.000000,24406060588.000000,,24406060588.000000
12M 2019,2734732133196.0,-2277150353137.0,457581780059.0,-349038189570.0,-277137386457.0,-71900803113.0,-349038189570.0,108543590489.0,15501876947.0,4834500905.0,-12893864673.0,23561240715.0,15501876947.0,124045467436.0,-31918235343.0,-35996937500.0,4078702157.0,-31918235343.0,-54274943548.0,37852288545.0,9914161831.0,47766450376.0,37852288545.0,37517167799.0,335120746.0,37852288545.0,47766450376.0,47441765572.0,324684804.0,47766450376.0
12M 2020,2443371939542.000000,-1985698528137.000000,457673411405.000000,-322201643833.000000,-253005614670.000000,-69196029163.000000,-322201643833.000000,135471767572.000000,3520664504.000000,5229734285.000000,-10686978598.000000,8977908817.000000,3520664504.000000,138992432076.000000,-33660044480.000000,-34573086680.000000,913042200.000000,-33660044480.000000,,105332387596.000000,-4754916520.000000,100577471076.000000,105332387596.000000,100834212363.000000,4498175233.000000,105332387596.000000,100577471076.000000,96212931309.000000,4364539767.000000,100577471076.000000
12M 2021,2329490453945.000000,-1914199707295.000000,415290746650.000000,-312899262727.000000,-244357731497.000000,-68541531230.000000,-312899262727.000000,102391483923.000000,10619786028.000000,2852744794.000000,-6354758414.000000,14121799648.000000,10619786028.000000,113011269951.000000,-24217503041.000000,-21716018720.000000,-2501484321.000000,-24217503041.000000,,88793766910.000000,3271937440.000000,92065704350.000000,88793766910.000000,88084338661.000000,709428249.000000,88793766910.000000,92065704350.000000,91291123466.000000,774580884.000000,92065704350.000000
12M 2022,2572466670146.000000,-2086536132555.000000,485930537591.000000,-382529352174.000000,-294386534745.000000,-88142817429.000000,-382529352174.000000,103401185417.000000,24688132835.000000,12846957710.000000,-5911415793.000000,17752590918.000000,24688132835.000000,128089318252.000000,-24729145357.000000,-25920386800.000000,1191241443.000000,-24729145357.000000,,103360172895.000000,1394828917.000000,104755001812.000000,103360172895.000000,103360172768.000000,127.000000,103360172895.000000,104755001812.000000,104755001683.000000,129.000000,104755001812.000000
12M 2023,2681254857054.000000,-2174166299025.000000,507088558029.000000,-431542271931.000000,-341909400339.000000,-89632871592.000000,-431542271931.000000,75546286098.000000,28285715524.000000,14708348226.000000,-8519178425.000000,22096545723.000000,28285715524.000000,103832001622.000000,-18185518780.000000,-19145682160.000000,960163380.000000,-18185518780.000000,,85646482842.000000,404851450.000000,86051334292.000000,85646482842.000000,85646482678.000000,164.000000,85646482842.000000,86051334292.000000,86051334128.000000,164.000000,86051334292.000000
12M 2024,2815856844688.000000,-2258554113702.000000,557302730986.000000,-462781753731.000000,-368502712836.000000,-94279040895.000000,-462781753731.000000,94520977255.000000,22055423755.000000,10436610104.000000,-15845437329.000000,27464250980.000000,22055423755.000000,116576401010.000000,-21332302853.000000,-23199053020.000000,1866750167.000000,-21332302853.000000,,95244098157.000000,431832469.000000,95675930626.000000,95244098157.000000,95244097977.000000,180.000000,95244098157.000000,95675930626.000000,95675930446.000000,180.000000,95675930626.000000
