Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,4588501993.000000,-3809736123.000000,778765870.000000,-508520492.000000,-6384490.000000,-502136002.000000,-508520492.000000,270245378.000000,-410193016.000000,-300291760.000000,-77896256.000000,-32005000.000000,-410193016.000000,-139947638.000000,-22942510.000000,-22942510.000000,,-22942510.000000,-162890148.000000,,-162890148.000000,-162890148.000000,-162890148.000000,,-162890148.000000,-162890148.000000,-162890148.000000,,-162890148.000000
12M 2019,19302553903.000000,-13778032261.000000,5524521642.000000,-1369587658.000000,-124317005.000000,-1245270653.000000,-1369587658.000000,4154933984.000000,-1888278050.000000,-1950754377.000000,5801477.000000,56674850.000000,-1888278050.000000,2266655934.000000,-96512767.000000,-96512767.000000,,-96512767.000000,2170143167.000000,-5829283.000000,2164313884.000000,2170143167.000000,2170143167.000000,,2170143167.000000,2164313884.000000,2164313884.000000,,2164313884.000000
12M 2020,93586559595.000000,-53022919659.000000,40563639936.000000,-2194288732.000000,-416830497.000000,-1777458235.000000,-2194288732.000000,38369351204.000000,-3424161018.000000,-1126864414.000000,-302074593.000000,-1995222011.000000,-3424161018.000000,34945190186.000000,-7694684759.000000,-8139148820.000000,444464061.000000,-7694684759.000000,27250505427.000000,-3990687.000000,27246514740.000000,27250505427.000000,27250505427.000000,,27250505427.000000,27246514740.000000,27246514740.000000,,27246514740.000000
12M 2021,178523593335.000000,-137553320163.000000,40970273172.000000,-4454682380.000000,-309129850.000000,-4145552530.000000,-4454682380.000000,36515590792.000000,-4868658031.000000,-694197687.000000,342552860.000000,-4517013204.000000,-4868658031.000000,31646932761.000000,-6969346250.000000,-7698036675.000000,728690425.000000,-6969346250.000000,24677586511.000000,664727.000000,24678251238.000000,24677586511.000000,24677586511.000000,,24677586511.000000,24678251238.000000,24678251238.000000,,24678251238.000000
12M 2022,225819967231.000000,-191409538054.000000,34410429177.000000,-7104160630.000000,-800822065.000000,-6303338565.000000,-7104160630.000000,27306268547.000000,85676666.000000,-655244765.000000,-101461932.000000,842383363.000000,85676666.000000,27391945213.000000,-6172172948.000000,-5979634097.000000,-192538851.000000,-6172172948.000000,21219772265.000000,-53353186.000000,21166419079.000000,21219772265.000000,21219772265.000000,,21219772265.000000,21166419079.000000,21166419079.000000,,21166419079.000000
12M 2023,430280094321.000000,-385420222857.000000,44859871464.000000,-16996718119.000000,-5978975514.000000,-11017742605.000000,-16996718119.000000,27863153345.000000,-1232554781.000000,-918039254.000000,-310472729.000000,-4042798.000000,-1232554781.000000,26630598564.000000,-7368627432.000000,,,-7368627432.000000,19261971132.000000,-56251327.000000,19205719805.000000,19261971132.000000,19261971132.000000,,19261971132.000000,19205719805.000000,19205719805.000000,,19205719805.000000
12M 2024,386347822590.000000,-336169114076.000000,50178708514.000000,-31858818498.000000,-17063426836.000000,-14795391662.000000,-31858818498.000000,18319890016.000000,-590933614.000000,-687998318.000000,100537200.000000,-3472496.000000,-590933614.000000,17728956402.000000,-5112617190.000000,,,-5112617190.000000,12616339212.000000,-58109401.000000,12558229811.000000,12616339212.000000,12616339212.000000,,12616339212.000000,12558229811.000000,12558229811.000000,,12558229811.000000
