Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tak Berwujud,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,,3060148155.000000,2576632775.000000,483515380.000000,3060148155.000000,10480182896.000000,6995000000.000000,3485182896.000000,10480182896.000000,4790486726.000000,2889497488.000000,21220315265.000000,,1331286576.000000,1331286576.000000,1331286576.000000,205276042.000000,17927983.000000,,,1554490601.000000,22774805866.000000,,,22570832012.000000,,,2796602776.000000,2796602776.000000,,78884253.000000,177900000.000000,256784253.000000,37805810.000000,6928183.000000,,,,,,19472710990.000000,22570832012.000000,116864002.000000,,115500000.000000,115500000.000000,,,,,,1364002.000000,116864002.000000,22687696014.000000,,250000000.000000,,-162890148.000000,,-162890148.000000,-162890148.000000,,87109852.000000,22774805866.000000,250.000000
12M 2019,,,892500.000000,8051023501.000000,3232701900.000000,4818321601.000000,8051023501.000000,4854104942.000000,1331286576.000000,3522818366.000000,4854104942.000000,10026022422.000000,2176122686.000000,25108166051.000000,,,,,294628125.000000,21429224.000000,,,316057349.000000,25424223400.000000,,,22858607501.000000,,,5691168435.000000,5691168435.000000,,1525381648.000000,710728867.000000,2236110515.000000,66993216.000000,99749108.000000,,,,,,14764586227.000000,22858607501.000000,314192163.000000,,303000000.000000,303000000.000000,,,,,,11192163.000000,314192163.000000,23172799664.000000,,250000000.000000,,2007253019.000000,,2007253019.000000,2007253019.000000,-5829283.000000,2251423736.000000,25424223400.000000,250.000000
12M 2020,,,188622751.000000,37123041453.000000,5126241998.000000,31996799455.000000,37123041453.000000,3512589653.000000,,3512589653.000000,3512589653.000000,11170801752.000000,4046210125.000000,56041265734.000000,,,,,226107291.000000,94027162.000000,445589640.000000,,765724093.000000,56806989827.000000,,,26941005089.000000,,441760501.000000,565901733.000000,1007662234.000000,,5765778948.000000,279402289.000000,6045181237.000000,77010275.000000,5758291334.000000,,,1000000000.000000,,1000000000.000000,13052860009.000000,26941005089.000000,368046262.000000,,,,,,333333333.000000,,333333333.000000,34712929.000000,368046262.000000,27309051351.000000,,250000000.000000,,29257758446.000000,,29257758446.000000,29257758446.000000,-9819970.000000,29497938476.000000,56806989827.000000,250.000000
12M 2021,,,12050012.000000,85466146910.000000,5708663060.000000,79757483850.000000,85466146910.000000,135922774.000000,100000000.000000,35922774.000000,135922774.000000,39676704998.000000,1363076262.000000,126653900956.000000,,,,,351919791.000000,69155523.000000,1174092578.000000,7518563695.000000,9113731587.000000,135767632543.000000,,,79327742625.000000,,59394166478.000000,3373593955.000000,62767760433.000000,,,1677792991.000000,1677792991.000000,111864978.000000,2340496223.000000,,,,416048121.000000,416048121.000000,12013779879.000000,79327742625.000000,2263700212.000000,,,,,,,2092834850.000000,2092834850.000000,170865362.000000,2263700212.000000,81591442837.000000,,24250000000.000000,,29935344949.000000,2425000000.000000,27510344949.000000,29935344949.000000,-9155243.000000,54176189706.000000,135767632543.000000,970000000.000000
12M 2022,,,9873977.000000,86060609940.000000,4479640921.000000,81580969019.000000,86060609940.000000,6364000.000000,6364000.000000,,6364000.000000,56825717807.000000,1884844904.000000,144787410628.000000,,,,,186576042.000000,105320155.000000,996602061.000000,2500272234.000000,3788770492.000000,148576181120.000000,,,26236192276.000000,,8566133784.000000,8090432173.000000,16656565957.000000,,,605720080.000000,605720080.000000,49012929.000000,543463490.000000,,,,546091565.000000,546091565.000000,7835338255.000000,26236192276.000000,2235552621.000000,,,,,,,1965310255.000000,1965310255.000000,270242366.000000,2235552621.000000,28471744897.000000,,32333795225.000000,41592701413.000000,46240448014.000000,2425000000.000000,43815448014.000000,46240448014.000000,-62508429.000000,120104436223.000000,148576181120.000000,1293351809.000000
12M 2023,,,23242294.000000,139627294065.000000,9176053181.000000,130451240884.000000,139627294065.000000,64200763.000000,64200763.000000,,64200763.000000,111234083187.000000,3876303821.000000,254825124130.000000,,,,,148909375.000000,83409775.000000,332354088.000000,1825204182.000000,2389877420.000000,257215001550.000000,,,126407480440.000000,,106794776513.000000,7291758356.000000,114086534869.000000,,,346467565.000000,346467565.000000,62549524.000000,515258452.000000,,,,597318720.000000,597318720.000000,10799351310.000000,126407480440.000000,2086429711.000000,,,,,,,1367991536.000000,1367991536.000000,718438175.000000,2086429711.000000,128493910151.000000,,32334632975.000000,41608350583.000000,54896867597.000000,8360517302.000000,46536350295.000000,54896867597.000000,-118759756.000000,128721091399.000000,257215001550.000000,1293385319.000000
12M 2024,,,26032893.000000,147977291763.000000,19562556552.000000,128414735211.000000,147977291763.000000,74862701.000000,74862701.000000,,74862701.000000,172810593869.000000,9908869967.000000,330797651193.000000,,,,,58971831.000000,858120142.000000,568988549.000000,2037779338.000000,3523859860.000000,334321511053.000000,,,203185902838.000000,,193732763106.000000,3690214857.000000,197422977963.000000,,,1754978686.000000,1754978686.000000,55890792.000000,563746052.000000,,199398711.000000,,693223504.000000,892622215.000000,2495687130.000000,203185902838.000000,2534157225.000000,,,,,283558371.000000,,1188368861.000000,1471927232.000000,1062229993.000000,2534157225.000000,205720060063.000000,,32347910100.000000,41856367278.000000,54574042769.000000,10360517302.000000,44213525467.000000,54574042769.000000,-176869157.000000,128601450990.000000,334321511053.000000,1293916404.000000
