Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Lainnya Untuk Beban Operasi,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Operasi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penambahan Aset Hak Guna,Penerimaan Pelunasan Pinjaman Dari (Pemberian Pinjaman Kepada) Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Utang Bank,Pembayaran Biaya Penerbitan Langsung Sehubungan Dengan Penawaran Umum Perdana,Penerimaan Dari Eksekusi Waran Seri I,Penerimaan Dari Penerbitan Saham,Pelaksanaa Waran,Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-11163423487.000000,1528353838.000000,-12249699152.000000,-156649713.000000,,-262485950.000000,-22942510.000000,,-11163423487.000000,-8559287503.000000,-18500927.000000,-214500000.000000,,-8326286576.000000,-8559287503.000000,250000000.000000,,,,,,,250000000.000000,,,250000000.000000,-19472710990.000000,,-19472710990.000000
12M 2019,-2106641909.000000,14316444807.000000,-13663833560.000000,-745239276.000000,,-1921566971.000000,-92446909.000000,,-2106641909.000000,6820425422.000000,-9574578.000000,-165000000.000000,,6995000000.000000,6820425422.000000,,,,,,,,,,,,4713783513.000000,-19472710990.000000,-14758927477.000000
12M 2020,10899658413.000000,74054168901.000000,-57508428375.000000,-1091909523.000000,,-1116847355.000000,-3437325235.000000,,10899658413.000000,1206461284.000000,-91825292.000000,-33000000.000000,,1331286576.000000,1206461284.000000,1333333333.000000,2000000000.000000,,,-666666667.000000,,,,,,1333333333.000000,13439453030.000000,-14758927477.000000,-1319474447.000000
12M 2021,-4879165695.000000,115894967912.000000,-108265319034.000000,-1772640157.000000,,-659028818.000000,-10077145598.000000,,-4879165695.000000,-390608263.000000,-60108263.000000,-280500000.000000,-50000000.000000,,-390608263.000000,-4988333333.000000,,,,-1333333333.000000,-3655000000.000000,,,,,-4988333333.000000,-10258107291.000000,-1319474447.000000,-11577581738.000000
12M 2022,-45080739919.000000,225877418788.000000,-263823767414.000000,-1596872957.000000,,-655244765.000000,-4882273571.000000,,-45080739919.000000,-739908053.000000,-88131459.000000,,-651776594.000000,,-739908053.000000,49781827438.000000,,,,,-279045390.000000,,54966780000.000000,8762028.000000,-4914669200.000000,49781827438.000000,3961179466.000000,-11577581738.000000,-7616402272.000000
12M 2023,9330890189.000000,376167350228.000000,-345042234393.000000,-6815010024.000000,-7552561805.000000,-729572947.000000,-6693038072.000000,-4042798.000000,9330890189.000000,-104015694.000000,-40015694.000000,-64000000.000000,,,-104015694.000000,-11309064629.000000,,-720000000.000000,,,,,,16486920.000000,-10605551549.000000,-11309064629.000000,-2082190134.000000,-7616402272.000000,-9698592406.000000
12M 2024,23761731013.000000,375335195093.000000,-321005834050.000000,-8295872832.000000,-16386173925.000000,-565463145.000000,-5316647632.000000,-3472496.000000,23761731013.000000,-251347903.000000,-251347903.000000,,,,-251347903.000000,-13994849795.000000,,-1100000000.000000,-216979575.000000,,,,,261293820.000000,-12939164040.000000,-13994849795.000000,9515533315.000000,-9698592406.000000,-183059091.000000
