Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pemasok,Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Untuk Beban Usaha,Penerimaan Dari (Pembayaran Untuk) Kegiatan Usaha Lainnya,Penerimaan Bunga,Pembayaran Pajak Penghasilan,Adjustment,Pendapatan (Beban) Lain-Lain,Beban Lain-Lain,Piutang Lain-Lain,Pembayaran Bunga,Hutang Lain-Lain,Penghasilan Bunga,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembelian Aset Tetap,Perolehan Aset Tak Berwujud,Perolehan Aset Tidak Lancar Lainnya,Penjualan Saham,Uang Muka Penyertaan Saham,Investasi,Perolehan Atas Penjualan Aset Tetap,Pekerjaan Dalam Pelaksanaan,Penurunan (Peningkatan) Aset Lain-Lain,Uang Muka Pembelian Aset Tetap,Akuisisi Entitas Anak Setelah Dikurangi Kas Dan Bank Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peningkatan (Penurunan) Sewa Pembiayaan,Penerimaan Utang Lain-Lain - Pihak Berelasi,Penerimaan (Penurunan) Utang Lain‐Lain ‐ Pihak Ketiga,Pembayaran Utang Sewa Pembiayaan,Pembayaran Biaya Emisi Saham,Penambahan Modal Saham,Kenaikan Utang Obligasi Konversi,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Lain-Lain,Penambahan Agio Saham,Kenaikan (Penurunan) Utang Lain-Lain Jangka Panjang,Kenaikan (Penurunan) Piutang Lain-Lain,Pembayaran Dividen,Kenaikan Komponen Ekuitas Lain,Kenaikan Modal Disetor,Peningkatan (Penurunan) Utang Bank Jangka Pendek,Peningkatan (Penurunan) Utang Bank Jangka Panjang,Peningkatan (Penurunan) Utang Leasing,Penerimaan (Pengeluaran) Lain Dari Aktivitas Pendanaan,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Dampak Akuisisi Entitas Anak,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,1394825934.000000,5837083400.000000,-4414142816.000000,,,-4414142816.000000,,,,,,-28114650.000000,,,,,,,1394825934.000000,-1398911500.000000,-800000.000000,,,,,,,14263500.000000,-1412375000.000000,,,,-1398911500.000000,-12505453.000000,,,,,,,,,,,,,103392158.000000,-115897611.000000,,,,,,,,-12505453.000000,,-16591019.000000,,,386594734.000000,370003715.000000
12M 2009,-858880683.000000,10218706500.000000,-11074477589.000000,,,-11074477589.000000,,,,,,-3109594.000000,,,,,,,-858880683.000000,19816289.000000,-8073711.000000,,,,,,,27890000.000000,,,,,19816289.000000,538900000.000000,,,,,,,,,,,,529000000.000000,9900000.000000,,,,,,,,,538900000.000000,,-300164394.000000,,,370003715.000000,69839321.000000
12M 2010,-3826623027.000000,21220720400.000000,-25049641440.000000,,,-25049641440.000000,,,,,,2298013.000000,,,,,,,-3826623027.000000,-433157533.000000,-474230000.000000,,,,,,,41072467.000000,,,,,-433157533.000000,4249170000.000000,,2725000000.000000,1524170000.000000,,,,,,,,,,,,,,,,,,,4249170000.000000,,-10610560.000000,,,69839321.000000,59228761.000000
12M 2011,-3226272356.000000,23973345663.000000,-27088284261.000000,,,-27088284261.000000,,-111333758.000000,,,,,,,,,,,-3226272356.000000,-2828466800.000000,-2828466800.000000,,,,,,,,,,,,-2828466800.000000,6782189167.000000,1474959167.000000,-2698000000.000000,8005230000.000000,,,,,,,,,,,,,,,,,,,6782189167.000000,,727450011.000000,,,59228761.000000,786678772.000000
12M 2012,416426987.000000,93379786813.000000,-92923555646.000000,,,-92923555646.000000,,-39804180.000000,,,,,,,,,,,416426987.000000,-29099000.000000,-29099000.000000,,,,,,,,,,,,-29099000.000000,-701033769.000000,-674033769.000000,-27000000.000000,,,,,,,,,,,,,,,,,,,,-701033769.000000,,-313705782.000000,,,786678771.000000,472972989.000000
12M 2013,767035125.000000,16107029915.000000,-16026216504.000000,,,-16026216504.000000,,686221714.000000,,,,,,,,,,,767035125.000000,-4766530276.000000,-13356250.000000,,,,,,,,,,,-4753174026.000000,-4766530276.000000,5369400933.000000,-710599067.000000,,,,,,,,,,,6080000000.000000,,,,,,,,,,5369400933.000000,,1369905782.000000,,,472972990.000000,1842878772.000000
12M 2014,6016806771.000000,65646040960.000000,-54583656329.000000,,,-54583656329.000000,,-5045577860.000000,,,,,,,,,,,6016806771.000000,-59441798247.000000,-6625028501.000000,,,,,,,,,-52816769746.000000,,,-59441798247.000000,52677938958.000000,-7459856473.000000,,,,,,,,,,,64033257172.000000,,,,,-3895461741.000000,,,,,52677938958.000000,,-747052518.000000,,,1842878770.000000,1095826252.000000
12M 2015,-6161891323.000000,76233421737.000000,,-51143193316.000000,-14909133538.000000,-66052326854.000000,,-16342986206.000000,,,,,,,,,,,-6161891323.000000,-11745217181.000000,-11745217181.000000,,,,,,,,,,,,-11745217181.000000,17857450372.000000,15943808000.000000,,,,,,,,,,,7180295582.000000,,,,,-5266653210.000000,,,,,17857450372.000000,,-49658132.000000,,,1095826255.000000,1046168123.000000
12M 2016,138783218372.000000,461172620958.000000,-325954632275.000000,,,-325954632275.000000,-44647394379.000000,107352752566.000000,,,,,,,-59298672202.000000,,158543704.000000,,138783218372.000000,-159948025665.000000,-159948025665.000000,,,,,,,,,,,,-159948025665.000000,84816818061.000000,,,114335918653.000000,-7552455050.000000,-4930473332.000000,3170954700.000000,2046152812.000000,,,,,,,,,,-22253279722.000000,,,,,84816818061.000000,,63652010768.000000,-86830791412.000000,1046168121.000000,44154001375.000000,22021388852.000000
12M 2017,-160428734408.000000,851612103272.000000,-864969065958.000000,,,-864969065958.000000,-98803697536.000000,51235073786.000000,,,,,,,-99828823485.000000,,325675513.000000,,-160428734408.000000,-7348939142.000000,-7348939142.000000,,,,,,,,,,,,-7348939142.000000,108745166066.000000,,,74526395038.000000,-8707836885.000000,,,30237721504.000000,,,,,,,,,,12688886409.000000,,,,,108745166066.000000,,-59032507484.000000,56941531918.000000,,22021388852.000000,19930413286.000000
