Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Others,Total Utang Lain-Lain,Utang Usaha,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Dari Pihak Ketiga,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Beban Akrual,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,370003715.000000,,,,,10400000.000000,10400000.000000,,10400000.000000,21453749165.000000,,21834152880.000000,,2253087918.000000,61826097454.000000,,,64079185372.000000,85913338252.000000,,,47981587.000000,,,,,,,,40396000.000000,7585587.000000,,,,,,,,,47981587.000000,164290701.000000,,,,,,,,,,,,164290701.000000,164290701.000000,212272288.000000,,110297750000.000000,6303547667.000000,-30900231703.000000,,,,85701065964.000000,85913338252.000000,1102977500.000000
12M 2009,,,69839321.000000,800000.000000,800000.000000,,800000.000000,500000.000000,500000.000000,,500000.000000,18875344665.000000,11172699.000000,18957656685.000000,,2213297443.000000,59137313414.000000,,,61350610857.000000,80308267542.000000,,,637733376.000000,,,529000000.000000,,,529000000.000000,,103989949.000000,4743427.000000,,,,,,,,,637733376.000000,201748220.000000,,,,,,,,,,,,201748220.000000,201748220.000000,839481596.000000,,110297750000.000000,6303547667.000000,-37132511721.000000,,,,79468785946.000000,80308267542.000000,1102977500.000000
12M 2010,,,59228761.000000,,,,,,,,,17803083520.000000,32906771.000000,17895219052.000000,,5058972773.000000,56846752397.000000,,,61905725170.000000,79800944222.000000,,,381536225.000000,,,,,,,,346941470.000000,34594755.000000,,,,,,,,,381536225.000000,4499512737.000000,,,,,,,1524170000.000000,2725000000.000000,4249170000.000000,,,250342737.000000,4499512737.000000,4881048962.000000,,110297750000.000000,6303547667.000000,-41681402407.000000,,,,74919895260.000000,79800944222.000000,1102977500.000000
12M 2011,,,786678771.000000,3489135360.000000,,,3489135360.000000,367120000.000000,367120000.000000,,367120000.000000,17664236653.000000,5996350917.000000,28303521701.000000,,1185540460.000000,56218846251.000000,,,57404386711.000000,85707908412.000000,,,3741380945.000000,,,,,,,3037805095.000000,112008862.000000,8107713.000000,,,583459275.000000,,,583459275.000000,,,3741380945.000000,10789732982.000000,,,891499892.000000,,891499892.000000,,9529400000.000000,27000000.000000,9556400000.000000,,,341833090.000000,10789732982.000000,14531113927.000000,,110297750000.000000,6303547667.000000,-45424503182.000000,,,,71176794485.000000,85707908412.000000,1102977500.000000
12M 2012,,,472972990.000000,1454350000.000000,1454350000.000000,,1454350000.000000,20747000.000000,20747000.000000,,20747000.000000,31007471028.000000,24313609911.000000,57269150929.000000,,1313296072.000000,50162428198.000000,,,51475724270.000000,108744875199.000000,,,848841685.000000,,,,,,,,205249953.000000,20801199.000000,,,622790533.000000,,,622790533.000000,,,848841685.000000,35694247488.000000,,,412334865.000000,,412334865.000000,,,,,,,35281912623.000000,35694247488.000000,36543089173.000000,,110297750000.000000,6303547667.000000,-44399511641.000000,,,,72201786026.000000,108744875199.000000,1102977500.000000
12M 2013,,,1842878771.000000,1728164024.000000,1728164024.000000,,1728164024.000000,99596918.000000,99596918.000000,,99596918.000000,799893299.000000,14854399949.000000,19324932961.000000,,2066310495.000000,159236266352.000000,42373077424.000000,146827212496.000000,350502866767.000000,369827799728.000000,,,134838428349.000000,115755373852.000000,,,,,,,773750129.000000,21729596.000000,,6910949041.000000,11376625731.000000,,,18287574772.000000,,,134838428349.000000,151844331933.000000,,5266653210.000000,12050087.000000,,5278703297.000000,,140995052205.000000,,140995052205.000000,263130096.000000,,5307446335.000000,151844331933.000000,286682760282.000000,,110297750000.000000,6303547667.000000,-42098031256.000000,,8641773033.000000,,83145039444.000000,369827799726.000000,1102977500.000000
12M 2014,,,1095826255.000000,2036807743.000000,2036807743.000000,,2036807743.000000,1620446536.000000,1620446536.000000,,1620446536.000000,28676249987.000000,10373519632.000000,43802850153.000000,,396967676.000000,148503289300.000000,40984919004.000000,208719391015.000000,398604566995.000000,442407417148.000000,,,127871928142.000000,118770861152.000000,,,,,,,2277501385.000000,299096572.000000,,5266653210.000000,1257815823.000000,,,6524469033.000000,,,127871928142.000000,236001605468.000000,,,2671003522.000000,,2671003522.000000,,203794277418.000000,1234031959.000000,205028309377.000000,,,28302292569.000000,236001605468.000000,363873533610.000000,,110297750000.000000,6303547667.000000,-46167013135.000000,,8099599006.000000,,78533883538.000000,442407417148.000000,1102977500.000000
12M 2015,,,1046168122.000000,1171314297.000000,1171314297.000000,,1171314297.000000,20132646473.000000,20132646473.000000,,20132646473.000000,54988143994.000000,13513404208.000000,90851677094.000000,,499133500.000000,236161609412.000000,40984919004.000000,126893103917.000000,404538765833.000000,495390442927.000000,,,185468483866.000000,117540398454.000000,,,,,,2402631500.000000,2192538054.000000,3025210528.000000,,,7341378556.000000,,,7341378556.000000,,52966326774.000000,185468483866.000000,230039381829.000000,,,,,,,205940000000.000000,6268604959.000000,212208604959.000000,,,17830776870.000000,230039381829.000000,415507865695.000000,,110297750000.000000,6303547667.000000,-44948292672.000000,,7800824319.000000,428747918.000000,79882577232.000000,495390442927.000000,1102977500.000000
12M 2016,,,22021388852.000000,316321369828.000000,316321369828.000000,,316321369828.000000,22986561226.000000,,,22986561226.000000,180317531036.000000,118535179444.000000,660182030386.000000,,605040250.000000,3061460288642.000000,1105739753666.000000,51727982356.000000,4219533064914.000000,4879715095300.000000,,,1101430689948.000000,782628517197.000000,,13566130645.000000,268720000.000000,,13834850645.000000,259518501452.000000,10493665782.000000,374023639.000000,,,8707836883.000000,,,8707836883.000000,,25873294350.000000,1101430689948.000000,2267429723116.000000,,1304971500000.000000,6915329493.000000,536530246248.000000,1848417075741.000000,,306026335864.000000,,306026335864.000000,109726496585.000000,,3259814926.000000,2267429723116.000000,3368860413064.000000,,578468704700.000000,442190608827.000000,53492487731.000000,,-35649164395.000000,472352045373.000000,1510854682236.000000,4879715095300.000000,5784687047.000000
12M 2017,,,19930413286.000000,386568782604.000000,386568782604.000000,,386568782604.000000,32720995052.000000,,,32720995052.000000,499428925762.000000,166535010085.000000,1105184126789.000000,,423660750.000000,3037773442344.000000,1105739753666.000000,56934128840.000000,4200870985600.000000,5306055112389.000000,,,1096688884572.000000,119677049844.000000,,387665437804.000000,80135336160.000000,,467800773964.000000,433493907515.000000,6198440973.000000,2011862588.000000,,,6915329491.000000,,,6915329491.000000,,60591520197.000000,1096688884572.000000,2221746818789.000000,,1980611853762.000000,,30237721504.000000,2010849575266.000000,,,,,206779768889.000000,,4117474634.000000,2221746818789.000000,3318435703361.000000,,578468704700.000000,1053534286527.000000,-59935580875.000000,,-41747256799.000000,457299255475.000000,1987619409028.000000,5306055112389.000000,
