Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.11,679.29,1.11,679.29,26 B,490 B,516 B,502 B,665 B
12M 2009,1.16,716.17,1.16,716.17,,466 B,466 B,437 B,703 B
12M 2010,0.00,0.00,0.00,0.00,,,,,
12M 2011,0.00,0.00,0.00,0.00,,,,,
12M 2012,6.74,1765.04,6.74,1765.04,,15 B,15 B,15 B,
12M 2013,6.88,2613.63,6.88,2613.63,21 B,31 B,52 B,(256 B),"1,205 B"
12M 2014,10.03,3826.45,10.03,3826.45,21 B,16 B,37 B,(209 B),"2,132 B"
12M 2015,5.18,5165.58,5.18,5165.58,214 B,17 B,232 B,(275 B),"3,143 B"
12M 2016,3.11,5994.27,3.11,5994.27,167 B,10 B,177 B,(504 B),"3,663 B"
12M 2017,1.05,10985.44,1.05,10985.44,366 B,3 B,368 B,(210 B),"8,309 B"
12M 2018,0.57,9570.79,0.57,9570.79,234 B,108 B,342 B,(282 B),"4,870 B"
12M 2019,0.26,3944.75,0.26,3944.75,376 B,2 B,377 B,(145 B),"5,347 B"
12M 2020,0.60,2366.61,0.60,2366.61,748 B,408 B,"1,156 B",521 B,"4,598 B"
12M 2021,0.51,2379.34,0.51,2379.34,758 B,319 B,"1,077 B",700 B,"4,260 B"
12M 2022,0.40,2492.91,0.40,2492.91,740 B,252 B,992 B,785 B,"4,463 B"
12M 2023,0.31,2550.40,0.31,2550.40,763 B,212 B,975 B,769 B,"4,988 B"
12M 2024,0.23,2238.76,0.23,2238.76,726 B,77 B,803 B,128 B,"5,878 B"
