Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada / Untuk :,Tanah,"Kontraktor,Pemasok Dan Operasional",Gaji Karyawan,Pajak-Pajak,Bunga Pinjaman,Total Pembayaran Kas Kepada / Untuk :,Pencairan (Penempatan) Dana Yang Dibatasi Penggunaannya,Penghasilan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dividen,Penjualan Aset Tetap,Uang Muka Penyertaan,Penyertaan Saham,Pembayaran Kepada Pihak Berelasi,Penerimaan Dari Pihak Berelasi,Perolehan Saham Entitas Anak Dari Pihak Nonpengendali,Penerimaan Jaminan,Pembayaran Uang Muka Perolehan Aset Tetap,Penyertaan Pada Dana Infrastruktur,Penempatan Investasi Pada Entitas Asosiasi,Pelepasan Investasi Entitas Asosiasi,Penambahan Properti Investasi,Perolehan Aset Tetap,Penerimaan Dari Penjualan Dana Investasi Infrastruktur,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank,Penerimaan Dari Penerbitan Saham Baru,Penerimaan Pinjaman Anjak Piutang,Pembayaran Pinjaman Anjak Piutang,Penerimaan Dari Pihak Ketiga,Pembayaran Biaya Provisi Pinjaman Anjak Piutang,Penerimaan Penawaran Umum Terbatas I Saham Perusahaan,Uang Muka Investasi Modal Pada Entitas Anak,Biaya Emisi Saham,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pengurangan Modal Pada Entitas Anak,Penerimaan Dari (Pembayaran Kepada) Pihak-Pihak Berelasi,Penerimaan Utang Bank,Pembayaran Dividen Tunai Kepada Kepentingan Non Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Kas Dan Setara Kas Atas Pengendalian Pada Entitas,Dampak Kas Dan Setara Kas Atas Hilangnya Pengendalian Pada Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,70591142839.000000,376896406042.000000,,,-239122056168.000000,-35897840822.000000,-20898077800.000000,-11171338122.000000,-307089312912.000000,,784049709.000000,70591142839.000000,-3085733865.000000,3683796000.000000,366560780.000000,,,,,,,,,,,,-7136090645.000000,,-3085733865.000000,-64335266601.000000,-39335266601.000000,,,,,,,,,,,,-25000000000.000000,,,-64335266601.000000,3170142373.000000,10975716989.000000,,,558433613.000000,14704292975.000000
12M 2009,67554133296.000000,386330449490.000000,,,-249102968656.000000,-41123948760.000000,-26352064109.000000,-2666216735.000000,-319245198260.000000,,468882066.000000,67554133296.000000,391870261.000000,4590676042.000000,50562958.000000,,,,,,,,,,,,-4249368739.000000,,391870261.000000,-52458030357.000000,-26458030357.000000,,,,,,,,,,,,-26000000000.000000,,,-52458030357.000000,15487973200.000000,14704292975.000000,,,-565363879.000000,29626902296.000000
12M 2010,248446261967.000000,637752883843.000000,,,-291901300820.000000,-43933012858.000000,-54919815192.000000,,-390754128870.000000,,1447506994.000000,248446261967.000000,-32248093030.000000,5239100540.000000,872673263.000000,,,,,,,,,,,,-38359866833.000000,,-32248093030.000000,-210125000000.000000,,,,,,,,,,,,,-210125000000.000000,,,-210125000000.000000,6073168937.000000,29626902296.000000,,,-211008008.000000,35489063225.000000
12M 2011,478557047120.000000,1341827843210.000000,,,-687312666062.000000,-35965534929.000000,-135194270257.000000,-7404740562.000000,-865877211810.000000,,2606415720.000000,478557047120.000000,-22619041477.000000,4933389500.000000,157513757.000000,-6000000000.000000,-2000000000.000000,,,,,,,,,,-19709944734.000000,,-22619041477.000000,-454078056422.000000,,,,,,,,,,,,,-594078056422.000000,140000000000.000000,,-454078056422.000000,1859949221.000000,35489063225.000000,,,8593431.000000,37357605877.000000
12M 2012,432537904830.000000,1720466392546.000000,,,-1070661481517.000000,-47391405336.000000,-175764158407.000000,-2584197399.000000,-1296401242659.000000,,8472754943.000000,432537904830.000000,-18847762046.000000,4867750000.000000,100620333.000000,,-12331745706.000000,,,,,,,,,-953002486.000000,-10531384187.000000,,-18847762046.000000,-140676985466.000000,-160000000000.000000,,,,,,,,,,,,-676985466.000000,20000000000.000000,,-140676985466.000000,273013157318.000000,37357605877.000000,,,102017942.000000,310472781137.000000
12M 2013,13631600894.000000,2115970784345.000000,,,-1822593904817.000000,-63210870040.000000,-239401331170.000000,,-2125206106027.000000,,22866922576.000000,13631600894.000000,-16791246214.000000,7685068500.000000,2000000.000000,,,,,,,,,,,-12194784978.000000,-12283529736.000000,,-16791246214.000000,,,,,,,,,,,,,,,,,,-3159645320.000000,310472781137.000000,,,974416295.000000,308287552112.000000
12M 2014,-35472067553.000000,1417576816098.000000,,-266517425047.000000,-964229090151.000000,-60390908901.000000,-174085986404.000000,,-1465223410503.000000,,12174526852.000000,-35472067553.000000,-12161012252.000000,5557372900.000000,,,15295000000.000000,,,,,,,,,-20560603323.000000,-12452781829.000000,,-12161012252.000000,-14700000000.000000,,,,,,,,,,,,,-14700000000.000000,,,-14700000000.000000,-62333079805.000000,308287552112.000000,,,97093577.000000,246051565884.000000
12M 2015,349056823669.000000,1865838100640.000000,,-339618638719.000000,-869777737673.000000,-78894189731.000000,-244672572521.000000,,-1532963138644.000000,,16181861673.000000,349056823669.000000,-172037743100.000000,4761591675.000000,463922254.000000,-102000000000.000000,,,,,,,,,,-38808811476.000000,-36454445553.000000,,-172037743100.000000,30000000000.000000,,,,,,,,,,,,,,30000000000.000000,,30000000000.000000,207019080569.000000,299525912718.000000,,,230148064.000000,506775141351.000000
12M 2016,262666659879.000000,1165429018968.000000,,,-830227344754.000000,-88447325077.000000,-55379961070.000000,-2949967516.000000,-977004598417.000000,45966833695.000000,28275405633.000000,262666659879.000000,-37825839131.000000,32000000.000000,,,,,,,,,,-157500000.000000,,-18658672063.000000,-19041667068.000000,,-37825839131.000000,-51209955174.000000,,,,,,,,,,,,,-21209955174.000000,-30000000000.000000,,-51209955174.000000,173630865574.000000,506775141351.000000,,,-15058952.000000,680390947973.000000
12M 2017,-3427301000000.000000,4162661000000.000000,,,-6990660000000.000000,-92165000000.000000,-129892000000.000000,-14393000000.000000,-7227110000000.000000,-384934000000.000000,22082000000.000000,-3427301000000.000000,-39288000000.000000,5592000000.000000,24000000.000000,,,,,,,-24898000000.000000,,,158000000.000000,-1436000000.000000,-18728000000.000000,,-39288000000.000000,3364894000000.000000,,,49395000000.000000,,,-488000000.000000,,3107748000000.000000,,,,,8239000000.000000,200000000000.000000,,3364894000000.000000,-101695000000.000000,680391000000.000000,,,9000000.000000,578705000000.000000
