Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Tanah Untuk Dikembangkan,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pajak,Liabilitas Keuangan Lainnya,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Liabilitas Keuangan Lainnya,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,14704292975.000000,53680477670.000000,,53680477670.000000,53680477670.000000,837321837442.000000,27376541586.000000,933083149673.000000,,2311613150.000000,421927516623.000000,,,21763048481.000000,3674670980.000000,18648807621.000000,468325656855.000000,1401408806528.000000,,,268319011771.000000,,5498225669.000000,20959804688.000000,26458030357.000000,,,450888034.000000,8811176605.000000,9262064639.000000,9835843374.000000,213890362973.000000,8458853023.000000,,,,,413857405.000000,268319011771.000000,660303094262.000000,,,,,,489946546835.000000,170356547427.000000,660303094262.000000,928622106033.000000,,348000000000.000000,39457701079.000000,85320199416.000000,650000000.000000,84670199416.000000,85320199416.000000,,8800000.000000,472786700495.000000,1401408806528.000000,696000000.000000
12M 2009,,,29626902296.000000,67433324857.000000,,67433324857.000000,67433324857.000000,930788320688.000000,27003707476.000000,1054852255317.000000,,2044703558.000000,446235838724.000000,,,22068786105.000000,3070992463.000000,22747913274.000000,496168234124.000000,1551020489441.000000,,,352319657563.000000,,,,,,,450888034.000000,16378731614.000000,16829619648.000000,11455905004.000000,301424872400.000000,20527852765.000000,,,,,2081407746.000000,352319657563.000000,700245785206.000000,,,,,,466180149328.000000,234065635878.000000,700245785206.000000,1052565442769.000000,,348000000000.000000,39457701079.000000,111001305593.000000,850000000.000000,110151305593.000000,111001305593.000000,,-3960000.000000,498455046672.000000,1551020489441.000000,696000000.000000
12M 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696000000.000000
12M 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696000000.000000
12M 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94841118936.000000,,,,,,14715904414.000000,80125214522.000000,94841118936.000000,94841118936.000000,,348000000000.000000,39457701079.000000,841011447768.000000,1450000000.000000,839561447768.000000,841011447768.000000,,,1228469148847.000000,1323310267783.000000,696000000.000000
12M 2013,,,308287552112.000000,60458302338.000000,,60458302338.000000,60458302338.000000,2509523464941.000000,280196898765.000000,3158466218156.000000,,1597974406.000000,491222312833.000000,27823711473.000000,45145376080.000000,52564522686.000000,2893662723.000000,74452566988.000000,695700127189.000000,3854166345345.000000,,,1953762768112.000000,,,,,,,,,,,58847975327.000000,19584109144.000000,21132622289.000000,,,,1854198061352.000000,1953762768112.000000,81317498245.000000,,,,,1141367207.000000,29991475089.000000,50184655949.000000,81317498245.000000,2035080266357.000000,,348000000000.000000,39457701079.000000,1431628377909.000000,1650000000.000000,1429978377909.000000,1431628377909.000000,,,1819086078988.000000,3854166345345.000000,696000000.000000
12M 2014,,,246051565884.000000,65539228311.000000,,65539228311.000000,65539228311.000000,2882167964180.000000,467945267461.000000,3661704025836.000000,,828228634.000000,419680028359.000000,13516475519.000000,63746658326.000000,54301178262.000000,3236195984.000000,92811443345.000000,648120208429.000000,4309824234265.000000,,,1530034755092.000000,,,,,,,,40444166780.000000,40444166780.000000,,68820900587.000000,15796891186.000000,20612449695.000000,,,,1384360346844.000000,1530034755092.000000,108329891288.000000,,,,,1082936240.000000,15294608611.000000,91952346437.000000,108329891288.000000,1638364646380.000000,,348000000000.000000,39457701079.000000,2275751686806.000000,1850000000.000000,2273901686806.000000,2275751686806.000000,8250200000.000000,,2671459587885.000000,4309824234265.000000,696000000.000000
12M 2015,,,506775141351.000000,209660603616.000000,,209660603616.000000,209660603616.000000,2764560724663.000000,802681008076.000000,4283677477706.000000,,802921512.000000,617764424257.000000,110868797918.000000,185248561109.000000,80993650320.000000,3479008118.000000,193922495569.000000,1193079858803.000000,5476757336509.000000,,,1140995759536.000000,,,,,30000000000.000000,,,70309221918.000000,70309221918.000000,,85370023347.000000,25842513865.000000,184497713532.000000,,,,744976286874.000000,1140995759536.000000,702465808616.000000,,,,,1399622748.000000,16036366242.000000,685029819626.000000,702465808616.000000,1843461568152.000000,,348000000000.000000,39457701079.000000,3189948176952.000000,,,3189948176952.000000,38052331994.000000,17837558332.000000,3633295768357.000000,5476757336509.000000,696000000.000000
12M 2016,,,680390947973.000000,185285395625.000000,,185285395625.000000,185285395625.000000,2843763737370.000000,875349722686.000000,4584789803654.000000,,15698329015.000000,518615522833.000000,16596706063.000000,189591972293.000000,87630994036.000000,9860044058.000000,230369812553.000000,1068363380851.000000,5653153184505.000000,,,922152443756.000000,,,,,,,,29661759890.000000,29661759890.000000,,137529745051.000000,18984863117.000000,167077762268.000000,,,,568898313430.000000,922152443756.000000,488309211047.000000,,,,,,9721818571.000000,478587392476.000000,488309211047.000000,1410461654803.000000,,348000000000.000000,41457701079.000000,3729336569758.000000,,,3729336569758.000000,70682406344.000000,53214852521.000000,4242691529702.000000,5653153184505.000000,696000000.000000
12M 2017,,,578705000000.000000,248008000000.000000,,248008000000.000000,248008000000.000000,7968491000000.000000,1256854000000.000000,10052058000000.000000,,535000000.000000,309664000000.000000,15940000000.000000,181330000000.000000,99723000000.000000,12451000000.000000,1706526000000.000000,2326169000000.000000,12378227000000.000000,,,1743341000000.000000,200000000000.000000,,,200000000000.000000,,,,161501000000.000000,161501000000.000000,,249859000000.000000,205158000000.000000,165628000000.000000,,,,761195000000.000000,1743341000000.000000,2914150000000.000000,,,,,,2798000000.000000,2911352000000.000000,2914150000000.000000,4657491000000.000000,,348000000000.000000,41458000000.000000,4092749000000.000000,,,4092749000000.000000,74872000000.000000,3163657000000.000000,7720736000000.000000,12378227000000.000000,696000000.000000
