Period,Total Pendapatan,Final,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Total Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,276557519426.000000,,,276557519426.000000,-153314308614.000000,123243210812.000000,-53034290925.000000,,-31451611087.000000,-21582679838.000000,-53034290925.000000,,,-53034290925.000000,70208919887.000000,-42476595565.000000,852472514.000000,-46499254475.000000,256736521.000000,1890954976.000000,8307621996.000000,-7285127097.000000,-42476595565.000000,27732324322.000000,-13558883172.000000,-5123363100.000000,-8435520072.000000,-13558883172.000000,,,,14173441150.000000,,,,,14173441150.000000,14173441150.000000,,,14173441150.000000,,,,
12M 2009,323158797330.000000,,,323158797330.000000,-174939302388.000000,148219494942.000000,-51972916884.000000,,-28056548527.000000,-23916368357.000000,-51972916884.000000,,,-51972916884.000000,96246578058.000000,-55071835212.000000,468882066.000000,-46967003213.000000,13737488.000000,-2353470599.000000,4905533301.000000,-11139514255.000000,-55071835212.000000,41174742846.000000,-15493636669.000000,-14889958153.000000,-603678516.000000,-15493636669.000000,,,,25681106177.000000,,,,,25681106177.000000,25681106177.000000,,,25681106177.000000,,,,
12M 2010,,,,,-225641211221.000000,179019028107.000000,-65516426200.000000,,-39450817632.000000,-26065608568.000000,-65516426200.000000,,,-65516426200.000000,113502601907.000000,-34131212983.000000,1447506994.000000,-40870603767.000000,134246484.000000,-755579389.000000,,5913216695.000000,-34131212983.000000,85250987137.000000,-19943504389.000000,-19702487813.000000,-241016576.000000,-19943504389.000000,,,,65307482748.000000,,,,,65307482748.000000,65307482748.000000,,,65307482748.000000,,,,
12M 2011,902455446998.000000,,,902455446998.000000,-513603262818.000000,388852184180.000000,-73761985677.000000,,-45466022918.000000,-38874053320.000000,-84340076238.000000,,10578090561.000000,-73761985677.000000,315090198503.000000,-13510450857.000000,,-16079382658.000000,,,2568931801.000000,,-13510450857.000000,301579747646.000000,-43898996516.000000,-43986271731.000000,87275215.000000,-43898996516.000000,,,,257680751130.000000,,,,257680751130.000000,257680751130.000000,257680751130.000000,,,257680751130.000000,257680751130.000000,257680751130.000000,,257680751130.000000
12M 2012,1013069147506.000000,,,1013069147506.000000,-492798453193.000000,520270694313.000000,-73201223689.000000,-83431561036.000000,,,-83431561036.000000,,10230337347.000000,-73201223689.000000,447069470624.000000,10535891521.000000,4336044191.000000,,,,6199847330.000000,,10535891521.000000,457605362145.000000,-50583453848.000000,,,-50583453848.000000,,,,407021908297.000000,,,,407021908297.000000,407021908297.000000,407021908297.000000,,,407021908297.000000,407021908297.000000,407021908297.000000,,407021908297.000000
12M 2013,1327909165616.000000,,,1327909165616.000000,-585190934219.000000,742718231397.000000,-104370292845.000000,-108828335316.000000,,,-108828335316.000000,,4458042471.000000,-104370292845.000000,638347938552.000000,27334679669.000000,22202679203.000000,,,,5132000466.000000,,27334679669.000000,665682618221.000000,-75065688080.000000,-74767827955.000000,-297860125.000000,-75065688080.000000,,,,590616930141.000000,,,,590616930141.000000,590616930141.000000,590616930141.000000,,,590616930141.000000,590616930141.000000,590616930141.000000,,590616930141.000000
12M 2014,1792376641870.000000,,,1792376641870.000000,-735380351408.000000,1056996290462.000000,-131793771838.000000,-143020173013.000000,,,-143020173013.000000,,11226401175.000000,-131793771838.000000,925202518624.000000,17091579877.000000,11603815830.000000,,,,5487764047.000000,,17091579877.000000,942294098501.000000,-98170839604.000000,-98513372865.000000,342533261.000000,-98170839604.000000,,,,844123258897.000000,,,,844123258897.000000,844123258897.000000,844123308897.000000,-50000.000000,,844123258897.000000,844123258897.000000,844123308897.000000,-50000.000000,844123258897.000000
12M 2015,2035065102622.000000,,,2035065102622.000000,-922629750742.000000,1112435351880.000000,-197814293290.000000,-204842333701.000000,,,-204842333701.000000,,7028040411.000000,-197814293290.000000,914621058590.000000,15896474175.000000,16044151775.000000,,,,-147677600.000000,,15896474175.000000,930517532765.000000,-15528253551.000000,-15771065685.000000,242812134.000000,-15528253551.000000,,,,914989279214.000000,-27124386358.000000,-27124386358.000000,-27124386358.000000,887864892856.000000,914989279214.000000,910576225398.000000,4413053816.000000,,914989279214.000000,887864892856.000000,895066957575.000000,-7202064719.000000,887864892856.000000
12M 2016,1484560416872.000000,-60337710410.000000,1544898127282.000000,1484560416872.000000,-773298127082.000000,711262289790.000000,-181527548266.000000,-191634669148.000000,,,-191634669148.000000,,10107120882.000000,-181527548266.000000,529734741524.000000,20136131811.000000,25325438117.000000,,,,-5189306306.000000,,20136131811.000000,549870873335.000000,-10075893458.000000,-15525850298.000000,5449956840.000000,-10075893458.000000,,,,539794979877.000000,67600781468.000000,67600781468.000000,67600781468.000000,607395761345.000000,539794979877.000000,539820869393.000000,-25889516.000000,,539794979877.000000,607395761345.000000,574765686995.000000,32630074350.000000,607395761345.000000
12M 2017,1457524000000.000000,-43654000000.000000,1501178000000.000000,1457524000000.000000,-823825000000.000000,633699000000.000000,-259856000000.000000,-278210000000.000000,,,-278210000000.000000,,-2052000000.000000,-259856000000.000000,353437000000.000000,27311000000.000000,7689000000.000000,,,,19622000000.000000,,27311000000.000000,380748000000.000000,-12308000000.000000,-13781000000.000000,1473000000.000000,-12308000000.000000,,,,368440000000.000000,1857000000.000000,1857000000.000000,1857000000.000000,370297000000.000000,368440000000.000000,366767000000.000000,1673000000.000000,,368440000000.000000,370298000000.000000,365929000000.000000,4369000000.000000,370298000000.000000
12M 2018,2124392000000.000000,-85189000000.000000,2209581000000.000000,2124392000000.000000,-869943000000.000000,1254449000000.000000,-178042000000.000000,-305020000000.000000,,,-305020000000.000000,,89387000000.000000,-178042000000.000000,1038816000000.000000,1209244000000.000000,-11216000000.000000,,,,-1137334000000.000000,2357794000000.000000,1209244000000.000000,2248060000000.000000,-27338000000.000000,-27338000000.000000,,-27338000000.000000,,,,2220722000000.000000,-6296000000.000000,,-6296000000.000000,2214426000000.000000,2220722000000.000000,2154946000000.000000,65776000000.000000,,2220722000000.000000,2214426000000.000000,2152456000000.000000,61970000000.000000,2214426000000.000000
12M 2019,1658434000000.000000,-36375000000.000000,1694809000000.000000,1658434000000.000000,-1013749000000.000000,644685000000.000000,-302853000000.000000,-210869000000.000000,,,-210869000000.000000,,-91984000000.000000,-302853000000.000000,341832000000.000000,80461000000.000000,125416000000.000000,,,,-44955000000.000000,,80461000000.000000,422293000000.000000,-38261000000.000000,-38261000000.000000,,-38261000000.000000,,,,384032000000.000000,7635000000.000000,,7635000000.000000,391667000000.000000,384032000000.000000,310911000000.000000,73121000000.000000,,384032000000.000000,391667000000.000000,312458000000.000000,79209000000.000000,391667000000.000000
12M 2020,1802557000000.000000,-41816000000.000000,1844373000000.000000,1802557000000.000000,-1138339000000.000000,664218000000.000000,-2470860000000.000000,-300605000000.000000,,,-300605000000.000000,,-2170255000000.000000,-2470860000000.000000,-1806642000000.000000,-1797764000000.000000,-129153000000.000000,,,,-1668611000000.000000,,-1797764000000.000000,-3604406000000.000000,-41980000000.000000,-41980000000.000000,,-41980000000.000000,,,,-3646386000000.000000,-67416000000.000000,,-67416000000.000000,-3713802000000.000000,-3646386000000.000000,-3654135000000.000000,7749000000.000000,,-3646386000000.000000,-3713802000000.000000,-3691871000000.000000,-21931000000.000000,-3713802000000.000000
12M 2021,1805184000000.000000,-39555000000.000000,1844739000000.000000,1805184000000.000000,-1154219000000.000000,650965000000.000000,-352259000000.000000,-249511000000.000000,,,-249511000000.000000,,-102748000000.000000,-352259000000.000000,298706000000.000000,-122734000000.000000,-126319000000.000000,,,,3585000000.000000,,-122734000000.000000,175972000000.000000,-35603000000.000000,-35603000000.000000,,-35603000000.000000,,,,140369000000.000000,-45862000000.000000,,-45862000000.000000,94507000000.000000,140369000000.000000,185322000000.000000,-44953000000.000000,,140369000000.000000,94507000000.000000,157724000000.000000,-63217000000.000000,94507000000.000000
12M 2022,1243608000000.000000,-24117000000.000000,1267725000000.000000,1243608000000.000000,-595238000000.000000,648370000000.000000,-249969000000.000000,-270557000000.000000,,,-270557000000.000000,,20588000000.000000,-249969000000.000000,398401000000.000000,-59185000000.000000,-62200000000.000000,,,,3015000000.000000,,-59185000000.000000,339216000000.000000,-36402000000.000000,-36402000000.000000,,-36402000000.000000,,,,302814000000.000000,-13384000000.000000,,-13384000000.000000,289430000000.000000,302814000000.000000,309205000000.000000,-6391000000.000000,,302814000000.000000,289430000000.000000,299120000000.000000,-9690000000.000000,289430000000.000000
12M 2023,1048645000000.000000,-26829000000.000000,1075474000000.000000,1048645000000.000000,-548621000000.000000,500024000000.000000,-269671000000.000000,-252311000000.000000,,,-252311000000.000000,,-17360000000.000000,-269671000000.000000,230353000000.000000,-88086000000.000000,-91503000000.000000,,,,3417000000.000000,,-88086000000.000000,142267000000.000000,-33684000000.000000,-33684000000.000000,,-33684000000.000000,,,,108583000000.000000,-12428000000.000000,,-12428000000.000000,96155000000.000000,108583000000.000000,161921000000.000000,-53338000000.000000,,108583000000.000000,96155000000.000000,154061000000.000000,-57906000000.000000,96155000000.000000
