Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok & Karyawan,Pemasok,Karyawan,Total Pembayaran Kas Kepada Pemasok & Karyawan,Pembayaran Pajak Penghasilan,Kegiatan Operasionl Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor,Setoran Modal,Piutang Pihak Berelasi,Pembayaran Deviden,Pembayaran Utang Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,-16424071127.000000,6848181144.000000,-22971423394.000000,,,-22971423394.000000,,-300828877.000000,,-16424071127.000000,-19371820.000000,-19371820.000000,,-19371820.000000,19471921888.000000,,29021620759.000000,-9549698871.000000,,,19471921888.000000,3028478941.000000,402492908.000000,3430971849.000000
12M 2017,-17940734428.000000,40150513775.000000,-54771483707.000000,,,-54771483707.000000,,-3319764496.000000,,-17940734428.000000,-22489356200.000000,-22489356200.000000,,-22489356200.000000,42116820738.000000,,50000000000.000000,-7801089050.000000,,-82090212.000000,42116820738.000000,1686730110.000000,3430871849.000000,5117601959.000000
12M 2018,-31480788615.000000,34230361729.000000,-64912507819.000000,,,-64912507819.000000,,-798642525.000000,,-31480788615.000000,-2045269442.000000,-2045269442.000000,,-2045269442.000000,55241963177.000000,19005644508.000000,20000000000.000000,17350787921.000000,-1000000000.000000,-114469252.000000,55241963177.000000,21715905120.000000,5117701959.000000,26833607079.000000
12M 2019,-12743347286.000000,58744457460.000000,-67614389930.000000,,,-67614389930.000000,-1834974678.000000,-2038440138.000000,,-12743347286.000000,-3303809366.000000,-3303809366.000000,,-3303809366.000000,-1053358000.000000,,,,-1000000000.000000,-53358000.000000,-1053358000.000000,-17100514652.000000,26833607079.000000,9733092427.000000
12M 2020,10277929859.000000,45424489939.000000,-33331858109.000000,,,-33331858109.000000,-2685110628.000000,870408657.000000,,10277929859.000000,-5700000000.000000,-5700000000.000000,,-5700000000.000000,-564982535.000000,,,,-500000000.000000,-64982535.000000,-564982535.000000,4012947324.000000,9733092427.000000,13746039751.000000
12M 2021,-1683537229.000000,86304992475.000000,-86622933322.000000,,,-86622933322.000000,-1032698386.000000,-332897996.000000,,-1683537229.000000,,,,,-500000000.000000,,,,-500000000.000000,,-500000000.000000,-2183537229.000000,13746039751.000000,11562502522.000000
12M 2022,-2040318091.000000,21616521443.000000,-20847621806.000000,,,-20847621806.000000,-2216916870.000000,-592300858.000000,,-2040318091.000000,,,,,-218000000.000000,,,,-218000000.000000,,-218000000.000000,-2258318091.000000,11562502522.000000,9304184431.000000
12M 2023,-642671658.000000,16754200740.000000,,-12606197297.000000,-585000000.000000,-13191197297.000000,-4153274823.000000,-52400278.000000,,-642671658.000000,-1099993995.000000,-1099993995.000000,,-1099993995.000000,,,,,,,,-1742665653.000000,9304184431.000000,7561518778.000000
12M 2024,-5297063701.000000,35271135711.000000,,-38528577196.000000,-551102800.000000,-39079679996.000000,-28561360.000000,-1459958056.000000,,-5297063701.000000,-359151222.000000,-359151222.000000,,-359151222.000000,,,,,,,,-5656214923.000000,7561518778.000000,1905303855.000000
