Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Piutang Pihak Berelasi,Investasi Jangka Panjang,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Dari Pihak Berelasi,Utang Obligasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Sewa Pembiayaan,Obligasi Konversi,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Obligasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1321797625299.000000,124748588599.000000,935357382409.000000,,,935357382409.000000,65803613758.000000,,,65803613758.000000,1606123881887.000000,114223744576.000000,4168054836528.000000,,,33063849878.000000,1327346591354.000000,82407284714.000000,4838713018.000000,,88121136406.000000,1535777575370.000000,5703832411898.000000,,,1250371830955.000000,145888622451.000000,305567569948.000000,,,305567569948.000000,92524190230.000000,,,92524190230.000000,269366487438.000000,177900635770.000000,,,574290696.000000,,574290696.000000,,258550034422.000000,,1250371830955.000000,108924761472.000000,,7710730395.000000,490843640.000000,,,,,,,100723187437.000000,108924761472.000000,1359296592427.000000,,507800721100.000000,2640000000.000000,3717529710036.000000,33089195230.000000,3684440514806.000000,3717529710036.000000,722136665972.000000,-605571277637.000000,4344535819471.000000,5703832411898.000000,10156014422.000000
12M 2009,,,1562664177408.000000,62596260106.000000,1203940830063.000000,,,1203940830063.000000,114138739079.000000,,,114138739079.000000,1561382418796.000000,197170092624.000000,4701892518076.000000,,,29354137617.000000,1398127877081.000000,261359311220.000000,3941724499.000000,,87771101679.000000,1780554152096.000000,6482446670172.000000,,,1574137415862.000000,339131952804.000000,481511454167.000000,,,481511454167.000000,119835349852.000000,,,119835349852.000000,359976797639.000000,273181447326.000000,,,500414074.000000,,500414074.000000,,,,1574137415862.000000,117637411169.000000,,8326437947.000000,1045834600.000000,,,,,,,108265138622.000000,117637411169.000000,1691774827031.000000,,507800721100.000000,2640000000.000000,4529299395099.000000,40157416692.000000,4489141978407.000000,4529299395099.000000,480233966079.000000,-729302239137.000000,4790671843141.000000,6482446670172.000000,10156014422.000000
12M 2010,,,1901871765050.000000,5315920203.000000,1262710670671.000000,,,1262710670671.000000,101246432140.000000,,,101246432140.000000,1550828819836.000000,215296212071.000000,5037269819971.000000,,,34774005806.000000,1605266031098.000000,237557876110.000000,,,117628930303.000000,1995226843317.000000,7032496663288.000000,,,1146489093666.000000,24290351153.000000,488240634231.000000,,,488240634231.000000,139052381971.000000,,,139052381971.000000,301962490132.000000,192634943780.000000,,,308292399.000000,,308292399.000000,,,,1146489093666.000000,114090540786.000000,,7638833280.000000,745147107.000000,,,,,,,105706560399.000000,114090540786.000000,1260579634452.000000,,507800721100.000000,4441133136.000000,5581253810560.000000,49447454095.000000,5531806356465.000000,5581253810560.000000,398132727636.000000,-719711363596.000000,5771917028836.000000,7032496663288.000000,10156014422.000000
12M 2011,,,2291335810101.000000,113871418384.000000,1529991628590.000000,,,1529991628590.000000,105319628145.000000,,,105319628145.000000,1705189186310.000000,210415568777.000000,5956123240307.000000,,37532392018.000000,28382911213.000000,1860288483732.000000,233007450563.000000,,,159219635007.000000,2318430872533.000000,8274554112840.000000,,,1630588528518.000000,140056547003.000000,850398382129.000000,,,850398382129.000000,,198842540750.000000,3581179155.000000,202423719905.000000,283137947283.000000,,,,285388096.000000,,285388096.000000,,,154286544102.000000,1630588528518.000000,128030525896.000000,,9838821193.000000,364977932.000000,,,,,,,117826726771.000000,128030525896.000000,1758619054414.000000,,507800721100.000000,4441133136.000000,6407439270888.000000,62310754355.000000,6345128516533.000000,6407439270888.000000,301116927508.000000,-704862994206.000000,6515935058426.000000,8274554112840.000000,10156014422.000000
12M 2012,,,1859662706073.000000,,1805234960760.000000,,,1805234960760.000000,132920638689.000000,,,132920638689.000000,2115483766910.000000,528408471649.000000,6441710544081.000000,,48951431557.000000,56264133006.000000,2254763272886.000000,341173421136.000000,,,275094378292.000000,2976246636877.000000,9417957180958.000000,,,1891617853724.000000,204252407762.000000,,793161241733.000000,15703499800.000000,808864741533.000000,,286160154964.000000,4848295391.000000,291008450355.000000,361916843180.000000,195836997773.000000,,,293784270.000000,,293784270.000000,,,29444628851.000000,1891617853724.000000,154695712337.000000,,10932346121.000000,78356010.000000,,,,,,,143685010206.000000,154695712337.000000,2046313566061.000000,,507800721100.000000,-32317540678.000000,7250740056401.000000,77133124052.000000,7173606932349.000000,7250740056401.000000,317589378397.000000,-672169000323.000000,7371643614897.000000,9417957180958.000000,50780072110.000000
12M 2013,,,1426460966674.000000,,2145218904462.000000,,,2145218904462.000000,128159883954.000000,,,128159883954.000000,3053494513851.000000,743985182602.000000,7497319451543.000000,,42420010003.000000,72602976620.000000,2925546783050.000000,385267577327.000000,,,391904476483.000000,3817741823483.000000,11315061275026.000000,,,2640590023748.000000,583823955413.000000,,1123624060524.000000,28030519173.000000,1151654579697.000000,,373767266490.000000,5389417222.000000,379156683712.000000,314518392842.000000,186953727366.000000,,,91344366.000000,,91344366.000000,,,24391340352.000000,2640590023748.000000,174513285703.000000,,11931480758.000000,,,,,,,,162581804945.000000,174513285703.000000,2815103309451.000000,,468751221100.000000,-34118673814.000000,7633188370750.000000,94472405108.000000,7538715965642.000000,7633188370750.000000,391716444072.000000,40420603467.000000,8499957965575.000000,11315061275026.000000,46875122110.000000
12M 2014,,,1894609528205.000000,,2346943653265.000000,2325439969320.000000,21503683945.000000,2346943653265.000000,117957876451.000000,,,117957876451.000000,3090544151155.000000,670750161116.000000,8120805370192.000000,,24296002168.000000,79974909842.000000,3404457131056.000000,421707972435.000000,,,373790982036.000000,4304226997537.000000,12425032367729.000000,,,2385920172489.000000,251909102153.000000,,1100702542859.000000,32390276800.000000,1133092819659.000000,,422739416901.000000,,422739416901.000000,358667243424.000000,184590382675.000000,,,,,,,,34921207677.000000,2385920172489.000000,221636516794.000000,44219703964.000000,12978815942.000000,,,,,,,,164437996888.000000,221636516794.000000,2607556689283.000000,,468751221100.000000,-34118673814.000000,8900997960322.000000,113667488811.000000,8787330471511.000000,8900997960322.000000,435452514411.000000,46392656427.000000,9817475678446.000000,12425032367729.000000,46875122110.000000
12M 2015,,,2718619232764.000000,,2354779771919.000000,2337444304540.000000,17335467379.000000,2354779771919.000000,79301987108.000000,,,79301987108.000000,3003149535671.000000,592641081240.000000,8748491608702.000000,,45890342781.000000,106339190223.000000,3938494051483.000000,415279754800.000000,,,441922433450.000000,4947925772737.000000,13696417381439.000000,,,2365880490863.000000,266148059414.000000,,1024170082622.000000,44495441420.000000,1068665524042.000000,,391108233500.000000,,391108233500.000000,408242363125.000000,197459298266.000000,,,1829302253.000000,,1829302253.000000,,,32427710263.000000,2365880490863.000000,392250905307.000000,127727051924.000000,6602342000.000000,3205872747.000000,,,,,,,254715638636.000000,392250905307.000000,2758131396170.000000,,468751221100.000000,-34118673814.000000,10006397634607.000000,134314355465.000000,9872083279142.000000,10006397634607.000000,473163021379.000000,24092781997.000000,10938285985269.000000,13696417381439.000000,46875122110.000000
12M 2016,,,2895582003331.000000,,2631206429124.000000,2606612666119.000000,24593763005.000000,2631206429124.000000,94601152253.000000,91335763079.000000,3265389174.000000,94601152253.000000,3344404151105.000000,606736032084.000000,9572529767897.000000,,41781440332.000000,160215778533.000000,4555756101580.000000,400206315434.000000,,,495519806881.000000,5653479442760.000000,15226009210657.000000,,,2317161787100.000000,135186107287.000000,,1068305280044.000000,59001960214.000000,1127307240258.000000,,451213413753.000000,,451213413753.000000,368413556679.000000,180968069393.000000,,12208333333.000000,1298175503.000000,,13506508836.000000,,,40566890894.000000,2317161787100.000000,445000282472.000000,132240967009.000000,581578848.000000,2176009095.000000,,,9800000000.000000,,9800000000.000000,,300201727520.000000,445000282472.000000,2762162069572.000000,,468751221100.000000,-34118673814.000000,11415504887067.000000,154356725266.000000,11261148161801.000000,11415504887067.000000,554582433036.000000,59127273696.000000,12463847141085.000000,15226009210657.000000,46875122110.000000
12M 2017,,,2784705831122.000000,,2876417348634.000000,2851855047281.000000,24562301353.000000,2876417348634.000000,91275919806.000000,91081776623.000000,194143183.000000,91275919806.000000,3557496638218.000000,734054762798.000000,10043950500578.000000,,25475566035.000000,155865496386.000000,5342659713054.000000,419572828665.000000,,,628715311617.000000,6572288915757.000000,16616239416335.000000,,,2227336011715.000000,168774628237.000000,,1040508502669.000000,68042882218.000000,1108551384887.000000,,432571986284.000000,,432571986284.000000,289821941676.000000,190792898939.000000,,2666666667.000000,1947610904.000000,,4614277571.000000,,,32208894121.000000,2227336011715.000000,494871621931.000000,144338491229.000000,1264503262.000000,636618114.000000,,,9800000000.000000,,9800000000.000000,,338832009326.000000,494871621931.000000,2722207633646.000000,,468751221100.000000,-34118673814.000000,12787858134046.000000,177354070991.000000,12610504063055.000000,12787858134046.000000,613224307951.000000,58316793406.000000,13894031782689.000000,16616239416335.000000,46875122110.000000
