Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Ke Pemasok,Pembayaran Kas Ke Karyawan,Pembayaran Kas Untuk Pemasok Dan Karyawan,Penerimaan Tagihan Restitusi Pajak Penghasilan,Pembayaran Pajak Penghasilan,Pembayaran Untuk Beban Operasi Lainnya. Neto,Pembayaran Biaya Iklan. Pameran Dan Promosi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Investasi Jangka Pendek,Penerimaan Hasil Penjualan Investasi Pada Entitas Asosiasi,Penerimaan Hasil Penjualan Aset Keuangan Lancar Lainnya,Penerimaan Pendapatan Bunga,Penerimaan Hasil Penjualan Aset Tetap,Penerimaan Dividen Kas,Hasil Penjualan Investasi Jangka Panjang,Perolehan Aset Tetap,Penempatan Pada Aset Keuangan Lancar Lainnya,Penempatan Pada Aset Keuangan Tidak Lancar Lainnya,Perolehan Aset Hak Guna,Penjualan Saham Entitas Anak Ke Pihak Ketiga,Perolehan Saham Entitas Anak Dari Pihak Ketiga,Akusisi Entitas Anak,Penempatan Pada Investasi Jangka Pendek,Perolehan Aset Takberwujud,Penerimaan Dari ( Pembayaran Untuk ) Aktivitas Investasi Lainnya. Neto,Hasil Penjualan Investasi Pada Entitas Anak,Pembelian Dan Sewa Atas Lahan,Penempatan Investasi Pada Entitas Asosiasi,Pemberian Pinjaman Kepada Pihak Ketiga,Pemberiam Pinjaman Pada Entitas Asosiasi,Pembelian Saham Entiitas Anak Dari Pihak Non-Pengendali,Penerimaan Uang Muka Penjualan Investasi Jangka Panjang,Penambahan Investasi Pada Anak Perusahaan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Penerimaan Setoran Modal Saham Dari Kepentingan Non-Pengendali Entitas Anak,Pembayaran Utang Bank,Pembayaran Beban Bunga Dan Keuangan,Pembayaran Untuk Aktivitas Pendanaan Lainnya. Neto,Pembayaran Dana Pensiun,Penerimaan Dari Pinjaman Konversi,Penerimaan Pelunasan Pemberian Dari Entitas Asosiasi,Penerimaan Utang Obligasi,Pemberian Pinjaman Kepada Entitas Asosiasi,Pembayaran Utang Sewa Pembiayaan,Penerimaan Pinjaman Dari Pihak Ketiga,Pembayaran Dividen Kas :,Perusahaan,Entitas Anak,Total Pembayaran Dividen Kas :,Penerimaan Dari Aktifitas Pendanaan Lainnya. Neto,Pembayaran Liabilitas Sewa,Penerimaan Dari Penjualan Modal Treasuri,Pembayaran Saham Treasuri,Pembayaran Utang Aset Hak Guna,Pembayaran Obligasi,Pembelian Kembali Obligasi,Penarikan Kembali Saham,Perusahaan,Anak Perusahaan,Total Penarikan Kembali Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Ditambah :,Saldo Awal Tahun Kas Dan Setara Kas Milik Hale,Dikurangi Saldo Akhir Periode Kas Dan Setara Kas Dan Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2008,807700535344.000000,8599393140955.000000,,,-5830831596364.000000,8049202297.000000,-356142206993.000000,-1612768004551.000000,,807700535344.000000,-186224944190.000000,187963817622.000000,,,56492357164.000000,10172535153.000000,,,-305198137295.000000,,,,,,,-135870696543.000000,,215179709.000000,,,,,,,,,-186224944190.000000,-439699784338.000000,292853342945.000000,500000000.000000,-190681390174.000000,-55354893471.000000,,,,,,,-2526845665.000000,,,-96707694218.000000,-26731845186.000000,-123439539404.000000,,,,,,,-9851000000.000000,,-351199458569.000000,,-351199458569.000000,-439699784338.000000,181775806816.000000,23675684286.000000,1116346134197.000000,,,,1321797625299.000000
12M 2009,1363583440601.000000,9686123840590.000000,,,-6048673889076.000000,12928224377.000000,-389941951209.000000,-1896852784081.000000,,1363583440601.000000,-645440196892.000000,149516929663.000000,,,66981541962.000000,20331354930.000000,,,-277596519508.000000,,,,,-522124829650.000000,,-84443721852.000000,,631147163.000000,,,,,,,1263900400.000000,,-645440196892.000000,-390741702759.000000,2432741994739.000000,1036000000.000000,-2239498664386.000000,-48150013121.000000,,,,,,,-741355797.000000,,,-117234055275.000000,-34511737170.000000,-151745792445.000000,,,,,,-259319000000.000000,,,-119092608824.000000,-5972262925.000000,-125064871749.000000,-390741702759.000000,327401540950.000000,-86958582016.000000,1321797625299.000000,,423593175.000000,,1562664177408.000000
12M 2010,1253907863696.000000,11039919268228.000000,,,-6637307422355.000000,20723925034.000000,-435230559227.000000,-2734197347984.000000,,1253907863696.000000,-232133807946.000000,52000000000.000000,,,54977618234.000000,19642293246.000000,,115049212900.000000,-469775003400.000000,,,,,,,-4720275000.000000,,692346074.000000,,,,,,,,,-232133807946.000000,-574668046895.000000,676112994004.000000,11984202801.000000,-990657002290.000000,-20716334764.000000,,,,,,,-192221675.000000,,,-234375610551.000000,-18729940573.000000,-253105551124.000000,,,3121157136.000000,,,,,,,-1215290983.000000,-1215290983.000000,-574668046895.000000,447106008855.000000,-13156493737.000000,1559682224604.000000,,,-100316075825.000000,1893315663897.000000
12M 2011,1473495223306.000000,11692691590575.000000,,,-6666419098277.000000,5468734764.000000,-424641078879.000000,-3133604924877.000000,,1473495223306.000000,-630953593118.000000,125000000000.000000,,,99743128114.000000,22069554517.000000,,,-469105400047.000000,,,,,-172978048157.000000,,-233555498181.000000,,-2127329364.000000,,,,,,,,,-630953593118.000000,-406975292942.000000,579500805283.000000,49721581911.000000,-463734609433.000000,-14586783377.000000,,-414715912.000000,,,,,,,,-549527564394.000000,-7934007020.000000,-557461571414.000000,,,,,,,,,,,,-406975292942.000000,435566337246.000000,-39181141451.000000,1893315663897.000000,,,,2289700859692.000000
12M 2012,1376343990025.000000,14721985301073.000000,-8307373745172.000000,-1192359458460.000000,,20838271516.000000,-526395928795.000000,-3340350450137.000000,,1376343990025.000000,-914531718897.000000,,,145968396881.000000,74469005621.000000,24409656786.000000,,,-783478091342.000000,-270905474717.000000,,,,,-98589277885.000000,,,-6405934241.000000,,,,,,,,,-914531718897.000000,-921268618135.000000,261182689814.000000,,-229758630216.000000,-17206912832.000000,,-20373200475.000000,,,,,-278225748.000000,,,-890627320090.000000,-25415768588.000000,-916043088678.000000,1208750000.000000,,,,,,,,,,,-921268618135.000000,-459456347007.000000,-1229379680.000000,2289700859692.000000,,,,1829015133005.000000
12M 2013,927163654212.000000,17253943196843.000000,-9172211566710.000000,-1659792288250.000000,,5308496966.000000,-650904671554.000000,-4849179513083.000000,,927163654212.000000,-882146088037.000000,,,219262900420.000000,51517056069.000000,28053364909.000000,2117000000.000000,,-993929398633.000000,-153574337500.000000,,,,,,,,-35592673302.000000,,,,,,,,,-882146088037.000000,-613320636890.000000,1627390328387.000000,26504394870.000000,-1317770912697.000000,-25881719573.000000,,-22541928655.000000,,,,,-327347370.000000,,,-890627320090.000000,-10066131762.000000,-900693451852.000000,,,,,,,,,,,,-613320636890.000000,-568303070715.000000,95474047958.000000,1829015133005.000000,,,,1356186110248.000000
12M 2014,2316125821045.000000,18789636782075.000000,-8866136702216.000000,-1930247158969.000000,,10370282338.000000,-650088972907.000000,-5037408409276.000000,,2316125821045.000000,-676505875521.000000,,,166425803899.000000,61535428006.000000,40268489225.000000,528222042.000000,,-750705865640.000000,-166513567647.000000,,,,,,,,-28044385406.000000,,,,,,,,,-676505875521.000000,-1177272244029.000000,2137283946487.000000,4887332280.000000,-2430517702602.000000,-52947596310.000000,,-26355615090.000000,,,,,-91344366.000000,,,-796877075870.000000,-12654188558.000000,-809531264428.000000,,,,,,,,,,,,-1177272244029.000000,462347701495.000000,887720749.000000,1356186110248.000000,,,,1819421532492.000000
12M 2015,2456995428106.000000,19591104625300.000000,-9165898157510.000000,-2102625288722.000000,,11907066869.000000,-700482780347.000000,-5177010037484.000000,,2456995428106.000000,-801460782255.000000,,,248809394341.000000,80783970641.000000,16062916980.000000,8109.000000,,-903742633914.000000,-216799000000.000000,,,,,,,,-26575438412.000000,,,,,,,,,-801460782255.000000,-861498096667.000000,729937014771.000000,532674824.000000,-631364242764.000000,-24541106919.000000,,-29353895956.000000,,,,,,,,-890627320090.000000,-16081220533.000000,-906708540623.000000,,,,,,,,,,,,-861498096667.000000,794036549184.000000,44116782854.000000,1819421532492.000000,,,,2657574864530.000000
12M 2016,2159833281176.000000,20992766084488.000000,-9963536354184.000000,-2286813695656.000000,,20862019950.000000,-752684488364.000000,-5850760285058.000000,,2159833281176.000000,-1014922828804.000000,,,11499415320.000000,106332828963.000000,11889719365.000000,5012000.000000,,-1039051354604.000000,-22000000000.000000,-20050500000.000000,,,-3705741250.000000,,,,-59842208598.000000,,,,,,,,,-1014922828804.000000,-941395591980.000000,621937632769.000000,77675000000.000000,-714214638591.000000,-32783760014.000000,,,,,,,-1799803499.000000,9800000000.000000,,-890627320090.000000,-11382702555.000000,-902010022645.000000,,,,,,,,,,,,-941395591980.000000,203514860392.000000,-7184584812.000000,2657574864530.000000,,,,2853905140110.000000
12M 2017,2008316536066.000000,21749971834444.000000,-10313828848696.000000,-2445183497732.000000,,30905828919.000000,-782316500559.000000,-6231232280310.000000,,2008316536066.000000,-1113563321510.000000,,,,106714283722.000000,22728114639.000000,467506938.000000,,-1163835079101.000000,5500000000.000000,-13490500000.000000,,,,,,,-71647647708.000000,,,,,,,,,-1113563321510.000000,-976386871130.000000,591473571577.000000,34950000000.000000,-517631697145.000000,-35950288674.000000,,,,,,,-1437473403.000000,,,-1031252686420.000000,-16538297065.000000,-1047790983485.000000,,,,,,,,,,,,-976386871130.000000,-81633656574.000000,8659719349.000000,2853905140110.000000,,,,2780931202885.000000
