Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Penelitian Dan Pengembangan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,7877366385633.000000,-4073725872514.000000,3803640513119.000000,-2660928110598.000000,-2138018506030.000000,-450234993979.000000,-72674610589.000000,-2660928110598.000000,1142712402521.000000,35309449424.000000,54020602978.000000,6481675348.000000,42553538201.000000,-52045670252.000000,-15700696851.000000,35309449424.000000,1178021851945.000000,-352517218597.000000,-356433056594.000000,3915837997.000000,-352517218597.000000,825504633348.000000,-118682487158.000000,706822146190.000000,,,,,706822146190.000000,825504633348.000000,-118682487158.000000,706822146190.000000,,,,
12M 2009,9087347669804.000000,-4575407367444.000000,4511940302360.000000,-2946065607162.000000,-2348510905389.000000,-518793836610.000000,-78760865163.000000,-2946065607162.000000,1565874695198.000000,-94802500279.000000,65471863530.000000,15255329077.000000,-94920355285.000000,-53449204212.000000,-27160133389.000000,-94802500279.000000,1471072194919.000000,-421405078371.000000,-416782713956.000000,-4622364415.000000,-421405078371.000000,1049667116548.000000,-120663376210.000000,929003740338.000000,,,,,929003740338.000000,1049667116548.000000,-120663376210.000000,929003740338.000000,,,,
12M 2010,10226789206223.000000,-5060403621307.000000,5166385584916.000000,-3375481863538.000000,-2699582557897.000000,-580973135334.000000,-94926170307.000000,-3375481863538.000000,1790903721378.000000,-20469111943.000000,54977618234.000000,13083065728.000000,-23397515198.000000,-20716334764.000000,-44415945943.000000,-20469111943.000000,1770434609435.000000,-426635641013.000000,-429049461282.000000,2413820269.000000,-426635641013.000000,1343798968422.000000,-57468942410.000000,1286330026012.000000,,,,,1286330026012.000000,1343798968422.000000,-57468942410.000000,1286330026012.000000,,,,
12M 2011,10911860141523.000000,-5360686806582.000000,5551173334941.000000,-3583202094841.000000,-2905465910128.000000,-586524605026.000000,-91211579687.000000,-3583202094841.000000,1967971240100.000000,19288121568.000000,96933578727.000000,5730134350.000000,-12362082622.000000,-13172498498.000000,-57841010389.000000,19288121568.000000,1987259361668.000000,-464302541376.000000,-464883708409.000000,581167033.000000,-464302541376.000000,1522956820292.000000,,1522956820292.000000,16764490773.000000,16764490773.000000,16764490773.000000,1539721311065.000000,1522956820292.000000,1482236969778.000000,40719850514.000000,1522956820292.000000,1539721311065.000000,1498876920963.000000,40844390102.000000,1539721311065.000000
12M 2012,13636405178957.000000,-7102971372126.000000,6533433806831.000000,-4315673766244.000000,-3573502403790.000000,-651416535513.000000,-90754826941.000000,-4315673766244.000000,2217760040587.000000,90257051905.000000,74469005621.000000,18818935524.000000,19832825669.000000,-17513612249.000000,-5350102660.000000,90257051905.000000,2308017092492.000000,-532918244560.000000,,,-532918244560.000000,1775098847932.000000,,1775098847932.000000,-3064097361.000000,-3064097361.000000,-3064097361.000000,1772034750571.000000,1775098847932.000000,1733928105603.000000,41170742329.000000,1775098847932.000000,1772034750571.000000,1730864008242.000000,41170742329.000000,1772034750571.000000
12M 2013,16002131057048.000000,-8323017600990.000000,7679113456058.000000,-5130194525268.000000,-4230293635075.000000,-764512533499.000000,-135388356694.000000,-5130194525268.000000,2548918930790.000000,23603786441.000000,50425100828.000000,21202496859.000000,529460305.000000,-28642082811.000000,-19911188740.000000,23603786441.000000,2572522717231.000000,-602070267545.000000,,,-602070267545.000000,1970452449686.000000,,1970452449686.000000,33791245111.000000,33791245111.000000,33791245111.000000,2004243694797.000000,1970452449686.000000,1919508370312.000000,50944079374.000000,1970452449686.000000,2004243694797.000000,1952588559890.000000,51655134907.000000,2004243694797.000000
12M 2014,17368532547558.000000,-8892737389731.000000,8475795157827.000000,-5714750845629.000000,-4670393647550.000000,-901181791170.000000,-143175406909.000000,-5714750845629.000000,2761044312198.000000,2656235850.000000,63367657238.000000,,,-52009056900.000000,-8702364488.000000,2656235850.000000,2763700548048.000000,-642609966418.000000,,,-642609966418.000000,2121090581630.000000,,2121090581630.000000,8124868452.000000,8124868452.000000,8124868452.000000,2129215450082.000000,2121090581630.000000,2064686665442.000000,56403916188.000000,2121090581630.000000,2129215450082.000000,2072781310118.000000,56434139964.000000,2129215450082.000000
12M 2015,17887464223321.000000,-9295887287351.000000,8591576935970.000000,-5944773360511.000000,-4828392482465.000000,-953016118389.000000,-163364759657.000000,-5944773360511.000000,2646803575459.000000,74077669000.000000,101333519539.000000,,,-23918010816.000000,-3337839723.000000,74077669000.000000,2720881244459.000000,-663186962586.000000,,,-663186962586.000000,2057694281873.000000,,2057694281873.000000,25708619248.000000,25708619248.000000,25708619248.000000,2083402901121.000000,2057694281873.000000,2004236980127.000000,53457301746.000000,2057694281873.000000,2083402901121.000000,2029812883113.000000,53590018008.000000,2083402901121.000000
12M 2016,19374230957505.000000,-9886262652473.000000,9487968305032.000000,-6431319794862.000000,-5193013838459.000000,-1046592722481.000000,-191713233922.000000,-6431319794862.000000,3056648510170.000000,34539950060.000000,132333575576.000000,,,-28148525280.000000,-69645100236.000000,34539950060.000000,3091188460230.000000,-740303526679.000000,,,-740303526679.000000,2350884933551.000000,,2350884933551.000000,3039007136.000000,3039007136.000000,3039007136.000000,2353923940687.000000,2350884933551.000000,2299734572550.000000,51150361001.000000,2350884933551.000000,2353923940687.000000,2302751188880.000000,51172751807.000000,2353923940687.000000
12M 2017,20182120166616.000000,-10369836693616.000000,9812283473000.000000,-6598541635482.000000,-5217254463765.000000,-1141381509277.000000,-239905662440.000000,-6598541635482.000000,3213741837518.000000,27444888474.000000,134914292587.000000,,,-36391625753.000000,-71077778360.000000,27444888474.000000,3241186725992.000000,-787935315388.000000,,,-787935315388.000000,2453251410604.000000,,2453251410604.000000,-10306098226.000000,-10306098226.000000,-10306098226.000000,2442945312378.000000,2453251410604.000000,2403605933399.000000,49645477205.000000,2453251410604.000000,2442945312378.000000,2392807308460.000000,50138003918.000000,2442945312378.000000
