Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Adjustment,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,7986342432.000000,-4680970000.000000,3305372432.000000,-5225396178.000000,-1091541608.000000,-4133854570.000000,,-5225396178.000000,-1920023746.000000,-4198526851.000000,34677570.000000,-155277683.000000,,-4077926738.000000,-4198526851.000000,,-6118550597.000000,-620488453.000000,,-6739039050.000000,175000000.000000,,-6564039050.000000,,,-6564039050.000000,-6739039050.000000,175000000.000000,-6564039050.000000,,,,
12M 2009,12205193327.000000,-9176654591.000000,3028538736.000000,-4543130108.000000,-814571137.000000,-3728558971.000000,,-4543130108.000000,-1514591372.000000,748266823.000000,39835575.000000,-15751905.000000,-37096015.000000,761279168.000000,748266823.000000,,-766324549.000000,-299276079.000000,,-1065600628.000000,,,-1065600628.000000,,,-1065600628.000000,-1065600628.000000,,-1065600628.000000,,,,
12M 2010,11005548488.000000,-9407441334.000000,1598107154.000000,-2522869358.000000,-523223249.000000,-1999646109.000000,,-2522869358.000000,-924762204.000000,657534643.000000,52666448.000000,-44647882.000000,,649516077.000000,657534643.000000,,-267227561.000000,-272152251.000000,,-539379812.000000,,,-539379812.000000,,,-539379812.000000,-539379812.000000,,-539379812.000000,,,,
12M 2011,5058948712.000000,-4311608042.000000,747340670.000000,-2070951638.000000,-61014500.000000,-2009937138.000000,,-2070951638.000000,-1323610968.000000,-72262769.000000,21643259.000000,-5624735.000000,,-88281293.000000,-72262769.000000,,-1395873737.000000,-168797453.000000,,-1564671190.000000,,,-1564671190.000000,,-1564671190.000000,-1564671190.000000,-146451216.000000,-1418219974.000000,-1564671190.000000,-1564671190.000000,-146451216.000000,-1418219974.000000,-1564671190.000000
12M 2012,12215577426.000000,-8857507678.000000,3358069748.000000,-3609565031.000000,-1046527116.000000,-2563037915.000000,,-3609565031.000000,-251495283.000000,64835535.000000,54648254.000000,-7219058.000000,,17406339.000000,64835535.000000,,-186659748.000000,-490892217.000000,,-677551965.000000,,,-677551965.000000,,-677551965.000000,-677551965.000000,1109532576.000000,-1787084541.000000,-677551965.000000,-677551965.000000,1109532576.000000,-1787084541.000000,-677551965.000000
12M 2013,11126061498.000000,-8542677407.000000,2583384091.000000,-3467216309.000000,-825993364.000000,-2641222945.000000,,-3467216309.000000,-883832218.000000,-4848419633.000000,167097146.000000,-9452709.000000,,-5006064070.000000,-4848419633.000000,,-5732251851.000000,-539627519.000000,,-6271879370.000000,,,-6271879370.000000,,-6271879370.000000,-6271879370.000000,-6121437924.000000,-150441446.000000,-6271879370.000000,-6271879370.000000,-6121437924.000000,-150441446.000000,-6271879370.000000
12M 2014,144288515591.000000,-102337580723.000000,41950934868.000000,-15451100827.000000,-3703251571.000000,-11747849256.000000,,-15451100827.000000,26499834041.000000,-1815040476.000000,323505222.000000,-212953406.000000,,-1925592292.000000,-1815040476.000000,,24684793565.000000,-7211518228.000000,,17473275337.000000,,,17473275337.000000,,17473275337.000000,17473275338.000000,-9482295586.000000,26955570924.000000,17473275338.000000,17473275338.000000,-9482295586.000000,26955570924.000000,17473275338.000000
12M 2015,41671880826.000000,-21837585160.000000,19834295666.000000,-15855886437.000000,-401441000.000000,-15454445437.000000,,-15855886437.000000,3978409229.000000,-2670727582.000000,276978457.000000,-12959840.000000,,-2934746199.000000,-2670727582.000000,,1307681647.000000,-1961755439.000000,,-654073792.000000,,,-654073792.000000,341065109.000000,-313008683.000000,-654073792.000000,-654073792.000000,,-654073792.000000,-313008683.000000,-4348590051.000000,4035581368.000000,-313008683.000000
12M 2016,21545454546.000000,-15282248939.000000,6263205607.000000,-15629749427.000000,-1284149541.000000,-14345599886.000000,,-15629749427.000000,-9366543820.000000,17313126813.000000,249831268.000000,-11132154.000000,,17074427699.000000,17313126813.000000,,7946582993.000000,-4806654773.000000,,3139928220.000000,,,3139928220.000000,252743036.000000,3392671256.000000,3139928220.000000,3139928220.000000,,3139928220.000000,3392671256.000000,4795335635.000000,-1402664379.000000,3392671256.000000
12M 2017,6000000000.000000,-2268076200.000000,3731923800.000000,-13389161063.000000,,-13389161063.000000,,-13389161063.000000,-9657237263.000000,-3587441802.000000,,,,-3587441802.000000,-3587441802.000000,,-13244679065.000000,-150000000.000000,,-13394679065.000000,,,-13394679065.000000,-297705697.000000,-13692384762.000000,-13394679065.000000,-13394679065.000000,,-13394679065.000000,-13692384762.000000,-11492309380.000000,-2200075382.000000,-13692384762.000000
12M 2018,8510693983.000000,-2777389809.000000,5733304174.000000,-10314800719.000000,,-10314800719.000000,,-10314800719.000000,-4581496545.000000,-2347801066.000000,,,,-2347801066.000000,-2347801066.000000,,-6929297611.000000,-212767350.000000,,-7142064961.000000,,,-7142064961.000000,1070305826.000000,-6071759135.000000,-7142064961.000000,-7142064961.000000,,-7142064961.000000,-6071759135.000000,-6071759135.000000,,-6071759135.000000
12M 2019,6844216933.000000,-6268986572.000000,575230361.000000,-7663419321.000000,,-7663419321.000000,,-7663419321.000000,-7088188960.000000,-1614327139.000000,,,,-1614327139.000000,-1614327139.000000,,-8702516099.000000,-171105424.000000,,-8873621523.000000,,,-8873621523.000000,1677916086.000000,-7195705437.000000,-8873621523.000000,-7156026025.000000,-1717595498.000000,-8873621523.000000,-7195705437.000000,-5899195639.000000,-1296509798.000000,-7195705437.000000
12M 2020,2000000000.000000,-647345976.000000,1352654024.000000,-4193242289.000000,,-4193242289.000000,,-4193242289.000000,-2840588265.000000,-54572324.000000,,,,-54572324.000000,-54572324.000000,,-2895160589.000000,-50000000.000000,,-2945160589.000000,,,-2945160589.000000,1193195975.000000,-1751964614.000000,-2945160589.000000,-2777280836.000000,-167879753.000000,-2945160589.000000,-1751964614.000000,-1795480124.000000,43515510.000000,-1751964614.000000
