Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Kontraktor Dan Pemasok,Karyawan Dan Pihak-Pihak Lainnya,Total Pembayaran Kas Kepada:,Pembayaran Beban Usaha Dan Operasi Lainnya,Pembayaran Beban Bunga Dan Keuangan Lainnya,Penghasilan Bunga,Penghasilan (Pembayaran) Lainnya,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penjualan Investasi Sementara,Penambahan Investasi Pada Anak Perusahaan Dan Akuisisi Pinjaman,Aset Lain-Lain,Pekerjaan Dalam Pelaksanaan,Penyertaan Ke Perusahaan Afiliasi,Pembayaran Uang Muka Pembelian Tanah,Pembelian Tanah,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham Pada Entitas Anak,Kenaikan (Penurunan) Utang Pihak Berelasi,Pembayaran Utang Hubungan Istimewa,Kenaikan (Penurunan) Utang Lain-Lain - Pihak Ketiga,Penurunan (Kenaikan) Piutang Pihak Berelasi,Penurunan Dana Yang Dibatasi Penggunaannya,Pembayaran Utang Bank,Penerimaan Pinjaman Kepada Pihak Ketiga,Aset Pengampunan Pajak,Pembayaran Pinjaman Kepada Pihak Ketiga,Penerimaan Pinjaman Lainnya,Pembayaran Utang/Piutang Hubungan Istimewa,Penambahan Tambahan Modal,Pembayaran Deviden Kas,Pembayaran Biaya Emisi,Perolehan Atas Saham,Modal Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,185957193.000000,11195744279.000000,,-6425417850.000000,-2151382254.000000,-8576800104.000000,-1329967395.000000,-117593321.000000,34677570.000000,,-1020103836.000000,185957193.000000,-89060104462.000000,,-512154462.000000,12952050000.000000,-19500000000.000000,,,,-82000000000.000000,,-89060104462.000000,88656656714.000000,70375000000.000000,2212173767.000000,,2173364255.000000,-3198562500.000000,,,,,-539266000.000000,,,19001250000.000000,-191274400.000000,-1176028408.000000,,,88656656714.000000,-217490555.000000,1273448438.000000,1055957883.000000
12M 2009,-202514541.000000,12773799787.000000,,-3687328682.000000,-1563976902.000000,-5251305584.000000,-5953142156.000000,-1785792163.000000,39835575.000000,,-25910000.000000,-202514541.000000,105513360.000000,108413360.000000,-2900000.000000,,,,,,,,105513360.000000,258626105.000000,,-500000.000000,,-1378818455.000000,1432764000.000000,,,5600000000.000000,,-5394819440.000000,,,,,,,,258626105.000000,161624924.000000,1055957883.000000,1217582807.000000
12M 2010,8436750291.000000,16880505188.000000,,-6355910873.000000,-1159595476.000000,-7515506349.000000,-669657586.000000,-44647882.000000,52666448.000000,,-266609528.000000,8436750291.000000,-4216000.000000,,-4216000.000000,,,,,,,,-4216000.000000,-8906594413.000000,,,,-4033710623.000000,696273000.000000,,,,,-5569156790.000000,,,,,,,,-8906594413.000000,-474060122.000000,1217582807.000000,743522685.000000
12M 2011,-57106418.000000,4605289317.000000,,-2414117151.000000,-1289450846.000000,-3703567997.000000,-806048808.000000,-5624735.000000,21643258.000000,,-168797453.000000,-57106418.000000,-12731950.000000,,-12731950.000000,,,,,,,,-12731950.000000,132406470.000000,,,,132406470.000000,,,,,,,,,,,,,,132406470.000000,62568102.000000,743522685.000000,806090787.000000
12M 2012,5141742322.000000,16656610330.000000,,-5081333325.000000,-1638493785.000000,-6719827110.000000,-4072669024.000000,-7219058.000000,54648254.000000,,-769801070.000000,5141742322.000000,-5130000.000000,,-5130000.000000,,,,,,,,-5130000.000000,-938383841.000000,750000000.000000,,,,-1597400000.000000,,-90983841.000000,,,,,,,,,,,-938383841.000000,4198228481.000000,806090787.000000,5004319268.000000
12M 2013,-672353679705.000000,19099877845.000000,,-679447572513.000000,-2115916206.000000,-681563488719.000000,-9229176897.000000,-9452710.000000,167097146.000000,,-818536370.000000,-672353679705.000000,-798824750000.000000,1180000000.000000,-4750000.000000,,,,,,-800000000000.000000,,-798824750000.000000,1467443142630.000000,,,,,-7368902949.000000,,-801805671.000000,,,,,,1475613851250.000000,,,,,1467443142630.000000,-3735287075.000000,5004319268.000000,1269032193.000000
12M 2014,48080717087.000000,101778958545.000000,,-55790880512.000000,-3827180000.000000,-59618060512.000000,5890001615.000000,-204162146.000000,323505222.000000,,-89525637.000000,48080717087.000000,-64127000.000000,,-64127000.000000,,,,,,,,-64127000.000000,-45295839813.000000,,,,,-33246168853.000000,,,,,,,,329040.000000,-12050000000.000000,,,,-45295839813.000000,2720750274.000000,3374677735.000000,6095428009.000000
12M 2015,-27309679585.000000,44134863558.000000,,-23275929567.000000,-7940751250.000000,-31216680817.000000,-31178582479.000000,-10319262.000000,276978457.000000,,-9315939042.000000,-27309679585.000000,32122623.000000,,-113898501.000000,,,146021124.000000,,,,,32122623.000000,23030184283.000000,,,,,23030184283.000000,,,,,,,,,,,,,23030184283.000000,-4247372679.000000,6095428008.000000,1848055329.000000
12M 2016,27337908363.000000,7990909091.000000,,-145391043375.000000,-8176873675.000000,-153567917050.000000,144653720121.000000,,249831268.000000,30000000000.000000,-1988635067.000000,27337908363.000000,-55424506.000000,,,,,-55424506.000000,,,,,-55424506.000000,-27373156678.000000,,,,,-27373156678.000000,,,,,,,,,,,,,-27373156678.000000,-90672821.000000,1848055330.000000,1757382509.000000
12M 2017,-12277002342.000000,720000000.000000,,-287064239.000000,-6499062096.000000,-6786126335.000000,-6295907639.000000,,222505269.000000,,-137473637.000000,-12277002342.000000,,,,,,,,,,,,11322320000.000000,,,,,11322320000.000000,,,,,,,,,,,,,11322320000.000000,-954682342.000000,1757382509.000000,802700167.000000
12M 2018,1345937118.000000,13073000000.000000,,-540150000.000000,-5122200000.000000,-5662350000.000000,-3540299090.000000,,202588648.000000,,-2727002440.000000,1345937118.000000,-6447756393.000000,,,,,,-6447756393.000000,,,,-6447756393.000000,5748274816.000000,,,,,5398274816.000000,,,,350000000.000000,,,,,,,,,5748274816.000000,646455541.000000,802700167.000000,1449155708.000000
12M 2019,-6769678271.000000,13798750000.000000,,-5180361316.000000,-3398950000.000000,-8579311316.000000,-11899483524.000000,,170312422.000000,,-259945853.000000,-6769678271.000000,,,,,,,,,,,,5992476972.000000,,,,,-900000000.000000,6892476972.000000,,,,,,,,,,,,5992476972.000000,-777201299.000000,1449155708.000000,671954409.000000
12M 2020,116677920.000000,4073689875.000000,,-415000000.000000,-784315000.000000,-1199315000.000000,-1573729490.000000,,2056459.000000,,-1186023924.000000,116677920.000000,,,,,,,,,,,,-199200000.000000,,,,,-199200000.000000,,,,,,,,,,,,,-199200000.000000,-82522080.000000,671954409.000000,589432329.000000
