Period,Total Pendapatan,Pendapatan Sewa Pembiayaan,Pendapatan Sewa Aset Imbt,Pendapatan Pembiayaan Konsumen,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Anjak Piutang,Pendapatan Divestasi Entitas Anak Dan Perusahaan Asosiasi,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Pokok Penjualan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,29346911975.000000,14238410060.000000,11380926881.000000,3548495867.000000,,179079167.000000,,,29346911975.000000,,,,29346911975.000000,-31581977403.000000,-31581977403.000000,,-31581977403.000000,-2235065428.000000,-13671278410.000000,7348737331.000000,558977378.000000,-1082167798.000000,-21944797938.000000,1447972617.000000,-13671278410.000000,-15906343838.000000,3734752873.000000,,3734752873.000000,3734752873.000000,-12171590965.000000,,-12171590965.000000,-199422106.000000,-199422106.000000,-199422106.000000,-12371013071.000000,-12171590965.000000,-12204306842.000000,32715877.000000,-12171590965.000000,-12371013071.000000,-12403409557.000000,32396486.000000,-12371013071.000000
12M 2012,32863794603.000000,7209630736.000000,24320790333.000000,1143058180.000000,,190315354.000000,,,32863794603.000000,,,,32863794603.000000,-42886682038.000000,-42886682038.000000,,-42886682038.000000,-10022887435.000000,-30418013137.000000,6826176559.000000,596759462.000000,4184418170.000000,-39175904633.000000,-2849462695.000000,-30418013137.000000,-40440900572.000000,2822712549.000000,-247802722.000000,3070515271.000000,2822712549.000000,-37618188023.000000,,-37618188023.000000,-227520987.000000,-227520987.000000,-227520987.000000,-37845709010.000000,-37618188023.000000,-37095341652.000000,-522846371.000000,-37618188023.000000,-37845709010.000000,-37322862639.000000,-522846371.000000,-37845709010.000000
12M 2013,386214615690.000000,4103553772.000000,32455859030.000000,86272910.000000,199999999.000000,54643980.000000,349290473835.000000,23812164.000000,386214615690.000000,,,,386214615690.000000,-54955038500.000000,-54955038500.000000,,-54955038500.000000,331259577190.000000,-135334534468.000000,9335963797.000000,54848565202.000000,,-40952876720.000000,-158566186747.000000,-135334534468.000000,195925042722.000000,14119663641.000000,-28753095054.000000,42872758695.000000,14119663641.000000,210044706363.000000,,210044706363.000000,-2657929114.000000,-2657929114.000000,-2657929114.000000,207386777249.000000,210044706363.000000,210178316847.000000,-133610484.000000,210044706363.000000,207386777249.000000,207520387733.000000,-133610484.000000,207386777249.000000
12M 2014,,,,,,,,,,,,,,-7900525752.000000,-7900525752.000000,,-7900525752.000000,-7900525752.000000,-1514420029222.000000,64157996248.000000,85003158780.000000,,-62918949110.000000,-1600662235140.000000,-1514420029222.000000,-1522320554974.000000,-50278032933.000000,,-50278032933.000000,-50278032933.000000,-1572598587907.000000,1005934252.000000,-1571592653655.000000,10655728259.000000,10655728259.000000,10655728259.000000,-1560936925396.000000,-1571592653655.000000,-1571233443156.000000,-359210499.000000,-1571592653655.000000,-1560936925396.000000,-1560577714897.000000,-359210499.000000,-1560936925396.000000
12M 2015,,,,,,,,,,,,,,-10455673815.000000,-10455673815.000000,,-10455673815.000000,-10455673815.000000,-240629493773.000000,17405568993.000000,13126374069.000000,-73663437991.000000,-21520054201.000000,-175977944643.000000,-240629493773.000000,-251085167588.000000,99673161.000000,,99673161.000000,99673161.000000,-250985494427.000000,856979072.000000,-250128515355.000000,-540490705.000000,-540490705.000000,-540490705.000000,-250669006060.000000,-250128515355.000000,-249890687429.000000,-237827926.000000,-250128515355.000000,-250669006060.000000,-250461867660.000000,-207138400.000000,-250669006060.000000
12M 2016,,,,,,,,,,,,,,-6805642559.000000,-6805642559.000000,,-6805642559.000000,-6805642559.000000,-1203167325134.000000,9682453774.000000,-10974837138.000000,,-8957823388.000000,-1192917118382.000000,-1203167325134.000000,-1209972967693.000000,-1715087060.000000,,-1715087060.000000,-1715087060.000000,-1211688054753.000000,,-1211688054753.000000,1546830195.000000,1546830195.000000,1546830195.000000,-1210141224558.000000,-1211688054753.000000,-1207952962089.000000,-3735092664.000000,-1211688054753.000000,-1210141224558.000000,-1206406226433.000000,-3734998125.000000,-1210141224558.000000
12M 2017,458818932934.000000,,,,,,,,458818932934.000000,-409238526981.000000,-409238526981.000000,-409238526981.000000,49580405953.000000,-25343327354.000000,-20451983952.000000,-4891343402.000000,-25343327354.000000,24237078599.000000,-6295492588.000000,,568580563.000000,,-11081482667.000000,4217409516.000000,-6295492588.000000,17941586011.000000,-3612521362.000000,-3657494339.000000,44972977.000000,-3612521362.000000,14329064649.000000,,14329064649.000000,851600816.000000,851600816.000000,851600816.000000,15180665465.000000,14329064649.000000,14412261048.000000,-83196399.000000,14329064649.000000,15180665465.000000,15263234726.000000,-82569261.000000,15180665465.000000
12M 2018,576369073153.000000,,,,,,,,576369073153.000000,-526254368544.000000,-526254368544.000000,-526254368544.000000,50114704609.000000,-58317399654.000000,-42461312856.000000,-15856086798.000000,-58317399654.000000,-8202695045.000000,19982635902.000000,,34231832582.000000,,-12076493347.000000,-2172703333.000000,19982635902.000000,11779940857.000000,-3043318328.000000,-3077102501.000000,33784173.000000,-3043318328.000000,8736622529.000000,5117227768.000000,13853850297.000000,-194071757.000000,-194071757.000000,-194071757.000000,13659778540.000000,13853850297.000000,13625816649.000000,228033648.000000,13853850297.000000,13659778540.000000,13431744892.000000,228033648.000000,13659778540.000000
12M 2019,856238894543.000000,,,,,,,,856238894543.000000,-807980378018.000000,-807980378018.000000,-807980378018.000000,48258516525.000000,-49000176766.000000,-35844142138.000000,-13156034628.000000,-49000176766.000000,-741660241.000000,18744009568.000000,,28993439084.000000,,-242146536.000000,-10007282980.000000,18744009568.000000,18002349327.000000,-5525229556.000000,-5561160396.000000,35930840.000000,-5525229556.000000,12477119771.000000,-491739238.000000,11985380533.000000,2116292655.000000,2116292655.000000,2116292655.000000,14101673188.000000,11985380533.000000,11931002152.000000,54378381.000000,11985380533.000000,14101673188.000000,14047294807.000000,54378381.000000,14101673188.000000
12M 2020,761272388424.000000,,,,,,,,761272388424.000000,-710749771875.000000,-710749771875.000000,-710749771875.000000,50522616549.000000,-48187953076.000000,-27460847326.000000,-20727105750.000000,-48187953076.000000,2334663473.000000,-30050345791.000000,,-4463000001.000000,,-362092992.000000,-25225252798.000000,-30050345791.000000,-27715682318.000000,-5248272647.000000,-5739999180.000000,491726533.000000,-5248272647.000000,-32963954965.000000,-889180799.000000,-33853135764.000000,917877127.000000,917877127.000000,917877127.000000,-32935258637.000000,-33853135764.000000,-33536428378.000000,-316707386.000000,-33853135764.000000,-32935258637.000000,-32618551251.000000,-316707386.000000,-32935258637.000000
