Period,Aset,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Pembiayaan Konsumen,Piutang Usaha,Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Persediaan,Aset Tetap,Aset Eksplorasi Dan Evaluasi,Goodwill,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Pinjaman Yang Diterima,Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Utang Pembiayaan Konsumen,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Others,Total Modal Saham,Tambahan Modal Disetor,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,11014495865.000000,,18339408190.000000,,181421003535.000000,1571132380.000000,,2375170699.000000,79250024213.000000,48212020687.000000,3444958099.000000,177858353402.000000,523486567070.000000,,,105469707526.000000,15089711160.000000,5020028936.000000,12585333664.000000,232623204529.000000,,,1804943437.000000,372592929252.000000,,2136538303500.000000,,2136538303500.000000,14595096600.000000,1699627756.000000,-2001939390038.000000,150893637818.000000,523486567070.000000,801618869.000000
12M 2011,,7750788165.000000,,9867580735.000000,,248789442711.000000,488964583.000000,2200317097.000000,,112431551096.000000,48212020687.000000,7402180305.000000,205959272672.000000,643102118051.000000,,,381262508266.000000,18779287308.000000,8871650545.000000,30262080265.000000,62970968896.000000,,,4641060290.000000,506787555570.000000,,2136538303500.000000,,2136538303500.000000,14595096600.000000,1548493822.000000,-2016367331441.000000,136314562481.000000,643102118051.000000,4008094345.000000
12M 2012,,28641184812.000000,,745059888.000000,,252922635403.000000,4673382752.000000,1491739148.000000,1228259109.000000,138382478569.000000,48212020687.000000,10785559116.000000,270364357294.000000,757446676778.000000,,,212426396571.000000,44525549617.000000,11743164638.000000,36229613144.000000,345341242105.000000,,933208702.000000,5883215206.000000,657082389983.000000,,2136538303500.000000,,2136538303500.000000,14595096600.000000,918359656.000000,-2051687472961.000000,100364286795.000000,757446676778.000000,4008094345.000000
12M 2013,,4844942599.000000,,88459710.000000,,149188116030.000000,,,1555328307.000000,86698478559.000000,43039000934.000000,52420267667.000000,480265695169.000000,818100288975.000000,,,190215887980.000000,24535141306.000000,12226614758.000000,43269965859.000000,233830367761.000000,,955007401.000000,5736588954.000000,510769574019.000000,,2136538303500.000000,,2136538303500.000000,14595096600.000000,364400084.000000,-1844167085228.000000,307330714956.000000,818100288975.000000,4008094345.000000
12M 2014,,11756581347.000000,1292390945631.000000,,,190990407692.000000,784702299719.000000,,25248917.000000,94595956550.000000,455981165631.000000,2141027882.000000,239211712599.000000,3071795345968.000000,,,,16031757690.000000,12026270649.000000,46353486467.000000,1386340623187.000000,,,168924793676.000000,1629676931669.000000,,4919937154200.000000,,4919937154200.000000,-73079129361.000000,5189585.000000,-3404744800125.000000,1442118414299.000000,3071795345968.000000,31842082852.000000
12M 2015,,127783940.000000,271061479633.000000,,,44742426817.000000,711038861728.000000,,14334375.000000,135822367029.000000,300452280221.000000,1793057785.000000,197781346208.000000,1662833937736.000000,,,,30320067204.000000,16023739357.000000,64088450719.000000,213005756396.000000,,,147541843643.000000,470979857319.000000,,4919937154200.000000,4919937154200.000000,4919937154200.000000,-73079129361.000000,-199843530.000000,-3654804100892.000000,1191854080417.000000,1662833937736.000000,31842082852.000000
12M 2016,,74991681.000000,267066225103.000000,,,37828413086.000000,,,8600625.000000,,,76334911.000000,3009375634.000000,308063941040.000000,,,,29907929723.000000,35085645460.000000,76913764600.000000,186916086329.000000,,,244514097.000000,329067940209.000000,,4919937154200.000000,4919937154200.000000,4919937154200.000000,-73079129361.000000,-6651696694.000000,-4861210327325.000000,-21003999180.000000,308063941029.000000,31842082852.000000
12M 2017,,4101529373.000000,202454581917.000000,,101873996328.000000,340909808340.000000,,,15704977956.000000,,53143384813.000000,34063484650.000000,18790933748.000000,771042697125.000000,,,,353307179217.000000,16094278681.000000,78289937941.000000,323357325919.000000,810739416.000000,,1105950858.000000,772965412032.000000,,4919937154200.000000,4919937154200.000000,4919937154200.000000,-72429129361.000000,-6455872514.000000,-4842974867232.000000,-1922714907.000000,771042697125.000000,31842082852.000000
12M 2018,,8744840077.000000,27676863287.000000,,91730879208.000000,678074442297.000000,,,15023781729.000000,,53143384813.000000,36312928365.000000,215514505443.000000,1126221625219.000000,,,,356103794801.000000,16314245507.000000,75285488401.000000,333604598650.000000,,,344986466228.000000,1126294593587.000000,,4919937154200.000000,4919937154200.000000,4919937154200.000000,-72429129361.000000,-6451376503.000000,-4841129616704.000000,-72968368.000000,1126221625219.000000,31842082852.000000
12M 2019,,14763845546.000000,218131460663.000000,,47045585230.000000,416452938825.000000,,,5764431331.000000,,53143384813.000000,34894177591.000000,25668885201.000000,815864709200.000000,,,,338288270779.000000,21100243954.000000,77874569824.000000,220999353914.000000,,,143573565909.000000,801836004380.000000,,4919937154200.000000,4919937154200.000000,4919937154200.000000,-72429129361.000000,-6396998122.000000,-4827082321897.000000,14028704820.000000,815864709200.000000,31842082852.000000
12M 2020,,14053298680.000000,220204301337.000000,,55140225141.000000,327858484047.000000,,,7095724126.000000,,53143384813.000000,35880031005.000000,11234719748.000000,724610168897.000000,,,,378011082690.000000,7339443130.000000,73718304419.000000,136863474050.000000,,,147584418425.000000,743516722714.000000,,4919937154200.000000,4919937154200.000000,4919937154200.000000,-72429129361.000000,-6713705508.000000,-4859700873148.000000,-18906553817.000000,724610168897.000000,31842082852.000000
12M 2021,,5037493745.000000,223575363270.000000,,57268803870.000000,347294659225.000000,,,7981914309.000000,,53143384813.000000,34729033720.000000,8004320237.000000,737034973189.000000,,,,395282831515.000000,4494211783.000000,74035386531.000000,140239319672.000000,,,149172370998.000000,763224120499.000000,,4919937154200.000000,4919937154200.000000,4919937154200.000000,-72429129361.000000,-6784972619.000000,-4866912199529.000000,-26189147309.000000,737034973190.000000,31842082852.000000
12M 2022,,9244801639.000000,7099396067.000000,,35989280046.000000,439576219545.000000,,,6302334206.000000,,,40854114895.000000,10115960271.000000,549182106669.000000,,,,483458757587.000000,6178196681.000000,79744801307.000000,154614999715.000000,,,203575782282.000000,927572537572.000000,,4919937154200.000000,4919937154200.000000,4919937154200.000000,-72429129361.000000,-7732869825.000000,-5218165585917.000000,-378390430903.000000,549182106669.000000,31842082852.000000
12M 2023,,10259370977.000000,,,43331198466.000000,391595433188.000000,,,3492815266.000000,,,39645419696.000000,17107631134.000000,505431868727.000000,,,,465110915594.000000,1751062008.000000,84190709301.000000,156431476893.000000,,,202847032215.000000,910331196011.000000,,4919937154200.000000,4919937154200.000000,4919937154200.000000,-72429129361.000000,-7818248437.000000,-5244589103686.000000,-404899327284.000000,505431868727.000000,31842082852.000000
