Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,1174124548.000000,-673456187.000000,,-353841591.000000,-67339017.000000,-286502574.000000,-353841591.000000,146826770.000000,3224095.000000,,1559370.000000,,1664725.000000,3224095.000000,150050865.000000,-5870623.000000,,144180242.000000,,144180242.000000,144180242.000000,144180242.000000,,144180242.000000,144180242.000000,144180242.000000,,144180242.000000
12M 2021,22120710071.000000,-10777651700.000000,,-5354007045.000000,-36384149.000000,-5317622896.000000,-5354007045.000000,5989051326.000000,390409050.000000,28250000.000000,75264983.000000,-15545724.000000,302439791.000000,390409050.000000,6379460376.000000,-844932527.000000,-1573535241.000000,3960992608.000000,-22938657.000000,3938053951.000000,3960992608.000000,3950287047.000000,10705561.000000,3960992608.000000,3938053951.000000,3927389012.000000,10664939.000000,3938053951.000000
12M 2022,26693281182.000000,-13533923196.000000,,-8439757267.000000,-344644032.000000,-8095113235.000000,-8439757267.000000,4719600719.000000,855536942.000000,-2691674.000000,396101218.000000,-13691066.000000,475818464.000000,855536942.000000,5575137661.000000,-798411945.000000,,4776725716.000000,-21757026.000000,4754968690.000000,4776725716.000000,4766583634.000000,10142082.000000,4776725716.000000,4754968690.000000,4744944896.000000,10023794.000000,4754968690.000000
12M 2023,33147408581.000000,-19688973906.000000,,-8551054771.000000,-263542768.000000,-8287512003.000000,-8551054771.000000,4907379904.000000,487480099.000000,70160.000000,248637609.000000,20227.000000,238752103.000000,487480099.000000,5394860003.000000,-936502847.000000,,4458357156.000000,91826403.000000,4550183559.000000,4458357156.000000,4453333182.000000,5023974.000000,4458357156.000000,4550183559.000000,4545049187.000000,5134372.000000,4550183559.000000
12M 2024,35229995282.000000,-21288160422.000000,,-8903742327.000000,-141567964.000000,-8762174363.000000,-8903742327.000000,5038092533.000000,214778311.000000,28801633.000000,300826758.000000,31160608.000000,-146010688.000000,214778311.000000,5252870844.000000,-959506641.000000,,4293364203.000000,299401634.000000,4592765837.000000,4293364203.000000,4289375690.000000,3988513.000000,4293364203.000000,4592765837.000000,4588413840.000000,4351997.000000,4592765837.000000
