Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan (Pembayaran) Lainnya,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Investasi Saham,Perolehan Aset Tetap,Penempatan Investasi Jangka Pendek,Hasil Penjualan Investasi Jangka Pendek,Hasil Penjualan Investasi Saham,Pembayaran Kepada Pemegang Saham Entitas Anak,Penambahan Aset Tidak Berwujud,Pembayaran Uang Muka Pembelian Aset Takberwujud,Pembayaran Uang Muka Investasi,Hasil Penjualan Aset Tetap,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Saham Melalui Penawaran Umum Saham Perdana,Penerimaan Dari Penerbitan Modal Saham,Pembayaran Biaya Emisi Saham,Perolehan Utang Bank,Pembayaran Utang Bank,Perolehan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Pembayaran Bunga,Pengurangan Kepentingan Nonpengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Saldo Kas Dan Bank Entitas Anak Pada Saat Kombinasi Bisnis,Kas Dan Setara Kas Akhir Periode
12M 2020,249434320.000000,1174124548.000000,-551250643.000000,-364091898.000000,-4096630.000000,-5251057.000000,249434320.000000,-21267130.000000,,-22826500.000000,,,,,,,,,1559370.000000,-21267130.000000,,,,,,,,,,,,,,228167190.000000,526227983.000000,,754395173.000000
12M 2021,2761510063.000000,14660022521.000000,-3946877470.000000,-7823177421.000000,143693755.000000,-272151322.000000,2761510063.000000,-4788083632.000000,-1075000000.000000,-1228485633.000000,-2506500000.000000,,350000000.000000,-320000000.000000,-193486343.000000,,,117000000.000000,68388344.000000,-4788083632.000000,34355578064.000000,29190000000.000000,7616058800.000000,-1944980736.000000,,,,,-505500000.000000,,,,34355578064.000000,32329004495.000000,754395173.000000,3022896627.000000,36106296295.000000
12M 2022,3333042649.000000,23849590306.000000,-7097301500.000000,-11903640617.000000,-45860315.000000,-1469745225.000000,3333042649.000000,-10930903719.000000,-398000000.000000,-3896953307.000000,-4607875000.000000,2570950224.000000,150000000.000000,,-4402126854.000000,-750000000.000000,,7000000.000000,396101218.000000,-10930903719.000000,-1432500000.000000,,,,,,,,-390000000.000000,-1042500000.000000,,,-1432500000.000000,-9030361070.000000,36106296295.000000,,27075935225.000000
12M 2023,146868129.000000,27773290357.000000,-12130148630.000000,-14062438137.000000,-178739907.000000,-1255095554.000000,146868129.000000,-6402677043.000000,-320700000.000000,-8630977939.000000,-3802500000.000000,6702212816.000000,,,-230000000.000000,-370000000.000000,,841900.000000,248446180.000000,-6402677043.000000,-4636000000.000000,,,,,,,,-466000000.000000,-4170000000.000000,,,-4636000000.000000,-10891808914.000000,27075935225.000000,,16184126311.000000
12M 2024,802284112.000000,28453228344.000000,-12459117989.000000,-13120940698.000000,-1224211124.000000,-846674421.000000,802284112.000000,-7647712421.000000,-75000000.000000,-2101162042.000000,-7548315540.000000,1253587500.000000,600000000.000000,,-93500297.000000,-121800000.000000,-157348800.000000,295000000.000000,300826758.000000,-7647712421.000000,1880433029.000000,,,,4400000000.000000,-2903567629.000000,2200000000.000000,-26190476.000000,-516000000.000000,-1042500000.000000,-231308866.000000,,1880433029.000000,-4964995280.000000,16184126311.000000,,11219131031.000000
