Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Wesel Bayar,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,169621000000.000000,541560000000.000000,35379000000.000000,506181000000.000000,541560000000.000000,128054000000.000000,12397000000.000000,115657000000.000000,128054000000.000000,1399407000000.000000,818466000000.000000,3057108000000.000000,,,736490000000.000000,736490000000.000000,,736490000000.000000,184912000000.000000,296371000000.000000,3618630000000.000000,,820048000000.000000,5656451000000.000000,8713559000000.000000,,,2071221000000.000000,33693000000.000000,,145060000000.000000,1134833000000.000000,1279893000000.000000,,,65512000000.000000,65512000000.000000,21961000000.000000,310490000000.000000,,11700000000.000000,,,,11700000000.000000,347972000000.000000,2071221000000.000000,4992913000000.000000,1575000000.000000,,,4580897000000.000000,,,4580897000000.000000,,410441000000.000000,4992913000000.000000,7064134000000.000000,,1742400000000.000000,51500000000.000000,12033000000.000000,30000000000.000000,-17967000000.000000,12033000000.000000,,-156508000000.000000,1649425000000.000000,8713559000000.000000,3484800000.000000
12M 2009,,,815459000000.000000,644650000000.000000,38402000000.000000,606248000000.000000,644650000000.000000,86202000000.000000,17640000000.000000,68562000000.000000,86202000000.000000,862152000000.000000,966823000000.000000,3375286000000.000000,,,849902000000.000000,736490000000.000000,113412000000.000000,849902000000.000000,30162000000.000000,322754000000.000000,3609236000000.000000,,689806000000.000000,5501860000000.000000,8877146000000.000000,,,1333179000000.000000,,,141671000000.000000,575872000000.000000,717543000000.000000,,,91652000000.000000,91652000000.000000,132884000000.000000,128124000000.000000,,,,,,,262976000000.000000,1333179000000.000000,4873307000000.000000,1706000000.000000,,,4044221000000.000000,,,4044221000000.000000,,827380000000.000000,4873307000000.000000,6206486000000.000000,,1742400000000.000000,51500000000.000000,917363000000.000000,30000000000.000000,887363000000.000000,917363000000.000000,,-40603000000.000000,2670660000000.000000,8877146000000.000000,3484800000.000000
12M 2010,,,866078000000.000000,1297944000000.000000,82819000000.000000,1215125000000.000000,1297944000000.000000,251517000000.000000,69069000000.000000,182448000000.000000,251517000000.000000,1089211000000.000000,984434000000.000000,4489184000000.000000,,,710016000000.000000,710016000000.000000,,710016000000.000000,7414000000.000000,371951000000.000000,4075764000000.000000,,717238000000.000000,5882383000000.000000,10371567000000.000000,,,2549406000000.000000,,,144925000000.000000,917343000000.000000,1062268000000.000000,,1660000000.000000,129489000000.000000,131149000000.000000,20174000000.000000,205387000000.000000,,,,,,,1130428000000.000000,2549406000000.000000,4295564000000.000000,,,,3876423000000.000000,,,3876423000000.000000,,419141000000.000000,4295564000000.000000,6844970000000.000000,,1742400000000.000000,51500000000.000000,1695715000000.000000,40000000000.000000,1655715000000.000000,1695715000000.000000,,36982000000.000000,3526597000000.000000,10371567000000.000000,3484800000.000000
12M 2011,,,586720000000.000000,1598803000000.000000,147585000000.000000,1451218000000.000000,1598803000000.000000,262152000000.000000,87246000000.000000,174906000000.000000,262152000000.000000,1660462000000.000000,965340000000.000000,5073477000000.000000,,718486000000.000000,,,,,24702000000.000000,657458000000.000000,4588389000000.000000,,491631000000.000000,6480666000000.000000,11554143000000.000000,,,2900317000000.000000,12751000000.000000,,151730000000.000000,1117434000000.000000,1269164000000.000000,,1707000000.000000,124291000000.000000,125998000000.000000,37842000000.000000,282500000000.000000,,,,96868000000.000000,,96868000000.000000,1075194000000.000000,2900317000000.000000,4223001000000.000000,,,,3721745000000.000000,,,3721745000000.000000,,501256000000.000000,4223001000000.000000,7123318000000.000000,,1742400000000.000000,51500000000.000000,2749924000000.000000,40000000000.000000,2709924000000.000000,2749924000000.000000,,-112999000000.000000,4430825000000.000000,11554143000000.000000,3484800000.000000
12M 2012,,,904547000000.000000,1960521000000.000000,160349000000.000000,1800172000000.000000,1960521000000.000000,266017000000.000000,120252000000.000000,145765000000.000000,266017000000.000000,1478827000000.000000,584145000000.000000,5194057000000.000000,,648456000000.000000,,,,,34269000000.000000,793213000000.000000,6121783000000.000000,,78015000000.000000,7675736000000.000000,12869793000000.000000,,,3020030000000.000000,,,141236000000.000000,940452000000.000000,1081688000000.000000,,885000000.000000,127385000000.000000,128270000000.000000,118301000000.000000,357361000000.000000,,,,202247000000.000000,,202247000000.000000,1132163000000.000000,3020030000000.000000,4371379000000.000000,,,,3768558000000.000000,,,3768558000000.000000,,602821000000.000000,4371379000000.000000,7391409000000.000000,,1742400000000.000000,51500000000.000000,3770363000000.000000,40000000000.000000,3730363000000.000000,3770363000000.000000,,-85879000000.000000,5478384000000.000000,12869793000000.000000,3484800000.000000
12M 2013,,,1998591000000.000000,2077769000000.000000,190575000000.000000,1887194000000.000000,2077769000000.000000,205099000000.000000,154139000000.000000,50960000000.000000,205099000000.000000,1820112000000.000000,742282000000.000000,6843853000000.000000,,648456000000.000000,,,,,40050000000.000000,995149000000.000000,6415815000000.000000,,407431000000.000000,8506901000000.000000,15350754000000.000000,,,2964235000000.000000,,,172860000000.000000,1151466000000.000000,1324326000000.000000,,7797000000.000000,167347000000.000000,175144000000.000000,158331000000.000000,331676000000.000000,,,,,,,974758000000.000000,2964235000000.000000,6662176000000.000000,,,,5960737000000.000000,,,5960737000000.000000,,701439000000.000000,6662176000000.000000,9626411000000.000000,,1742400000000.000000,-502515000000.000000,3796603000000.000000,40000000000.000000,3756603000000.000000,3796603000000.000000,,687855000000.000000,5724343000000.000000,15350754000000.000000,3484800000.000000
12M 2014,,,957144000000.000000,2068574000000.000000,211048000000.000000,1857526000000.000000,2068574000000.000000,270002000000.000000,185102000000.000000,84900000000.000000,270002000000.000000,2247074000000.000000,740458000000.000000,6283252000000.000000,,648456000000.000000,,,,,46431000000.000000,938646000000.000000,7611453000000.000000,155834000000.000000,358825000000.000000,9759645000000.000000,16042897000000.000000,,,3116223000000.000000,246815000000.000000,,200796000000.000000,1004161000000.000000,1204957000000.000000,,15310000000.000000,188057000000.000000,203367000000.000000,132703000000.000000,352565000000.000000,,,,,,,975816000000.000000,3116223000000.000000,6943382000000.000000,,,,6123637000000.000000,,,6123637000000.000000,,819745000000.000000,6943382000000.000000,10059605000000.000000,,1742400000000.000000,-502515000000.000000,4031623000000.000000,55000000000.000000,3976623000000.000000,4031623000000.000000,,711784000000.000000,5983292000000.000000,16042897000000.000000,3484800000.000000
12M 2015,,,641916000000.000000,2411399000000.000000,509358000000.000000,1902041000000.000000,2411399000000.000000,470530000000.000000,217271000000.000000,253259000000.000000,470530000000.000000,2112616000000.000000,965820000000.000000,6602281000000.000000,,648456000000.000000,,,,,157185000000.000000,945350000000.000000,8733925000000.000000,168792000000.000000,253516000000.000000,10907224000000.000000,17509505000000.000000,,,3713148000000.000000,620755000000.000000,,339175000000.000000,1089739000000.000000,1428914000000.000000,,8403000000.000000,150678000000.000000,159081000000.000000,115381000000.000000,392863000000.000000,,,,,56751000000.000000,56751000000.000000,939403000000.000000,3713148000000.000000,8402215000000.000000,,,,6840398000000.000000,182350000000.000000,,7022748000000.000000,,1379467000000.000000,8402215000000.000000,12115363000000.000000,,1742400000000.000000,-502515000000.000000,3593604000000.000000,60000000000.000000,3533604000000.000000,3593604000000.000000,,560653000000.000000,5394142000000.000000,17509505000000.000000,3484800000.000000
12M 2016,,,755545000000.000000,3136246000000.000000,1383485000000.000000,1752761000000.000000,3136246000000.000000,638507000000.000000,250894000000.000000,387613000000.000000,638507000000.000000,2280868000000.000000,705986000000.000000,7517152000000.000000,,648456000000.000000,,,,,261753000000.000000,843075000000.000000,9130997000000.000000,160797000000.000000,135549000000.000000,11180627000000.000000,18697779000000.000000,,,4343805000000.000000,553143000000.000000,,375765000000.000000,1338975000000.000000,1714740000000.000000,,127058000000.000000,223787000000.000000,350845000000.000000,211171000000.000000,593570000000.000000,,,,,57329000000.000000,57329000000.000000,863007000000.000000,4343805000000.000000,8505797000000.000000,,,,6703808000000.000000,129306000000.000000,,6833114000000.000000,,1672683000000.000000,8505797000000.000000,12849602000000.000000,,1742400000000.000000,-502515000000.000000,4220165000000.000000,60000000000.000000,4160165000000.000000,4220165000000.000000,,388127000000.000000,5848177000000.000000,18697779000000.000000,3484800000.000000
12M 2017,,,696485000000.000000,2770065000000.000000,1112992000000.000000,1657073000000.000000,2770065000000.000000,784542000000.000000,288761000000.000000,495781000000.000000,784542000000.000000,2526513000000.000000,390773000000.000000,7168378000000.000000,,648456000000.000000,,,,,350457000000.000000,831655000000.000000,8900168000000.000000,158370000000.000000,133692000000.000000,11022798000000.000000,18191176000000.000000,,,4397957000000.000000,482058000000.000000,,237672000000.000000,1529015000000.000000,1766687000000.000000,,102234000000.000000,202980000000.000000,305214000000.000000,23776000000.000000,445720000000.000000,,,506892000000.000000,,61950000000.000000,568842000000.000000,805660000000.000000,4397957000000.000000,8103753000000.000000,,,2629649000000.000000,3296604000000.000000,76759000000.000000,,6003012000000.000000,,2100741000000.000000,8103753000000.000000,12501710000000.000000,,1742400000000.000000,-502515000000.000000,4247771000000.000000,65000000000.000000,4182771000000.000000,4247771000000.000000,,201810000000.000000,5689466000000.000000,18191176000000.000000,3484800000.000000
