Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Dari Restitusi Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Investasi Tersedia Untuk Dijual,Penurunan (Kenaikan) Piutang Lain-Lain Kepada Pihak Ketiga,Penempatan Investasi Tersedia Untuk Dijual,Penerimaan Bunga,Hasil Penjualan Aset Tetap,Hasil Penjualan Properti Investasi,Penempatan Bank Garansi,Pencairan (Penempatan) Investasi Ventura Bersama,Penempatan Investasi,Investasi Pada Entitas Asosiasi,Perolehan Aset Tetap,Pembayaran Beban Tangguhan Hak Atas Tanah,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Properti Investasi,Penerimaan Dari Piutang Kepada Pihak Ketiga,Penerimaan Dari Piutang Kepada Pihak Berelasi,Arus Kas Masuk Bersih Akuisisi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Wesel Bayar Jangka Panjang,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Bank Yang Jatuh Tempo Dalam Satu Tahun,Penerimaan Dari Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Dividen Tunai,Pembayaran Biaya Penerbitan Obligasi Dan Pinjaman Sindikasi,Penerimaan Dari Obligasi,Penerimaan Dari Pinjaman Sindikasi,Pembayaran Biaya Penerbitan Pinjaman Sindikasi,Pembayaran Utang Obligasi,Pembayaran Biaya Penerbitan Obligasi,Pembayaran Penalti Atas Penebusan Utang Obligasi,Pembayaran Liabilitas Sewa Pembiayaan,Penerimaan Liabilitas Sewa Pembiayaan,Pembelian Saham Diperoleh Kembali,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Saldo Kas Anak Perusahaan Yang Tidak Di Konsolidasi Pada Awal Tahun,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,571092000000.000000,8525098000000.000000,-7503576000000.000000,-479724000000.000000,155302000000.000000,-126008000000.000000,571092000000.000000,-494498000000.000000,326968000000.000000,,,12401000000.000000,719000000.000000,,,,-327495000000.000000,,-507091000000.000000,,,,,,,-494498000000.000000,-513428000000.000000,-534558000000.000000,38462000000.000000,,,,,,,-17332000000.000000,,,,,,,,,,,-513428000000.000000,-436834000000.000000,572947000000.000000,,33508000000.000000,169621000000.000000
12M 2009,1137405000000.000000,8768711000000.000000,-7156501000000.000000,-449729000000.000000,81813000000.000000,-106889000000.000000,1137405000000.000000,-394041000000.000000,57144000000.000000,,,9873000000.000000,512000000.000000,,,,-125995000000.000000,,-335575000000.000000,,,,,,,-394041000000.000000,-50194000000.000000,-12822000000.000000,,-37372000000.000000,,,,,,,,,,,,,,,,,-50194000000.000000,693170000000.000000,169621000000.000000,,-47332000000.000000,815459000000.000000
12M 2010,1010980000000.000000,10197053000000.000000,-8602913000000.000000,-246163000000.000000,141247000000.000000,-478244000000.000000,1010980000000.000000,-858996000000.000000,176343000000.000000,,,9801000000.000000,1174000000.000000,,,,-331555000000.000000,,-377831000000.000000,,-371519000000.000000,,26222000000.000000,8369000000.000000,,-858996000000.000000,-59097000000.000000,,,,,,,,,-59097000000.000000,,,,,,,,,,,-59097000000.000000,92887000000.000000,815459000000.000000,,-42268000000.000000,866078000000.000000
12M 2011,304312000000.000000,12298403000000.000000,-11524896000000.000000,-267759000000.000000,34511000000.000000,-235947000000.000000,304312000000.000000,-506701000000.000000,311650000000.000000,,,4535000000.000000,2499000000.000000,,-2342000000.000000,,-16313000000.000000,,-485978000000.000000,-6531000000.000000,-314221000000.000000,,,,,-506701000000.000000,-31791000000.000000,,12831000000.000000,,,,,,,-44622000000.000000,,,,,,,,,,,-31791000000.000000,-234180000000.000000,843386000000.000000,,-22486000000.000000,586720000000.000000
12M 2012,1707135000000.000000,13318155000000.000000,-11115103000000.000000,-331129000000.000000,110976000000.000000,-275764000000.000000,1707135000000.000000,-1349113000000.000000,448833000000.000000,,,6830000000.000000,1688000000.000000,,-12973000000.000000,,-1157000000.000000,,-1731941000000.000000,,-140058000000.000000,,79665000000.000000,,,-1349113000000.000000,-47601000000.000000,,,-12831000000.000000,,,,,,-34770000000.000000,,,,,,,,,,,-47601000000.000000,310421000000.000000,586720000000.000000,,7406000000.000000,904547000000.000000
12M 2013,1299132000000.000000,13161878000000.000000,-11525251000000.000000,-386695000000.000000,309485000000.000000,-260285000000.000000,1299132000000.000000,-920481000000.000000,258156000000.000000,,,17487000000.000000,4093000000.000000,,-51018000000.000000,,-281399000000.000000,,-454580000000.000000,,-413220000000.000000,,,,,-920481000000.000000,557080000000.000000,,,,,,,,,-93873000000.000000,,4800700000000.000000,,,-4034140000000.000000,-115168000000.000000,,,,-439000000.000000,557080000000.000000,935731000000.000000,904547000000.000000,,158313000000.000000,1998591000000.000000
12M 2014,152146000000.000000,13816030000000.000000,-12856371000000.000000,-602853000000.000000,35053000000.000000,-239713000000.000000,152146000000.000000,-1421902000000.000000,41156000000.000000,,,12302000000.000000,9545000000.000000,,100120000000.000000,,,,-1092675000000.000000,,-340669000000.000000,-151681000000.000000,,,,-1421902000000.000000,198003000000.000000,,481052000000.000000,-248250000000.000000,,,,,,-34799000000.000000,,,,,,,,,,,198003000000.000000,-1071753000000.000000,1998591000000.000000,,30306000000.000000,957144000000.000000
12M 2015,795635000000.000000,13496259000000.000000,-12245088000000.000000,-703865000000.000000,372233000000.000000,-123904000000.000000,795635000000.000000,-1404388000000.000000,38790000000.000000,,,9223000000.000000,537000000.000000,,1235000000.000000,,-263699000000.000000,,-1025381000000.000000,,-165073000000.000000,-20000000.000000,,,,-1404388000000.000000,253020000000.000000,,2584532000000.000000,-2273687000000.000000,,,,,,-34721000000.000000,,,,,,,,-23042000000.000000,,-62000000.000000,253020000000.000000,-355733000000.000000,957144000000.000000,,40505000000.000000,641916000000.000000
12M 2016,1293214000000.000000,13638519000000.000000,-11654117000000.000000,-731745000000.000000,241090000000.000000,-200533000000.000000,1293214000000.000000,-1069674000000.000000,110627000000.000000,,,8666000000.000000,20049000000.000000,,,,-75845000000.000000,,-948738000000.000000,,-68849000000.000000,-384000000.000000,-115200000000.000000,,,-1069674000000.000000,-91556000000.000000,,3727395000000.000000,-3773210000000.000000,,,,,,,,,,,,,,-45741000000.000000,,,-91556000000.000000,131984000000.000000,641916000000.000000,,-18355000000.000000,755545000000.000000
12M 2017,738861000000.000000,15527290000000.000000,-13824569000000.000000,-900805000000.000000,176825000000.000000,-239880000000.000000,738861000000.000000,-149282000000.000000,386213000000.000000,,,8763000000.000000,4467000000.000000,,,,,,-398178000000.000000,,-83851000000.000000,-301000000.000000,-66395000000.000000,,,-149282000000.000000,-625139000000.000000,,3335600000000.000000,-77636000000.000000,,,,,,-17357000000.000000,,3332500000000.000000,,,-6670000000000.000000,-317854000000.000000,-161539000000.000000,-48853000000.000000,,,-625139000000.000000,-35560000000.000000,755545000000.000000,,-23500000000.000000,696485000000.000000
