Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.42,473.32,0.42,473.32,45 B,"4,582 B","4,628 B","4,458 B",986 B
12M 2009,0.55,766.37,0.55,766.37,,"4,046 B","4,046 B","3,230 B","2,042 B"
12M 2010,2.27,1011.99,2.27,1011.99,,"3,876 B","3,876 B","3,010 B","1,940 B"
12M 2011,2.36,1271.47,2.36,1271.47,110 B,"3,722 B","3,831 B","3,245 B","2,173 B"
12M 2012,1.42,1572.08,1.42,1572.08,202 B,"3,769 B","3,971 B","3,066 B","2,174 B"
12M 2013,1.02,1642.66,1.02,1642.66,,"5,961 B","5,961 B","3,962 B","3,880 B"
12M 2014,0.83,1716.97,0.83,1716.97,247 B,"6,124 B","6,370 B","5,413 B","3,167 B"
12M 2015,0.34,1547.91,0.34,1547.91,678 B,"7,023 B","7,700 B",36 B,"2,889 B"
12M 2016,0.64,1678.20,0.64,1678.20,610 B,"6,833 B","7,444 B","6,688 B","3,173 B"
12M 2017,0.42,1632.65,0.42,1632.65,"1,051 B","6,003 B","7,054 B","6,357 B","2,770 B"
12M 2018,0.39,1686.13,0.39,1686.13,"1,792 B","5,838 B","7,630 B","6,959 B","2,876 B"
12M 2019,0.33,1789.38,0.33,1789.38,"1,765 B","5,042 B","6,806 B","6,171 B","2,677 B"
12M 2020,0.33,1966.24,0.33,1966.24,"1,060 B","4,193 B","5,253 B","4,208 B","2,875 B"
12M 2021,0.33,2000.45,0.33,2000.45,736 B,"4,729 B","5,465 B","4,626 B","3,600 B"
12M 2022,0.27,2077.01,0.27,2077.01,"1,219 B","4,696 B","5,915 B","5,029 B","3,559 B"
12M 2023,0.43,2396.67,0.43,2396.67,742 B,"4,229 B","4,972 B","4,281 B","3,917 B"
12M 2024,0.41,2713.65,0.41,2713.65,"3,845 B","1,290 B","5,135 B","4,097 B","1,309 B"
