Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,7963473000000.000000,-6828388000000.000000,1135085000000.000000,-553732000000.000000,-308409000000.000000,-245323000000.000000,-553732000000.000000,581353000000.000000,-1355552000000.000000,-462994000000.000000,-76077000000.000000,12329000000.000000,-786364000000.000000,-42446000000.000000,-1355552000000.000000,-774199000000.000000,149411000000.000000,-2321000000.000000,151732000000.000000,149411000000.000000,-624788000000.000000,,,-624788000000.000000,-624788000000.000000,,-624788000000.000000,,,,
12M 2009,7936432000000.000000,-6114847000000.000000,1821585000000.000000,-676595000000.000000,-472738000000.000000,-203857000000.000000,-676595000000.000000,1144990000000.000000,128623000000.000000,-420280000000.000000,15557000000.000000,19873000000.000000,486892000000.000000,26581000000.000000,128623000000.000000,1273613000000.000000,-368283000000.000000,-213533000000.000000,-154750000000.000000,-368283000000.000000,905330000000.000000,,,905330000000.000000,905330000000.000000,,905330000000.000000,,,,
12M 2010,9853904000000.000000,-7915174000000.000000,1938730000000.000000,-651303000000.000000,-435497000000.000000,-215806000000.000000,-651303000000.000000,1287427000000.000000,-166987000000.000000,-366552000000.000000,48968000000.000000,56831000000.000000,113191000000.000000,-19425000000.000000,-166987000000.000000,1120440000000.000000,-289816000000.000000,-267068000000.000000,-22748000000.000000,-289816000000.000000,830624000000.000000,,,830624000000.000000,830624000000.000000,,830624000000.000000,,,,
12M 2011,11841396000000.000000,-10172171000000.000000,1669225000000.000000,-659654000000.000000,-407653000000.000000,-252001000000.000000,-659654000000.000000,1009571000000.000000,-153890000000.000000,-346810000000.000000,80848000000.000000,54134000000.000000,,57938000000.000000,-153890000000.000000,855681000000.000000,-172052000000.000000,-189340000000.000000,17288000000.000000,-172052000000.000000,683629000000.000000,262417000000.000000,946046000000.000000,683629000000.000000,683629000000.000000,,683629000000.000000,946046000000.000000,946046000000.000000,,946046000000.000000
12M 2012,12578596000000.000000,-10141543000000.000000,2437053000000.000000,-759866000000.000000,-479387000000.000000,-280479000000.000000,-759866000000.000000,1677187000000.000000,-219787000000.000000,-387761000000.000000,24103000000.000000,55992000000.000000,-218141000000.000000,306020000000.000000,-219787000000.000000,1457400000000.000000,-325153000000.000000,-334720000000.000000,9567000000.000000,-325153000000.000000,1132247000000.000000,-46133000000.000000,1086114000000.000000,1132247000000.000000,1132247000000.000000,,1132247000000.000000,1086114000000.000000,1086114000000.000000,,1086114000000.000000
12M 2013,12352917000000.000000,-10079985000000.000000,2272932000000.000000,-907600000000.000000,-707856000000.000000,-199744000000.000000,-907600000000.000000,1365332000000.000000,-1198859000000.000000,-576137000000.000000,4790000000.000000,55985000000.000000,-889998000000.000000,206501000000.000000,-1198859000000.000000,166473000000.000000,-46143000000.000000,-51924000000.000000,5781000000.000000,-46143000000.000000,120330000000.000000,220158000000.000000,340488000000.000000,120330000000.000000,120330000000.000000,,120330000000.000000,340488000000.000000,340488000000.000000,,340488000000.000000
12M 2014,13070734000000.000000,-10625591000000.000000,2445143000000.000000,-1291407000000.000000,-793732000000.000000,-497675000000.000000,-1291407000000.000000,1153736000000.000000,-759677000000.000000,-621108000000.000000,-74192000000.000000,50292000000.000000,-179426000000.000000,64757000000.000000,-759677000000.000000,394059000000.000000,-124191000000.000000,,,-124191000000.000000,269868000000.000000,23929000000.000000,293797000000.000000,269868000000.000000,269868000000.000000,,269868000000.000000,293797000000.000000,293797000000.000000,,293797000000.000000
12M 2015,12970237000000.000000,-10346094000000.000000,2624143000000.000000,-1511812000000.000000,-925988000000.000000,-585824000000.000000,-1511812000000.000000,1112331000000.000000,-1444200000000.000000,-738946000000.000000,-84297000000.000000,50752000000.000000,-705373000000.000000,33664000000.000000,-1444200000000.000000,-331869000000.000000,18543000000.000000,18543000000.000000,,18543000000.000000,-313326000000.000000,105371000000.000000,-207955000000.000000,-313326000000.000000,-313326000000.000000,,-313326000000.000000,-207955000000.000000,-207955000000.000000,,-207955000000.000000
12M 2016,13633556000000.000000,-10438263000000.000000,3195293000000.000000,-1627053000000.000000,-997854000000.000000,-629199000000.000000,-1627053000000.000000,1568240000000.000000,-742293000000.000000,-747094000000.000000,-71005000000.000000,65717000000.000000,168550000000.000000,-158461000000.000000,-742293000000.000000,825947000000.000000,-199386000000.000000,-199386000000.000000,,-199386000000.000000,626561000000.000000,-172526000000.000000,454035000000.000000,626561000000.000000,626561000000.000000,,626561000000.000000,454035000000.000000,454035000000.000000,,454035000000.000000
12M 2017,14146918000000.000000,-11682799000000.000000,2464119000000.000000,-1470417000000.000000,-851772000000.000000,-618645000000.000000,-1470417000000.000000,993702000000.000000,-886878000000.000000,-814459000000.000000,-27681000000.000000,81251000000.000000,-49478000000.000000,-76511000000.000000,-886878000000.000000,106824000000.000000,-61796000000.000000,-61796000000.000000,,-61796000000.000000,45028000000.000000,-186317000000.000000,-141289000000.000000,45028000000.000000,45028000000.000000,,45028000000.000000,-141289000000.000000,-141289000000.000000,,-141289000000.000000
