Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3907674046231.000000,-3153750902226.000000,753923144005.000000,-408503038882.000000,-282874263538.000000,-125628775344.000000,-408503038882.000000,345420105123.000000,-71350589007.000000,4244675621.000000,543555156.000000,-15869313843.000000,-59713903297.000000,-555602644.000000,-71350589007.000000,274069516116.000000,-72480681870.000000,-76420307304.000000,3939625434.000000,-72480681870.000000,201588834246.000000,-5358784553.000000,196230049693.000000,,,,,196230049693.000000,201588834246.000000,-5358784553.000000,196230049693.000000,,,,
12M 2009,4777175386540.000000,-3643389861189.000000,1133785525351.000000,-520598281592.000000,-369591236646.000000,-151007044946.000000,-520598281592.000000,613187243759.000000,-109253667954.000000,20264302484.000000,2137918613.000000,-7215098988.000000,-98183758504.000000,-26257031559.000000,-109253667954.000000,503933575805.000000,-121430567059.000000,-129347496410.000000,7916929351.000000,-121430567059.000000,382503008746.000000,-10345096412.000000,372157912334.000000,,,,,372157912334.000000,382503008746.000000,-10345096412.000000,372157912334.000000,,,,
12M 2010,7224164991859.000000,-5517778681917.000000,1706386309942.000000,-933051178914.000000,-792468029483.000000,-140583149431.000000,-933051178914.000000,773335131028.000000,-114976283575.000000,9988243226.000000,2599408401.000000,-19953408414.000000,-87782627557.000000,-19827899231.000000,-114976283575.000000,658358847453.000000,-158703675941.000000,-157539569230.000000,-1164106711.000000,-158703675941.000000,499655171512.000000,-15568968997.000000,484086202515.000000,,,,,484086202515.000000,499655171512.000000,-15568968997.000000,484086202515.000000,,,,
12M 2011,9453865992878.000000,-7795454967722.000000,1658411025156.000000,-900534048506.000000,-711945016015.000000,-188589032491.000000,-900534048506.000000,757876976650.000000,-131436158941.000000,8012035475.000000,4133311201.000000,-11299798638.000000,-123856315729.000000,-8425391250.000000,-131436158941.000000,626440817709.000000,-142954665032.000000,-139706411100.000000,-3248253932.000000,-142954665032.000000,483486152677.000000,,483486152677.000000,340077011.000000,340077011.000000,340077011.000000,483826229688.000000,483486152677.000000,471027871566.000000,12458281111.000000,483486152677.000000,483826229688.000000,471367948577.000000,12458281111.000000,483826229688.000000
12M 2012,10510625669832.000000,-8165009551392.000000,2345616118440.000000,-1189056302000.000000,-928883434155.000000,-260172867845.000000,-1189056302000.000000,1156559816440.000000,-196744749526.000000,18638363729.000000,3880809342.000000,31718135963.000000,-223360619855.000000,-27621438705.000000,-196744749526.000000,959815066914.000000,-215386662605.000000,-216314332700.000000,927670095.000000,-215386662605.000000,744428404309.000000,,744428404309.000000,-1591449505.000000,,-1591449505.000000,742836954804.000000,744428404309.000000,729634186606.000000,14794217703.000000,744428404309.000000,742836954804.000000,728042737101.000000,14794217703.000000,742836954804.000000
12M 2013,12017837133337.000000,-9096171291553.000000,2921665841784.000000,-1616856544095.000000,-1275792683188.000000,-341063860907.000000,-1616856544095.000000,1304809297689.000000,51264198868.000000,25150169666.000000,2932016031.000000,308440556537.000000,-256841148674.000000,-28417394692.000000,51264198868.000000,1356073496557.000000,-297654557305.000000,-297238872850.000000,-415684455.000000,-297654557305.000000,1058418939252.000000,,1058418939252.000000,-4794126840.000000,-4794126840.000000,-4794126840.000000,1053624812412.000000,1058418939252.000000,1041766389770.000000,16652549482.000000,1058418939252.000000,1053624812412.000000,1036972262930.000000,16652549482.000000,1053624812412.000000
12M 2014,14169088278238.000000,-11633862469470.000000,2535225808768.000000,-1643928450626.000000,-1283950832627.000000,-359977617999.000000,-1643928450626.000000,891297358142.000000,-361596327387.000000,32657875095.000000,1817315115.000000,-18524885783.000000,-358432961457.000000,-19113670357.000000,-361596327387.000000,529701030755.000000,-119876262161.000000,-123252080059.000000,3375817898.000000,-119876262161.000000,409824768594.000000,,409824768594.000000,2530142488.000000,2530142488.000000,2530142488.000000,412354911082.000000,409824768594.000000,403630459358.000000,6194309236.000000,409824768594.000000,412354911082.000000,406160601846.000000,6194309236.000000,412354911082.000000
12M 2015,14818730635847.000000,-10620394515840.000000,4198336120007.000000,-2335715287020.000000,-1876101745607.000000,-459613541413.000000,-2335715287020.000000,1862620832987.000000,-222126067186.000000,16988949052.000000,1234954836.000000,151963644905.000000,-378651540837.000000,-13662075142.000000,-222126067186.000000,1640494765801.000000,-390261637241.000000,-386435802950.000000,-3825834291.000000,-390261637241.000000,1250233128560.000000,,1250233128560.000000,16286192040.000000,16286192040.000000,16286192040.000000,1266519320600.000000,1250233128560.000000,1220020581458.000000,30212547102.000000,1250233128560.000000,1266519320600.000000,1236098172071.000000,30421148529.000000,1266519320600.000000
12M 2016,18349959898358.000000,-13449537442446.000000,4900422455912.000000,-2585180213045.000000,-2078013791657.000000,-507166421388.000000,-2585180213045.000000,2315242242867.000000,-469558973629.000000,14887762246.000000,2401999998.000000,-124336281261.000000,-356714077463.000000,-5798377149.000000,-469558973629.000000,1845683269238.000000,-457007141573.000000,-475283108250.000000,18275966677.000000,-457007141573.000000,1388676127665.000000,,1388676127665.000000,-42959321087.000000,-42959321087.000000,-42959321087.000000,1345716806578.000000,1388676127665.000000,1354950312035.000000,33725815630.000000,1388676127665.000000,1345716806578.000000,1312343705855.000000,33373100723.000000,1345716806578.000000
12M 2017,20816673946473.000000,-15841619191077.000000,4975054755396.000000,-2514495367346.000000,-1909487278891.000000,-605008088455.000000,-2514495367346.000000,2460559388050.000000,-273674784576.000000,36492708776.000000,3064131489.000000,91363499350.000000,-386922167017.000000,-17672957174.000000,-273674784576.000000,2186884603474.000000,-555930772581.000000,-575727778500.000000,19797005919.000000,-555930772581.000000,1630953830893.000000,,1630953830893.000000,-60813407661.000000,-60813407661.000000,-60813407661.000000,1570140423232.000000,1630953830893.000000,1594441049254.000000,36512781639.000000,1630953830893.000000,1570140423232.000000,1534112236194.000000,36028187038.000000,1570140423232.000000
