Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Sukuk Mudharabah,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Bank Jangka Panjang,Utang Obligasi,Sukuk Mudharabah,Goodwill,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,316330699463.000000,27767941221.000000,737412469492.000000,680524238562.000000,56888230930.000000,737412469492.000000,14213137843.000000,,14213137843.000000,14213137843.000000,534328833233.000000,54799573723.000000,1684852654975.000000,,4994978714.000000,1030724975463.000000,202425805884.000000,1238145760061.000000,2922998415036.000000,,,769800272970.000000,180000000000.000000,448021057107.000000,,,448021057107.000000,,5808759210.000000,5808759210.000000,47122496653.000000,28847960000.000000,,60000000000.000000,,,60000000000.000000,,,769800272970.000000,877134155298.000000,106913174071.000000,450000000000.000000,297465429010.000000,,611938256.000000,22143613961.000000,877134155298.000000,1646934428268.000000,,383292000000.000000,64212000000.000000,802253270069.000000,23000000000.000000,779253270069.000000,802253270069.000000,30954661303.000000,-4647944604.000000,1276063986768.000000,2922998415036.000000,766584000.000000
12M 2009,,,321582619407.000000,12665205968.000000,857566254446.000000,705138566280.000000,152427688166.000000,857566254446.000000,23339254385.000000,,23339254385.000000,23339254385.000000,458602867325.000000,76667816805.000000,1750424018336.000000,,5105600305.000000,1282771283456.000000,208197613855.000000,1496074497616.000000,3246498515952.000000,,,764230447224.000000,200000000000.000000,356908352479.000000,,,356908352479.000000,,16339726228.000000,16339726228.000000,91610615843.000000,49371752674.000000,,50000000000.000000,,,50000000000.000000,,,764230447224.000000,859212852586.000000,14337306201.000000,400000000000.000000,298039294140.000000,,473642867.000000,146362609378.000000,859212852586.000000,1623443299810.000000,,383292000000.000000,64212000000.000000,1136081982403.000000,25000000000.000000,1111081982403.000000,1136081982403.000000,41299757715.000000,-1830523976.000000,1623055216142.000000,3246498515952.000000,766584000.000000
12M 2010,,,472105631514.000000,4793569466.000000,1294684174946.000000,1061627264340.000000,233056910606.000000,1294684174946.000000,33849742838.000000,,33849742838.000000,33849742838.000000,498464228419.000000,380956414636.000000,2684853761819.000000,,2260998331.000000,1489560955852.000000,222515419533.000000,1714337373716.000000,4399191135535.000000,,,1040333647369.000000,75000000000.000000,646936603293.000000,,,646936603293.000000,,27766921538.000000,27766921538.000000,43854114187.000000,137071664750.000000,,109704343601.000000,,,109704343601.000000,,,1040333647369.000000,1318693852898.000000,12656810939.000000,839752393132.000000,298613159270.000000,,335347478.000000,167336142079.000000,1318693852898.000000,2359027500267.000000,,383292000000.000000,64212000000.000000,1543509784918.000000,27000000000.000000,1516509784918.000000,1543509784918.000000,48868726712.000000,281123638.000000,2040163635268.000000,4399191135535.000000,766584000.000000
12M 2011,,,325316689037.000000,,1673227844346.000000,1295019229371.000000,378208614975.000000,1673227844346.000000,34127009081.000000,,34127009081.000000,34127009081.000000,1336250118104.000000,726377044523.000000,4095298705091.000000,,2338589666.000000,2038406656429.000000,463801582142.000000,2504546828237.000000,6599845533328.000000,,,1845791716500.000000,525000000000.000000,1021695584273.000000,,,1021695584273.000000,,64286671182.000000,64286671182.000000,6327158707.000000,69247244079.000000,,159235058259.000000,,,159235058259.000000,,,1845791716500.000000,2329384524394.000000,15982656205.000000,1824763631217.000000,299187024400.000000,,,189451212572.000000,2329384524394.000000,4175176240894.000000,,383292000000.000000,64212000000.000000,1915217083962.000000,29000000000.000000,1886217083962.000000,1915217083962.000000,61327007823.000000,621200649.000000,2424669292434.000000,6599845533328.000000,766584000.000000
12M 2012,,,1339570311638.000000,,2035329264394.000000,1547147535022.000000,488181729372.000000,2035329264394.000000,16017323669.000000,,16017323669.000000,16017323669.000000,1498989460205.000000,423693198610.000000,5313599558516.000000,,2226736513.000000,2857932917034.000000,128747029840.000000,2988906683387.000000,8302506241903.000000,,,1924434119144.000000,625000000000.000000,841663446001.000000,,,841663446001.000000,,10895501141.000000,10895501141.000000,84222827752.000000,217599506616.000000,,145052837634.000000,,,145052837634.000000,,,1924434119144.000000,3310221795521.000000,14943132957.000000,1718974054621.000000,847757161667.000000,450000000000.000000,,278547446276.000000,3310221795521.000000,5234655914665.000000,,383292000000.000000,64212000000.000000,2545195350568.000000,31000000000.000000,2514195350568.000000,2545195350568.000000,76121225526.000000,-970248856.000000,3067850327238.000000,8302506241903.000000,766584000.000000
12M 2013,,,1860492328823.000000,,2796178546173.000000,2049772304055.000000,746406242118.000000,2796178546173.000000,16967687340.000000,,16967687340.000000,16967687340.000000,1456454215049.000000,299972651486.000000,6430065428871.000000,,1753098181.000000,3114328724682.000000,163690998739.000000,3279772821602.000000,9709838250473.000000,,,2631646469682.000000,790000000000.000000,1083847310035.000000,,,1083847310035.000000,,95027604557.000000,95027604557.000000,96429937459.000000,237746408454.000000,,328595209177.000000,,,328595209177.000000,,,2631646469682.000000,3139430961141.000000,14885179080.000000,1756000077948.000000,748337819702.000000,250000000000.000000,,370207884411.000000,3139430961141.000000,5771077430823.000000,,447173994500.000000,330005500.000000,3410647420338.000000,33000000000.000000,3377647420338.000000,3410647420338.000000,86373775008.000000,-5764375696.000000,3938760819650.000000,9709838250473.000000,894347989.000000
12M 2014,,,712922612494.000000,,3046371390443.000000,1950164516232.000000,1096206874211.000000,3046371390443.000000,34469136171.000000,,34469136171.000000,34469136171.000000,1966800644217.000000,748204840115.000000,6508768623440.000000,,7154039678.000000,3585011717083.000000,190173649133.000000,3782339405894.000000,10291108029334.000000,,,3114337601362.000000,1423802059917.000000,822654918011.000000,,,822654918011.000000,,132425088377.000000,132425088377.000000,26857761785.000000,155487541913.000000,,553110231359.000000,,,553110231359.000000,,,3114337601362.000000,3076215435183.000000,16525099152.000000,1627168259387.000000,748679367266.000000,250000000000.000000,,433842709378.000000,3076215435183.000000,6190553036545.000000,,447173994500.000000,330005500.000000,3563717141753.000000,35000000000.000000,3528717141753.000000,3563717141753.000000,92568084244.000000,-3234233208.000000,4100554992789.000000,10291108029334.000000,894347989.000000
12M 2015,,,1682075365772.000000,,3368430940065.000000,2123977056837.000000,1244453883228.000000,3368430940065.000000,10813690824.000000,,10813690824.000000,10813690824.000000,1763233048130.000000,629793984296.000000,7454347029087.000000,,13156015569.000000,3770695841693.000000,104516799872.000000,3888368657134.000000,11342715686221.000000,,,3151495162694.000000,784000000000.000000,1022643536695.000000,,,1022643536695.000000,,139884331236.000000,139884331236.000000,210793068141.000000,430469490172.000000,,563704736450.000000,,,563704736450.000000,,,3151495162694.000000,2996760596340.000000,25112982360.000000,1461688254616.000000,748861508026.000000,250000000000.000000,,511097851338.000000,2996760596340.000000,6148255759034.000000,,447173994500.000000,330005500.000000,4633113857393.000000,37000000000.000000,4596113857393.000000,4633113857393.000000,117009202116.000000,-3167132322.000000,5194459927187.000000,11342715686221.000000,894347989.000000
12M 2016,,,1543129244709.000000,,4364284552253.000000,2831124973353.000000,1533159578900.000000,4364284552253.000000,24114826295.000000,,24114826295.000000,24114826295.000000,2123676041546.000000,684578085338.000000,8739782750141.000000,,48337856393.000000,3859420029792.000000,274881222816.000000,4182639109001.000000,12922421859142.000000,,,3884051319005.000000,1284000000000.000000,,17861208550.000000,1311771943866.000000,1329633152416.000000,,74183858962.000000,74183858962.000000,139293768623.000000,339087208742.000000,,467853330262.000000,,,467853330262.000000,250000000000.000000,,3884051319005.000000,2773114553072.000000,25951556462.000000,1324665841756.000000,749203055617.000000,,,673294099237.000000,2773114553072.000000,6657165872077.000000,,447173994500.000000,330005500.000000,5675490423386.000000,39000000000.000000,5636490423386.000000,5675490423386.000000,143765952839.000000,-1504389160.000000,6265255987065.000000,12922421859142.000000,22358699725.000000
12M 2017,,,2201859470155.000000,,5744121818525.000000,4772738482114.000000,971383336411.000000,5744121818525.000000,358607515980.000000,,358607515980.000000,358607515980.000000,1825267160976.000000,544343605677.000000,10674199571313.000000,,82446167835.000000,3988757428380.000000,170446632723.000000,4241650228938.000000,14915849800251.000000,,,4473628322956.000000,1634000000000.000000,,51612825968.000000,1665605703199.000000,1717218529167.000000,,111286401203.000000,111286401203.000000,131496395798.000000,285202871409.000000,,594424125379.000000,,,594424125379.000000,,,4473628322956.000000,3087875111223.000000,841134323348.000000,430241716384.000000,1795315370929.000000,,,21183700562.000000,3087875111223.000000,7561503434179.000000,,447173994500.000000,330005500.000000,6743645888746.000000,41000000000.000000,6702645888746.000000,6743645888746.000000,168276789877.000000,-5080312551.000000,7354346366072.000000,14915849800251.000000,22358699725.000000
