Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Adjustment,Pembayaran Bunga,Sukuk Mudharabah,Penerimaan Restitusi Pajak,Pembayaran Pendapatan Bagi Hasil,Penerimaan Lain-Lain Bersih,Pembayaran Dari Pajak Penghasilan,Pembayaran Imbalan Kerja Jangka Panjang,Pembayaran Pajak Final,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pembayaran Atas Penempatan Investasi Surat Berharga,(Penempatan) Pencairan Investasi Jangka Pendek,Penerimaan Bunga,Penurunan (Peningkatan) Jaminan,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaaan Bank Jangka Panjang,Penerimaan Jangka Pendek,Penerimaan Pinjaman Dari Pihak Relasi,Penerimaan Hutang Obligasi,Pembayaran Dividen,Pembayaran Dividen Entitas Anak,Pembayaran Pinjaman Jangka Panjang,Pembayaran Pinjaman Bank Jangka Pendek,Penerbitan Obligasi,Biaya Emisi Obligasi,Pembayaran Utang Obligasi,Sukuk Mudharabah,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,138452987153.000000,3745919015096.000000,-3443856306213.000000,,-66342459714.000000,-13750000000.000000,1152995813.000000,,,-84670257829.000000,,,138452987153.000000,-513744616053.000000,-369928174993.000000,949787498.000000,,-14955853429.000000,5796581309.000000,42454031.000000,-135649410469.000000,-513744616053.000000,571467314350.000000,425000000000.000000,250000000000.000000,,297130674350.000000,-30663360000.000000,,-100000000000.000000,-70000000000.000000,,,-200000000000.000000,,571467314350.000000,196175685450.000000,120002105073.000000,152908939.000000,316330699462.000000
12M 2009,446429845710.000000,4657145031457.000000,-3999359763050.000000,,-99093715449.000000,-27500000000.000000,,,,-84761707248.000000,,,446429845710.000000,-352545757571.000000,-229431090153.000000,11591557067.000000,,15102735253.000000,20264302484.000000,50527600.000000,-170123789822.000000,-352545757571.000000,-78329200000.000000,,50000000000.000000,,,-38329200000.000000,,-60000000000.000000,-30000000000.000000,,,,,-78329200000.000000,15554888139.000000,316330699463.000000,-10302968195.000000,321582619407.000000
12M 2010,238253946429.000000,6765188110204.000000,-6235964730958.000000,,-87927167958.000000,-27500000000.000000,,,,-175542264859.000000,,,238253946429.000000,-372158975166.000000,-150365495625.000000,6003044255.000000,,7871636502.000000,9988243226.000000,-285520000.000000,-245370883524.000000,-372158975166.000000,289798336733.000000,582870070066.000000,75000000000.000000,,,-84658400000.000000,,-83413333333.000000,-200000000000.000000,,,,,289798336733.000000,155893307996.000000,321582619407.000000,-5370295889.000000,472105631514.000000
12M 2011,-607939545937.000000,9105051705205.000000,-9320065216932.000000,,-149098333644.000000,-27500000000.000000,837062044.000000,,,-217164762610.000000,,,-607939545937.000000,-929382752946.000000,-502063492043.000000,23096541115.000000,,4793569466.000000,8012035475.000000,-110726494.000000,-463110680465.000000,-929382752946.000000,1390050746668.000000,1150000000000.000000,450000000000.000000,,,-99655920000.000000,,-110293333332.000000,,,,,,1390050746668.000000,-147271552215.000000,472105631514.000000,482609739.000000,325316689038.000000
12M 2012,830244056569.000000,10140984699492.000000,-8899245509193.000000,,-240745408847.000000,-37812500000.000000,,,,-132937224883.000000,,,830244056569.000000,-699360306502.000000,-619377710604.000000,28458711311.000000,,,18638363729.000000,-576399746.000000,-126503271192.000000,-699360306502.000000,879470158427.000000,217215964000.000000,215000000000.000000,,750000000000.000000,-99655920000.000000,,-335873921573.000000,-117215964000.000000,,,,250000000000.000000,879470158427.000000,1010353908494.000000,325316689037.000000,3899714107.000000,1339570311638.000000
12M 2013,987023231523.000000,11254472620718.000000,-9728417978305.000000,,-308132077137.000000,-34659722226.000000,-15657916855.000000,,164934804549.000000,-345516499221.000000,,,987023231523.000000,-609978840945.000000,-477094673565.000000,3541910809.000000,,,25150169666.000000,-11200000.000000,-161565047855.000000,-609978840945.000000,-63660670000.000000,700000000000.000000,740000000000.000000,,,-182714320000.000000,,-445946350000.000000,-575000000000.000000,,,-100000000000.000000,-200000000000.000000,-63660670000.000000,313383720578.000000,1339570311638.000000,207538296607.000000,1860492328823.000000
12M 2014,-862339383145.000000,13920673379863.000000,-13826640204900.000000,,-415018919838.000000,-20891616252.000000,-8749167639.000000,,132015821727.000000,-643728676106.000000,,,-862339383145.000000,-815592277343.000000,-671927666837.000000,11991828732.000000,,,32657875095.000000,-6812380307.000000,-181501934026.000000,-815592277343.000000,521712904799.000000,425000000000.000000,1511238763654.000000,,,-205700037470.000000,,-331389117648.000000,-877436703737.000000,,,,,521712904799.000000,-1156218755689.000000,1860492328823.000000,8649039360.000000,712922612494.000000
12M 2015,2336785497955.000000,14503814621943.000000,-11588185844779.000000,,-414589225966.000000,-20805610860.000000,-13878539840.000000,,78258117988.000000,-207517885658.000000,,-310134873.000000,2336785497955.000000,-540613367669.000000,-463593808964.000000,2176594696.000000,,,16988949052.000000,-8472026844.000000,-87713075609.000000,-540613367669.000000,-944661855805.000000,400000000000.000000,960000000000.000000,,,-149095678240.000000,,-555764117648.000000,-1599802059917.000000,,,,,-944661855805.000000,851510274481.000000,712922612494.000000,117642478797.000000,1682075365772.000000
12M 2016,659314197175.000000,17355812384470.000000,-15915877801013.000000,,-366124896402.000000,-20805610860.000000,-15359356780.000000,,157265018826.000000,-535275278217.000000,,-320262849.000000,659314197175.000000,-746551666042.000000,-507071638264.000000,2710524218.000000,,,14887762246.000000,1052000000.000000,-258130314242.000000,-746551666042.000000,-11027805520.000000,200000000000.000000,4250000000000.000000,,,-274920746700.000000,,-434867058820.000000,-3750000000000.000000,,-1240000000.000000,,,-11027805520.000000,-98265274387.000000,1682075365772.000000,-40680846676.000000,1543129244709.000000
12M 2017,1275530669068.000000,19102343990516.000000,-17021009320999.000000,,-386530792934.000000,-7393536955.000000,-27492104921.000000,,204119721115.000000,-588474260121.000000,,-33026633.000000,1275530669068.000000,-526316631073.000000,-412476764133.000000,4603148433.000000,,,36492708776.000000,-6860426084.000000,-148075298065.000000,-526316631073.000000,-102040044225.000000,,4775000000000.000000,,1050000000000.000000,-481050044225.000000,,-769720000000.000000,-4425000000000.000000,,-1270000000.000000,,-250000000000.000000,-102040044225.000000,647173993770.000000,1543129244709.000000,11556231676.000000,2201859470155.000000
12M 2018,459273241788.000000,23680993707458.000000,-22399880533599.000000,,-477095113613.000000,,-27793260176.000000,,407402318740.000000,-723570678622.000000,,-783198400.000000,459273241788.000000,-1196001406035.000000,-671673892309.000000,2599740911.000000,,,46799131766.000000,-6290376000.000000,-567436010403.000000,-1196001406035.000000,941471315759.000000,2184000000000.000000,3425000000000.000000,,500000000000.000000,-616550017575.000000,,-990498333333.000000,-3559000000000.000000,,-1480333333.000000,,,941471315759.000000,204743151512.000000,2201859470155.000000,89052397441.000000,2495655019108.000000
12M 2019,3303864262122.000000,24458207746591.000000,-20967319651225.000000,,-364396360328.000000,,-45029702182.000000,,770887609622.000000,-547269067440.000000,,-1216312916.000000,3303864262122.000000,-1845317472514.000000,-438476834779.000000,2941604317.000000,,,52352843077.000000,-2276301560.000000,-1459858783569.000000,-1845317472514.000000,-865449663817.000000,2160000000000.000000,2300000000000.000000,,,-662654792025.000000,,-1112794871792.000000,-2800000000000.000000,,,-750000000000.000000,,-865449663817.000000,593097125791.000000,2495655019108.000000,-106747285890.000000,2982004859009.000000
12M 2020,3715832449186.000000,24952077753025.000000,-20475882317664.000000,,-377798075150.000000,,295621855149.000000,,,-614758865448.000000,-61711370707.000000,-1716530019.000000,3715832449186.000000,-1111015237138.000000,-634118812741.000000,2889819622.000000,,,51405459416.000000,-9708104606.000000,-521483598829.000000,-1111015237138.000000,-1865848198703.000000,350000000000.000000,1750000000000.000000,,500000000000.000000,-685013491750.000000,,-1130834706953.000000,-2650000000000.000000,,,,,-1865848198703.000000,738969013345.000000,2982004859009.000000,56817559747.000000,3777791432101.000000
12M 2021,1041955003348.000000,27065541049324.000000,-25598403259380.000000,,-340692360945.000000,,391874842166.000000,,,-406975511465.000000,-69152079680.000000,-237676672.000000,1041955003348.000000,-947614701926.000000,-658964759604.000000,8029354686.000000,,,23187158296.000000,-1395224618.000000,-318471230686.000000,-947614701926.000000,-870693620125.000000,1175000000000.000000,1815000000000.000000,,,-1206761385700.000000,,-1426932234425.000000,-1070000000000.000000,,,-157000000000.000000,,-870693620125.000000,-776353318703.000000,3777791432101.000000,7942054533.000000,3009380167931.000000
12M 2022,1619570638186.000000,29519519535689.000000,-27675687658432.000000,,-396061583172.000000,,624486364640.000000,,,-382067996657.000000,-70218183882.000000,-399840000.000000,1619570638186.000000,-1546563424787.000000,-804918815873.000000,6993080241.000000,-75851945448.000000,,30708263481.000000,801954883.000000,-704295962071.000000,-1546563424787.000000,-49224058856.000000,1826251000000.000000,3868750990000.000000,,,-533101506725.000000,,-2026124542131.000000,-3635000000000.000000,1500000000000.000000,,-1050000000000.000000,,-49224058856.000000,23783154543.000000,3009380167931.000000,228911462037.000000,3262074784511.000000
12M 2023,5259181989696.000000,31896213560339.000000,-26142798907994.000000,,-310804898933.000000,,474266252912.000000,,,-590728069871.000000,-66566106757.000000,-399840000.000000,5259181989696.000000,-2359457241900.000000,-1653568063139.000000,11176185217.000000,72401774258.000000,,84751267929.000000,-2057390122.000000,-872161016043.000000,-2359457241900.000000,-1975978291736.000000,1570085500000.000000,1350000000000.000000,,,-797257490375.000000,,-1297055311361.000000,-2293750990000.000000,,,-508000000000.000000,,-1975978291736.000000,923746456060.000000,3262074784511.000000,-29082573217.000000,4156738667354.000000
12M 2024,-463359496912.000000,35017446066877.000000,-34428843780363.000000,,-412591173375.000000,,563110927660.000000,,,-1058127452659.000000,-143954245052.000000,-399840000.000000,-463359496912.000000,-1628862779286.000000,-1441968955467.000000,32193696444.000000,,,151062730611.000000,-2645875866.000000,-367504375008.000000,-1628862779286.000000,2428387224779.000000,2084830000000.000000,6840000000000.000000,,,-1257909234875.000000,,-1558533540346.000000,-4180000000000.000000,500000000000.000000,,,,2428387224779.000000,336164948581.000000,4156738667354.000000,108545407462.000000,4601449023397.000000
