Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan,Lainnya,Kas Neto Dihasilkan Dari Operasi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penurunan (Kenaikan) Piutang - Pihak Berelasi,Penerimaan Bunga,Penambahan Properti Investasi,Uang Muka Investasi,Investasi Saham,Pembayaran Dividen,Pengembalian Uang Muka Investasi,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Uang Muka Pembelian Perangkat Lunak,Pencairan Uang Jaminan,Pengalihan Saham,Hasil Pelepasan Entitas Anak,Arus Kas Bersih Dari Akuisisi Entitas Anak,Hasil Penjualan Aset Tetap,Pelepasan Aset Tetap,Penerimaan Pelunasan Piutang Dari Penjualan Aset Tetap,"Perolehan Aset Tetap Dalam Rangka Bangun, Kelola, Dan Alih",Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Utang - Pihak Berelasi,Pembayaran Dividen Tunai Oleh Entitas Anak Kepada Kepentingan Non-Pengendali,Uang Muka Pembelian Aset Tetap,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembelian Aset Tetap,(Penerimaan) Pembayaran Utang Pembelian Aset Tetap,Akuisisi Kepentingan Pada Entitas Anak Dari Kepentingan Non-Pengendali,Hasil Penerbitan Saham Baru,Pembayaran Bunga Dan Beban Keuangan Lainnya,Hasil Bersih Penawaran Umum Perdana,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-7899002440.000000,186255545691.000000,,-181054985685.000000,-5715078308.000000,-186770063993.000000,-4011347338.000000,-3373136800.000000,,,-7899002440.000000,-15341420043.000000,1376041265.000000,292809053.000000,,-10934688560.000000,,,,,,,,,,44175000.000000,,,-17500000.000000,-6102256801.000000,-15341420043.000000,39593241159.000000,-7072534291.000000,,,15990448645.000000,-8519273848.000000,,,,,,-1164493395.000000,,,,40359094048.000000,,39593241159.000000,16352818676.000000,2633269837.000000,,18986088513.000000
12M 2009,21106641388.000000,237115987263.000000,,-204579621541.000000,-6214892875.000000,-210794514416.000000,-3890923312.000000,-1323908147.000000,,,21106641388.000000,2739907522.000000,-937797470.000000,195579685.000000,-130000000.000000,-683506700.000000,,,8500000000.000000,,,,,,,425000000.000000,,,-76080000.000000,-4553287993.000000,2739907522.000000,-9193845998.000000,306681051.000000,,,,-6345672830.000000,,,,,,-3154854219.000000,,,,,,-9193845998.000000,14652702912.000000,18986088513.000000,,33638791425.000000
12M 2010,-12533928310.000000,243064023182.000000,,-241642392858.000000,-7686660187.000000,-249329053045.000000,-5430419459.000000,-838478988.000000,,,-12533928310.000000,-3243720499.000000,316816786.000000,66097680.000000,-54067000.000000,-1028975140.000000,,,,,,,,,,30500000.000000,,,,-2574092825.000000,-3243720499.000000,3174371341.000000,-4893466184.000000,,,23200000000.000000,-3584672325.000000,,,,,,-11547490150.000000,,,,,,3174371341.000000,-12603277468.000000,33638791425.000000,,21035513957.000000
12M 2011,13306588636.000000,251689757347.000000,,-220680650786.000000,-10610517911.000000,-231291168697.000000,-6605027168.000000,-486972846.000000,,,13306588636.000000,-15211814692.000000,-9497792058.000000,49061161.000000,,,,,,-5088484885.000000,,,,,,2230000000.000000,,,,-2904598910.000000,-15211814692.000000,13536342339.000000,501088357.000000,,,,-7913200000.000000,18371842697.000000,,,,,2576611285.000000,,,,,,13536342339.000000,11631116283.000000,21035513957.000000,,32666630240.000000
12M 2012,36722568835.000000,274550094392.000000,,-217258916610.000000,-12571240087.000000,-229830156697.000000,-7296209063.000000,-701159797.000000,,,36722568835.000000,-12481055351.000000,8009448144.000000,40053125.000000,,,,,,-22372378870.000000,,,,,,3247585656.000000,,,,-1405763406.000000,-12481055351.000000,-37571211046.000000,2944581272.000000,,,,-20058755556.000000,-9279472476.000000,,,,,-11177564286.000000,,,,,,-37571211046.000000,-13329697562.000000,32666630240.000000,,19336932678.000000
12M 2013,37770688834.000000,277504074452.000000,,-217286362496.000000,-14343061578.000000,-231629424074.000000,-7679211117.000000,-424750427.000000,,,37770688834.000000,-81043100468.000000,-19843636247.000000,51764316.000000,-83086000.000000,,,,,-42477769294.000000,,,,20690567647.000000,,,,,,-39380940890.000000,-81043100468.000000,43618646846.000000,3742887488.000000,,,39193466668.000000,,5731181987.000000,,,,,-5048889297.000000,,,,,,43618646846.000000,346235212.000000,19336932678.000000,,19683167890.000000
12M 2014,67027681949.000000,356755284755.000000,,-263471283661.000000,-16460144699.000000,-279931428360.000000,-9157588138.000000,-638586308.000000,,,67027681949.000000,-52994837288.000000,9315885168.000000,27684671.000000,-710130491.000000,,,,,-59927602095.000000,,,,,,,,,,-1700674541.000000,-52994837288.000000,-23819801187.000000,1858450237.000000,,,,-18925051855.000000,-3604886890.000000,,,,,-3148312679.000000,,,,,,-23819801187.000000,-9786956526.000000,19683167890.000000,5765581.000000,9901976945.000000
12M 2015,54556721038.000000,332481332022.000000,,-249968514805.000000,-20029624330.000000,-269998139135.000000,-7926471849.000000,,,,54556721038.000000,-43871983340.000000,1034929728.000000,27789986.000000,,,,,,-37007152662.000000,,,,,,30358333.000000,,,,-7957908725.000000,-43871983340.000000,-6266329495.000000,19998700948.000000,,,,-12462344446.000000,11997742297.000000,,,,,-25800428294.000000,,,,,,-6266329495.000000,4418408203.000000,9901976945.000000,649725765.000000,14970110913.000000
12M 2016,62385840556.000000,493595579808.000000,,-379086776115.000000,-36829669947.000000,-415916446062.000000,-14517185069.000000,-776108121.000000,,,62385840556.000000,-19036610919.000000,8072239877.000000,19210799.000000,,,,,,-32801688625.000000,,,,,6201913190.000000,5467321489.000000,,,,-5995607649.000000,-19036610919.000000,-38267361948.000000,-12581184977.000000,,,,-17683066668.000000,-32591259191.000000,35262400000.000000,,,,-10674251112.000000,,,,,,-38267361948.000000,5081867689.000000,14970110913.000000,-184760193.000000,19867218409.000000
12M 2017,71949074561.000000,516726492561.000000,,-376112001518.000000,-52796953269.000000,-428908954787.000000,-10253675281.000000,-5614787932.000000,,,71949074561.000000,-80303984938.000000,-7274818955.000000,20167990.000000,,,,-25239500000.000000,,-45240653706.000000,,,,,-139545105.000000,592333334.000000,,,,-3021968496.000000,-80303984938.000000,-1453657526.000000,27395867819.000000,,,,-22321688890.000000,10281539611.000000,,,,,-16809376066.000000,,,,,,-1453657526.000000,-9808567903.000000,19867218409.000000,252061751.000000,10310712257.000000
