Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,193969738759.000000,-158615561471.000000,35354177288.000000,-26169970242.000000,-11577529571.000000,-14592440671.000000,-26169970242.000000,9184207046.000000,-1581767837.000000,292809053.000000,2141801837.000000,-4011347338.000000,41473438.000000,-46504827.000000,-1581767837.000000,7602439209.000000,-2255787018.000000,-1506970300.000000,-748816718.000000,-2255787018.000000,5346652191.000000,648774006.000000,5995426197.000000,,,5995426197.000000,5346652191.000000,648774006.000000,5995426197.000000,,,,
12M 2009,231413658101.000000,-197201369169.000000,34212288932.000000,-29101402779.000000,-12026707382.000000,-17074695397.000000,-29101402779.000000,5110886153.000000,98103623.000000,195579685.000000,2456614936.000000,-3890923312.000000,-32187500.000000,1369019814.000000,98103623.000000,5208989776.000000,-2190807113.000000,-1152479153.000000,-1038327960.000000,-2190807113.000000,3018182663.000000,989939229.000000,4008121892.000000,,,4008121892.000000,3018182663.000000,989939229.000000,4008121892.000000,,,,
12M 2010,264664057041.000000,-223508389493.000000,41155667548.000000,-33309496233.000000,-8153958413.000000,-25155537820.000000,-33309496233.000000,7846171315.000000,-1830539600.000000,66097680.000000,3389925994.000000,-5430419459.000000,30500000.000000,113356185.000000,-1830539600.000000,6015631715.000000,-2422172799.000000,-508490889.000000,-1913681910.000000,-2422172799.000000,3593458916.000000,807934852.000000,4401393768.000000,,,4401393768.000000,3593458916.000000,807934852.000000,4401393768.000000,,,,
12M 2011,254186991543.000000,-197575805104.000000,56611186439.000000,-40447095208.000000,-6774373680.000000,-33672721528.000000,-40447095208.000000,16164091231.000000,-4101877100.000000,49061161.000000,2125968346.000000,-6780732016.000000,417500000.000000,86325409.000000,-4101877100.000000,12062214131.000000,-4121143264.000000,-701159797.000000,-3419983467.000000,-4121143264.000000,7941070867.000000,,7941070867.000000,,7941070867.000000,7941070867.000000,8858529188.000000,-917458321.000000,7941070867.000000,7941070867.000000,8858529188.000000,-917458321.000000,7941070867.000000
12M 2012,280377501128.000000,-216741174280.000000,63636326848.000000,-46846822027.000000,-10458224199.000000,-36388597828.000000,-46846822027.000000,16789504821.000000,-4032124290.000000,40053125.000000,4792329051.000000,-7296209063.000000,-1733805644.000000,165508241.000000,-4032124290.000000,12757380531.000000,-3611459334.000000,-934500427.000000,-2676958907.000000,-3611459334.000000,9145921197.000000,,9145921197.000000,,9145921197.000000,9145921198.000000,8414031698.000000,731889500.000000,9145921198.000000,9145921198.000000,8414031698.000000,731889500.000000,9145921198.000000
12M 2013,298510914300.000000,-231909193853.000000,66601720447.000000,-42228682947.000000,-11215597900.000000,-31013085047.000000,-42228682947.000000,24373037500.000000,-485988445.000000,51764317.000000,6451619068.000000,-7189724034.000000,,200352204.000000,-485988445.000000,23887049055.000000,-6041225046.000000,-2535678453.000000,-3505546593.000000,-6041225046.000000,17845824009.000000,,17845824009.000000,,17845824009.000000,17845824009.000000,19642609865.000000,-1796785856.000000,17845824009.000000,17845824009.000000,19642609865.000000,-1796785856.000000,17845824009.000000
12M 2014,330559143393.000000,-259957282213.000000,70601861180.000000,-47130432684.000000,-9205836174.000000,-37924596510.000000,-47130432684.000000,23471428496.000000,-6158645779.000000,27684671.000000,2419555011.000000,-9075971784.000000,,470086323.000000,-6158645779.000000,17312782717.000000,-4523474621.000000,-3309075179.000000,-1214399442.000000,-4523474621.000000,12789308096.000000,,12789308096.000000,,12789308096.000000,12789308096.000000,13587028711.000000,-797720615.000000,12789308096.000000,12789308096.000000,13587028711.000000,-797720615.000000,12789308096.000000
12M 2015,334569436112.000000,-261059396874.000000,73510039238.000000,-58968812505.000000,-4794914923.000000,-54173897582.000000,-58968812505.000000,14541226733.000000,-5020459989.000000,27789986.000000,2367558546.000000,-7703172454.000000,30358333.000000,257005600.000000,-5020459989.000000,9520766744.000000,-2714381571.000000,-2009516196.000000,-704865375.000000,-2714381571.000000,6806385173.000000,,6806385173.000000,954014177.000000,7760399350.000000,6806385173.000000,9098783370.000000,-2292398197.000000,6806385173.000000,7760399350.000000,10030838773.000000,-2270439423.000000,7760399350.000000
12M 2016,503128333415.000000,-389363616594.000000,113764716821.000000,-72598230527.000000,-6901996316.000000,-65696234211.000000,-72598230527.000000,41166486294.000000,-2785732004.000000,19210799.000000,1484360048.000000,-14517185069.000000,3007485000.000000,7220397218.000000,-2785732004.000000,38380754290.000000,-12995336310.000000,-5736727311.000000,-7258608999.000000,-12995336310.000000,25385417980.000000,,25385417980.000000,455402193.000000,25840820173.000000,25385417980.000000,25617617606.000000,-232199626.000000,25385417980.000000,25840820173.000000,26061079958.000000,-220259785.000000,25840820173.000000
12M 2017,507982290890.000000,-364747243575.000000,143235047315.000000,-98263186786.000000,-13766324055.000000,-84496862731.000000,-98263186786.000000,44971860529.000000,-3053281663.000000,20167990.000000,-76990777.000000,-10253675280.000000,6762759129.000000,494457275.000000,-3053281663.000000,41918578866.000000,-11418797766.000000,-7454890195.000000,-3963907571.000000,-11418797766.000000,30499781100.000000,,30499781100.000000,-998434908.000000,29501346192.000000,30499781100.000000,29809668814.000000,690112286.000000,30499781100.000000,29501346192.000000,28765486882.000000,735859310.000000,29501346192.000000
12M 2018,514853779039.000000,-399842044825.000000,115011734214.000000,-97630449697.000000,-13924078485.000000,-83706371212.000000,-97630449697.000000,17381284517.000000,-10101886314.000000,54219382.000000,4931730754.000000,-15044785717.000000,,-43050733.000000,-10101886314.000000,7279398203.000000,-4414810126.000000,-5162107265.000000,747297139.000000,-4414810126.000000,2864588077.000000,,2864588077.000000,615249587.000000,3479837664.000000,2864588077.000000,3511851378.000000,-647263301.000000,2864588077.000000,3479837664.000000,3950197425.000000,-470359761.000000,3479837664.000000
12M 2019,461925614535.000000,-371435376708.000000,90490237827.000000,-91546564513.000000,-12502067851.000000,-79044496662.000000,-91546564513.000000,-1056326686.000000,-14401094249.000000,732932918.000000,149995676.000000,-15239544253.000000,6000000.000000,-50478590.000000,-14401094249.000000,-15457420935.000000,370761578.000000,,,370761578.000000,-15086659357.000000,,-15086659357.000000,518112289.000000,-14568547068.000000,-15086659357.000000,-14806922423.000000,-279736934.000000,-15086659357.000000,-14568547068.000000,-14193896981.000000,-374650087.000000,-14568547068.000000
12M 2020,73333638785.000000,-95600145849.000000,-22266507064.000000,-78327177960.000000,-1589346984.000000,-76737830976.000000,-78327177960.000000,-100593685024.000000,-3570503270.000000,131454249.000000,857906602.000000,-12765805398.000000,3067272650.000000,5138668627.000000,-3570503270.000000,-104164188294.000000,16770516918.000000,,16770516918.000000,16770516918.000000,-87393671376.000000,,-87393671376.000000,529631754.000000,-86864039622.000000,-87393671376.000000,-83349771476.000000,-4043899900.000000,-87393671376.000000,-86864039622.000000,-83442179416.000000,-3421860206.000000,-86864039622.000000
12M 2021,9280503778.000000,-25007112107.000000,-15726608329.000000,-41750825987.000000,-641273617.000000,-41109552370.000000,-41750825987.000000,-57477434316.000000,-18361188208.000000,18423948.000000,1140141911.000000,-11317669273.000000,5828596308.000000,-14030681102.000000,-18361188208.000000,-75838622524.000000,12849490989.000000,,12849490989.000000,12849490989.000000,-62989131535.000000,,-62989131535.000000,1383786959.000000,-61605344576.000000,-62989131535.000000,-60591729163.000000,-2397402372.000000,-62989131535.000000,-61605344576.000000,-59216876507.000000,-2388468069.000000,-61605344576.000000
12M 2022,150812404962.000000,-124259990874.000000,26552414088.000000,-39787170832.000000,-4931889226.000000,-34855281606.000000,-39787170832.000000,-13234756744.000000,16526639773.000000,4123559.000000,3222292778.000000,-9751294344.000000,63347916.000000,22988169864.000000,16526639773.000000,3291883029.000000,-2140052873.000000,,-2140052873.000000,-2140052873.000000,1151830156.000000,,1151830156.000000,1065723419.000000,2217553575.000000,1151830156.000000,-2291689701.000000,3443519857.000000,1151830156.000000,2217553575.000000,-1225966282.000000,3443519857.000000,2217553575.000000
12M 2023,368511772648.000000,-295313899772.000000,73197872876.000000,-47019594198.000000,-8483388328.000000,-38536205870.000000,-47019594198.000000,26178278678.000000,11404330354.000000,41189849.000000,5067685293.000000,-12974175112.000000,184901450.000000,19084728874.000000,11404330354.000000,37582609032.000000,-2229689049.000000,,-2229689049.000000,-2229689049.000000,35352919983.000000,,35352919983.000000,1432277626.000000,36785197609.000000,35352919983.000000,23898949712.000000,11453970271.000000,35352919983.000000,36785197609.000000,25331227338.000000,11453970271.000000,36785197609.000000
12M 2024,446794423246.000000,-359449292262.000000,87345130984.000000,-55501187749.000000,-13609051380.000000,-41892136369.000000,-55501187749.000000,31843943235.000000,-6490441139.000000,77950823.000000,9329683708.000000,-13856495354.000000,,-2041580316.000000,-6490441139.000000,25353502096.000000,-6918104951.000000,-6271636738.000000,-646468213.000000,-6918104951.000000,18435397145.000000,,18435397145.000000,-3043264339.000000,15392132806.000000,18435397145.000000,9761009761.000000,8674387384.000000,18435397145.000000,15392132806.000000,6717745422.000000,8674387384.000000,15392132806.000000
