Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Aset Tetap,Others,Total Aset Tetap,Properti Investasi,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,18986088513.000000,15166203023.000000,2397663337.000000,12768539686.000000,15166203023.000000,3586956728.000000,,33200686265.000000,70939934529.000000,,4652993242.000000,30843456.000000,42025199724.000000,27599701138.000000,14425498586.000000,42025199724.000000,51150444992.000000,,,4420083389.000000,102279564803.000000,,173219499332.000000,,,28959447217.000000,9520527626.000000,,4489647500.000000,6755720516.000000,11245368016.000000,310645179.000000,,,310645179.000000,1996333511.000000,498030672.000000,,,2178175406.000000,2378805254.000000,,4556980660.000000,831561553.000000,28959447217.000000,37274038372.000000,9446237260.000000,,20667497424.000000,4097701351.000000,,24765198775.000000,1969752369.000000,1092849968.000000,37274038372.000000,66233485589.000000,,71500000000.000000,18859094048.000000,13450967106.000000,,,13450967106.000000,3175952589.000000,,106986013743.000000,173219499332.000000,715000000.000000
12M 2009,,,33638791425.000000,9302187753.000000,1014335393.000000,8287852360.000000,9302187753.000000,3243369425.000000,,18313210434.000000,64497559037.000000,,5590790712.000000,36473170.000000,40867269813.000000,27667435261.000000,13199834552.000000,40867269813.000000,53306346533.000000,,,6900232133.000000,106701112361.000000,,171198671398.000000,,,29151004838.000000,9717823901.000000,,2394215412.000000,6255584293.000000,8649799705.000000,1377449395.000000,,,1377449395.000000,1671811568.000000,330721812.000000,,,2000000000.000000,4733532012.000000,,6733532012.000000,669866445.000000,29151004838.000000,32043470154.000000,9752918311.000000,,15000000000.000000,2847752495.000000,,17847752495.000000,3013710043.000000,1429089305.000000,32043470154.000000,61194474992.000000,,71500000000.000000,18859094048.000000,17459088998.000000,,,17459088998.000000,2186013360.000000,,110004196406.000000,171198671398.000000,715000000.000000
12M 2010,,,21035513957.000000,30756451062.000000,3546244551.000000,27210206511.000000,30756451062.000000,1538975189.000000,5273973926.000000,10581514831.000000,69186428965.000000,,,40383104.000000,76888660427.000000,64993494409.000000,11895166018.000000,76888660427.000000,53545250362.000000,,,8885166710.000000,139359460603.000000,,208545889568.000000,,,46302062057.000000,9374851576.000000,,1403123908.000000,13321098766.000000,14724222674.000000,205174588.000000,,,205174588.000000,1459910946.000000,232841287.000000,4859452127.000000,,7913200000.000000,7007921073.000000,,14921121073.000000,524487786.000000,46302062057.000000,41994220519.000000,,,29045100000.000000,6066573284.000000,,35111673284.000000,5013619340.000000,1868927895.000000,41994220519.000000,88296282576.000000,,71500000000.000000,18859094048.000000,22107434438.000000,,,22107434438.000000,7783078506.000000,,120249606992.000000,208545889568.000000,715000000.000000
12M 2011,,,32666630240.000000,33511436960.000000,3154011212.000000,30357425748.000000,33511436960.000000,3003348992.000000,,11844925156.000000,81026341348.000000,,15592483559.000000,81028142.000000,91750995904.000000,81160498420.000000,10590497484.000000,91750995904.000000,50909134438.000000,,,6564543459.000000,164898185502.000000,,245924526850.000000,,,62608013561.000000,27746694273.000000,,1534758832.000000,7869189781.000000,9403948613.000000,362219371.000000,,,362219371.000000,2106542919.000000,467169809.000000,,,12368755556.000000,9313667668.000000,,21682423224.000000,839015352.000000,62608013561.000000,55125835428.000000,5360540484.000000,,29076344444.000000,9838437974.000000,,38914782418.000000,8474247845.000000,2376264681.000000,55125835428.000000,117733848989.000000,,71500000000.000000,18859094048.000000,30965963626.000000,,,30965963626.000000,6865620187.000000,,128190677861.000000,245924526850.000000,715000000.000000
12M 2012,,,19336932678.000000,39555482090.000000,8518560686.000000,31036921404.000000,39555482090.000000,1569773930.000000,,11157850418.000000,71620039116.000000,,1239936269.000000,,82789818785.000000,72949925346.000000,9839893439.000000,82789818785.000000,48235859333.000000,,,25783478036.000000,158049092423.000000,,229669131539.000000,,,55519502435.000000,18467221797.000000,,4268555440.000000,14730999341.000000,18999554781.000000,591694534.000000,,,591694534.000000,2191018450.000000,174713589.000000,,,8948755555.000000,5048889298.000000,,13997644853.000000,1097654431.000000,55519502435.000000,36813030045.000000,1962022610.000000,,17237588889.000000,3573332058.000000,,20810920947.000000,11070178610.000000,2969907878.000000,36813030045.000000,92332532480.000000,,71500000000.000000,18859094048.000000,39379995325.000000,,,39379995325.000000,7597509687.000000,,137336599060.000000,229669131540.000000,715000000.000000
12M 2013,,,19683167890.000000,61203049395.000000,12577703071.000000,48625346324.000000,61203049395.000000,1236090913.000000,,15253920500.000000,97376228698.000000,,21383572516.000000,,127325626044.000000,127325626044.000000,,127325626044.000000,3725736194.000000,,,44734828626.000000,197169763380.000000,,294545992078.000000,,,64178168727.000000,24198403784.000000,,551563840.000000,11619447016.000000,12171010856.000000,648249932.000000,,,648249932.000000,2844020978.000000,740702313.000000,,,18925051853.000000,2912347123.000000,,21837398976.000000,1738381888.000000,64178168727.000000,71111420796.000000,5704910098.000000,,46454759259.000000,660984935.000000,,47115744194.000000,14575725203.000000,3715041301.000000,71111420796.000000,135289589523.000000,,71500000000.000000,29163786585.000000,59022605189.000000,,59022605189.000000,59022605189.000000,-429989219.000000,,159256402555.000000,294545992078.000000,715000000.000000
12M 2014,,,9901976945.000000,33841315757.000000,9625505652.000000,24215810105.000000,33841315757.000000,1889807887.000000,,25383570990.000000,71016671579.000000,,12067687348.000000,1411735886.000000,119244828946.000000,119244828946.000000,,119244828946.000000,4125939582.000000,,,127086366960.000000,263936558722.000000,,334953230301.000000,,,86088037657.000000,20593516894.000000,,728427732.000000,21341301775.000000,22069729507.000000,801621201.000000,,,801621201.000000,5290364594.000000,2001081279.000000,,,31014552446.000000,3744382124.000000,,34758934570.000000,572789612.000000,86088037657.000000,76819481993.000000,7563360335.000000,,40204814811.000000,6735997255.000000,,46940812066.000000,17201860531.000000,5113449061.000000,76819481993.000000,162907519650.000000,,71500000000.000000,29163786585.000000,72609633900.000000,,72609633900.000000,72609633900.000000,-1227709834.000000,,172045710651.000000,334953230301.000000,715000000.000000
12M 2015,,,14970110913.000000,35533533429.000000,13348946228.000000,22184587201.000000,35533533429.000000,2767682993.000000,,33459165774.000000,86730493109.000000,,10983025291.000000,2999456966.000000,239960973840.000000,239960973840.000000,,239960973840.000000,3768670743.000000,,,49458805300.000000,307170932140.000000,,393901425249.000000,,,86640642174.000000,32591259191.000000,,913022617.000000,21183911254.000000,22096933871.000000,271350579.000000,,,271350579.000000,7350922072.000000,718028940.000000,,,17333225399.000000,5725744114.000000,,23058969513.000000,553178008.000000,86640642174.000000,128911612486.000000,27562061283.000000,,67699189412.000000,7210960961.000000,,74910150373.000000,19326805242.000000,7112595588.000000,128911612486.000000,215552254660.000000,,71500000000.000000,29163786585.000000,81257867068.000000,,,81257867068.000000,-3572483064.000000,,178349170589.000000,393901425249.000000,715000000.000000
12M 2016,,,19867218409.000000,46726421938.000000,5771908403.000000,40954513535.000000,46726421938.000000,4169569487.000000,,17440439064.000000,88203648898.000000,,2910785414.000000,,309371843860.000000,309371843860.000000,,309371843860.000000,3411401904.000000,1337891557.000000,,59713727721.000000,376745650456.000000,,464949299354.000000,,,78227864361.000000,,,1525370192.000000,26578595807.000000,28103965999.000000,2279157674.000000,,,2279157674.000000,6673312891.000000,348903540.000000,,,22521688890.000000,16087522457.000000,,38609211347.000000,2213312910.000000,78227864361.000000,182313377120.000000,14980876306.000000,,110837659253.000000,24124714785.000000,,134962374038.000000,23397735029.000000,8972391747.000000,182313377120.000000,260541241481.000000,,71500000000.000000,29163786585.000000,106404091884.000000,,,106404091884.000000,-3574675738.000000,914855142.000000,204408057873.000000,464949299354.000000,715000000.000000
12M 2017,,,10310712257.000000,37501022274.000000,1542677220.000000,35958345054.000000,37501022274.000000,13747956005.000000,,19014314408.000000,80574004944.000000,,10185604369.000000,52592847.000000,276804491081.000000,276804491081.000000,,276804491081.000000,3054133065.000000,1337891557.000000,,93717627285.000000,385152340204.000000,,465726345148.000000,,,72166353752.000000,10281539611.000000,,1344655998.000000,13349486870.000000,14694142868.000000,4550085472.000000,,,4550085472.000000,7695991319.000000,897412379.000000,,,20172059253.000000,12143007933.000000,,32315067186.000000,1732114917.000000,72166353752.000000,184890087331.000000,42376744125.000000,,90865600000.000000,13660333243.000000,,104525933243.000000,27055329603.000000,10932080360.000000,184890087331.000000,257056441083.000000,,71500000000.000000,29163786585.000000,109866947376.000000,109866947376.000000,,109866947376.000000,-2838816428.000000,977986532.000000,208669904065.000000,465726345148.000000,715000000.000000
