Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.69,145.19,0.69,145.19,14 B,34 B,48 B,29 B,42 B
12M 2009,0.83,150.79,0.83,150.79,16 B,28 B,44 B,10 B,35 B
12M 2010,1.19,157.30,1.19,157.30,24 B,35 B,59 B,38 B,23 B
12M 2011,0.56,169.69,0.56,169.69,49 B,44 B,94 B,61 B,18 B
12M 2012,0.88,181.45,0.88,181.45,32 B,23 B,55 B,36 B,16 B
12M 2013,0.61,223.34,0.61,223.34,46 B,53 B,99 B,79 B,33 B
12M 2014,0.76,242.34,0.76,242.34,55 B,55 B,110 B,100 B,(15 B)
12M 2015,0.63,254.44,0.63,254.44,56 B,102 B,158 B,143 B,0 B
12M 2016,0.87,290.88,0.88,289.01,39 B,150 B,189 B,169 B,10 B
12M 2017,4.50,295.82,4.52,293.95,43 B,147 B,189 B,179 B,8 B
12M 2018,5.14,301.34,5.18,299.47,76 B,105 B,181 B,168 B,(9 B)
12M 2019,3.09,281.49,3.11,279.62,39 B,154 B,193 B,177 B,51 B
12M 2020,3.04,142.78,3.08,140.91,75 B,124 B,199 B,192 B,(68 B)
12M 2021,5.04,59.96,5.20,58.09,75 B,139 B,214 B,209 B,(77 B)
12M 2022,5.25,58.25,6.23,49.09,59 B,122 B,181 B,167 B,(42 B)
12M 2023,2.35,93.67,2.54,86.57,56 B,109 B,165 B,139 B,1 B
12M 2024,2.65,95.72,2.83,89.79,63 B,100 B,163 B,112 B,16 B
