Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,147923820007.000000,-132181432766.000000,15742387241.000000,-5717243185.000000,-3028662079.000000,-2688581106.000000,-5717243185.000000,10025144056.000000,-10593604896.000000,,-11148040390.000000,487352247.000000,67083247.000000,,,-10593604896.000000,-568460840.000000,203222909.000000,-47691200.000000,250914109.000000,,203222909.000000,-365237931.000000,-234391.000000,-365472322.000000,,,-365472322.000000,-365472322.000000,,-365472322.000000,,,,
12M 2009,118910879565.000000,-104827797901.000000,14083081664.000000,-4339166385.000000,-2075105998.000000,-2264060387.000000,-4339166385.000000,9743915279.000000,-9521952070.000000,,-9619732162.000000,94556319.000000,178879469.000000,,-175655696.000000,-9521952070.000000,221963209.000000,-117798223.000000,,-117798223.000000,,-117798223.000000,104164986.000000,1757934.000000,105922920.000000,,,105922920.000000,105922920.000000,,105922920.000000,,,,
12M 2010,41043784000.000000,-35115553415.000000,5928230585.000000,-2929075725.000000,-589113224.000000,-2339962501.000000,-2929075725.000000,2999154860.000000,-21910806777.000000,,-20650409213.000000,-397564.000000,,,-1260000000.000000,-21910806777.000000,-18911651917.000000,4711714012.000000,,4711714012.000000,,4711714012.000000,-14199937905.000000,58041813.000000,-14141896092.000000,,,-14141896092.000000,-14141896092.000000,,-14141896092.000000,,,,
12M 2011,20729587467.000000,-22925202889.000000,-2195615422.000000,-24653415116.000000,-480728910.000000,-24172686206.000000,-24653415116.000000,-26849030538.000000,-43534171032.000000,5156749144.000000,,67508873.000000,661639285.000000,,-49420068334.000000,-43534171032.000000,-70383201570.000000,853844893.000000,,853844893.000000,,853844893.000000,-69529356677.000000,,-69529356677.000000,,-69529356677.000000,-69529356677.000000,-69529356677.000000,,-69529356677.000000,-69529356677.000000,-69529356677.000000,,-69529356677.000000
12M 2012,125021934681.000000,-119083715989.000000,5938218692.000000,-5821276996.000000,-210719800.000000,-5610557196.000000,-5821276996.000000,116941696.000000,5379113308.000000,,-8164835.000000,200326432.000000,,,5186951711.000000,5379113308.000000,5496055004.000000,-1516830719.000000,-849200500.000000,-667630219.000000,,-1516830719.000000,3979224285.000000,,3979224285.000000,,3979224285.000000,3979224285.000000,3979224285.000000,,3979224285.000000,3979224285.000000,3979224285.000000,,3979224285.000000
12M 2013,126892965674.000000,-123165873826.000000,3727091848.000000,-3938647933.000000,-12007100.000000,-3926640833.000000,-3938647933.000000,-211556085.000000,521538775.000000,,-674131.000000,6753195.000000,,,515459711.000000,521538775.000000,309982690.000000,-162883240.000000,,-162883240.000000,,-162883240.000000,147099450.000000,,147099450.000000,,147099450.000000,147099450.000000,147099450.000000,,147099450.000000,147099450.000000,147099450.000000,,147099450.000000
12M 2014,144378961449.000000,-139606512507.000000,4772448942.000000,-4672320136.000000,-801269658.000000,-3871050478.000000,-4672320136.000000,100128806.000000,323759438.000000,,7514420.000000,-72465806.000000,,,388710824.000000,323759438.000000,423888244.000000,-199089070.000000,,-199089070.000000,,-199089070.000000,224799174.000000,,224799174.000000,,224799174.000000,224799174.000000,224799174.000000,,224799174.000000,224799174.000000,224799174.000000,,224799174.000000
12M 2015,86306680432.000000,-81592765545.000000,4713914887.000000,-4237080189.000000,-57000000.000000,-4180080189.000000,-4237080189.000000,476834698.000000,102744043.000000,,-3399971.000000,60660761.000000,,,45483253.000000,102744043.000000,579578741.000000,-312125377.000000,,-312125377.000000,,-312125377.000000,267453364.000000,,267453364.000000,17993173.000000,285446537.000000,267453364.000000,267453364.000000,,267453364.000000,285446537.000000,285446537.000000,,285446537.000000
12M 2016,119680398651.000000,-115115369073.000000,4565029578.000000,-3989929324.000000,-115484019.000000,-3874445305.000000,-3989929324.000000,575100254.000000,463754990.000000,,-4054709.000000,,,,467809699.000000,463754990.000000,1038855244.000000,-11008519359.000000,-225162250.000000,-10783357109.000000,,-11008519359.000000,-9969664115.000000,,-9969664115.000000,-29371511.000000,-9999035626.000000,-9969664115.000000,-9969664115.000000,,-9969664115.000000,-9999035626.000000,-9999035626.000000,,-9999035626.000000
12M 2017,231818084817.000000,-226001699989.000000,5816384828.000000,-4690692595.000000,-754121701.000000,-3936570894.000000,-4690692595.000000,1125692233.000000,9320211.000000,,8333938.000000,,,,986273.000000,9320211.000000,1135012444.000000,-357614170.000000,-439597250.000000,81983080.000000,,-357614170.000000,777398274.000000,,777398274.000000,-118219489.000000,659178785.000000,777398274.000000,777398274.000000,,777398274.000000,659178785.000000,659178785.000000,,659178785.000000
