Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Usaha,Utang (Pembayaran) Pajak,Utang (Pembayaran) Beban Bunga,Penerimaan Bunga,Penerimaan (Pembayaran) Untuk Kegiatan Usaha Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Hak Minoritas,Penempatan Investasi,Penerimaan Pinjaman Lembaga Keuangan,Penerimaan Dana Right Issue,Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Penerimaan Dari Hutang Bank,Penerimaan Pinjaman Lembaga Keuangan,Pembayaran Untuk Pinjaman Bank,Pembayaran Dividen,Penerbitan Saham Kepada Pihak Non Pengendali,Sewa Guna Usaha,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-4431933548.000000,147561419340.000000,-142227582023.000000,,-4924601415.000000,-146425051.000000,-5225581896.000000,,530837497.000000,-4431933548.000000,112361936.000000,-10938914.000000,,,123300850.000000,,,,112361936.000000,3846920244.000000,,,4278399695.000000,,-204380000.000000,,,-227099451.000000,3846920244.000000,-472651368.000000,,1276175915.000000,803524547.000000
12M 2009,271680991.000000,113382551946.000000,-107621372212.000000,,-3712371654.000000,-114883722.000000,-1268485016.000000,,-393758351.000000,271680991.000000,198510900.000000,-7064000.000000,190000000.000000,,15574900.000000,,,,198510900.000000,-837447992.000000,,,,,-804122188.000000,,,-33325804.000000,-837447992.000000,-367256101.000000,,803524547.000000,436268446.000000
12M 2010,-2940037755.000000,39447623335.000000,-32708841989.000000,,-938120145.000000,-244857445.000000,-10389869144.000000,,1894027633.000000,-2940037755.000000,1182818187.000000,-11318349999.000000,12444987071.000000,,,,,56181115.000000,1182818187.000000,1406867626.000000,,,1406867626.000000,,,,,,1406867626.000000,-350351942.000000,,436368444.000000,86016502.000000
12M 2011,13793933613.000000,30475880157.000000,-16292402750.000000,,-1551537762.000000,-44025544.000000,-5973317640.000000,,7179337152.000000,13793933613.000000,-69312133649.000000,-70085700000.000000,773566351.000000,,,,,,-69312133649.000000,55812500000.000000,69512500000.000000,,,,-13700000000.000000,,,,55812500000.000000,294299964.000000,,86016501.000000,380316465.000000
12M 2012,911414954.000000,121784865948.000000,-120360156010.000000,,-6420022351.000000,661839890.000000,,,5244887477.000000,911414954.000000,-203295000.000000,-195750000.000000,,,,,,-7545000.000000,-203295000.000000,100000000.000000,100000000.000000,,,,,,,,100000000.000000,808119954.000000,,380316465.000000,1188436419.000000
12M 2013,4179484474.000000,123821533327.000000,-115713264953.000000,,-3266153110.000000,-877334899.000000,-674131.000000,,215378240.000000,4179484474.000000,-672650630.000000,-672650630.000000,,,,,,,-672650630.000000,-4430040000.000000,,,,,-4430040000.000000,,,,-4430040000.000000,-923206156.000000,,1188436418.000000,265230262.000000
12M 2014,462267600.000000,149179229596.000000,-145859085319.000000,,-3181636115.000000,,7514420.000000,,316245018.000000,462267600.000000,-148830000.000000,-148830000.000000,,,,,,,-148830000.000000,,,,,,,,,,,313437600.000000,,265230262.000000,578667862.000000
12M 2015,528843120.000000,94486946639.000000,-92340261786.000000,,-1516818607.000000,-203767170.000000,,,102744044.000000,528843120.000000,-7884000.000000,-7884000.000000,,,,,,,-7884000.000000,,,,,,,,,,,520959120.000000,,578667862.000000,1099626982.000000
12M 2016,170702955.000000,116313694320.000000,-116802220161.000000,,-756251690.000000,981097007.000000,,-4054709.000000,438438188.000000,170702955.000000,,,,,,,,,,,,,,,,,,,,170702955.000000,,1099626982.000000,1270329937.000000
12M 2017,-1048482481.000000,237685378926.000000,-231503720024.000000,,-5305554866.000000,-1815687239.000000,,8333938.000000,-117233216.000000,-1048482481.000000,,,,,,,,,,,,,,,,,,,,-1048482481.000000,,1270329937.000000,221847456.000000
12M 2018,1134653964.000000,293940438332.000000,-285787283230.000000,,-5812350225.000000,-512385538.000000,,19925405.000000,-713690780.000000,1134653964.000000,1625000000.000000,,,,,1625000000.000000,,,1625000000.000000,,,,,,,,,,,2759653964.000000,,221847458.000000,2981501422.000000
12M 2019,1186911956.000000,211823823044.000000,-202470283657.000000,,-6668467384.000000,-1487495803.000000,,202407411.000000,-213071655.000000,1186911956.000000,954811100.000000,,,,,-1625000000.000000,2579811100.000000,,954811100.000000,,,,,,,,,,,2141723056.000000,,2981501422.000000,5123224478.000000
