Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,803524547.000000,58856640060.000000,,,58856640060.000000,181598000.000000,73643788725.000000,38029452575.000000,171515003907.000000,,,35176501748.000000,,,,,71756015.000000,35248257763.000000,206763261670.000000,,,123258045395.000000,90820805626.000000,70458243.000000,,,70458243.000000,7876986403.000000,,7876986403.000000,15695182238.000000,2399580526.000000,,33225804.000000,6361806555.000000,,6395032359.000000,,,123258045395.000000,1254701006.000000,1254701006.000000,,,,,,,,1254701006.000000,124512746401.000000,,52000000000.000000,12454405615.000000,17521674604.000000,,,17521674604.000000,274435050.000000,,82250515269.000000,206763261670.000000,520000000.000000
12M 2009,,,436368446.000000,58004206188.000000,,,58004206188.000000,,64197973636.000000,51752235579.000000,174390783849.000000,,,32998534866.000000,,,,,56181115.000000,33054715981.000000,207445499830.000000,,,123718320344.000000,90437899047.000000,,,,,1496224909.000000,,1496224909.000000,23607135230.000000,2236470212.000000,,,5940590946.000000,,5940590946.000000,,,123718320344.000000,1372499230.000000,1372499230.000000,,,,,,,,1372499230.000000,125090819574.000000,,52000000000.000000,12454405615.000000,17627597524.000000,,,17627597524.000000,272677116.000000,,82354680255.000000,207445499829.000000,520000000.000000
12M 2010,,,86016501.000000,58104141949.000000,,,58104141949.000000,,68381077669.000000,47525965860.000000,174097201979.000000,,,30719771300.000000,,,,,,30719771300.000000,204816973279.000000,,,140001445709.000000,97785357619.000000,2160000000.000000,,,2160000000.000000,,,,1621299522.000000,1991612764.000000,,,,,,,36443175804.000000,140001445709.000000,-3339214779.000000,-3339214779.000000,,,,,,,,-3339214779.000000,136662230930.000000,,52000000000.000000,12454405615.000000,3485701433.000000,,,3485701433.000000,214635303.000000,,68154742351.000000,204816973281.000000,520000000.000000
12M 2011,,,380316465.000000,2108284610.000000,,,2108284610.000000,,3379862600.000000,24460345.000000,5892924020.000000,,100000000.000000,73275709134.000000,,702384885.000000,,,20242500.000000,74098336519.000000,79991260539.000000,,,12045573741.000000,4430040000.000000,5483688600.000000,,,5483688600.000000,,,,292289400.000000,5040075.000000,,,,,,,1834515666.000000,12045573741.000000,69534936427.000000,,69512500000.000000,,,,,,22436427.000000,69534936427.000000,81580510168.000000,,52000000000.000000,12454405615.000000,-66043655244.000000,,,-66043655244.000000,,,-1589249629.000000,79991260539.000000,520000000.000000
12M 2012,,,1188436418.000000,12750989731.000000,,,12750989731.000000,,9712228384.000000,3542673253.000000,27194327786.000000,,,70229272934.000000,,34754666.000000,,,27787500.000000,70291815100.000000,97486142886.000000,,,25444649565.000000,4430040000.000000,10539614363.000000,,,10539614363.000000,,,,347153500.000000,887689648.000000,,,,,,,9240152054.000000,25444649565.000000,69651518665.000000,,69512500000.000000,,,,,,139018665.000000,69651518665.000000,95096168230.000000,,52000000000.000000,12454405615.000000,-62064430959.000000,,,-62064430959.000000,,,2389974656.000000,97486142886.000000,520000000.000000
12M 2013,,,265230262.000000,19468465672.000000,,,19468465672.000000,,10272505891.000000,5128678711.000000,35134880536.000000,,,67874190753.000000,,11526676458.000000,,,27787500.000000,79428654711.000000,114563535247.000000,,,29717857788.000000,,16796317747.000000,,,16796317747.000000,,,,137118272.000000,205060786.000000,,,,,,,12579360983.000000,29717857788.000000,69804597821.000000,,69512500000.000000,,,,,,292097821.000000,69804597821.000000,99522455609.000000,,52000000000.000000,12454405615.000000,-49413325977.000000,,,-49413325977.000000,,,15041079638.000000,114563535247.000000,520000000.000000
12M 2014,,,578667862.000000,11108197525.000000,,,11108197525.000000,,18681617727.000000,2367031798.000000,32735514912.000000,,,64910424778.000000,,11327587388.000000,,,27787500.000000,76265799666.000000,109001314578.000000,,,23758753161.000000,,14089902753.000000,,,14089902753.000000,,,,125302340.000000,524187085.000000,,,,,,,9019360983.000000,23758753161.000000,69976682604.000000,,69512500000.000000,,,,,,464182604.000000,69976682604.000000,93735435765.000000,,52000000000.000000,12454405615.000000,-49188526802.000000,,,-49188526802.000000,,,15265878813.000000,109001314578.000000,520000000.000000
12M 2015,,,1099626982.000000,5570890167.000000,,,5570890167.000000,,24822720026.000000,3193361807.000000,34686598982.000000,,,61797828804.000000,,11051235330.000000,,,35671500.000000,72884735634.000000,107571334616.000000,,,21801319792.000000,,9483508810.000000,,,9483508810.000000,,,,46261000.000000,609230150.000000,,,,,,,11662319832.000000,21801319792.000000,70317933977.000000,,69512500000.000000,,,,,,805433977.000000,70317933977.000000,92119253769.000000,,52000000000.000000,12454405615.000000,,,,,,-49002324771.000000,15452080844.000000,107571334613.000000,520000000.000000
12M 2016,,,1270329936.000000,10917361498.000000,,,10917361498.000000,,30801536962.000000,3806848403.000000,46796076799.000000,,,58685232828.000000,,277668724.000000,,,135671500.000000,59098573052.000000,105894649851.000000,,,99230929740.000000,,13775474659.000000,,,13775474659.000000,,69512500000.000000,69512500000.000000,225048443.000000,2075819806.000000,,,,,,,13642086832.000000,99230929740.000000,1110674894.000000,,,,,,,,1110674894.000000,1110674894.000000,100341604634.000000,,52000000000.000000,12554405615.000000,,,,,,-59001360396.000000,5553045219.000000,105894649853.000000,520000000.000000
12M 2017,,,221847458.000000,18757791993.000000,18757791993.000000,,18757791993.000000,972727300.000000,39915050341.000000,7722819408.000000,67590236500.000000,,,55795819374.000000,,399058301.000000,,,35671500.000000,56230549175.000000,123820785675.000000,,,46499828466.000000,,17386968005.000000,,,17386968005.000000,,,,310000000.000000,480321723.000000,,,,,,,28322538738.000000,46499828466.000000,1596233201.000000,,,,,,,,1596233201.000000,1596233201.000000,48096061667.000000,,52000000000.000000,12554405615.000000,,,,,,11170318392.000000,75724724007.000000,123820785674.000000,520000000.000000
