Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Obligasi,Utang Lain Jangka Panjang,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,211495305000.000000,6343536000.000000,,,6343536000.000000,85894955000.000000,10786127000.000000,314519923000.000000,,13059915000.000000,,166690320000.000000,,290488657000.000000,470238892000.000000,784758815000.000000,,,238320170000.000000,4514828000.000000,,94036479000.000000,14575724000.000000,108612203000.000000,,34553566000.000000,6083839000.000000,40637405000.000000,36891682000.000000,30675943000.000000,,1142952000.000000,,,,,1142952000.000000,,15845157000.000000,238320170000.000000,63893447000.000000,,762058000.000000,,,,762058000.000000,26249347000.000000,,,,36882042000.000000,63893447000.000000,302213617000.000000,,44625000000.000000,,437920198000.000000,3969013000.000000,433951185000.000000,437920198000.000000,,482545198000.000000,784758815000.000000,446250000.000000
12M 2009,,,374432253000.000000,7505630000.000000,,,7505630000.000000,95221572000.000000,16150536000.000000,493309991000.000000,,15331451000.000000,,187610617000.000000,,345156775000.000000,548098843000.000000,1041408834000.000000,,,320777724000.000000,3601077000.000000,,110687799000.000000,22993955000.000000,133681754000.000000,,56169662000.000000,13675127000.000000,69844789000.000000,58406900000.000000,38351009000.000000,,1236731000.000000,,,,,1236731000.000000,,15655464000.000000,320777724000.000000,81525578000.000000,,1254152000.000000,,,,1254152000.000000,29614802000.000000,,273812000.000000,,50382812000.000000,81525578000.000000,402303302000.000000,,44625000000.000000,,594480532000.000000,5221693000.000000,589258839000.000000,594480532000.000000,,639105532000.000000,1041408834000.000000,446250000.000000
12M 2010,,,374207101000.000000,40801767000.000000,13881251000.000000,26920516000.000000,40801767000.000000,117652784000.000000,25515681000.000000,558177333000.000000,,,,220934520000.000000,,456931191000.000000,677865711000.000000,1236043044000.000000,,,326766753000.000000,1079829000.000000,,101194228000.000000,26715338000.000000,127909566000.000000,,83210716000.000000,3779556000.000000,86990272000.000000,48906770000.000000,43113671000.000000,,1469086000.000000,,,,,1469086000.000000,,17297559000.000000,326766753000.000000,107612332000.000000,,2033918000.000000,,,,2033918000.000000,35293436000.000000,,503043000.000000,,69781935000.000000,107612332000.000000,434379085000.000000,,44625000000.000000,,757038959000.000000,7041659000.000000,749997300000.000000,757038959000.000000,,801663959000.000000,1236043044000.000000,446250000.000000
12M 2011,,,558725611000.000000,42297953000.000000,12092708000.000000,30205245000.000000,42297953000.000000,128904620000.000000,28770904000.000000,758699088000.000000,,,,236301891000.000000,,552981045000.000000,789282936000.000000,1547982024000.000000,,,422292264000.000000,,,163990770000.000000,37016096000.000000,201006866000.000000,,79530497000.000000,546285000.000000,80076782000.000000,50233671000.000000,46634974000.000000,,1367815000.000000,,,,,1367815000.000000,,42972156000.000000,422292264000.000000,294971277000.000000,,1452971000.000000,,,,1452971000.000000,49322215000.000000,195176988000.000000,478125000.000000,,48540978000.000000,294971277000.000000,717263541000.000000,,46041660000.000000,154416667000.000000,630260156000.000000,8925000000.000000,621335156000.000000,630260156000.000000,,830718483000.000000,1547982024000.000000,460416595.000000
12M 2012,,,567558921000.000000,44960859000.000000,17418440000.000000,27542419000.000000,44960859000.000000,153175832000.000000,37144076000.000000,802839688000.000000,,,,305158162000.000000,,673908144000.000000,979066306000.000000,1781905994000.000000,,,454121516000.000000,,,144308910000.000000,72416298000.000000,216725208000.000000,,86192864000.000000,364592000.000000,86557456000.000000,54535975000.000000,57684717000.000000,,3959175000.000000,,,,,3959175000.000000,,34658985000.000000,454121516000.000000,337061671000.000000,,4404460000.000000,,,,4404460000.000000,54914125000.000000,196010910000.000000,190626000.000000,,81541550000.000000,337061671000.000000,791183187000.000000,,46041660000.000000,154416667000.000000,790264480000.000000,10070273000.000000,780194207000.000000,790264480000.000000,,990722807000.000000,1781905994000.000000,460416595.000000
12M 2013,,,640581168000.000000,59326702000.000000,39551599000.000000,19775103000.000000,59326702000.000000,178869725000.000000,33877303000.000000,912654898000.000000,,,,333549473000.000000,,781920292000.000000,1115469765000.000000,2028124663000.000000,,,535524358000.000000,,,209884057000.000000,46477483000.000000,256361540000.000000,,115393949000.000000,765175000.000000,116159124000.000000,59305046000.000000,63711332000.000000,,4782313000.000000,,,,,4782313000.000000,,35205003000.000000,535524358000.000000,391628530000.000000,,2991330000.000000,,,,2991330000.000000,62455880000.000000,196932718000.000000,441404000.000000,,128807198000.000000,391628530000.000000,927152888000.000000,,199513858000.000000,944469000.000000,900513448000.000000,11100503000.000000,889412945000.000000,900513448000.000000,,1100971775000.000000,2028124663000.000000,1995138579.000000
12M 2014,,,645571294000.000000,70839252000.000000,47835140000.000000,23004112000.000000,70839252000.000000,171848519000.000000,51460700000.000000,939719765000.000000,,,,361532255000.000000,,861381790000.000000,1222914045000.000000,2162633810000.000000,,,499173655000.000000,,,188637893000.000000,57874594000.000000,246512487000.000000,,98225665000.000000,429583000.000000,98655248000.000000,68538525000.000000,65047920000.000000,,9379906000.000000,,,,,9379906000.000000,,11039569000.000000,499173655000.000000,470296468000.000000,,7422240000.000000,,,,7422240000.000000,83846861000.000000,197951672000.000000,53242000.000000,,181022453000.000000,470296468000.000000,969470123000.000000,,199513858000.000000,944469000.000000,992705360000.000000,11881956000.000000,980823404000.000000,992705360000.000000,,1193163687000.000000,2162633810000.000000,1995138579.000000
12M 2015,,,653553712000.000000,129348303000.000000,66106398000.000000,63241905000.000000,129348303000.000000,166545921000.000000,47296605000.000000,996744541000.000000,,,,377532110000.000000,,936259719000.000000,1313791829000.000000,2310536370000.000000,,,789861980000.000000,,,193614308000.000000,70109821000.000000,263724129000.000000,,89412617000.000000,125419000.000000,89538036000.000000,82495104000.000000,92977201000.000000,,9223790000.000000,,,199078011000.000000,,208301801000.000000,,52825709000.000000,789861980000.000000,405757060000.000000,,2085478000.000000,,,,2085478000.000000,39680394000.000000,,1442026000.000000,,362549162000.000000,405757060000.000000,1195619040000.000000,,199513858000.000000,944469000.000000,914459003000.000000,12642186000.000000,901816817000.000000,914459003000.000000,,1114917330000.000000,2310536370000.000000,1995138579.000000
12M 2016,,,791578534000.000000,127141307000.000000,62217708000.000000,64923599000.000000,127141307000.000000,203264413000.000000,88868001000.000000,1210852255000.000000,,,,410374493000.000000,,956592825000.000000,1366967318000.000000,2577819573000.000000,,,675247317000.000000,,,211986013000.000000,57294942000.000000,269280955000.000000,,157107561000.000000,106085000.000000,157213646000.000000,106176203000.000000,76345535000.000000,,2308487000.000000,,6921089000.000000,,,9229576000.000000,,57001402000.000000,675247317000.000000,679361269000.000000,,199052000.000000,,,,199052000.000000,22219482000.000000,197175524000.000000,1284192000.000000,,458483019000.000000,679361269000.000000,1354608586000.000000,,199513858000.000000,944469000.000000,1022752660000.000000,13167305000.000000,1009585355000.000000,1022752660000.000000,,1223210987000.000000,2577819573000.000000,1995138579.000000
12M 2017,,,795508654000.000000,148820340000.000000,84825828000.000000,63994512000.000000,148820340000.000000,198439550000.000000,113479644000.000000,1256248188000.000000,,,48601173000.000000,441381501000.000000,,1003191529000.000000,1493174203000.000000,2749422391000.000000,,,664008702000.000000,,,224934426000.000000,79337329000.000000,304271755000.000000,,133026931000.000000,71693000.000000,133098624000.000000,92529256000.000000,86626590000.000000,,1138503000.000000,,4256851000.000000,,,5395354000.000000,,42087123000.000000,664008702000.000000,791842877000.000000,,442941000.000000,,,,442941000.000000,,197660390000.000000,196066000.000000,,593543480000.000000,791842877000.000000,1455851579000.000000,,199513858000.000000,944469000.000000,1093112485000.000000,14030333000.000000,1079082152000.000000,1093112485000.000000,,1293570812000.000000,2749422391000.000000,1995138579.000000
12M 2018,,,988009275000.000000,94618958000.000000,55093144000.000000,39525814000.000000,94618958000.000000,222404674000.000000,56045273000.000000,1361078180000.000000,,,37838836000.000000,487216596000.000000,33088217000.000000,1070471394000.000000,1628615043000.000000,2989693223000.000000,,,714498002000.000000,,,212139356000.000000,90965122000.000000,303104478000.000000,,141773546000.000000,196420000.000000,141969966000.000000,121348714000.000000,98973512000.000000,,3285520000.000000,,5218966000.000000,,,8504486000.000000,,40596846000.000000,714498002000.000000,734701578000.000000,,1472273000.000000,,,,1472273000.000000,,198222655000.000000,238816000.000000,,534767834000.000000,734701578000.000000,1449199580000.000000,,199513858000.000000,944469000.000000,1340035316000.000000,14865326000.000000,1325169990000.000000,1340035316000.000000,,1540493643000.000000,2989693223000.000000,1995138579.000000
12M 2019,,,861748299000.000000,183284517000.000000,41105416000.000000,142179101000.000000,183284517000.000000,288796357000.000000,78475347000.000000,1412304520000.000000,,,80466764000.000000,595737161000.000000,40823038000.000000,1275353941000.000000,1992380904000.000000,3404685424000.000000,,,856737178000.000000,,,295136850000.000000,43760575000.000000,338897425000.000000,,185077800000.000000,112077000.000000,185189877000.000000,144804237000.000000,136608038000.000000,,4910275000.000000,,4691642000.000000,,,9601917000.000000,,41635684000.000000,856737178000.000000,888375641000.000000,,6003909000.000000,228460000.000000,,,6232369000.000000,,198800383000.000000,,,683342889000.000000,888375641000.000000,1745112819000.000000,,199513858000.000000,944469000.000000,1459114278000.000000,15925381000.000000,1443188897000.000000,1459114278000.000000,,1659572605000.000000,3404685424000.000000,1995138579.000000
