Period,Total Pendapatan,Penjualan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,2022633479000.000000,2022633479000.000000,,2022633479000.000000,-781627389000.000000,1241006090000.000000,-1081108081000.000000,-919695525000.000000,-180611717000.000000,1811210000.000000,17387951000.000000,-1081108081000.000000,159898009000.000000,8005613000.000000,8447610000.000000,-441997000.000000,,,8005613000.000000,167903622000.000000,-42635634000.000000,-39753497000.000000,-2882137000.000000,,-42635634000.000000,125267988000.000000,,,,,125267988000.000000,125267988000.000000,,125267988000.000000,,,,
12M 2009,2454359779000.000000,2454359779000.000000,,2454359779000.000000,-986532175000.000000,1467827604000.000000,-1233159328000.000000,-1032411337000.000000,-210283446000.000000,-1820298000.000000,11355753000.000000,-1233159328000.000000,234668276000.000000,12479674000.000000,13083420000.000000,-603746000.000000,,,12479674000.000000,247147950000.000000,-65151366000.000000,-61785911000.000000,-3365455000.000000,,-65151366000.000000,181996584000.000000,,,,,181996584000.000000,181996584000.000000,,181996584000.000000,,,,
12M 2010,2913604568000.000000,2913604568000.000000,,2913604568000.000000,-1273156720000.000000,1640447848000.000000,-1392782070000.000000,-1201503132000.000000,-235389869000.000000,190330000.000000,43920601000.000000,-1392782070000.000000,247665778000.000000,13924034000.000000,14175681000.000000,-251647000.000000,,,13924034000.000000,261589812000.000000,-61992635000.000000,-56314001000.000000,-5678634000.000000,,-61992635000.000000,199597177000.000000,,,,,199597177000.000000,199597177000.000000,,199597177000.000000,,,,
12M 2011,3316799653000.000000,3316799653000.000000,,3316799653000.000000,-1461949013000.000000,1854850640000.000000,-1566921338000.000000,-1375788880000.000000,-243111071000.000000,,51978613000.000000,-1566921338000.000000,287929302000.000000,10772850000.000000,20344146000.000000,-9571296000.000000,,,10772850000.000000,298702152000.000000,-69647628000.000000,-55618849000.000000,-14028779000.000000,,-69647628000.000000,229054524000.000000,,,,229054524000.000000,229054524000.000000,229054524000.000000,,229054524000.000000,229054524000.000000,229054524000.000000,,229054524000.000000
12M 2012,3559485575000.000000,,,3559485575000.000000,-1476700406000.000000,2082785169000.000000,-1812229521000.000000,-1557777357000.000000,-296670635000.000000,,42218471000.000000,-1812229521000.000000,270555648000.000000,-1338784000.000000,19204456000.000000,-20543240000.000000,,,-1338784000.000000,269216864000.000000,-63170880000.000000,-57578970000.000000,-5591910000.000000,,-63170880000.000000,206045984000.000000,,,,206045984000.000000,206045984000.000000,206045984000.000000,,206045984000.000000,206045984000.000000,206045984000.000000,,206045984000.000000
12M 2013,3960252775000.000000,,,3960252775000.000000,-1610838081000.000000,2349414694000.000000,-2147564025000.000000,-1836134619000.000000,-342368532000.000000,,30939126000.000000,-2147564025000.000000,201850669000.000000,1258480000.000000,21912467000.000000,-20653987000.000000,,,1258480000.000000,203109149000.000000,-46818521000.000000,,,,-46818521000.000000,156290628000.000000,,,,156290628000.000000,156290628000.000000,156290628000.000000,,156290628000.000000,156290628000.000000,156290628000.000000,,156290628000.000000
12M 2014,4208887158000.000000,,,4208887158000.000000,-1666316797000.000000,2542570361000.000000,-2342443920000.000000,-1976583276000.000000,-391330730000.000000,,25470086000.000000,-2342443920000.000000,200126441000.000000,11283133000.000000,32071776000.000000,-20788643000.000000,,,11283133000.000000,211409574000.000000,-59363505000.000000,,,,-59363505000.000000,152046069000.000000,,,,152046069000.000000,152046069000.000000,152046069000.000000,,152046069000.000000,152046069000.000000,152046069000.000000,,152046069000.000000
12M 2015,4475061326000.000000,,,4475061326000.000000,-1751378404000.000000,2723682922000.000000,-2599841684000.000000,-2191783977000.000000,-451078823000.000000,,43021116000.000000,-2599841684000.000000,123841238000.000000,9613387000.000000,38671175000.000000,-21323553000.000000,,-7734235000.000000,9613387000.000000,133454625000.000000,-28430897000.000000,-28430897000.000000,,,-28430897000.000000,105023728000.000000,18681874000.000000,,18681874000.000000,123705602000.000000,105023728000.000000,105023728000.000000,,105023728000.000000,123705602000.000000,123705602000.000000,,123705602000.000000
12M 2016,4883307267000.000000,,,4883307267000.000000,-1829228917000.000000,3054078350000.000000,-2836026463000.000000,-2373915450000.000000,-497059776000.000000,,34948763000.000000,-2836026463000.000000,218051887000.000000,8313737000.000000,34362001000.000000,-19175864000.000000,,-6872400000.000000,8313737000.000000,226365624000.000000,-53760084000.000000,-53760084000.000000,,,-53760084000.000000,172605540000.000000,-24409111000.000000,,-24409111000.000000,148196429000.000000,172605540000.000000,172605540000.000000,,172605540000.000000,148196429000.000000,148196429000.000000,,148196429000.000000
12M 2017,5302683924000.000000,,,5302683924000.000000,-1985664283000.000000,3317019641000.000000,-3162053301000.000000,-2670198435000.000000,-539850714000.000000,,47995848000.000000,-3162053301000.000000,154966340000.000000,9765430000.000000,35238938000.000000,-18425720000.000000,,-7047788000.000000,9765430000.000000,164731770000.000000,2266808000.000000,2266808000.000000,,,2266808000.000000,166998578000.000000,-46760289000.000000,,-46760289000.000000,120238289000.000000,166998578000.000000,166998578000.000000,,166998578000.000000,120238289000.000000,120238289000.000000,,120238289000.000000
12M 2018,6017492356000.000000,,,6017492356000.000000,-2277401709000.000000,3740090647000.000000,-3473864449000.000000,-2865174513000.000000,-646201957000.000000,,37512021000.000000,-3473864449000.000000,266226198000.000000,12864392000.000000,33872092000.000000,-18327334000.000000,4094052000.000000,-6774418000.000000,12864392000.000000,279090590000.000000,-67079434000.000000,-67079434000.000000,,,-67079434000.000000,212011156000.000000,84790139000.000000,,84790139000.000000,296801295000.000000,212011156000.000000,212011156000.000000,,212011156000.000000,296801295000.000000,296801295000.000000,,296801295000.000000
12M 2019,6706376352000.000000,,,6706376352000.000000,-2511932560000.000000,4194443792000.000000,-3907651989000.000000,-3200742623000.000000,-753008632000.000000,,46099266000.000000,-3907651989000.000000,286791803000.000000,22859394000.000000,42045318000.000000,-18498812000.000000,7721952000.000000,-8409064000.000000,22859394000.000000,309651197000.000000,-68103261000.000000,,,,-68103261000.000000,241547936000.000000,-58624540000.000000,,-58624540000.000000,182923396000.000000,241547936000.000000,241547936000.000000,,241547936000.000000,182923396000.000000,182923396000.000000,,182923396000.000000
12M 2020,4840363775000.000000,,,4840363775000.000000,-1971473070000.000000,2868890705000.000000,-3316306453000.000000,-2761245533000.000000,-623556437000.000000,,68495517000.000000,-3316306453000.000000,-447415748000.000000,-13373342000.000000,27020555000.000000,-42168616000.000000,7178830000.000000,-5404111000.000000,-13373342000.000000,-460789090000.000000,83604388000.000000,,,,83604388000.000000,-377184702000.000000,-32431177000.000000,,-32431177000.000000,-409615879000.000000,-377184702000.000000,-377184702000.000000,,-377184702000.000000,-409615879000.000000,-409615879000.000000,,-409615879000.000000
12M 2021,4840596018000.000000,,,4840596018000.000000,-1904775878000.000000,2935820140000.000000,-3275021938000.000000,-2602508494000.000000,-680063191000.000000,,7549747000.000000,-3275021938000.000000,-339201798000.000000,-45410440000.000000,14897855000.000000,-59273901000.000000,1945177000.000000,-2979571000.000000,-45410440000.000000,-384612238000.000000,88874488000.000000,,,,88874488000.000000,-295737750000.000000,-31757099000.000000,,-31757099000.000000,-327494849000.000000,-295737750000.000000,-295737750000.000000,,-295737750000.000000,-327494849000.000000,-327494849000.000000,,-327494849000.000000
12M 2022,5857474313000.000000,,,5857474313000.000000,-2192746165000.000000,3664728148000.000000,-3706992337000.000000,-3029685440000.000000,-744702413000.000000,,67395516000.000000,-3706992337000.000000,-42264189000.000000,-51145904000.000000,7812035000.000000,-59154405000.000000,1758873000.000000,-1562407000.000000,-51145904000.000000,-93410093000.000000,15962424000.000000,,,,15962424000.000000,-77447669000.000000,20987121000.000000,20987121000.000000,20987121000.000000,-56460548000.000000,-77447669000.000000,-77447669000.000000,,-77447669000.000000,-56460548000.000000,-56460548000.000000,,-56460548000.000000
