Period,Total Pendapatan,Penjualan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Pendapatan Komisi,Keuntungan (Rugi) Atas Transaksi Derivatif,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Proforma Hak Minoritas,Hak Minoritas,Penyesuaian Proforma,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Penyesuaian Proforma,Laba Pra Akuisisi,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1120471853236.000000,1052269745226.000000,68202108010.000000,1120471853236.000000,-917420686632.000000,203051166604.000000,-114412189189.000000,-63852106906.000000,-50560082283.000000,-114412189189.000000,88638977415.000000,-41565986511.000000,-27713550699.000000,,1328580944.000000,,-10456442123.000000,4358690115.000000,-9083264748.000000,-41565986511.000000,47072990904.000000,-24129249130.000000,-21503624800.000000,-2625624330.000000,-24129249130.000000,22943741774.000000,,,,,22943741774.000000,,,,,22943741774.000000,22943741774.000000,,,,22943741774.000000,,,,,
12M 2009,1118952110294.000000,1026887640305.000000,92064469989.000000,1118952110294.000000,-884551369037.000000,234400741257.000000,-127620961177.000000,-65550142418.000000,-62070818759.000000,-127620961177.000000,106779780080.000000,-45990413442.000000,-29639495032.000000,,3595061804.000000,7237480000.000000,13922714706.000000,-22102969360.000000,-19003205560.000000,-45990413442.000000,60789366638.000000,-23316114283.000000,-23452661260.000000,136546977.000000,-23316114283.000000,37473252355.000000,,,,,37473252355.000000,,,,,37473252355.000000,37473252355.000000,,,,37473252355.000000,,,,,
12M 2010,1833180690866.000000,1532682624147.000000,300498066719.000000,1833180690866.000000,-1516539045067.000000,316641645799.000000,-164843525708.000000,-85370929762.000000,-79472595946.000000,-164843525708.000000,151798120091.000000,-34203597729.000000,-36049700407.000000,,1828424428.000000,,2663217378.000000,13576547201.000000,-16222086329.000000,-34203597729.000000,117594522362.000000,-33065532807.000000,-33412990747.000000,347457940.000000,-33065532807.000000,84528989555.000000,,1714400654.000000,,-3162006532.000000,83081383677.000000,,,,,83081383677.000000,84528989555.000000,1714400654.000000,,-3162006532.000000,83081383677.000000,,,,,
12M 2011,3000323000000.000000,2462647000000.000000,537676000000.000000,3000323000000.000000,-2476674000000.000000,523649000000.000000,-228242000000.000000,-109470000000.000000,-118772000000.000000,-228242000000.000000,295407000000.000000,-126550000000.000000,-60401000000.000000,,4062000000.000000,,,-45477000000.000000,-24734000000.000000,-126550000000.000000,168857000000.000000,-48643000000.000000,,,-48643000000.000000,120214000000.000000,,,,,120214000000.000000,,,,120214000000.000000,120214000000.000000,133557000000.000000,-13343000000.000000,,,120214000000.000000,120214000000.000000,133557000000.000000,-13343000000.000000,,120214000000.000000
12M 2012,2592824000000.000000,2132024000000.000000,460800000000.000000,2592824000000.000000,-2016773000000.000000,576051000000.000000,-315974000000.000000,-133448000000.000000,-182526000000.000000,-315974000000.000000,260077000000.000000,-233530000000.000000,-114736000000.000000,,13546000000.000000,,,-78328000000.000000,-54012000000.000000,-233530000000.000000,26547000000.000000,-14117000000.000000,,,-14117000000.000000,12430000000.000000,,,,,12430000000.000000,,,,12430000000.000000,12430000000.000000,29591000000.000000,-17161000000.000000,,,12430000000.000000,12430000000.000000,29591000000.000000,-17161000000.000000,,12430000000.000000
12M 2013,2570668000000.000000,2040544000000.000000,530124000000.000000,2570668000000.000000,-2022441000000.000000,548227000000.000000,-381249000000.000000,-154332000000.000000,-226917000000.000000,-381249000000.000000,166978000000.000000,-467605000000.000000,-118791000000.000000,,39205000000.000000,,,-363903000000.000000,-24116000000.000000,-467605000000.000000,-300627000000.000000,57996000000.000000,,,57996000000.000000,-242631000000.000000,,,,,-242631000000.000000,,,,-242631000000.000000,-242631000000.000000,-220368000000.000000,-22263000000.000000,,,-242631000000.000000,-242631000000.000000,-220368000000.000000,-22263000000.000000,,-242631000000.000000
12M 2014,1671141000000.000000,1101239000000.000000,569902000000.000000,1671141000000.000000,-1277056000000.000000,394085000000.000000,-311520000000.000000,-110504000000.000000,-201016000000.000000,-311520000000.000000,82565000000.000000,-165535000000.000000,-93290000000.000000,,47084000000.000000,,,7562000000.000000,-126891000000.000000,-165535000000.000000,-82970000000.000000,2370000000.000000,,,2370000000.000000,-80600000000.000000,,,,,-80600000000.000000,576560000000.000000,576560000000.000000,576560000000.000000,495960000000.000000,-80600000000.000000,-81101000000.000000,501000000.000000,,,-80600000000.000000,495960000000.000000,495459000000.000000,501000000.000000,,495960000000.000000
12M 2015,1324062000000.000000,758091000000.000000,565971000000.000000,1324062000000.000000,-1019065000000.000000,304997000000.000000,-268429000000.000000,-72447000000.000000,-195982000000.000000,-268429000000.000000,36568000000.000000,-320779000000.000000,-86453000000.000000,,74982000000.000000,,,-103781000000.000000,-205527000000.000000,-320779000000.000000,-284211000000.000000,-31250000000.000000,,,-31250000000.000000,-315461000000.000000,,,,,-315461000000.000000,74505000000.000000,74505000000.000000,74505000000.000000,-240956000000.000000,-315461000000.000000,-309200000000.000000,-6261000000.000000,,,-315461000000.000000,-240956000000.000000,-234641000000.000000,-6315000000.000000,,-240956000000.000000
12M 2016,1506890000000.000000,1070026000000.000000,436864000000.000000,1506890000000.000000,-1292046000000.000000,214844000000.000000,-245658000000.000000,-70510000000.000000,-175148000000.000000,-245658000000.000000,-30814000000.000000,-307707000000.000000,-104824000000.000000,,32708000000.000000,,,46188000000.000000,-281779000000.000000,-307707000000.000000,-338521000000.000000,92772000000.000000,,,92772000000.000000,-245749000000.000000,,,,,-245749000000.000000,59212000000.000000,59212000000.000000,59212000000.000000,-186537000000.000000,-245749000000.000000,-193125000000.000000,-52624000000.000000,,,-245749000000.000000,-186537000000.000000,-134172000000.000000,-52365000000.000000,,-186537000000.000000
12M 2017,2068946000000.000000,2068946000000.000000,,2068946000000.000000,-1907024000000.000000,161922000000.000000,-289238000000.000000,-91601000000.000000,-197637000000.000000,-289238000000.000000,-127316000000.000000,-201246000000.000000,-115286000000.000000,,13319000000.000000,,,-10679000000.000000,-88600000000.000000,-201246000000.000000,-328562000000.000000,48966000000.000000,,,48966000000.000000,-279596000000.000000,,,,,-279596000000.000000,11265000000.000000,11265000000.000000,11265000000.000000,-268331000000.000000,-279596000000.000000,-225318000000.000000,-54278000000.000000,,,-279596000000.000000,-268331000000.000000,-213957000000.000000,-54374000000.000000,,-268331000000.000000
