Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan (Pembayaran) Kas Untuk Aktivitas Operasi Lainnya,Penerimaan Dari Pendapatan Bunga,Pembayaran Beban Bunga,Pembayaran Pajak Penghasilan Badan,Pembayaran Imbalan Kerja Karyawan,Penerimaan Atas Klaim Asuransi,Pengembalian Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pembayaaran Atas Penambahan Modal Di Entitas Anak Kepada Kepentingan Non-Pengendali,Penambahan Investasi,Penerimaan Investasi Jangka Pendek,Akuisisi Entitas Anak Setelah Dikurangi Kas Entitas Anak,Penerimaan Dividen Dari Entitas Asosiasi,Penerimaan Dari Kepentingan Nonpengendali Atas Penjualan Saham Di Entitas Anak,Penambahan Investasi Setelah Dikurangi Kas Dan Setara Kas Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Penerimaan (Pembayaran) Utang Sewa Pembiayaan Dan Pembiayaan Konsumen,Penerimaan Dari Penawaran Umum,Pembayaran Dividen Kas,Pembayaran Dividen Kas Oleh Entitas Anak Kepada Kepentingan Non-Pengendali,(Pembayaran) Penerimaan Pinjaman Pihak Berelasi,Peningkatan Tambahan Modal Dari Pengampunan Pajak,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,176047543982.000000,2392707631880.000000,-1849214860432.000000,-116167290305.000000,-149038290545.000000,1796369627.000000,-49000067882.000000,-50943370725.000000,-6048256980.000000,,1955679344.000000,176047543982.000000,-120917703007.000000,10803947686.000000,-109657253903.000000,-15912800790.000000,,-6151596000.000000,,,,,,-120917703007.000000,-42741539064.000000,42398422002.000000,-57388793496.000000,-13946655812.000000,-1322221522.000000,,-13962941619.000000,,1480651383.000000,,-42741539064.000000,,12388301911.000000,78910488222.000000,91298790133.000000
12M 2019,235743458005.000000,2686387864946.000000,-2040946655640.000000,-95288642068.000000,-187185603371.000000,1899558877.000000,-48941729302.000000,-69808381940.000000,-12102135892.000000,,1729182395.000000,235743458005.000000,-214081586151.000000,19497456492.000000,-162741146807.000000,-63327895837.000000,,-7509999999.000000,,,,,,-214081586151.000000,-51868808523.000000,47420135996.000000,-61824310287.000000,-12974739595.000000,-1634502889.000000,,-20303812840.000000,,-2666078908.000000,114500000.000000,-51868808523.000000,,-30206936669.000000,91298790133.000000,61091853464.000000
12M 2020,228424974454.000000,2054198261449.000000,-1284795403133.000000,-389928123574.000000,-49813024400.000000,2209496134.000000,-53652119153.000000,-40154296342.000000,-16525952910.000000,,6886136383.000000,228424974454.000000,-320346337498.000000,5522859373.000000,-170930905542.000000,-148078291329.000000,,-6860000000.000000,,,,,,-320346337498.000000,99396627844.000000,129586055948.000000,-43949483808.000000,14793167439.000000,-1033111735.000000,,,,,,99396627844.000000,,7475264800.000000,61091853464.000000,68567118264.000000
12M 2021,244323325972.000000,2706262657925.000000,-1879006240876.000000,-423844305143.000000,-72716599049.000000,1347552337.000000,-53582859874.000000,-26534448215.000000,-9551987625.000000,,1949556492.000000,244323325972.000000,-226969989757.000000,210562958015.000000,-208868360998.000000,-208664586774.000000,,-20000000000.000000,,,,,,-226969989757.000000,329277618209.000000,110000000000.000000,-97725807650.000000,46901909326.000000,-1623498435.000000,341725014968.000000,-50000000000.000000,,-20000000000.000000,,329277618209.000000,57665057.000000,346688619481.000000,68567118264.000000,415255737745.000000
12M 2022,269006659931.000000,3725945107157.000000,-2768534609044.000000,-502815539872.000000,-48048276453.000000,4231768745.000000,-43123266184.000000,-104407771926.000000,-7864799847.000000,,13624047355.000000,269006659931.000000,-303391565229.000000,140090224643.000000,-261295636231.000000,-164602634962.000000,-45000000000.000000,,21046481321.000000,,6370000000.000000,,,-303391565229.000000,-186010817717.000000,25311212000.000000,-125437090388.000000,-10814094110.000000,-3387120522.000000,,-70447058030.000000,-1236666667.000000,,,-186010817717.000000,275702254.000000,-220120020761.000000,415255737745.000000,195135716984.000000
12M 2023,846782155572.000000,5630137272810.000000,-3832772887417.000000,-692513210278.000000,-83885693028.000000,7564873393.000000,-40915996921.000000,-131136798714.000000,-10739951600.000000,,1044547327.000000,846782155572.000000,-560262858907.000000,2579950779.000000,-284939438489.000000,-155643711806.000000,,,,,6370000000.000000,,-128629659391.000000,-560262858907.000000,-102547673868.000000,252565561090.000000,-187780113785.000000,-64603047765.000000,-3347698046.000000,,-98541175362.000000,-841200000.000000,,,-102547673868.000000,-557357347.000000,183414265450.000000,195135716984.000000,378549982434.000000
12M 2024,643294767089.000000,5397776595980.000000,-3730479867936.000000,-728625784599.000000,-81177305502.000000,11112756182.000000,-37675391640.000000,-176306837659.000000,-15079950960.000000,,3750553223.000000,643294767089.000000,-402836697551.000000,1429008312.000000,-258118959918.000000,-165616241865.000000,,,,,11270000000.000000,8199495920.000000,,-402836697551.000000,-216375206050.000000,88588968475.000000,-101048714835.000000,-21657047508.000000,-2032973696.000000,,-171290505006.000000,-8934933480.000000,,,-216375206050.000000,-872162871.000000,23210700617.000000,378549982434.000000,401760683051.000000
