Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Untuk:,Direksi Dan Karyawan,Kontraktor Dan Pemasok,Total Pembayaran Kas Untuk:,Penerimaan (Pembayaran) Bunga,Penerimaan (Pembayaran) Pajak,Penerimaan (Pembayaran) Beban Keuangan,(Pembayaran)/Penerimaan Dari Pihak Lain Yang Bukan Pelanggan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Tanah Yang Belum Dikembangkan,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Modal Disetor,Peningkatan Modal Disetor,Perolehan Dari Penawaran Umum Saham Perdana,Biaya Emisi Saham,Pembayaran Utang Bank,Penerimaan Utang Bank,Pembayaran Utang Sewa Pembiayaan,Pembayaran Pinjaman Pihak Ketiga,Penerimaan Pinajaman Pihak Ketiga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Pada Awal Periode,Kas Dan Bank Pada Akhir Periode
12M 2021,-3758084841.000000,10898127034.000000,,-1538501080.000000,-12779692722.000000,-14318193802.000000,49871482.000000,-303227245.000000,-89527423.000000,4865113.000000,-3758084841.000000,,,,,8848800000.000000,,,,,-1151200000.000000,5000000000.000000,,,5000000000.000000,8848800000.000000,5090715159.000000,614665000.000000,5705380159.000000
12M 2022,-7842203857.000000,19342285678.000000,,-2689325126.000000,-24730185082.000000,-27419510208.000000,61441427.000000,346524444.000000,-519761109.000000,346815911.000000,-7842203857.000000,-1523560225.000000,,-1523560225.000000,-1523560225.000000,6639062910.000000,,15000000000.000000,,,-3316800000.000000,,-44137090.000000,-5000000000.000000,,6639062910.000000,-2726701172.000000,5705380159.000000,2978678987.000000
12M 2023,-13114253989.000000,42100986738.000000,,-3654120494.000000,-48704522424.000000,-52358642918.000000,54446065.000000,-2889108875.000000,-21865827.000000,-69172.000000,-13114253989.000000,-5873971413.000000,,-5873971413.000000,-5873971413.000000,23281833829.000000,,,26000006400.000000,-2052425123.000000,-532000000.000000,,-133747448.000000,,,23281833829.000000,4293608427.000000,2978678987.000000,7272287414.000000
12M 2024,-2468938083.000000,36701529204.000000,,-3770047804.000000,-32569504323.000000,-36339552127.000000,47787652.000000,-2588199545.000000,-290652751.000000,149484.000000,-2468938083.000000,-1512493097.000000,-641006400.000000,-871486697.000000,-1512493097.000000,2411038997.000000,,,,,,2628000000.000000,-216961003.000000,,,2411038997.000000,-1570392183.000000,7272287414.000000,5701895231.000000
