Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Pajak,Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,5705380159.000000,1800002140.000000,20000000.000000,4906947774.000000,4862486499.000000,17294816572.000000,,,,,17294816572.000000,,,9697845715.000000,3848800000.000000,,215899.000000,5000000000.000000,,,,848829816.000000,9697845715.000000,261141560.000000,,261141560.000000,261141560.000000,9958987275.000000,,5000000000.000000,,2335829297.000000,,2335829297.000000,2335829297.000000,,,7335829297.000000,17294816572.000000,10000.000000
12M 2022,,,2978678987.000000,16346477783.000000,1279854823.000000,17049981464.000000,265925259.000000,37920918316.000000,,1651879976.000000,,1651879976.000000,39572798292.000000,,,2830932133.000000,532000000.000000,,1287167196.000000,,,133747448.000000,133747448.000000,878017489.000000,2830932133.000000,503086891.000000,94360017.000000,408726874.000000,503086891.000000,3334019024.000000,,20000000000.000000,,16244725252.000000,500000000.000000,15744725252.000000,16244725252.000000,,-5945984.000000,36238779268.000000,39572798292.000000,800000000.000000
12M 2023,,,7272287414.000000,11148341698.000000,2921047133.000000,41462806938.000000,655821337.000000,63460304520.000000,,7319633166.000000,,7319633166.000000,70779937686.000000,,,437277077.000000,,,64597060.000000,,,94360017.000000,94360017.000000,278320000.000000,437277077.000000,513697089.000000,,513697089.000000,513697089.000000,950974166.000000,,26018520000.000000,17784711277.000000,26043833024.000000,1000000000.000000,25043833024.000000,26043833024.000000,,-18100781.000000,69828963520.000000,70779937686.000000,3200000000.000000
12M 2024,,,5701895231.000000,13975150091.000000,1097413536.000000,40172988288.000000,2061273033.000000,63008720179.000000,,8066065152.000000,11015006400.000000,19081071552.000000,82089791731.000000,,,3085863380.000000,2628000000.000000,,,,,125263380.000000,125263380.000000,332600000.000000,3085863380.000000,703077232.000000,,703077232.000000,703077232.000000,3788940612.000000,,26018520000.000000,17784711277.000000,34513928852.000000,5203704000.000000,29310224852.000000,34513928852.000000,,-16309010.000000,78300851119.000000,82089791731.000000,3200000000.000000
