Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,11850303132.000000,-4978052226.000000,6872250906.000000,-4203419431.000000,-163329130.000000,-4040090301.000000,-4203419431.000000,2668831475.000000,-332667178.000000,-296872576.000000,-35794602.000000,-332667178.000000,2336164297.000000,,2336164297.000000,2336164297.000000,,,,2336164297.000000,2336164297.000000,2336164297.000000,,2336164297.000000,2336164297.000000,2336164297.000000,,2336164297.000000
12M 2022,33864029826.000000,-13541598793.000000,20322431033.000000,-5449649404.000000,-225124788.000000,-5224524616.000000,-5449649404.000000,14872781629.000000,-963885674.000000,-847925725.000000,-115959949.000000,-963885674.000000,13908895955.000000,,13908895955.000000,13908895955.000000,-5945984.000000,-5945984.000000,-5945984.000000,13902949971.000000,13908895955.000000,13908895955.000000,,13908895955.000000,13902949971.000000,13902949971.000000,,13902949971.000000
12M 2023,37502740938.000000,-18558021371.000000,18944719567.000000,-8384711546.000000,-572588957.000000,-7812122589.000000,-8384711546.000000,10560008021.000000,-905250249.000000,-937568519.000000,32318270.000000,-905250249.000000,9654757772.000000,,9654757772.000000,9654757772.000000,-12154797.000000,-12154797.000000,-12154797.000000,9642602975.000000,9654757772.000000,9654757772.000000,,9654757772.000000,9642602975.000000,9642602975.000000,,9642602975.000000
12M 2024,39474192963.000000,-21830538184.000000,17643654779.000000,-7943728150.000000,-415943090.000000,-7527785060.000000,-7943728150.000000,9699926629.000000,-1229830801.000000,-986979820.000000,-242850981.000000,-1229830801.000000,8470095828.000000,,8470095828.000000,8470095828.000000,1791771.000000,1791771.000000,1791771.000000,8471887599.000000,8470095828.000000,8470095828.000000,,8470095828.000000,8471887599.000000,8471887599.000000,,8471887599.000000
