Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,642018495853.000000,-551068480923.000000,90950014930.000000,-47049061754.000000,-16443260447.000000,-30605801307.000000,-47049061754.000000,43900953176.000000,-41799741785.000000,2063986032.000000,6175492352.000000,-34339392312.000000,-13468375177.000000,649068795.000000,-2880521475.000000,-41799741785.000000,2101211391.000000,-1093703466.000000,1007507925.000000,,,1007507925.000000,1007507925.000000,,1007507925.000000,,,,
12M 2009,470649560010.000000,-386817890096.000000,83831669914.000000,-45659930272.000000,-15270263729.000000,-30389666543.000000,-45659930272.000000,38171739642.000000,-48834312638.000000,1666484184.000000,3745341262.000000,-35296989755.000000,993603220.000000,,-19942751549.000000,-48834312638.000000,-10662572996.000000,-2161567137.000000,-12824140133.000000,,,-12824140133.000000,-12824140133.000000,,-12824140133.000000,,,,
12M 2010,461421340873.000000,-375000909894.000000,86420430979.000000,-46211491287.000000,-13702308918.000000,-32509182369.000000,-46211491287.000000,40208939692.000000,-15738170783.000000,1228976802.000000,11195388924.000000,-23898437134.000000,1559562243.000000,23798236033.000000,-29621897651.000000,-15738170783.000000,24470768909.000000,-8545898052.000000,15924870857.000000,,,15924870857.000000,15924870857.000000,,15924870857.000000,,,,
12M 2011,555886728181.000000,-457472277902.000000,98414450279.000000,-51327400351.000000,-13400468184.000000,-37926932167.000000,-51327400351.000000,47087049928.000000,-16468216153.000000,243087555.000000,8279092887.000000,-12586605322.000000,-9120877030.000000,146363636.000000,-3429277879.000000,-16468216153.000000,30618833775.000000,-4261944119.000000,26356889656.000000,,26356889656.000000,26356889656.000000,26356889656.000000,,26356889656.000000,26356889656.000000,26356889656.000000,,26356889656.000000
12M 2012,582654361422.000000,-481086902118.000000,101567459304.000000,-54121252083.000000,-10708362729.000000,-43412889354.000000,-54121252083.000000,47446207221.000000,-17101734015.000000,1238359645.000000,16020251481.000000,-20577692830.000000,-10227327104.000000,,-3555325207.000000,-17101734015.000000,30344473206.000000,-7188984663.000000,23155488543.000000,,23155488543.000000,23155488543.000000,23155488543.000000,,23155488543.000000,23155488543.000000,23155488543.000000,,23155488543.000000
12M 2013,640702671875.000000,-543734498617.000000,96968173258.000000,-60209881380.000000,-11764259547.000000,-48445621833.000000,-60209881380.000000,36758291878.000000,-25396299152.000000,852910431.000000,17571549775.000000,-12537952736.000000,-29084263634.000000,1093545237.000000,-3292088225.000000,-25396299152.000000,11361992726.000000,-6342451995.000000,5019540731.000000,,5019540731.000000,5019540731.000000,5019540731.000000,,5019540731.000000,5019540731.000000,5019540731.000000,,5019540731.000000
12M 2014,933462438255.000000,-822587747306.000000,110874690949.000000,-80370898926.000000,-17880493066.000000,-62490405860.000000,-80370898926.000000,30503792023.000000,2248962269.000000,1038815362.000000,18578097901.000000,-16245549751.000000,-1171537575.000000,2421947868.000000,-2372811536.000000,2248962269.000000,32752754292.000000,-10694053533.000000,22058700759.000000,,22058700759.000000,22058700759.000000,22058700759.000000,,22058700759.000000,22058700759.000000,22058700759.000000,,22058700759.000000
12M 2015,1384675922166.000000,-1216870812948.000000,167805109218.000000,-95529054990.000000,-25829001953.000000,-69700053037.000000,-95529054990.000000,72276054228.000000,-15161992348.000000,9056172039.000000,12850989803.000000,-44700589872.000000,13291393356.000000,,-5659957674.000000,-15161992348.000000,57114061880.000000,-28498388713.000000,28615673167.000000,100551042990.000000,129166716157.000000,28615673167.000000,28615673167.000000,,28615673167.000000,129166716157.000000,129166716157.000000,,129166716157.000000
12M 2016,1284510320664.000000,-1111377175714.000000,173133144950.000000,-90422915350.000000,-19552384449.000000,-70870530901.000000,-90422915350.000000,82710229600.000000,-24612756609.000000,3384239414.000000,12426317480.000000,-31134758228.000000,-3044806321.000000,,-6243748954.000000,-24612756609.000000,58097472991.000000,-22544497747.000000,35552975244.000000,-3101275228.000000,32451700016.000000,35552975244.000000,35552975244.000000,,35552975244.000000,32451700016.000000,32451700016.000000,,32451700016.000000
12M 2017,980285748450.000000,-795476989375.000000,184808759075.000000,-97704008650.000000,-16784025009.000000,-80919983641.000000,-97704008650.000000,87104750425.000000,-34812677222.000000,1629394527.000000,4657844434.000000,-34814141308.000000,1242957129.000000,,-7528732004.000000,-34812677222.000000,52292073203.000000,-13640368683.000000,38651704520.000000,-1839636443.000000,36812068077.000000,38651704520.000000,38651704520.000000,,38651704520.000000,36812068077.000000,36812068077.000000,,36812068077.000000
