Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Penghasilan Bunga,Pembayaran Bunga Pinjaman,Penerimaan Restitusi Pajak,Penerimaan Uang Muka Penjualan,Pembayaran Pajak Penghasilan,Penerimaan Pendapatan Sewa,Pembayaran Management Fee,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan (Penempatan) Deposito Berjangka Dan Jasa Giro,Penerimaan (Penempatan) Giro Yang Dibatasi Penggunaannya,Penambahan Investasi Akuisisi,Perolehan Aset Tetap,Penerimaan Dividen Dari Entitas Asosiasi,Pembayaran Uang Muka Pembelian Saham Dari Entitas Asosiasi,Hasil Penjualan Aset Tetap,Hasil Penjualan Properti Investasi,Pembayaran Uang Muka Pembelian Tanah,Penerimaan (Pemberian) Piutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank,Pembayaran Utang Bank,Pembayaran Uang Muka Pembelian,Pembayaran Hutang Sewa Pembiayaan,Penambahan (Pengurangan) Pinjaman Jangka Panjang,Penambahan (Pembayaran) Utang Kepada Pihak Berelasi,Pembagian Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,14171890814.000000,612365522152.000000,-560505546000.000000,,,-560505546000.000000,2063986032.000000,-35735450552.000000,6955710243.000000,,-10972331061.000000,,,14171890814.000000,-20964312524.000000,-10928895372.000000,,,-4641410454.000000,951156573.000000,,967100000.000000,,,-7312263271.000000,-20964312524.000000,29331759766.000000,41827237900.000000,,,-1086361569.000000,,-11409116565.000000,,29331759766.000000,22539338056.000000,5520208899.000000,,28059546955.000000
12M 2009,84367262804.000000,497975344883.000000,-368465773635.000000,,,-368465773635.000000,1666484184.000000,-36268570027.000000,39300179.000000,,-10579522780.000000,,,84367262804.000000,19204024190.000000,15205529415.000000,,,-1413525131.000000,2346894666.000000,,,,,3065125240.000000,19204024190.000000,-127815735132.000000,,-70901422334.000000,,-316410762.000000,,-56597902036.000000,,-127815735132.000000,-24244448138.000000,28059546955.000000,,3815098817.000000
12M 2010,-90023374139.000000,496406597118.000000,-559479795291.000000,,,-559479795291.000000,1228976802.000000,-24449809580.000000,4882397544.000000,,-8611740732.000000,,,-90023374139.000000,116961950786.000000,18555295497.000000,,,-3047273552.000000,1281757680.000000,,33306649000.000000,,-10263577149.000000,77129099310.000000,116961950786.000000,-26179923530.000000,16687953470.000000,,,,,-42867877000.000000,,-26179923530.000000,758653117.000000,3815098817.000000,,4573751934.000000
12M 2011,19866212087.000000,555494884391.000000,-519354901795.000000,,,-519354901795.000000,243087554.000000,-12813384025.000000,3816976347.000000,,-7520450385.000000,,,19866212087.000000,-49228264101.000000,-7824782577.000000,,,-45657264110.000000,4107418950.000000,,146363636.000000,,,,-49228264101.000000,28284248768.000000,82162983768.000000,,,,,-53878735000.000000,,28284248768.000000,-1077803246.000000,4573751935.000000,,3495948689.000000
12M 2012,-99406551083.000000,598243426900.000000,-679824244868.000000,,,-679824244868.000000,1238359645.000000,-19828924377.000000,5761328023.000000,,-4996496406.000000,,,-99406551083.000000,-49296020580.000000,-31337969788.000000,,,-21013862329.000000,3055811537.000000,,,,,,-49296020580.000000,149394322639.000000,,-13500770361.000000,,,,162895093000.000000,,149394322639.000000,691750976.000000,3495948690.000000,,4187699666.000000
12M 2013,77754740234.000000,638100870720.000000,-542296172219.000000,,,-542296172219.000000,852910431.000000,-12106886274.000000,,,-6795982424.000000,,,77754740234.000000,-8522504640.000000,-3625154287.000000,,,-11607840800.000000,5616945210.000000,,1093545237.000000,,,,-8522504640.000000,-71348629430.000000,87380561495.000000,,,,-23622975405.000000,-127186215520.000000,-7920000000.000000,-71348629430.000000,-2116393836.000000,4187699666.000000,15006835576.000000,17078141406.000000
12M 2014,81915088114.000000,888992005525.000000,,-680290940612.000000,-120603961430.000000,-800894902042.000000,1038815362.000000,-16202239792.000000,19648024498.000000,,-10666615437.000000,,,81915088114.000000,3406374264.000000,29667089622.000000,,,-35733668074.000000,5091589080.000000,,4381363636.000000,,,,3406374264.000000,-77476452395.000000,,-84333301441.000000,,,,9391249046.000000,-2534400000.000000,-77476452395.000000,7845009983.000000,7757396151.000000,866873474.000000,16469279608.000000
12M 2015,47011856454.000000,1271921726208.000000,,-1200838534067.000000,-228711496673.000000,-1429550030740.000000,8575673890.000000,-43261681584.000000,6485940793.000000,249978456451.000000,-17138228564.000000,,,47011856454.000000,-68217585717.000000,1178760147.000000,-6909296668.000000,,-43419529382.000000,5240852924.000000,,194150000.000000,,,-24502522738.000000,-68217585717.000000,103987856854.000000,279285000000.000000,-80609143146.000000,,,,-83600000000.000000,-11088000000.000000,103987856854.000000,82782127591.000000,16469279608.000000,2603901898.000000,101855309097.000000
12M 2016,-149761732022.000000,1264740661834.000000,,-1202402765997.000000,-228071639683.000000,-1430474405680.000000,3384239414.000000,-33025625618.000000,9638957606.000000,50636290909.000000,-14661850487.000000,,,-149761732022.000000,17576405476.000000,-736474155.000000,11661459913.000000,,-22884317387.000000,4961233800.000000,,71980567.000000,,,24502522738.000000,17576405476.000000,56148056093.000000,152106328967.000000,-102853272874.000000,,,,21151000000.000000,-14256000000.000000,56148056093.000000,-76037270453.000000,101855309097.000000,-2036168413.000000,23781870231.000000
12M 2017,51365012507.000000,1153315982151.000000,,-902476757235.000000,-200926469487.000000,-1103403226722.000000,1629394528.000000,-35018924694.000000,26888049476.000000,20946297730.000000,-12992559962.000000,,,51365012507.000000,-659210680.000000,-1272444160.000000,1014205590.000000,,-3912130870.000000,3415704215.000000,,95454545.000000,,,,-659210680.000000,-37652738326.000000,191365942398.000000,-190443680724.000000,,,,-21151000000.000000,-17424000000.000000,-37652738326.000000,13053063501.000000,23781870231.000000,-3450601315.000000,33384332417.000000
