Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.25,483.62,0.25,483.62,166 B,191 B,357 B,329 B,71 B
12M 2009,0.54,402.66,0.54,402.66,95 B,134 B,229 B,225 B,9 B
12M 2010,0.72,503.19,0.72,498.14,111 B,92 B,203 B,198 B,83 B
12M 2011,0.81,669.59,0.81,664.40,153 B,102 B,255 B,252 B,61 B
12M 2012,0.55,815.77,0.56,811.24,59 B,250 B,309 B,305 B,213 B
12M 2013,0.75,797.46,0.76,793.57,79 B,178 B,257 B,240 B,104 B
12M 2014,0.76,460.36,0.76,458.74,234 B,130 B,364 B,347 B,49 B
12M 2015,0.54,757.01,0.54,755.71,315 B,86 B,401 B,299 B,3 B
12M 2016,0.79,814.45,0.79,813.34,416 B,48 B,464 B,440 B,3 B
12M 2017,0.86,437.82,0.86,437.43,519 B,,519 B,486 B,(7 B)
12M 2018,0.85,479.61,0.86,479.33,657 B,,657 B,559 B,24 B
12M 2019,0.87,503.90,0.87,503.68,556 B,,556 B,505 B,64 B
12M 2020,0.66,507.27,0.66,507.07,713 B,,713 B,612 B,111 B
12M 2021,0.48,610.23,0.48,610.04,688 B,,688 B,642 B,66 B
12M 2022,0.56,469.51,0.56,469.32,832 B,,832 B,748 B,2 B
12M 2023,0.47,432.33,0.47,432.14,778 B,,778 B,749 B,(47 B)
12M 2024,0.31,309.45,0.31,309.25,708 B,,708 B,691 B,(143 B)
