Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Tagihan Bruto Kepada Pemberi Kerja,Piutang Retensi,Persediaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Properti Investasi,Aset Tak Berwujud,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Tagihan Bruto Kepada Pemberi Kerja,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Beban Akrual,Pinjaman Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,28059546955.000000,46192913169.000000,137930127216.000000,136085930559.000000,1844196657.000000,137930127216.000000,591415410.000000,,,591415410.000000,,,194741762287.000000,,11868319443.000000,419384084480.000000,,100194224550.000000,37888015935.000000,,,,,64938761898.000000,203021002383.000000,622405086863.000000,,,,348410078294.000000,,93207678520.000000,30802936324.000000,124010614844.000000,4162534876.000000,16669822315.000000,165527797058.000000,,316410762.000000,,,316410762.000000,7622493877.000000,,,7622493877.000000,30100404562.000000,348410078294.000000,197389855095.000000,348458414.000000,,190977514036.000000,,6063882645.000000,197389855095.000000,545799933389.000000,,79200000000.000000,3740000000.000000,-27868433062.000000,21533586536.000000,76605153474.000000,622405086863.000000,158400000.000000
12M 2009,,,3815098817.000000,30987383754.000000,107309393051.000000,105586301514.000000,1723091537.000000,107309393051.000000,543834139.000000,,,543834139.000000,,,118169515274.000000,,12363607828.000000,273188832863.000000,,97129099310.000000,31781721634.000000,3449400652.000000,,,,64866916744.000000,197227138340.000000,470415971203.000000,,,,263875569581.000000,,54128715702.000000,40881157366.000000,95009873068.000000,2690279205.000000,22055073643.000000,94626374724.000000,,,,,,384331991.000000,,,384331991.000000,49109636950.000000,263875569581.000000,142759388281.000000,,,134379612000.000000,,8379776281.000000,142759388281.000000,406634957862.000000,,79200000000.000000,3740000000.000000,-40692573195.000000,21533586536.000000,63781013341.000000,470415971203.000000,158400000.000000
12M 2010,,,4573751935.000000,12432088257.000000,63997813509.000000,62246194284.000000,1751619225.000000,63997813509.000000,371207206.000000,,,371207206.000000,,,183421182199.000000,,25306903996.000000,290102947102.000000,,,20760903657.000000,572636727.000000,2387105504.000000,799880890.000000,,74383937315.000000,98904464093.000000,389007411195.000000,,,,207386134734.000000,,23957546693.000000,27886530572.000000,51844077265.000000,1632671718.000000,27363418874.000000,111314328194.000000,,,,,,2839109818.000000,,,2839109818.000000,12392528865.000000,207386134734.000000,101915392263.000000,,,91511735000.000000,,10403657263.000000,101915392263.000000,309301526997.000000,,79200000000.000000,3740000000.000000,-24767702338.000000,21533586536.000000,79705884198.000000,389007411195.000000,158400000.000000
12M 2011,,,3495948690.000000,20256870834.000000,107436988699.000000,104930818714.000000,2506169985.000000,107436988699.000000,1451139095.000000,364366605.000000,1086772490.000000,1451139095.000000,,,226988194440.000000,,24047808665.000000,383676950423.000000,,,70716800956.000000,2708243539.000000,2267750228.000000,822209849.000000,,84090488368.000000,160605492940.000000,544282443363.000000,,,,322571004720.000000,,84033194129.000000,23693077640.000000,107726271769.000000,3174654878.000000,29952852950.000000,135206594238.000000,17775295069.000000,,,,17775295069.000000,2115815141.000000,,,2115815141.000000,26619520675.000000,322571004720.000000,115648664789.000000,,64387688699.000000,37633000000.000000,,13627976090.000000,115648664789.000000,438219669509.000000,,79200000000.000000,3740000000.000000,1589187318.000000,21533586536.000000,106062773854.000000,544282443363.000000,158400000.000000
12M 2012,,,4187699666.000000,51594840622.000000,112721913140.000000,111004652640.000000,1717260500.000000,112721913140.000000,1515157183.000000,539127846.000000,976029337.000000,1515157183.000000,,,229122407877.000000,,29056215506.000000,428198233994.000000,,,82994324633.000000,3218685463.000000,2148394952.000000,718194960.000000,,94946385833.000000,184025985841.000000,612224219835.000000,,,,214820869352.000000,,43904723088.000000,11596008580.000000,55500731668.000000,2419305604.000000,33560669901.000000,39882738704.000000,19041389507.000000,,,,19041389507.000000,2246703474.000000,,,2246703474.000000,62169330494.000000,214820869352.000000,268185088089.000000,,49620823901.000000,200528093000.000000,,18036171188.000000,268185088089.000000,483005957441.000000,,79200000000.000000,3740000000.000000,24744675859.000000,21533586536.000000,129218262395.000000,612224219836.000000,158400000.000000
12M 2013,,,17078141406.000000,55219994909.000000,161142126453.000000,158487671528.000000,2654454925.000000,161142126453.000000,1066704321.000000,467893321.000000,598811000.000000,1066704321.000000,,,278253349270.000000,,30474018454.000000,543234334813.000000,,,84097628783.000000,4840938533.000000,2029039677.000000,616194960.000000,,131063272610.000000,222647074563.000000,765881409376.000000,,,,439441122554.000000,,154024450919.000000,3741556237.000000,157766007156.000000,3751671573.000000,32417355001.000000,33874650515.000000,44902721569.000000,,,,44902721569.000000,1084120318.000000,,,1084120318.000000,165644596422.000000,439441122554.000000,200122483696.000000,,105135913554.000000,73341877480.000000,,21644692662.000000,200122483696.000000,639563606250.000000,,79200000000.000000,25273586536.000000,21844216590.000000,,126317803126.000000,765881409376.000000,158400000.000000
12M 2014,,,16469279608.000000,25552905287.000000,224307738029.000000,220338161057.000000,3969576972.000000,224307738029.000000,944776542.000000,634905694.000000,309870848.000000,944776542.000000,,,329435397918.000000,,47668004421.000000,644378101805.000000,,,103335945534.000000,6799950655.000000,5449631624.000000,514194960.000000,,136803833132.000000,252903555905.000000,897281657710.000000,,,,595335758497.000000,,112577677004.000000,36298424203.000000,148876101207.000000,1323972365.000000,42107349674.000000,214465406176.000000,19630772280.000000,,,,19630772280.000000,2108169540.000000,,,2108169540.000000,166823987255.000000,595335758497.000000,156103795327.000000,,46074561402.000000,83600000000.000000,,26429233925.000000,156103795327.000000,751439553824.000000,,79200000000.000000,25273586536.000000,41368517349.000000,,145842103885.000000,897281657709.000000,316800000.000000
12M 2015,,,101855309097.000000,24374145140.000000,447292024486.000000,442399895598.000000,4892128888.000000,447292024486.000000,1622282088.000000,1141783939.000000,480498149.000000,1622282088.000000,,,278873240213.000000,24502522738.000000,76946431790.000000,955465955552.000000,,,231997724037.000000,8833905457.000000,5162808907.000000,412194960.000000,89526519708.000000,38860187916.000000,374793340985.000000,1330259296537.000000,,,,952130242797.000000,,228724923988.000000,12062854157.000000,240787778145.000000,9385225386.000000,64694642883.000000,255159822711.000000,59382716921.000000,,,,59382716921.000000,1116466711.000000,,,1116466711.000000,321603590040.000000,952130242797.000000,138308151083.000000,,86257605917.000000,,,52050545166.000000,138308151083.000000,1090438393880.000000,,79200000000.000000,25273586536.000000,33862523247.000000,101484792874.000000,239820902657.000000,1330259296537.000000,316800000.000000
12M 2016,,,23781870231.000000,25110619295.000000,537147728751.000000,533724653409.000000,3423075342.000000,537147728751.000000,8918196814.000000,4859024804.000000,4059172010.000000,8918196814.000000,,,273663610424.000000,,105660424826.000000,974282450341.000000,,,240067780723.000000,12219662503.000000,4875986190.000000,350194960.000000,96625074812.000000,10611263926.000000,364749963114.000000,1339032413455.000000,,,,971422099001.000000,,263025279347.000000,5106678249.000000,268131957596.000000,2479240802.000000,97562077507.000000,356121898473.000000,59701917914.000000,,,,59701917914.000000,1355931938.000000,,,1355931938.000000,186069074771.000000,971422099001.000000,109593711781.000000,,26555688007.000000,21151000000.000000,,61887023774.000000,109593711781.000000,1081015810782.000000,,79200000000.000000,25273586536.000000,52574766892.000000,100968249245.000000,258016602673.000000,1339032413455.000000,316800000.000000
12M 2017,,,33384332417.000000,26383063455.000000,419444191279.000000,417190117226.000000,2254074053.000000,419444191279.000000,54170711658.000000,6177502753.000000,47993208905.000000,54170711658.000000,,,210332360094.000000,,117034600672.000000,860749259575.000000,,,226998517718.000000,14872953060.000000,4589163473.000000,248194960.000000,97601972424.000000,8856483910.000000,353167285545.000000,1213916545120.000000,,,,867251288494.000000,,128729478902.000000,5222478221.000000,133951957123.000000,4264420951.000000,96941447159.000000,492445639891.000000,26555688007.000000,,,,26555688007.000000,,,,,113092135363.000000,867251288494.000000,69260585876.000000,,,,,69260585876.000000,69260585876.000000,936511874370.000000,,79200000000.000000,25273586536.000000,71962834969.000000,100968249245.000000,277404670750.000000,1213916545120.000000,633600000.000000
