Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.25,198.72,0.25,198.72,2 B,,2 B,(43 B),83 B
12M 2009,0.43,208.86,0.43,208.86,1 B,,1 B,(33 B),89 B
12M 2010,0.50,225.60,0.50,225.60,2 B,,2 B,(41 B),100 B
12M 2011,0.58,249.39,0.58,249.39,7 B,0 B,7 B,(22 B),105 B
12M 2012,0.49,269.44,0.49,269.44,41 B,0 B,42 B,17 B,103 B
12M 2013,0.59,285.08,0.59,285.08,30 B,0 B,31 B,(3 B),108 B
12M 2014,2.47,283.37,2.47,283.37,30 B,0 B,30 B,(8 B),112 B
12M 2015,2.44,287.35,2.44,287.35,30 B,1 B,31 B,(16 B),113 B
12M 2016,1.17,272.30,1.17,272.30,25 B,1 B,26 B,(10 B),103 B
12M 2017,0.83,151.45,0.83,151.45,8 B,0 B,8 B,(34 B),52 B
12M 2018,0.82,134.80,0.82,134.80,0 B,,0 B,(33 B),52 B
12M 2019,0.72,136.62,0.72,136.62,,,,(40 B),55 B
12M 2020,1.63,83.81,1.63,83.81,,,,(31 B),37 B
12M 2021,2.55,87.05,2.55,87.05,,,,(31 B),38 B
12M 2022,2.77,78.76,2.77,78.76,,,,(29 B),34 B
12M 2023,1.85,72.89,1.85,72.89,,,,(30 B),31 B
12M 2024,67.05,55.78,67.05,55.78,,,,(18 B),20 B
