Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Kas Dari (Pembayaran Untuk):,Penghasilan Bunga,Beban Usaha,Beban Keuangan,Pajak Penghasilan,Taksiran Restitusi Pajak Penghasilan,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Operas,Kegiatan Usaha Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penerimaan Penjualan Aset Tetap,Pembayaran Uang Muka Perolehan Aset Tetap,Penerimaan Dari Klaim Asuransi,Hasil Penjualan Investasi Jangka Panjang Lain-Lain,Penempatan Deposito Yang Dibatasi Penggunaannya,Perolehan Aset Tetap,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Investasi,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Bank,Pembayaran Pokok Liabilitas Sewa,Pembayaran Dividen Tunai,Pembayaran Utang Pembelian Aset Tetap,Pembayaran Utang Pihak Berelasi,Penambahan Piutang Pihak Berelasi,Pembayaran Utang Sewa Pembiayaan,Pembayaran Pinjaman Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Awal Tahun Pt Fortune Travido Yang Tidak Dikonsolidasi,Dampak Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,14134784643.000000,352062871321.000000,-315114067874.000000,,,929072959.000000,,-76764108.000000,-6568451599.000000,,,-17097876056.000000,14134784643.000000,-667988623.000000,20000000.000000,,,,,,-687988623.000000,,,-667988623.000000,-1330247661.000000,65424339.000000,,-1395672000.000000,,,,,,-1330247661.000000,12136548359.000000,32207286190.000000,,,,44343834549.000000
12M 2009,-6684838922.000000,369231470378.000000,-365761443114.000000,,,998869193.000000,,-99554106.000000,-1959204242.000000,,,-9094977031.000000,-6684838922.000000,-1310316964.000000,506235000.000000,,,,,,-1816551964.000000,,,-1310316964.000000,-1949242254.000000,-88346254.000000,,-1860896000.000000,,,,,,-1949242254.000000,-9944398140.000000,44343834549.000000,,,,34399436409.000000
12M 2010,11008719022.000000,445007438436.000000,-427245045642.000000,,,924701612.000000,,-180154892.000000,-310793733.000000,,,-7187426759.000000,11008719022.000000,-1041746711.000000,478121724.000000,,,,,,-1519868435.000000,,,-1041746711.000000,-1524830981.000000,336065017.000000,,-1860895998.000000,,,,,,-1524830981.000000,8442141330.000000,34399436409.000000,,,,42841577739.000000
12M 2011,-11982829409.000000,516349274677.000000,-520037172778.000000,,,1175301553.000000,,-989194821.000000,-1253474415.000000,,,-7227563625.000000,-11982829409.000000,-5148320260.000000,119581818.000000,,,,,-2865530000.000000,-2402372078.000000,,,-5148320260.000000,3548549187.000000,4717243622.000000,,-1860895998.000000,692201563.000000,,,,,3548549187.000000,-13582600482.000000,42841577739.000000,,,,29258977257.000000
12M 2012,-22020338941.000000,495652453834.000000,-499734281425.000000,,,1175388132.000000,,-1165799369.000000,-6406562884.000000,,,-11541537229.000000,-22020338941.000000,-10495503782.000000,740425000.000000,,,133300000.000000,,-9135000000.000000,-2234228782.000000,,,-10495503782.000000,30676379091.000000,34553995402.000000,,-3256568000.000000,-380643473.000000,-133544794.000000,-63760600.000000,-43099444.000000,,30676379091.000000,-1839463632.000000,29258977257.000000,-2630601133.000000,,,24788912492.000000
12M 2013,28732285415.000000,427270769843.000000,-383513175165.000000,,,1012024011.000000,,-3391167536.000000,-5404730630.000000,,,-7241435108.000000,28732285415.000000,-100561711.000000,630000000.000000,,,49482784.000000,,,-780044495.000000,,,-100561711.000000,-19461228833.000000,-11018757787.000000,,-3256568000.000000,-672558092.000000,,-4484487070.000000,-28857884.000000,,-19461228833.000000,9170494871.000000,24788912492.000000,,,,33959407363.000000
12M 2014,8736855901.000000,404978805592.000000,-374025201618.000000,,,2075220933.000000,,-4031840171.000000,-13843631280.000000,,,-6416497555.000000,8736855901.000000,1371010555.000000,35000000.000000,2250000000.000000,,,,,-913989445.000000,,,1371010555.000000,-5674291511.000000,,,-4652240000.000000,-266000000.000000,,-724570183.000000,-31481328.000000,,-5674291511.000000,4433574945.000000,33959407363.000000,,,,38392982308.000000
12M 2015,9250110095.000000,427800548696.000000,-393093882397.000000,,,2294804759.000000,,-4120995281.000000,-7706060284.000000,,,-15924305398.000000,9250110095.000000,-521232919.000000,36000000.000000,,,4373606.000000,,,-561606525.000000,,,-521232919.000000,-543266713.000000,,,,-268502909.000000,,-262082804.000000,-12681000.000000,,-543266713.000000,8185610463.000000,38392982308.000000,,,,46578592771.000000
12M 2016,-5755075464.000000,361127526402.000000,-347407185475.000000,,,1738481798.000000,,-3618397995.000000,-1714949998.000000,,,-15880550196.000000,-5755075464.000000,-202345464.000000,3200000.000000,,,,,,-205545464.000000,,,-202345464.000000,-5148583579.000000,-5000200000.000000,,,-88137839.000000,,30151839.000000,-90397579.000000,,-5148583579.000000,-11106004507.000000,46578592771.000000,,,,35472588264.000000
12M 2017,17810699373.000000,322285535515.000000,-294852803807.000000,,,1191822778.000000,,-982906603.000000,-3156817315.000000,,,-6674131195.000000,17810699373.000000,5155029545.000000,868250000.000000,,,,,4500530000.000000,-213750455.000000,,,5155029545.000000,-16446184345.000000,-17500000000.000000,,,-96570765.000000,,1253444631.000000,-103058211.000000,,-16446184345.000000,6519544573.000000,35472588264.000000,,,,41992132837.000000
12M 2018,-8683226542.000000,186628710454.000000,-189275390449.000000,,,869847817.000000,,-312243367.000000,-3711828480.000000,,,-2882322517.000000,-8683226542.000000,7444001848.000000,411781448.000000,,,,500000000.000000,6837500000.000000,-305279600.000000,,,7444001848.000000,-7671655661.000000,-7500000000.000000,,,-87588487.000000,,33424855.000000,-117492029.000000,,-7671655661.000000,-8910880355.000000,41992132837.000000,67435471.000000,,,33148687953.000000
12M 2019,-3098911590.000000,113092353925.000000,-110657471464.000000,,,957958586.000000,,-39532054.000000,-4449313551.000000,4811754839.000000,,-6814661871.000000,-3098911590.000000,10315357023.000000,9803413672.000000,,,,,662500000.000000,-150556649.000000,,,10315357023.000000,-102587525.000000,,,,,,19515000.000000,-122102525.000000,,-102587525.000000,7113857908.000000,33148687953.000000,-76324306.000000,,,40186221555.000000
12M 2020,-9437948721.000000,58188432780.000000,-64572947087.000000,,,878820407.000000,,-27289484.000000,-2634534500.000000,2311332207.000000,,-3581763044.000000,-9437948721.000000,51001715.000000,184444700.000000,,,,,,-133442985.000000,,,51001715.000000,,,,,,,,,,,-9386947006.000000,40186221555.000000,,35946839.000000,,30835221388.000000
12M 2021,839102774.000000,49321255762.000000,-44445258484.000000,,,483010406.000000,,-17670106.000000,-78968062.000000,1123186996.000000,,-5546453738.000000,839102774.000000,-209464937.000000,,,,,,,-209464937.000000,,,-209464937.000000,,,,,,,,,,,629637837.000000,30835221388.000000,,7157951.000000,,31472017176.000000
12M 2022,-1399562765.000000,41790589756.000000,-40224520310.000000,,,378472520.000000,,-87549074.000000,-1033517104.000000,2081991123.000000,,-4305029676.000000,-1399562765.000000,-209880047.000000,,,,,,,-209880047.000000,,,-209880047.000000,-631039178.000000,,,,,,,,-631039178.000000,-631039178.000000,-2240481990.000000,31472017176.000000,,173789699.000000,,29405324885.000000
12M 2023,1068224372.000000,51078975602.000000,-26228426946.000000,-19589493431.000000,,514050363.000000,,-33074921.000000,-909781820.000000,,,-3764024475.000000,1068224372.000000,-237024734.000000,,87387387.000000,,,,,-324412121.000000,,,-237024734.000000,,,,,,,,,,,831199638.000000,29405324885.000000,,6957354.000000,,30243481877.000000
12M 2024,-8948827882.000000,36710499422.000000,-18876088850.000000,-22514194973.000000,,424925472.000000,,-122343643.000000,-654065774.000000,,-115254393.000000,-3802305143.000000,-8948827882.000000,-2308464882.000000,,175405406.000000,,,,,-2110065938.000000,-373804350.000000,,-2308464882.000000,-899130964.000000,,-899130964.000000,,,,,,,-899130964.000000,-12156423728.000000,30243481877.000000,,-1131577.000000,,18085926572.000000
