Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembelian Aset Tetap,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,44343834549.000000,77063534859.000000,,,77063534859.000000,1574152940.000000,,,1574152940.000000,52124949239.000000,175106471587.000000,,,500000000.000000,9787432445.000000,3468127462.000000,3870625436.000000,17626185343.000000,192732656930.000000,,,92395269938.000000,1500000000.000000,,82987493495.000000,,82987493495.000000,1480411572.000000,,,1480411572.000000,6314590695.000000,112774176.000000,,,,,,,,92395269938.000000,7655731000.000000,,,7655731000.000000,7655731000.000000,100051000938.000000,,46522400000.000000,3595872896.000000,38778351842.000000,3283947958.000000,35494403884.000000,38778351842.000000,231934813.000000,3553096441.000000,92681655992.000000,192732656930.000000,465224000.000000
12M 2009,,,34399436409.000000,115995285830.000000,,,115995285830.000000,2036057063.000000,,,2036057063.000000,59406863741.000000,211837643043.000000,,,500000000.000000,9819621832.000000,3723799635.000000,4394796410.000000,18438217877.000000,230275860920.000000,,,123264044908.000000,1411653746.000000,,112846710705.000000,,112846710705.000000,1344766927.000000,,,1344766927.000000,7497367918.000000,163545612.000000,,,,,,,,123264044908.000000,9601872000.000000,,,9601872000.000000,9601872000.000000,132865916908.000000,,46522400000.000000,3595872896.000000,43497365299.000000,4649253627.000000,38848111672.000000,43497365299.000000,241209376.000000,3553096441.000000,97409944012.000000,230275860920.000000,465224000.000000
12M 2010,,,42841577739.000000,160299014947.000000,,,160299014947.000000,4253193279.000000,,,4253193279.000000,51458003939.000000,258851789904.000000,,,500000000.000000,9446728959.000000,4582351643.000000,2629637047.000000,17158717649.000000,276010507553.000000,,,159243477706.000000,1747718763.000000,,143586922553.000000,,143586922553.000000,3672350470.000000,,,3672350470.000000,10080895320.000000,155590600.000000,,,,,,,,159243477706.000000,11573985000.000000,,,11573985000.000000,11573985000.000000,170817462706.000000,,46522400000.000000,3595872896.000000,51285294566.000000,5636240045.000000,45649054521.000000,51285294566.000000,236380944.000000,3553096441.000000,105193044847.000000,276010507553.000000,465224000.000000
12M 2011,,,29258977257.000000,149615054647.000000,,,149615054647.000000,5508237555.000000,,,5508237555.000000,61612110766.000000,245994380225.000000,,,,10092896159.000000,3904123720.000000,6001495430.000000,19998515309.000000,265992895534.000000,,,141276788601.000000,6464962385.000000,,117496121252.000000,,117496121252.000000,3430637903.000000,,,3430637903.000000,13258075206.000000,246348382.000000,,380643473.000000,,,,380643473.000000,,141276788601.000000,8429998090.000000,,,8429998090.000000,8429998090.000000,149706786691.000000,,46522400000.000000,,62349444696.000000,7083563835.000000,55265880861.000000,62349444696.000000,265294810.000000,7148969337.000000,116286108843.000000,265992895534.000000,465224000.000000
12M 2012,,,24788912492.000000,132164956278.000000,,,132164956278.000000,4359317818.000000,,,4359317818.000000,63382310503.000000,224695497091.000000,,1168007910.000000,4053807590.000000,8799589739.000000,4279858402.000000,14255825205.000000,32557088846.000000,257252585937.000000,,,121397194023.000000,41018957787.000000,,66690306955.000000,163326343.000000,66853633298.000000,1193770542.000000,,,1193770542.000000,11804287086.000000,183505892.000000,,311558090.000000,,31481328.000000,,343039418.000000,,121397194023.000000,10205943228.000000,200000000.000000,,10005943228.000000,10205943228.000000,131603137251.000000,,46522400000.000000,3595872896.000000,71677878745.000000,9022320754.000000,62655557991.000000,71677878745.000000,300200604.000000,3553096441.000000,125649448686.000000,257252585937.000000,465224000.000000
12M 2013,,,33959407363.000000,112300906283.000000,,,112300906283.000000,5351969997.000000,,,5351969997.000000,75005396796.000000,226617680439.000000,,5652494980.000000,4117552758.000000,7920702341.000000,4890867890.000000,14318257033.000000,36899875002.000000,263517555441.000000,,,118697287847.000000,30000200000.000000,,76544339056.000000,349823903.000000,76894162959.000000,1689829457.000000,,,1689829457.000000,9627868206.000000,187745897.000000,,266000000.000000,,31481328.000000,,297481328.000000,,118697287847.000000,11846099344.000000,200000000.000000,,11646099344.000000,11846099344.000000,130543387191.000000,,46522400000.000000,7148969337.000000,78956037707.000000,10910071061.000000,68045966646.000000,78956037707.000000,346761206.000000,,132974168250.000000,263517555441.000000,465224000.000000
12M 2014,,,38392982308.000000,111646285061.000000,,,111646285061.000000,3825143939.000000,,,3825143939.000000,74606849108.000000,228471260416.000000,,6377065163.000000,,7063875171.000000,5517648863.000000,13755267367.000000,32713856564.000000,261185116980.000000,,,116251940457.000000,30000200000.000000,,80728625138.000000,406176498.000000,81134801636.000000,1357541598.000000,,,1357541598.000000,3397437569.000000,197478310.000000,,133000000.000000,,31481344.000000,,164481344.000000,,116251940457.000000,12722538170.000000,200000000.000000,,12522538170.000000,12722538170.000000,128974478627.000000,,46522400000.000000,7148969337.000000,78159576401.000000,12497346061.000000,65662230340.000000,78159576401.000000,379692615.000000,,132210638353.000000,261185116980.000000,465224000.000000
12M 2015,,,46578592771.000000,116660273839.000000,115193973839.000000,1466300000.000000,116660273839.000000,8602806612.000000,,,8602806612.000000,78271101501.000000,250112774723.000000,,6639147967.000000,,6741695159.000000,4678030563.000000,15520021922.000000,33578895611.000000,283691670334.000000,,,136713887711.000000,30000200000.000000,,100290341227.000000,1457590122.000000,101747931349.000000,,1434384461.000000,5128235.000000,1439512696.000000,3127774000.000000,211967249.000000,,96104835.000000,,90397582.000000,,186502417.000000,,136713887711.000000,12888193018.000000,200000000.000000,,12688193018.000000,12888193018.000000,149602080729.000000,,46522400000.000000,7148969337.000000,80011993373.000000,13080652561.000000,66931340812.000000,80011993373.000000,406226895.000000,,134089589605.000000,283691670334.000000,465224000.000000
12M 2016,,,35472588264.000000,110206006593.000000,105586006593.000000,4620000000.000000,110206006593.000000,7313246688.000000,,,7313246688.000000,74102550374.000000,227094391919.000000,,6608996128.000000,,5276845379.000000,2079483628.000000,16772582846.000000,30737907981.000000,257832299900.000000,,,123703496442.000000,25000000000.000000,,88551533259.000000,4739582520.000000,93291115779.000000,,2127447056.000000,819980.000000,2128267036.000000,2870984501.000000,213500000.000000,,96570765.000000,,103058361.000000,,199629126.000000,,123703496442.000000,6999385891.000000,200000000.000000,,6799385891.000000,6999385891.000000,130702882333.000000,,46522400000.000000,7148969337.000000,73008594928.000000,13629523449.000000,59379071479.000000,73008594928.000000,449453302.000000,,127129417567.000000,257832299900.000000,465224000.000000
12M 2017,,,41992132837.000000,86476429547.000000,83354236352.000000,3122193195.000000,86476429547.000000,7519389070.000000,,,7519389070.000000,20857085831.000000,156845037285.000000,,4185541727.000000,,3359010816.000000,1768748605.000000,13367212683.000000,22680513831.000000,179525551116.000000,,,104693972015.000000,7500000000.000000,,88551910482.000000,21066479.000000,88572976961.000000,,4012566045.000000,,4012566045.000000,3287882556.000000,1115465927.000000,,87588487.000000,,117492039.000000,,205080526.000000,,104693972015.000000,4371741515.000000,,,4371741515.000000,4371741515.000000,109065713530.000000,,46522400000.000000,7148969337.000000,16788468249.000000,13629523449.000000,3158944800.000000,16788468249.000000,,,70459837586.000000,179525551116.000000,465224000.000000
