Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan Atas Penjualan Entitas Asosiasi,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Adjustment,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,361023381025.000000,-303981917562.000000,57041463463.000000,-45929281161.000000,11112182302.000000,2868730355.000000,929072959.000000,20000000.000000,168550602.000000,-76764108.000000,,,,1827870902.000000,2868730355.000000,13980912657.000000,-4848413229.000000,-5690636000.000000,842222771.000000,-4848413229.000000,9132499428.000000,-30461638.000000,,9102037790.000000,,,9102037790.000000,9132499428.000000,-30461638.000000,,9102037790.000000,,,,
12M 2009,408279495873.000000,-353512235789.000000,54767260084.000000,-45904265141.000000,8862994943.000000,1225886404.000000,998869193.000000,385570311.000000,-186867322.000000,-99554106.000000,,,,127868328.000000,1225886404.000000,10088881347.000000,-3499697326.000000,-3755369498.000000,255672172.000000,-3499697326.000000,6589184021.000000,-9274564.000000,,6579909457.000000,,,6579909457.000000,6589184021.000000,-9274564.000000,,6579909457.000000,,,,
12M 2010,489309527553.000000,-427221085169.000000,62088442384.000000,-49912065813.000000,12176376571.000000,1351922450.000000,924701612.000000,475811738.000000,-121388827.000000,-180154892.000000,,,,252952819.000000,1351922450.000000,13528299021.000000,-3884302187.000000,-4742854195.000000,858552008.000000,-3884302187.000000,9643996834.000000,4828431.000000,,9648825265.000000,,,9648825265.000000,9643996834.000000,4828431.000000,,9648825265.000000,,,,
12M 2011,505625250158.000000,-423668212017.000000,81957038141.000000,-64360320237.000000,17596717904.000000,292057922.000000,1175301553.000000,119581818.000000,91492433.000000,-989194821.000000,,,,-105123061.000000,292057922.000000,17888775826.000000,-4934815832.000000,-4256587909.000000,-678227923.000000,-4934815832.000000,12953959994.000000,,,12953959994.000000,,12953959994.000000,12953959994.000000,12925046128.000000,28913866.000000,,12953959994.000000,12953959994.000000,12925046128.000000,28913866.000000,12953959994.000000
12M 2012,480147066931.000000,-394323412730.000000,85823654201.000000,-69311996531.000000,16511657670.000000,506556880.000000,1175388132.000000,93632250.000000,81537326.000000,-1165799369.000000,219412561.000000,,,102385980.000000,506556880.000000,17018214550.000000,-4359602717.000000,,,-4359602717.000000,12658611833.000000,,,12658611833.000000,,12658611833.000000,12658611833.000000,12585002049.000000,73609784.000000,,12658611833.000000,12658611833.000000,12585002049.000000,73609784.000000,12658611833.000000
12M 2013,407406719849.000000,-326394831677.000000,81011888172.000000,-66523632643.000000,14488255529.000000,-678656217.000000,1012024011.000000,69375000.000000,1256732459.000000,-3391167536.000000,63745168.000000,,,310634681.000000,-678656217.000000,13809599312.000000,-3228311748.000000,,,-3228311748.000000,10581287564.000000,,,10581287564.000000,,10581287564.000000,10581287564.000000,10534726962.000000,46560602.000000,,10581287564.000000,10581287564.000000,10534726962.000000,46560602.000000,10581287564.000000
12M 2014,404324184368.000000,-322568452857.000000,81755731511.000000,-72400519410.000000,9355212101.000000,-3174170510.000000,2075220933.000000,34817917.000000,-108123031.000000,-4031840171.000000,-53837248.000000,-1813715507.000000,,723306597.000000,-3174170510.000000,6181041591.000000,-2292331488.000000,,,-2292331488.000000,3888710103.000000,,,3888710103.000000,,3888710103.000000,3888710103.000000,3855778694.000000,32931409.000000,,3888710103.000000,3888710103.000000,3855778694.000000,32931409.000000,3888710103.000000
12M 2015,431916385406.000000,-353064407183.000000,78851978223.000000,-73192575090.000000,5659403133.000000,-1111122964.000000,2294804759.000000,36000000.000000,629480942.000000,-4120995281.000000,,,,49586616.000000,-1111122964.000000,4548280169.000000,-2476809166.000000,,,-2476809166.000000,2071471003.000000,,,2071471003.000000,1587668250.000000,3659139253.000000,2071471003.000000,2044178780.000000,27292223.000000,,2071471003.000000,3659139253.000000,3632799005.000000,26340248.000000,3659139253.000000
12M 2016,354200998847.000000,-289130991386.000000,65070007461.000000,-65059284545.000000,10722916.000000,-1742247829.000000,1738481798.000000,3200000.000000,17567705.000000,-3618397995.000000,,,,116900663.000000,-1742247829.000000,-1731524913.000000,-4390455375.000000,,,-4390455375.000000,-6121980288.000000,,,-6121980288.000000,-838191750.000000,-6960172038.000000,-6121980288.000000,-6165664682.000000,43684394.000000,,-6121980288.000000,-6960172038.000000,-7003398445.000000,43226407.000000,-6960172038.000000
12M 2017,300018283227.000000,-240241466934.000000,59776816293.000000,-55156281124.000000,4620535169.000000,-61559400528.000000,1191822778.000000,344595866.000000,,-982906603.000000,,,,-62112912569.000000,-61559400528.000000,-56938865359.000000,-380235622.000000,,,-380235622.000000,-57319100981.000000,,,-57319100981.000000,703221000.000000,-56615879981.000000,-57319100981.000000,-57319100981.000000,,,-57319100981.000000,-56615879981.000000,-56615879981.000000,,-56615879981.000000
12M 2018,155992601627.000000,-125538798472.000000,30453803155.000000,-39997180079.000000,-9543376924.000000,2636351096.000000,869847817.000000,102040041.000000,,-312243367.000000,,,,1976706605.000000,2636351096.000000,-6907025828.000000,-762474049.000000,,,-762474049.000000,-7669499877.000000,,,-7669499877.000000,-77631750.000000,-7747131627.000000,-7669499877.000000,-7669499877.000000,,,-7669499877.000000,-7747131627.000000,-7747131627.000000,,-7747131627.000000
12M 2019,87598981860.000000,-60212689628.000000,27386292232.000000,-36916642377.000000,-9530350145.000000,10751615935.000000,957958586.000000,8906494067.000000,,-39532054.000000,,,,926695336.000000,10751615935.000000,1221265790.000000,-552948393.000000,,,-552948393.000000,668317397.000000,,,668317397.000000,177485250.000000,845802647.000000,668317397.000000,668317397.000000,,,668317397.000000,845802647.000000,845802647.000000,,845802647.000000
12M 2020,42368551741.000000,-24214661589.000000,18153890152.000000,-38656820145.000000,-20502929993.000000,-3938584882.000000,878820407.000000,69766267.000000,24021783.000000,-27289484.000000,,,,-4883903855.000000,-3938584882.000000,-24441514875.000000,-8957220.000000,,,-8957220.000000,-24450472095.000000,,,-24450472095.000000,-117921960.000000,-24568394055.000000,-24450472095.000000,-24450472095.000000,,,-24450472095.000000,-24568394055.000000,-24568394055.000000,,-24568394055.000000
12M 2021,47065204472.000000,-21189446093.000000,25875758379.000000,-26172237834.000000,-296479455.000000,779369820.000000,483010406.000000,,84969105.000000,-17670106.000000,,,,229060415.000000,779369820.000000,482890365.000000,1025828088.000000,,,1025828088.000000,1508718453.000000,,,1508718453.000000,-3336060.000000,1505382393.000000,1508718453.000000,1508718453.000000,,,1508718453.000000,1505382393.000000,1505382393.000000,,1505382393.000000
12M 2022,46859969995.000000,-26900213060.000000,19959756935.000000,-26036782669.000000,-6077025734.000000,1158796300.000000,378472520.000000,,267371144.000000,-87549074.000000,,,,600501710.000000,1158796300.000000,-4918229434.000000,1058363006.000000,,,1058363006.000000,-3859866428.000000,,,-3859866428.000000,6996600.000000,-3852869828.000000,-3859866428.000000,-3859866428.000000,,,-3859866428.000000,-3852869828.000000,-3852869828.000000,,-3852869828.000000
12M 2023,42587432479.000000,-21807329693.000000,20780102786.000000,-23430637908.000000,-2650535122.000000,610618291.000000,514050363.000000,62687387.000000,-20095686.000000,-50744774.000000,,,,104721001.000000,610618291.000000,-2039916831.000000,-679349119.000000,,,-679349119.000000,-2719265950.000000,,,-2719265950.000000,-15444780.000000,-2734710730.000000,-2719265950.000000,-2719265950.000000,,,-2719265950.000000,-2734710730.000000,-2734710730.000000,,-2734710730.000000
12M 2024,39482296000.000000,-19754457304.000000,19727838696.000000,-27717176966.000000,-7989338270.000000,215406027.000000,424925472.000000,132815361.000000,17894585.000000,-122343643.000000,,,,-237885748.000000,215406027.000000,-7773932243.000000,-176154815.000000,,,-176154815.000000,-7950087058.000000,,,-7950087058.000000,-5555940.000000,-7955642998.000000,-7950087058.000000,-7950087058.000000,,,-7950087058.000000,-7955642998.000000,-7955642998.000000,,-7955642998.000000
