Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Tetap,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Total Tanaman Perkebunan,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Utang Pajak,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1034344000000.000000,99207000000.000000,99200000000.000000,7000000.000000,99207000000.000000,12346000000.000000,657000000.000000,11689000000.000000,12346000000.000000,213719000000.000000,40194000000.000000,1399810000000.000000,,15799000000.000000,,1377634000000.000000,1795820000000.000000,825809000000.000000,970011000000.000000,1795820000000.000000,,342465000000.000000,3531718000000.000000,4931528000000.000000,,,853105000000.000000,,103628000000.000000,115000000.000000,103743000000.000000,,27778000000.000000,1275000000.000000,29053000000.000000,222080000000.000000,,286594000000.000000,156510000000.000000,55125000000.000000,853105000000.000000,881364000000.000000,616799000000.000000,55047000000.000000,209518000000.000000,881364000000.000000,1734469000000.000000,,682286000000.000000,888069000000.000000,1672227000000.000000,14519000000.000000,1657708000000.000000,1672227000000.000000,,-45523000000.000000,3197059000000.000000,4931528000000.000000,1364572793.000000
12M 2009,,,682249000000.000000,65018000000.000000,65013000000.000000,5000000.000000,65018000000.000000,12388000000.000000,2142000000.000000,10246000000.000000,12388000000.000000,192133000000.000000,12574000000.000000,964362000000.000000,,14113000000.000000,5082000000.000000,1603497000000.000000,1955741000000.000000,829320000000.000000,1126421000000.000000,1955741000000.000000,,309482000000.000000,3887915000000.000000,4852277000000.000000,,,686189000000.000000,,59103000000.000000,614000000.000000,59717000000.000000,,32622000000.000000,165000000.000000,32787000000.000000,243133000000.000000,,204450000000.000000,81983000000.000000,64119000000.000000,686189000000.000000,352623000000.000000,30550000000.000000,66628000000.000000,255445000000.000000,352623000000.000000,1038812000000.000000,,682286000000.000000,1030312000000.000000,2100867000000.000000,30000000000.000000,2070867000000.000000,2100867000000.000000,,,3813465000000.000000,4852277000000.000000,1364572793.000000
12M 2010,,,1160688000000.000000,25952000000.000000,25952000000.000000,,25952000000.000000,12850000000.000000,6731000000.000000,6119000000.000000,12850000000.000000,264473000000.000000,23294000000.000000,1487257000000.000000,,,13130000000.000000,1728694000000.000000,2018878000000.000000,630683000000.000000,1388195000000.000000,2018878000000.000000,,313474000000.000000,4074176000000.000000,5561433000000.000000,,,621593000000.000000,,82685000000.000000,122000000.000000,82807000000.000000,,35145000000.000000,33000000.000000,35178000000.000000,270145000000.000000,,,76083000000.000000,157380000000.000000,621593000000.000000,385735000000.000000,,55088000000.000000,330647000000.000000,385735000000.000000,1007328000000.000000,,682286000000.000000,1030312000000.000000,2841507000000.000000,35000000000.000000,2806507000000.000000,2841507000000.000000,,,4554105000000.000000,5561433000000.000000,1364572793.000000
12M 2011,,,2063982000000.000000,101261000000.000000,101261000000.000000,,101261000000.000000,10810000000.000000,142000000.000000,10668000000.000000,10810000000.000000,368244000000.000000,23360000000.000000,2567657000000.000000,,,,1824630000000.000000,2076179000000.000000,571505000000.000000,1504674000000.000000,2076179000000.000000,,323393000000.000000,4224202000000.000000,6791859000000.000000,,,531326000000.000000,,110912000000.000000,1306000000.000000,112218000000.000000,,29873000000.000000,1886000000.000000,31759000000.000000,98401000000.000000,,,22712000000.000000,266236000000.000000,531326000000.000000,421109000000.000000,,32597000000.000000,388512000000.000000,421109000000.000000,952435000000.000000,,682286000000.000000,1030312000000.000000,4126893000000.000000,40000000000.000000,4086893000000.000000,4126893000000.000000,-67000000.000000,,5839424000000.000000,6791859000000.000000,6822863965.000000
12M 2012,,,1799137000000.000000,37220000000.000000,37220000000.000000,,37220000000.000000,14912000000.000000,403000000.000000,14509000000.000000,14912000000.000000,645954000000.000000,96593000000.000000,2593816000000.000000,,,141823000000.000000,2229928000000.000000,2244183000000.000000,605140000000.000000,1639043000000.000000,2244183000000.000000,,342046000000.000000,4957980000000.000000,7551796000000.000000,,,792482000000.000000,,264459000000.000000,34388000000.000000,298847000000.000000,,19041000000.000000,4825000000.000000,23866000000.000000,71169000000.000000,,,38940000000.000000,359660000000.000000,792482000000.000000,479601000000.000000,,10814000000.000000,468787000000.000000,479601000000.000000,1272083000000.000000,,682286000000.000000,1030312000000.000000,4560793000000.000000,45000000000.000000,4515793000000.000000,4560793000000.000000,-714000000.000000,7036000000.000000,6279713000000.000000,7551796000000.000000,6822863965.000000
12M 2013,,,1401395000000.000000,91935000000.000000,91935000000.000000,,91935000000.000000,24861000000.000000,5772000000.000000,19089000000.000000,24861000000.000000,374485000000.000000,106450000000.000000,1999126000000.000000,,,348377000000.000000,2776825000000.000000,2492835000000.000000,900472000000.000000,1592363000000.000000,2492835000000.000000,,357713000000.000000,5975750000000.000000,7974876000000.000000,,,804428000000.000000,,295878000000.000000,14984000000.000000,310862000000.000000,,21009000000.000000,4496000000.000000,25505000000.000000,86643000000.000000,,,66695000000.000000,314723000000.000000,804428000000.000000,556461000000.000000,,9951000000.000000,546510000000.000000,556461000000.000000,1360889000000.000000,,682286000000.000000,1030312000000.000000,4879977000000.000000,50000000000.000000,4829977000000.000000,4879977000000.000000,-59000000.000000,21471000000.000000,6613987000000.000000,7974876000000.000000,6822863965.000000
12M 2014,,,1356532000000.000000,20686000000.000000,20686000000.000000,,20686000000.000000,63900000000.000000,42730000000.000000,21170000000.000000,63900000000.000000,380360000000.000000,42028000000.000000,1863506000000.000000,,,229702000000.000000,3238752000000.000000,2779464000000.000000,1089465000000.000000,1689999000000.000000,2779464000000.000000,,543722000000.000000,6791640000000.000000,8655146000000.000000,,,748076000000.000000,,263476000000.000000,19490000000.000000,282966000000.000000,,152055000000.000000,9050000000.000000,161105000000.000000,65256000000.000000,,,56093000000.000000,182656000000.000000,748076000000.000000,688236000000.000000,,14252000000.000000,673984000000.000000,688236000000.000000,1436312000000.000000,,682286000000.000000,1030312000000.000000,5482962000000.000000,55000000000.000000,5427962000000.000000,5482962000000.000000,-68000000.000000,23342000000.000000,7218834000000.000000,8655146000000.000000,6822863965.000000
12M 2015,,,737114000000.000000,22834000000.000000,16399000000.000000,6435000000.000000,22834000000.000000,89455000000.000000,64233000000.000000,25222000000.000000,89455000000.000000,398426000000.000000,20728000000.000000,1268557000000.000000,,,806516000000.000000,3427971000000.000000,2888782000000.000000,1195484000000.000000,1693298000000.000000,2888782000000.000000,28818000000.000000,428148000000.000000,7580235000000.000000,8848792000000.000000,,,571162000000.000000,,152656000000.000000,18423000000.000000,171079000000.000000,,135366000000.000000,2761000000.000000,138127000000.000000,66519000000.000000,,,14902000000.000000,180535000000.000000,571162000000.000000,939652000000.000000,,265000000.000000,939387000000.000000,939652000000.000000,1510814000000.000000,,682286000000.000000,1030312000000.000000,5580787000000.000000,60000000000.000000,5520787000000.000000,5580787000000.000000,6929000000.000000,37664000000.000000,7337978000000.000000,8848792000000.000000,6822863965.000000
12M 2016,,,1140614000000.000000,82493000000.000000,23276000000.000000,59217000000.000000,82493000000.000000,120252000000.000000,87488000000.000000,32764000000.000000,120252000000.000000,569085000000.000000,7217000000.000000,1919661000000.000000,,,627694000000.000000,3436091000000.000000,2929480000000.000000,956167000000.000000,1973313000000.000000,2929480000000.000000,45153000000.000000,501009000000.000000,7539427000000.000000,9459088000000.000000,,,780627000000.000000,,111668000000.000000,8232000000.000000,119900000000.000000,,117845000000.000000,3392000000.000000,121237000000.000000,128192000000.000000,,,89025000000.000000,322273000000.000000,780627000000.000000,1032477000000.000000,,270000000.000000,1032207000000.000000,1032477000000.000000,1813104000000.000000,,682286000000.000000,1030312000000.000000,5930180000000.000000,65000000000.000000,5865180000000.000000,5930180000000.000000,5890000000.000000,-2684000000.000000,7645984000000.000000,9459088000000.000000,6822863965.000000
12M 2017,,,1633460000000.000000,55670000000.000000,18328000000.000000,37342000000.000000,55670000000.000000,119782000000.000000,103930000000.000000,15852000000.000000,119782000000.000000,308149000000.000000,51353000000.000000,2168414000000.000000,,,876564000000.000000,3233981000000.000000,2994629000000.000000,856210000000.000000,2138419000000.000000,2994629000000.000000,62542000000.000000,408251000000.000000,7575967000000.000000,9744381000000.000000,,,416258000000.000000,,119325000000.000000,9349000000.000000,128674000000.000000,,82682000000.000000,1584000000.000000,84266000000.000000,60531000000.000000,,,64886000000.000000,77901000000.000000,416258000000.000000,1205958000000.000000,,266000000.000000,1205692000000.000000,1205958000000.000000,1622216000000.000000,,682286000000.000000,1030312000000.000000,6392940000000.000000,70000000000.000000,6322940000000.000000,6392940000000.000000,5832000000.000000,10795000000.000000,8122165000000.000000,9744381000000.000000,6822863965.000000
