Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Beban Usaha,Pembayaran Kepada Pemasok & Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kas Kepada Pemasok Dan Beban Operasi Lainnya,Pembayaran Kepada Karyawan,Total Pembayaran Kepada Pemasok & Karyawan,Penerimaan Dari Tagihan Dan Keberatan Atas Hasil Pemeriksaan Pajak,Penghasilan Bunga Yang Diterima,Pembayaran Pajak Penghasil Badan,Pembayaran Pajak Atas Hasil Pemeriksaan Pajak Neto,Restitusi Pajak,Pembayaran Beban Provisi Atas Pinjaman Bank,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Skpkb Dari Tahun Fiskal Sebelumnya,Pembayaran Pajak Atas Pemeriksaan Pajak,Pembayaran Pajak Penghasilan Badan,"Aktivitas Operasi Lainnya, Bersih",Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap Dan Tanaman Perkebunan,Hasil Penjualan Tanaman Perkebunan,Hasil Penjualan Aset Tetap,Total Hasil Penjualan Aset Tetap Dan Tanaman Perkebunan,Penerimaan Dari Pengurangan Modal Pada Entitas Asosiasi,Pembayaran Untuk Aset Lain-Lain,Penerimaan Dari Pelepasan Tanaman Menghasilkan,Penambahan Tanaman Perkebunan,Pemeliharaan Tanaman Perkebunan Belum Menghasilkan,Investasi Pada Entitas Asosiasi,Penerimaan Neto Untuk Aset Lain-Lain,Investasi Pada Surat Utang Konversi,Akuisisi Entitas Anak,Uang Muka Untuk Investasi,Pembayaran Untuk Akuisisi Anak Perusahaan,Penambahan Beban Ditangguhkan Hak Atas Tanah,Penambahan Piutang Plasma,Perolehan Aset Tetap,Penambahan Beban Tangguhan,Penambahan Bibitan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Tunai,Penerimaan Dari (Pembayaran Kepada) Pihak Berelasi,Penerimaan Bunga Pinjaman Dari Pihak Berelasi,Setoran Modal Pemegang Saham Non Pengendali Kepada Entitas Anak,Penerimaan Dari Pinjaman Bank,Pembayaran Pinjaman Bank,Pembayaran Liabilitas Sewa,Penerimaan Dari Penjualan Modal Saham Yang Diperoleh Kembali,Pembayaran Modal Saham Yang Diperoleh Kembali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,1121547000000.000000,3774355000000.000000,,,-1168005000000.000000,,-554634000000.000000,-1722639000000.000000,,21107000000.000000,-457222000000.000000,,,-2413000000.000000,-33503000000.000000,,,,-458138000000.000000,1121547000000.000000,-608268000000.000000,8533000000.000000,,,8533000000.000000,,-28632000000.000000,,-234859000000.000000,,,,,,-5082000000.000000,-4910000000.000000,,,-343318000000.000000,,,-608268000000.000000,-37294000000.000000,,864000000.000000,,,192678000000.000000,-186333000000.000000,,,-44503000000.000000,-37294000000.000000,475985000000.000000,,558359000000.000000,1034344000000.000000
12M 2009,881167000000.000000,3299146000000.000000,,,-1132617000000.000000,,-549699000000.000000,-1682316000000.000000,,18768000000.000000,-378267000000.000000,,,-9814000000.000000,-37264000000.000000,,,,-329086000000.000000,881167000000.000000,-531498000000.000000,4174000000.000000,,,4174000000.000000,,-5926000000.000000,,-235573000000.000000,,,,,,,,,,-294173000000.000000,,,-531498000000.000000,-701764000000.000000,-278700000000.000000,-5190000000.000000,,,744000000000.000000,-1348620000000.000000,,187766000000.000000,-1020000000.000000,-701764000000.000000,-352095000000.000000,,1034344000000.000000,682249000000.000000
12M 2010,1377227000000.000000,3726302000000.000000,,,-1099756000000.000000,,-572034000000.000000,-1671790000000.000000,,23719000000.000000,-361858000000.000000,,,-40000000.000000,-13729000000.000000,,,,-325377000000.000000,1377227000000.000000,-402144000000.000000,2033000000.000000,,,2033000000.000000,,3290000000.000000,,-148256000000.000000,,-11867000000.000000,,,,,,,,-247344000000.000000,,,-402144000000.000000,-496644000000.000000,-285076000000.000000,1071000000.000000,,,282000000000.000000,-494639000000.000000,,,,-496644000000.000000,478439000000.000000,,682249000000.000000,1160688000000.000000
12M 2011,1736347000000.000000,4521758000000.000000,,,-1517609000000.000000,,-633573000000.000000,-2151182000000.000000,,86837000000.000000,-464973000000.000000,,,,,,,,-256093000000.000000,1736347000000.000000,-420884000000.000000,5219000000.000000,,,5219000000.000000,,-20503000000.000000,,-150731000000.000000,,-6210000000.000000,,,,,,-5721000000.000000,,-242938000000.000000,,,-420884000000.000000,-408728000000.000000,-416016000000.000000,7288000000.000000,,,,,,,,-408728000000.000000,906735000000.000000,-3441000000.000000,1160688000000.000000,2063982000000.000000
12M 2012,1413366000000.000000,4373835000000.000000,,-2393386000000.000000,,,,-2393386000000.000000,,88061000000.000000,-333472000000.000000,,,,,,,,-321672000000.000000,1413366000000.000000,-1023086000000.000000,2458000000.000000,,,2458000000.000000,,-49812000000.000000,,-266969000000.000000,,-171460000000.000000,,,,,,-473000000.000000,,-536830000000.000000,,,-1023086000000.000000,-681807000000.000000,-682086000000.000000,279000000.000000,,,,,,,,-681807000000.000000,-291527000000.000000,26682000000.000000,2063982000000.000000,1799137000000.000000
12M 2013,1251562000000.000000,4003117000000.000000,-321163000000.000000,,-1013567000000.000000,,-1259583000000.000000,-2273150000000.000000,,50406000000.000000,-207648000000.000000,,,,,,,,,1251562000000.000000,-1350460000000.000000,,10274000000.000000,3081000000.000000,13355000000.000000,,1723000000.000000,,,-351918000000.000000,-240908000000.000000,,,,,,-30643000000.000000,,-742069000000.000000,,,-1350460000000.000000,-458110000000.000000,-450177000000.000000,-4663000000.000000,,,,,,,-3270000000.000000,-458110000000.000000,-557008000000.000000,159266000000.000000,1799137000000.000000,1401395000000.000000
12M 2014,1514555000000.000000,4769705000000.000000,-338086000000.000000,,-1235349000000.000000,,-1562632000000.000000,-2797981000000.000000,73588000000.000000,64973000000.000000,-257644000000.000000,,,,,,,,,1514555000000.000000,-1205660000000.000000,,1784000000.000000,11722000000.000000,13506000000.000000,,-187547000000.000000,,-21297000000.000000,-361102000000.000000,,,-57020000000.000000,,,,-10665000000.000000,,-581535000000.000000,,,-1205660000000.000000,-348174000000.000000,-313628000000.000000,-34546000000.000000,,,,,,,,-348174000000.000000,-39279000000.000000,-5584000000.000000,1401395000000.000000,1356532000000.000000
12M 2015,849480000000.000000,4189696000000.000000,-309430000000.000000,,-1366537000000.000000,,-1456772000000.000000,-2823309000000.000000,,43289000000.000000,-250766000000.000000,,,,,,,,,849480000000.000000,-1110076000000.000000,,,532000000.000000,532000000.000000,,92466000000.000000,,,-267544000000.000000,-560202000000.000000,,,,,,-1071000000.000000,,-359904000000.000000,,-14353000000.000000,-1110076000000.000000,-380848000000.000000,-361353000000.000000,-19495000000.000000,,,,,,,,-380848000000.000000,-641444000000.000000,22026000000.000000,1356532000000.000000,737114000000.000000
12M 2016,1071563000000.000000,3935538000000.000000,-320824000000.000000,,-1031192000000.000000,,-1406129000000.000000,-2437321000000.000000,,21586000000.000000,-127416000000.000000,,,,,,,,,1071563000000.000000,-396168000000.000000,,,3000000.000000,3000000.000000,30960000000.000000,-7788000000.000000,3986000000.000000,,-165555000000.000000,,,,-54996000000.000000,,,,,-194679000000.000000,,-8099000000.000000,-396168000000.000000,-263792000000.000000,-252265000000.000000,-18527000000.000000,,7000000000.000000,,,,,,-263792000000.000000,411603000000.000000,-8103000000.000000,737114000000.000000,1140614000000.000000
12M 2017,1261942000000.000000,4573528000000.000000,-371316000000.000000,,-1165208000000.000000,,-1574616000000.000000,-2739824000000.000000,,50406000000.000000,-270181000000.000000,,19329000000.000000,,,,,,,1261942000000.000000,-524941000000.000000,,,93000000.000000,93000000.000000,,19726000000.000000,2791000000.000000,,-190232000000.000000,-244827000000.000000,,,,,,-16584000000.000000,,-95908000000.000000,,,-524941000000.000000,-248009000000.000000,-238627000000.000000,-9382000000.000000,,,,,,,,-248009000000.000000,488992000000.000000,3854000000.000000,1140614000000.000000,1633460000000.000000
