Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.25,2342.90,1.25,2342.90,287 B,617 B,903 B,(131 B),547 B
12M 2009,2.99,2794.62,2.99,2794.62,204 B,31 B,235 B,(447 B),278 B
12M 2010,3.85,3337.39,3.85,3337.39,,,,"(1,161 B)",866 B
12M 2011,2.63,855.87,2.63,855.87,,,,"(2,064 B)","2,036 B"
12M 2012,2.50,920.50,2.50,920.50,,,,"(1,799 B)","1,801 B"
12M 2013,1.99,969.39,1.99,969.39,,,,"(1,401 B)","1,195 B"
12M 2014,1.79,1058.05,1.79,1058.05,,,,"(1,357 B)","1,115 B"
12M 2015,1.23,1074.48,1.23,1074.48,,,,(737 B),697 B
12M 2016,1.55,1119.78,1.55,1119.78,,,,"(1,141 B)","1,139 B"
12M 2017,1.19,1189.58,1.19,1189.58,,,,"(1,633 B)","1,752 B"
12M 2018,1.02,1220.63,1.02,1220.63,,,,"(1,663 B)","1,919 B"
12M 2019,1.19,1245.21,1.19,1245.21,,,,"(1,132 B)","1,726 B"
12M 2020,1.01,1360.75,1.01,1360.75,,,,"(1,959 B)","2,323 B"
12M 2021,0.79,1490.75,0.79,1490.75,,,,"(3,368 B)","3,611 B"
12M 2022,0.63,1602.78,0.63,1602.78,,,,"(3,847 B)","4,398 B"
12M 2023,0.54,1663.32,0.54,1663.32,,,,"(4,511 B)","4,812 B"
12M 2024,0.53,1841.53,0.53,1841.53,,,,"(5,454 B)","6,439 B"
