Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penghasilan Bunga Yang Diterima,Pembayaran Pajak Penghasilan Dan Pajak Lainnya,Pelunasan Liabilitas Rencana Opsi Manajemen,Penempatan Atas Kas Dari Bank Yang Dibatasi Penggunannya,Pencairan Dari Bank Yang Dibatasi Penggunannya,Pengembalian Pajak,Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Atas Penjualan Saham Entitas Anak,Pembayaran Biaya Transaksi Terkait Penjualan Saham Entitas Anak,Penerimaan Investasi Sewa Pembiayaan,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pembayaran Sewa Tanah Jangka Panjang,Penempatan Pada Investasi Obligasi,Kas Dari Akuisisi Entitas Anak,Pembayaran Akuisisi Entitas Anak,Pembayaran Akuisisi Bisnis,Penerimaan Dividen Dari Entitas Asosiasi,Piutang Lain-Lain Pihak Ketiga,Piutang Lain-Lain Pihak Berelasi,Akuisisi Aset Tak Berwujud,Piutang Pihak Berelasi,Pembayaran Kewajiban Akuisisi,Pembayaran Kepada Pihak Berelasi,Investasi Pada Ventura Bersama,Investasi Pada Asosiasi,Pembayaran Uang Muka Investasi,Penempatan Investasi Jangka Panjang,Pengembalian Investasi Jangka Panjang,Penambahan Properti Investasi,Pembayaran Dividen,Penempatan Pada Convertible Loan Notes,Pembayaran Rencana Opsi Manajemen,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal,Penerimaan Dari Pinjaman Lainnya,Pembayaran Pembiayaan Konsumen,Penerimaan Utang Jangka Panjang,Pembayaran Utang Jangka Panjang,Pembayaran Dividen Oleh Entitas Anak,Pembayaran Dividen Kepada Para Pemegang Saham,Pembayaran Dividen Kepada Kepentingan Nonpengendali,Pembayaran Utang Sewa,Penarikan Share Premium,Pembelian Kembali Saham,Pembayaran Pinjaman Biaya Lainnya,Pembayaran Biaya Pinjaman,Pembayaran Akuisisi Anak Perusahaan,Penerimaan Dari Penerbitan Obligasi,Pembayaran Biaya Penerbitan Obligasi,Pembayaran Premi Call Spread,Pembayaran Bunga Obligasi,Pembayaran Utang Obligasi,Pembayaran Beban Bunga,Penerimaan Dari Mesop,Penyelesaian Transaksi Derivatif,Pembayaran Pinjaman Pihak Ketiga,Penerimaan Dari Pinjaman Pihak Berelasi,Penerimaan Dari Kontribusi Modal,Pembayaran Kepada Pihak Berelasi,Pembayaran Dari Pinjaman Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,314332000000.000000,492496000000.000000,-27582000000.000000,-13005000000.000000,1653000000.000000,-137134000000.000000,,,,,-2096000000.000000,314332000000.000000,-1604136000000.000000,,,-3248000000.000000,-1483235000000.000000,-684000000.000000,,-116969000000.000000,,,,,,,,,,,,,,,,,,,,,-1604136000000.000000,2215598000000.000000,490030000000.000000,,,4117491000000.000000,-1618400000000.000000,,,,,,,,-233196000000.000000,-490551000000.000000,,,,,,-49776000000.000000,,,,,,,,2215598000000.000000,,925794000000.000000,,925794000000.000000
12M 2009,215688000000.000000,532515000000.000000,-142767000000.000000,-38513000000.000000,8302000000.000000,-200674000000.000000,,,,,56825000000.000000,215688000000.000000,-1500715000000.000000,,,724000000.000000,-1372732000000.000000,-14804000000.000000,12000000.000000,-113915000000.000000,,,,,,,,,,,,,,,,,,,,,-1500715000000.000000,833091000000.000000,,,,1110980000000.000000,,,,,,,,,-42423000000.000000,,,,,,,-235466000000.000000,,,,,,,,833091000000.000000,,-451936000000.000000,925794000000.000000,473858000000.000000
12M 2010,1243726000000.000000,1593691000000.000000,-113364000000.000000,-60210000000.000000,6988000000.000000,-135427000000.000000,,,,,-47952000000.000000,1243726000000.000000,-674768000000.000000,,,706000000.000000,-544468000000.000000,,154000000.000000,-131160000000.000000,,,,,,,,,,,,,,,,,,,,,-674768000000.000000,-688221000000.000000,40692000000.000000,,,4963818000000.000000,-5212672000000.000000,,,,,,,,-193006000000.000000,,,,,,,-287053000000.000000,,,,,,,,-688221000000.000000,,-119263000000.000000,473838000000.000000,354575000000.000000
12M 2011,1571559000000.000000,1786385000000.000000,-247841000000.000000,-78711000000.000000,1069000000.000000,-109116000000.000000,,,,224885000000.000000,-5112000000.000000,1571559000000.000000,-1706595000000.000000,,,726000000.000000,-1454802000000.000000,,631000000.000000,-253150000000.000000,,,,,,,,,,,,,,,,,,,,,-1706595000000.000000,428695000000.000000,,,,4908057000000.000000,-3919525000000.000000,,,,,,,,-160881000000.000000,,,,,,,-398956000000.000000,,,,,,,,428695000000.000000,1218000000.000000,294877000000.000000,354575000000.000000,649452000000.000000
12M 2012,1991400000000.000000,2459083000000.000000,-277437000000.000000,-107204000000.000000,11734000000.000000,-98676000000.000000,,,,,3900000000.000000,1991400000000.000000,-2728676000000.000000,,,774000000.000000,-1347519000000.000000,,,-390228000000.000000,,,-991703000000.000000,,,,,,,,,,,,,,,,,,-2728676000000.000000,1184566000000.000000,,,,8533477000000.000000,-6853628000000.000000,,,,,,,,-60867000000.000000,,,,,,,-434416000000.000000,,,,,,,,1184566000000.000000,32808000000.000000,480098000000.000000,649452000000.000000,1129550000000.000000
12M 2013,2430482000000.000000,3420684000000.000000,-668465000000.000000,-132702000000.000000,3813000000.000000,-298610000000.000000,,,,105107000000.000000,655000000.000000,2430482000000.000000,-1776410000000.000000,,,246000000.000000,-1433717000000.000000,,,-340223000000.000000,,,,,,,,,,,,,,,,,,-2716000000.000000,,,-1776410000000.000000,-637604000000.000000,,,,5160365000000.000000,-5303315000000.000000,,,,,,,,-56653000000.000000,,,,,,,-438001000000.000000,,,,,,,,-637604000000.000000,359729000000.000000,376197000000.000000,1129550000000.000000,1505747000000.000000
12M 2014,3336665000000.000000,4614773000000.000000,-794978000000.000000,-166827000000.000000,6839000000.000000,-366087000000.000000,,,,40225000000.000000,2720000000.000000,3336665000000.000000,-2147492000000.000000,,,125000000.000000,-1628597000000.000000,,450000000.000000,-519470000000.000000,,,,,,,,,,,,,,,,,,,,,-2147492000000.000000,-792181000000.000000,,,,4754538000000.000000,-7580735000000.000000,,,,,-2764000000.000000,,,-68166000000.000000,,2687379000000.000000,-42308000000.000000,,-86325000000.000000,,-453800000000.000000,,,,,,,,-792181000000.000000,106894000000.000000,503886000000.000000,1505747000000.000000,2009633000000.000000
12M 2015,3417174000000.000000,5125955000000.000000,-661184000000.000000,-198699000000.000000,11966000000.000000,-938554000000.000000,,,,76754000000.000000,936000000.000000,3417174000000.000000,-1960965000000.000000,,,,-29881000000.000000,,,-286231000000.000000,,,,-848716000000.000000,,,-136000000000.000000,,,,,,,,,,-660137000000.000000,,,,-1960965000000.000000,-706778000000.000000,,,,181000000000.000000,-379261000000.000000,,,,,,,,-2634000000.000000,,,,,-144936000000.000000,,-360947000000.000000,,,,,,,,-706778000000.000000,227770000000.000000,977201000000.000000,2009633000000.000000,2986834000000.000000
12M 2016,3832865000000.000000,5498404000000.000000,-641688000000.000000,-211041000000.000000,48680000000.000000,-873611000000.000000,,,,1831000000.000000,10290000000.000000,3832865000000.000000,-3725150000000.000000,1105807000000.000000,-19749000000.000000,,-99363000000.000000,,,-944611000000.000000,,,,,,,,,,,,,,,,,-3767234000000.000000,,,,-3725150000000.000000,-125724000000.000000,,17500000000.000000,,3617308000000.000000,-3916282000000.000000,,,,,,,,-30442000000.000000,,800000000000.000000,-3024000000.000000,-38133000000.000000,-190060000000.000000,,-382591000000.000000,,,,,,,,-125724000000.000000,-63518000000.000000,-81527000000.000000,2986834000000.000000,2905307000000.000000
12M 2017,3454291000000.000000,5367424000000.000000,-666049000000.000000,-412826000000.000000,62023000000.000000,-924456000000.000000,,,,2182000000.000000,25993000000.000000,3454291000000.000000,-1304506000000.000000,,,,-740751000000.000000,,,-563755000000.000000,,,,,,,,,,,,,,,,,,,,,-1304506000000.000000,-2744086000000.000000,,,,1522000000000.000000,-1664168000000.000000,-6000000.000000,-997442000000.000000,,,,,,-24378000000.000000,,,,,-174822000000.000000,-1000000000000.000000,-405270000000.000000,,,,,,,,-2744086000000.000000,37332000000.000000,-556969000000.000000,2905307000000.000000,2348338000000.000000
12M 2018,3620921000000.000000,5913512000000.000000,-886009000000.000000,-403332000000.000000,26745000000.000000,-1041338000000.000000,,,,9991000000.000000,1352000000.000000,3620921000000.000000,-4291934000000.000000,,,,-2056963000000.000000,,700000000.000000,-647741000000.000000,,,,-1366020000000.000000,,,,,,,,,,,-221910000000.000000,,,,,,-4291934000000.000000,-839148000000.000000,,,-968000000.000000,5539072000000.000000,-4311644000000.000000,-6000000.000000,-1205798000000.000000,,,,-126638000000.000000,,-60990000000.000000,,,,33473000000.000000,-154203000000.000000,,-551446000000.000000,,,,,,,,-839148000000.000000,125206000000.000000,-1384955000000.000000,2348338000000.000000,963383000000.000000
12M 2019,3955483000000.000000,6526640000000.000000,-1052769000000.000000,-443727000000.000000,36762000000.000000,-968682000000.000000,-141679000000.000000,-6568000000.000000,,5307000000.000000,199000000.000000,3955483000000.000000,-5529431000000.000000,,,,-4442048000000.000000,,1725000000.000000,-806989000000.000000,,,,-336000000.000000,,,,-376815000000.000000,159680000000.000000,-44648000000.000000,-20000000000.000000,,,,,,,,,,-5529431000000.000000,1235802000000.000000,11280000000.000000,,-1287000000.000000,12533872000000.000000,-8124758000000.000000,-4500000000.000000,-1187069000000.000000,,,,-387425000000.000000,,-64955000000.000000,,,,,-153909000000.000000,-661000000000.000000,-724447000000.000000,,,,,,,,1235802000000.000000,-31472000000.000000,-369618000000.000000,963383000000.000000,593765000000.000000
12M 2020,5951202000000.000000,7962334000000.000000,-922377000000.000000,-501537000000.000000,31929000000.000000,-704682000000.000000,,1619000000.000000,,83916000000.000000,,5951202000000.000000,-4156870000000.000000,,,,-3929140000000.000000,,,,-218271000000.000000,,,,,,,-9459000000.000000,,,,,,,,,,,,,-4156870000000.000000,-860035000000.000000,,,,10875705000000.000000,-8101290000000.000000,-23700000000.000000,-1174043000000.000000,,-1303841000000.000000,,-272838000000.000000,,-32682000000.000000,,147398000000.000000,,-5704000000.000000,-106784000000.000000,,-862256000000.000000,,,,,,,,-860035000000.000000,-85435000000.000000,848862000000.000000,593765000000.000000,1442627000000.000000
