Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Goodwill,Beban Akrual,Aset Tak Berwujud,Aset Pajak Tangguhan,Investasi Jangka Panjang,Piutang Lain-Lain,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Utang Obligasi,Beban Akrual,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Dari Pihak Ketiga,Utang Dari Pihak Berelasi,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Utang Bank Jangka Panjang,Utang Obligasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Swap Bunga,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,925794000000.000000,96216000000.000000,96216000000.000000,,96216000000.000000,628000000.000000,,,628000000.000000,1045000000.000000,292421000000.000000,1316104000000.000000,,4229930000000.000000,,,,,36000000.000000,,,321441000000.000000,4551407000000.000000,5867511000000.000000,,,262840000000.000000,,183857000000.000000,,183857000000.000000,4885000000.000000,,,4885000000.000000,59393000000.000000,,,,,,,,,14705000000.000000,,14705000000.000000,,262840000000.000000,5090334000000.000000,,,,,4102484000000.000000,341924000000.000000,4444408000000.000000,,,4444408000000.000000,17965000000.000000,27000000.000000,627934000000.000000,5090334000000.000000,5353174000000.000000,,490030000000.000000,,-471123000000.000000,,-471123000000.000000,-471123000000.000000,,495430000000.000000,514337000000.000000,5867511000000.000000,490030.000000
12M 2009,,,473838000000.000000,52206000000.000000,52206000000.000000,,52206000000.000000,558000000.000000,,,558000000.000000,938000000.000000,472513000000.000000,1000053000000.000000,,5401656000000.000000,,,,,2000000.000000,,,475032000000.000000,5876690000000.000000,6876743000000.000000,,,838360000000.000000,,90722000000.000000,,90722000000.000000,18682000000.000000,,,18682000000.000000,151981000000.000000,,519856000000.000000,,,,,50890000000.000000,,6229000000.000000,,57119000000.000000,,838360000000.000000,4922966000000.000000,,,,,4348397000000.000000,224190000000.000000,4572587000000.000000,,,4572587000000.000000,6378000000.000000,74238000000.000000,269763000000.000000,4922966000000.000000,5761326000000.000000,,490030000000.000000,,118370000000.000000,,118370000000.000000,118370000000.000000,,507017000000.000000,1115417000000.000000,6876743000000.000000,980060000.000000
12M 2010,,,354575000000.000000,111881000000.000000,111881000000.000000,,111881000000.000000,36000000.000000,,,36000000.000000,938000000.000000,265623000000.000000,733053000000.000000,,6074655000000.000000,,,,,1480000000.000000,,,602205000000.000000,6678340000000.000000,7411393000000.000000,,,866805000000.000000,,219579000000.000000,,219579000000.000000,27122000000.000000,,,27122000000.000000,259651000000.000000,,328096000000.000000,,,,,26953000000.000000,,5404000000.000000,,32357000000.000000,,866805000000.000000,5319507000000.000000,,,,,4336438000000.000000,286713000000.000000,4623151000000.000000,,,4623151000000.000000,50921000000.000000,286737000000.000000,358698000000.000000,5319507000000.000000,6186312000000.000000,,510146000000.000000,20576000000.000000,218384000000.000000,,218384000000.000000,218384000000.000000,,475975000000.000000,1225081000000.000000,7411393000000.000000,1020292500.000000
12M 2011,,,649452000000.000000,194602000000.000000,194602000000.000000,,194602000000.000000,,,,,937000000.000000,57278000000.000000,902269000000.000000,,6956250000000.000000,,,,,1800000000.000000,,,708011000000.000000,7666061000000.000000,8568330000000.000000,,,909855000000.000000,,165117000000.000000,,165117000000.000000,33294000000.000000,,,33294000000.000000,17537000000.000000,,199006000000.000000,,,,,494901000000.000000,,,,494901000000.000000,,909855000000.000000,6139809000000.000000,,,,,5090722000000.000000,312830000000.000000,5403552000000.000000,,,5403552000000.000000,51232000000.000000,307552000000.000000,377473000000.000000,6139809000000.000000,7049664000000.000000,,510146000000.000000,20576000000.000000,502268000000.000000,,502268000000.000000,502268000000.000000,,485676000000.000000,1518666000000.000000,8568330000000.000000,1020292500.000000
12M 2012,,,1129550000000.000000,261601000000.000000,261601000000.000000,,261601000000.000000,,,,,508000000.000000,57257000000.000000,1448916000000.000000,,10378615000000.000000,,,,730539000000.000000,11141000000.000000,,,1004349000000.000000,12124644000000.000000,13573560000000.000000,,,1185940000000.000000,,386636000000.000000,,386636000000.000000,40638000000.000000,,,40638000000.000000,32525000000.000000,,246999000000.000000,,,,,100529000000.000000,,,,100529000000.000000,378613000000.000000,1185940000000.000000,8969072000000.000000,,,,,7946558000000.000000,,7946558000000.000000,,,7946558000000.000000,,844682000000.000000,177832000000.000000,8969072000000.000000,10155012000000.000000,,510146000000.000000,20576000000.000000,849104000000.000000,100000000.000000,849004000000.000000,849104000000.000000,1665000000.000000,2037057000000.000000,3418548000000.000000,13573560000000.000000,1020292500.000000
12M 2013,,,1505747000000.000000,673753000000.000000,673753000000.000000,,673753000000.000000,48000000.000000,,,48000000.000000,508000000.000000,34511000000.000000,2214567000000.000000,,11152427000000.000000,,207730000000.000000,,721585000000.000000,1514000000.000000,,,1236253000000.000000,13319509000000.000000,15534076000000.000000,,,2419900000000.000000,,484822000000.000000,,484822000000.000000,49774000000.000000,,,49774000000.000000,26416000000.000000,,244726000000.000000,,,,,1086355000000.000000,,,,1086355000000.000000,527807000000.000000,2419900000000.000000,9470788000000.000000,,,,,8221252000000.000000,,8221252000000.000000,,,8221252000000.000000,,880515000000.000000,369021000000.000000,9470788000000.000000,11890688000000.000000,,510146000000.000000,20576000000.000000,1017616000000.000000,200000000.000000,1017416000000.000000,1017616000000.000000,-4958000000.000000,2100008000000.000000,3643388000000.000000,15534076000000.000000,10202925000.000000
12M 2014,,,2009633000000.000000,571914000000.000000,571914000000.000000,,571914000000.000000,1049000000.000000,,,1049000000.000000,,64041000000.000000,2646637000000.000000,,12391580000000.000000,,186883000000.000000,,602680000000.000000,20759000000.000000,,,1386880000000.000000,14588782000000.000000,17235419000000.000000,,,2039363000000.000000,,471736000000.000000,,471736000000.000000,39773000000.000000,,,39773000000.000000,335442000000.000000,,302140000000.000000,,,,,203002000000.000000,,,,203002000000.000000,687270000000.000000,2039363000000.000000,10526727000000.000000,,,,,6512960000000.000000,,6512960000000.000000,2638020000000.000000,,9150980000000.000000,87795000000.000000,910852000000.000000,377100000000.000000,10526727000000.000000,12566090000000.000000,,510146000000.000000,20576000000.000000,1858278000000.000000,300000000.000000,1857978000000.000000,1858278000000.000000,-7932000000.000000,2288261000000.000000,4669329000000.000000,17235419000000.000000,10202925000.000000
12M 2015,,,2986834000000.000000,470519000000.000000,470519000000.000000,,470519000000.000000,804000000.000000,,,804000000.000000,11076000000.000000,64153000000.000000,3533386000000.000000,,157179000000.000000,14683352000000.000000,363150000000.000000,,1186775000000.000000,21281000000.000000,,139494000000.000000,1332092000000.000000,17883323000000.000000,21416709000000.000000,,,1977557000000.000000,,216607000000.000000,,216607000000.000000,20167000000.000000,,,20167000000.000000,61622000000.000000,,356282000000.000000,,,,,446139000000.000000,,,,446139000000.000000,876740000000.000000,1977557000000.000000,11760613000000.000000,,,,,6741254000000.000000,,6741254000000.000000,2715146000000.000000,,9456400000000.000000,227954000000.000000,1690027000000.000000,386232000000.000000,11760613000000.000000,13738170000000.000000,,510146000000.000000,20576000000.000000,7161032000000.000000,400000000.000000,7160632000000.000000,7161032000000.000000,-1579000000.000000,-11636000000.000000,7678539000000.000000,21416709000000.000000,10202925000.000000
12M 2016,,,2905307000000.000000,351699000000.000000,351699000000.000000,,351699000000.000000,1345000000.000000,,,1345000000.000000,,336199000000.000000,3594550000000.000000,,238958000000.000000,18268830000000.000000,152812000000.000000,,666157000000.000000,2189000000.000000,,139500000000.000000,1962211000000.000000,21430657000000.000000,25025207000000.000000,,,3302952000000.000000,,189327000000.000000,,189327000000.000000,21298000000.000000,,,21298000000.000000,335568000000.000000,998701000000.000000,242501000000.000000,,,,,516745000000.000000,,,,516745000000.000000,998812000000.000000,3302952000000.000000,11013909000000.000000,,,,,5471255000000.000000,500000000000.000000,5971255000000.000000,2432170000000.000000,,8403425000000.000000,223650000000.000000,1978153000000.000000,408681000000.000000,11013909000000.000000,14316861000000.000000,,510146000000.000000,20576000000.000000,10200737000000.000000,500000000.000000,10200237000000.000000,10200737000000.000000,62000000.000000,-23175000000.000000,10708346000000.000000,25025207000000.000000,10202925000.000000
12M 2017,,,2348338000000.000000,623995000000.000000,606867000000.000000,17128000000.000000,623995000000.000000,22381000000.000000,,,22381000000.000000,,55003000000.000000,3049717000000.000000,,12600558000000.000000,,152812000000.000000,,589631000000.000000,338000000.000000,,144227000000.000000,2226195000000.000000,15713761000000.000000,18763478000000.000000,,,2230487000000.000000,,271663000000.000000,4742000000.000000,276405000000.000000,4112000000.000000,,,4112000000.000000,73542000000.000000,,262627000000.000000,,,,,633821000000.000000,,,,633821000000.000000,979980000000.000000,2230487000000.000000,9431179000000.000000,,,,,5025292000000.000000,750000000000.000000,5775292000000.000000,2589596000000.000000,,8364888000000.000000,15553000000.000000,613722000000.000000,437016000000.000000,9431179000000.000000,11661666000000.000000,,510146000000.000000,20576000000.000000,6546418000000.000000,600000000.000000,6545818000000.000000,6546418000000.000000,52000000.000000,24620000000.000000,7101812000000.000000,18763478000000.000000,10202925000.000000
