Period,Total Pendapatan,Total Beban Pokok Penjualan,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,273689000000.000000,-106311000000.000000,-106311000000.000000,-106311000000.000000,167378000000.000000,-520990000000.000000,-31079000000.000000,,-489911000000.000000,-520990000000.000000,-353612000000.000000,-91234000000.000000,1653000000.000000,-90791000000.000000,,-2096000000.000000,-91234000000.000000,-444846000000.000000,-26277000000.000000,-471123000000.000000,,-471123000000.000000,,,-471123000000.000000,-471123000000.000000,,-471123000000.000000,,,,
12M 2009,1082495000000.000000,-416164000000.000000,-416164000000.000000,-416164000000.000000,666331000000.000000,434256000000.000000,-98753000000.000000,,533009000000.000000,434256000000.000000,1100587000000.000000,-424979000000.000000,8302000000.000000,-464755000000.000000,,31474000000.000000,-424979000000.000000,675608000000.000000,-86115000000.000000,589493000000.000000,,589493000000.000000,,,589493000000.000000,589493000000.000000,,589493000000.000000,,,,
12M 2010,1355846000000.000000,-474488000000.000000,-474488000000.000000,-474488000000.000000,881358000000.000000,25202000000.000000,-161338000000.000000,,186540000000.000000,25202000000.000000,906560000000.000000,-774100000000.000000,6988000000.000000,-787938000000.000000,,6850000000.000000,-774100000000.000000,132460000000.000000,-32446000000.000000,100014000000.000000,,100014000000.000000,,,100014000000.000000,100014000000.000000,,100014000000.000000,,,,
12M 2011,1650906000000.000000,-570923000000.000000,-570923000000.000000,-570923000000.000000,1079983000000.000000,-223377000000.000000,-174919000000.000000,,-48458000000.000000,-223377000000.000000,856606000000.000000,-476206000000.000000,1069000000.000000,-443388000000.000000,,-33887000000.000000,-476206000000.000000,380400000000.000000,-96516000000.000000,283884000000.000000,,283884000000.000000,9701000000.000000,293585000000.000000,283884000000.000000,283884000000.000000,,283884000000.000000,293585000000.000000,293585000000.000000,,293585000000.000000
12M 2012,2265260000000.000000,-719568000000.000000,-719568000000.000000,-719568000000.000000,1545692000000.000000,-563385000000.000000,-29060000000.000000,-210084000000.000000,-324241000000.000000,-563385000000.000000,982307000000.000000,-522331000000.000000,11884000000.000000,-534215000000.000000,,,-522331000000.000000,459976000000.000000,-113677000000.000000,346299000000.000000,,346299000000.000000,1551391000000.000000,1897690000000.000000,346299000000.000000,346836000000.000000,-537000000.000000,346299000000.000000,1897690000000.000000,1898217000000.000000,-527000000.000000,1897690000000.000000
12M 2013,3197139000000.000000,-1134946000000.000000,-1134946000000.000000,-1134946000000.000000,2062193000000.000000,-1286871000000.000000,-36157000000.000000,-302434000000.000000,-948280000000.000000,-1286871000000.000000,775322000000.000000,-547333000000.000000,4012000000.000000,-551345000000.000000,,,-547333000000.000000,227989000000.000000,-63331000000.000000,164658000000.000000,,164658000000.000000,62730000000.000000,227388000000.000000,164658000000.000000,168512000000.000000,-3854000000.000000,164658000000.000000,227388000000.000000,231463000000.000000,-4075000000.000000,227388000000.000000
12M 2014,4106175000000.000000,-1322077000000.000000,-1322077000000.000000,-1322077000000.000000,2784098000000.000000,-724889000000.000000,-50932000000.000000,-398537000000.000000,-275420000000.000000,-724889000000.000000,2059209000000.000000,-848654000000.000000,6932000000.000000,-855586000000.000000,,,-848654000000.000000,1210555000000.000000,-371138000000.000000,839417000000.000000,,839417000000.000000,186524000000.000000,1025941000000.000000,839417000000.000000,840662000000.000000,-1245000000.000000,839417000000.000000,1025941000000.000000,1028915000000.000000,-2974000000.000000,1025941000000.000000
12M 2015,4469784000000.000000,-571501000000.000000,-571501000000.000000,-571501000000.000000,3898283000000.000000,609686000000.000000,-60811000000.000000,-451601000000.000000,1122098000000.000000,609686000000.000000,4507969000000.000000,-550154000000.000000,12358000000.000000,-562512000000.000000,,,-550154000000.000000,3957815000000.000000,-993129000000.000000,2964686000000.000000,,2964686000000.000000,-1909000000.000000,2962777000000.000000,2964686000000.000000,2958417000000.000000,6269000000.000000,2964686000000.000000,2962777000000.000000,2956424000000.000000,6353000000.000000,2962777000000.000000
12M 2016,5053112000000.000000,-668773000000.000000,-668773000000.000000,-668773000000.000000,4384339000000.000000,-62242000000.000000,-48824000000.000000,-386849000000.000000,373431000000.000000,-62242000000.000000,4322097000000.000000,-612795000000.000000,56073000000.000000,-668868000000.000000,,,-612795000000.000000,3709302000000.000000,-1039151000000.000000,2670151000000.000000,372836000000.000000,3042987000000.000000,-9681000000.000000,3033306000000.000000,3042987000000.000000,3039705000000.000000,3282000000.000000,3042987000000.000000,3033306000000.000000,3028166000000.000000,5140000000.000000,3033306000000.000000
12M 2017,5337939000000.000000,-1172298000000.000000,-1172298000000.000000,-1172298000000.000000,4165641000000.000000,-743493000000.000000,-80418000000.000000,-376494000000.000000,-286581000000.000000,-743493000000.000000,3422148000000.000000,-619188000000.000000,68121000000.000000,-687309000000.000000,,,-619188000000.000000,2802960000000.000000,-702822000000.000000,2100138000000.000000,,2100138000000.000000,47795000000.000000,2147933000000.000000,2100138000000.000000,2100125000000.000000,13000000.000000,2100138000000.000000,2147933000000.000000,2147920000000.000000,13000000.000000,2147933000000.000000
12M 2018,5867860000000.000000,-1541885000000.000000,-1541885000000.000000,-1541885000000.000000,4325975000000.000000,-535898000000.000000,-109271000000.000000,-399251000000.000000,-27376000000.000000,-535898000000.000000,3790077000000.000000,-861947000000.000000,33908000000.000000,-872278000000.000000,-23577000000.000000,,-861947000000.000000,2928130000000.000000,-728070000000.000000,2200060000000.000000,,2200060000000.000000,56736000000.000000,2256796000000.000000,2200060000000.000000,2200055000000.000000,5000000.000000,2200060000000.000000,2256796000000.000000,2256791000000.000000,5000000.000000,2256796000000.000000
12M 2019,6454302000000.000000,-1807940000000.000000,-1807940000000.000000,-1807940000000.000000,4646362000000.000000,-718669000000.000000,-147620000000.000000,-463049000000.000000,-108000000000.000000,-718669000000.000000,3927693000000.000000,-1023263000000.000000,39050000000.000000,-957884000000.000000,-104429000000.000000,,-1023263000000.000000,2904430000000.000000,-551341000000.000000,2353089000000.000000,,2353089000000.000000,-78581000000.000000,2274508000000.000000,2353089000000.000000,2341955000000.000000,11134000000.000000,2353089000000.000000,2274508000000.000000,2263374000000.000000,11134000000.000000,2274508000000.000000
12M 2020,7445426000000.000000,-2059254000000.000000,-2059254000000.000000,-2059254000000.000000,5386172000000.000000,-819545000000.000000,-145996000000.000000,-479270000000.000000,-194279000000.000000,-819545000000.000000,4566627000000.000000,-1373007000000.000000,33587000000.000000,-1201293000000.000000,-205301000000.000000,,-1373007000000.000000,3193620000000.000000,-340003000000.000000,2853617000000.000000,,2853617000000.000000,41810000000.000000,2895427000000.000000,2853617000000.000000,2836000000000.000000,17617000000.000000,2853617000000.000000,2895427000000.000000,2877810000000.000000,17617000000.000000,2895427000000.000000
12M 2021,8635346000000.000000,-2340173000000.000000,-2340173000000.000000,-2340173000000.000000,6295173000000.000000,-898624000000.000000,-120037000000.000000,-600631000000.000000,-177956000000.000000,-898624000000.000000,5396549000000.000000,-1680467000000.000000,30866000000.000000,-1370274000000.000000,-334886000000.000000,-6173000000.000000,-1680467000000.000000,3716082000000.000000,-268207000000.000000,3447875000000.000000,,3447875000000.000000,-30807000000.000000,3417068000000.000000,3447875000000.000000,3427375000000.000000,20500000000.000000,3447875000000.000000,3417068000000.000000,3396568000000.000000,20500000000.000000,3417068000000.000000
