Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2019,,,,,,,,,,,,,0.29,,18.73
12M 2020,91.92,13802.18,158.3,13735.8,3.97,3.46,0.03,0.03,43.34,50.99,0.02,0.01,0.04,0.04,23.53
12M 2021,41.21,3659.86,40.42,3660.65,8.86,9.06,0.1,0.1,188.89,251.85,0.04,0.04,0.09,0.09,26.21
12M 2022,559.03,559460.81,5857.63,554162.21,0.65,2.25,,,30.43,121.74,,,0.01,0.01,42.89
12M 2023,267.16,385402.86,3800.37,381869.65,1.37,2.07,,,,,,,0.01,0.01,51.85
12M 2024,93.22,613416.93,6237.92,607272.23,3.92,3.92,,,,,,,0.01,0.01,52.23
