Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Final,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,23090909089.000000,-16181385200.000000,6909523889.000000,-2377330157.000000,-1802234653.000000,-577272727.000000,2177223.000000,-2377330157.000000,4532193732.000000,,4532193732.000000,,4532193732.000000,107307433.000000,4639501165.000000,4532193732.000000,4532193732.000000,,4532193732.000000,4639501165.000000,4639501165.000000,,4639501165.000000
12M 2020,3432000000.000000,-2079899625.000000,1352100375.000000,-1864979099.000000,-2026469887.000000,-118200000.000000,279690788.000000,-1864979099.000000,-512878724.000000,,-512878724.000000,,-512878724.000000,24974800.000000,-487903924.000000,-512878724.000000,-512878724.000000,,-512878724.000000,-487903924.000000,-487903924.000000,,-487903924.000000
12M 2021,8974592074.000000,-7503530870.000000,1471061204.000000,-2565570080.000000,-2592377549.000000,-167954545.000000,194762014.000000,-2565570080.000000,-1094508876.000000,,-1094508876.000000,,-1094508876.000000,12104171.000000,-1082404705.000000,-1094508876.000000,-1094217830.000000,-291046.000000,-1094508876.000000,-1082404705.000000,-1082113659.000000,-291046.000000,-1082404705.000000
12M 2022,482000000.000000,-48333333.000000,433666667.000000,-2244349710.000000,-2109101821.000000,-48200000.000000,-87047889.000000,-2244349710.000000,-1810683043.000000,,-1810683043.000000,,-1810683043.000000,25230590.000000,-1785452453.000000,-1810683043.000000,-1810683043.000000,,-1810683043.000000,-1785452453.000000,-1785452453.000000,,-1785452453.000000
12M 2023,450555555.000000,-68333306.000000,382222249.000000,-1593404018.000000,-1936984851.000000,-40722221.000000,384303054.000000,-1593404018.000000,-1211181769.000000,,-1211181769.000000,,-1211181769.000000,-21508981.000000,-1232690750.000000,-1211181769.000000,-1211181769.000000,,-1211181769.000000,-1232690750.000000,-1232690750.000000,,-1232690750.000000
12M 2024,493333331.000000,-41666650.000000,451666681.000000,-1358893713.000000,-1542540929.000000,-40666665.000000,224313881.000000,-1358893713.000000,-907227032.000000,,-907227032.000000,,-907227032.000000,16590122.000000,-890636910.000000,-907227032.000000,-907227032.000000,,-907227032.000000,-890636910.000000,-890636910.000000,,-890636910.000000
