Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Karyawan,Penerimaan Kas Dari Pihak Berelasi,Penerimaan Kas Dari Uang Muka Pelanggan,Penerimaan Kas Dari Liabilitas Jangka Pendek,Pembayaran Pajak Penghasilan,Pembayaran Kas Kepada Pemasok Dan Untuk Beban Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Jangka Pendek,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan (Pembayaran) Piutang Dari Pihak Berelasi,Penambahan (Pengembalian) Piutang Lain-Lain Dari Pihak Berelasi,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Pihak Berelasi,Pembayaran Liabilitas Sewa,Pengembalian Piutang Pihak Berelasi Sehubungan Dengan Penawaran Umum Perdana Saham,Penambahan Modal Disetor,Penerimaan Setoran Modal Saham Melalui Exercise Warrant Seri I,Divestasi,Agio Saham,Pengeluaran Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,4415166756.000000,21778636362.000000,-964799000.000000,,,,,-16398670606.000000,4415166756.000000,-126700000.000000,,,,,-126700000.000000,-126700000.000000,-2152142010.000000,-2152142010.000000,,,,,,,,-2152142010.000000,,2136324746.000000,24153058.000000,2160477804.000000
12M 2020,-153883460804.000000,3077141574.000000,-965067964.000000,,,,,-155995534414.000000,-153883460804.000000,-3500000000.000000,,,,-3500000000.000000,,-3500000000.000000,155950000000.000000,,-50000000.000000,,26000000000.000000,,,130000000000.000000,,155950000000.000000,,-1433460804.000000,2160477804.000000,727017000.000000
12M 2021,2586499959.000000,8645404644.000000,-1006987950.000000,,,,,-5051916735.000000,2586499959.000000,3500000000.000000,,,,3500000000.000000,,3500000000.000000,3204000.000000,,,,,3204000.000000,,,,3204000.000000,,6089703959.000000,727017000.000000,6816720959.000000
12M 2022,-371580179.000000,1143325625.000000,-1020756297.000000,,,,,-494149507.000000,-371580179.000000,-3630365738.000000,,,,-3630365738.000000,,-3630365738.000000,-245708954.000000,,,,,,-245708954.000000,,,-245708954.000000,,-4247654871.000000,6816720959.000000,2569066088.000000
12M 2023,-1519445990.000000,611786406.000000,-1168809136.000000,,,,-40722221.000000,-921701039.000000,-1519445990.000000,,,,,,,,,,,,,,,,,,,-1519445990.000000,2569066088.000000,1049620098.000000
12M 2024,-898023382.000000,413070586.000000,-750081018.000000,,,,-40666665.000000,-520346285.000000,-898023382.000000,189067203.000000,,,,189067203.000000,,189067203.000000,,,,,,,,,,,,-708956179.000000,1049620098.000000,340663919.000000
