Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Keuntungan Atas Penjualan Entitas Anak,Final,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan (Rugi) Atas Transaksi Derivatif,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,855952717759.000000,-568019316298.000000,287933401461.000000,-257287611174.000000,-138743287013.000000,-124440228745.000000,,,,,5895904584.000000,-257287611174.000000,30645790287.000000,39635567734.000000,-9358635.000000,,40092395369.000000,-447469000.000000,39635567734.000000,70281358021.000000,-42449379288.000000,27831978733.000000,7285144094.000000,35117122827.000000,,,,,35117122827.000000,27831978733.000000,7285144094.000000,35117122827.000000,,,,
12M 2010,1938719002217.000000,-1327166246382.000000,611552755835.000000,-301200968723.000000,-118443345216.000000,-199725774782.000000,,,,,16968151275.000000,-301200968723.000000,310351787112.000000,72906507519.000000,47922568390.000000,,38008489525.000000,-13024550396.000000,72906507519.000000,383258294631.000000,-100675781750.000000,282582512881.000000,-40697938067.000000,241884574814.000000,,,,,241884574814.000000,282582512881.000000,-40697938067.000000,241884574814.000000,,,,
12M 2011,3824099116000.000000,-2416178373000.000000,1407920743000.000000,-536064823000.000000,-224743334000.000000,-352661567000.000000,,,,,41340078000.000000,-536064823000.000000,871855920000.000000,16368308000.000000,61142216000.000000,,78464049000.000000,-123237957000.000000,16368308000.000000,888224228000.000000,-203321472000.000000,684902756000.000000,,684902756000.000000,,,,684902756000.000000,684902756000.000000,581035725000.000000,103867031000.000000,684902756000.000000,684902756000.000000,581035725000.000000,103867031000.000000,684902756000.000000
12M 2012,4689429510000.000000,-2604942909000.000000,2084486601000.000000,-765413688000.000000,-288892380000.000000,-535434053000.000000,,,,,58912745000.000000,-765413688000.000000,1319072913000.000000,-221526182000.000000,76870642000.000000,,80065810000.000000,-378462634000.000000,-221526182000.000000,1097546731000.000000,-256255978000.000000,841290753000.000000,,841290753000.000000,,,,841290753000.000000,841290753000.000000,811726533000.000000,29564220000.000000,841290753000.000000,841290753000.000000,811726533000.000000,29564220000.000000,841290753000.000000
12M 2013,4901191373000.000000,-2546320651000.000000,2354870722000.000000,-943484463000.000000,-398115504000.000000,-681146092000.000000,,,,,135777133000.000000,-943484463000.000000,1411386259000.000000,-234210740000.000000,94738997000.000000,,148000832000.000000,-476950569000.000000,-234210740000.000000,1177175519000.000000,-246935022000.000000,930240497000.000000,,930240497000.000000,,,,930240497000.000000,930240497000.000000,851434537000.000000,78805960000.000000,930240497000.000000,930240497000.000000,851434537000.000000,78805960000.000000,930240497000.000000
12M 2014,5296565860000.000000,-2641735173000.000000,2654830687000.000000,-1122411580000.000000,-412499516000.000000,-812749518000.000000,,,,,102837454000.000000,-1122411580000.000000,1532419107000.000000,-302721814000.000000,90553376000.000000,,220569714000.000000,-613844904000.000000,-302721814000.000000,1229697293000.000000,-245821925000.000000,983875368000.000000,,983875368000.000000,,,,983875368000.000000,983875368000.000000,854935610000.000000,128939758000.000000,983875368000.000000,983875368000.000000,854935610000.000000,128939758000.000000,983875368000.000000
12M 2015,5971581977000.000000,-2880685495000.000000,3090896482000.000000,-1646841708000.000000,-399007595000.000000,-1003625365000.000000,,,,-317701878000.000000,73493130000.000000,-1646841708000.000000,1444054774000.000000,-305133829000.000000,110803136000.000000,,267468888000.000000,-683405853000.000000,-305133829000.000000,1138920945000.000000,-22157498000.000000,1116763447000.000000,,1116763447000.000000,1309724000.000000,1309724000.000000,1309724000.000000,1118073171000.000000,1116763447000.000000,808955289000.000000,307808158000.000000,1116763447000.000000,1118073171000.000000,810249232000.000000,307823939000.000000,1118073171000.000000
12M 2016,6006952123000.000000,-2982518366000.000000,3024433757000.000000,-1612222877000.000000,-294437763000.000000,-1029312527000.000000,,,,-284050708000.000000,-4421879000.000000,-1612222877000.000000,1412210880000.000000,-451276969000.000000,66845644000.000000,,156101203000.000000,-674223816000.000000,-451276969000.000000,960933911000.000000,-21196803000.000000,939737108000.000000,,939737108000.000000,21339891000.000000,21339891000.000000,21339891000.000000,961076999000.000000,939737108000.000000,631857638000.000000,307879470000.000000,939737108000.000000,961076999000.000000,653101236000.000000,307975763000.000000,961076999000.000000
12M 2017,7043036602000.000000,-3620910976000.000000,3422125626000.000000,-588797005000.000000,-252951214000.000000,-1130489822000.000000,,,,,794644031000.000000,-588797005000.000000,2833328621000.000000,-651571483000.000000,58294115000.000000,,85784476000.000000,-795650074000.000000,-651571483000.000000,2181757138000.000000,-299175738000.000000,1882581400000.000000,,1882581400000.000000,-10688567000.000000,-10688567000.000000,-10688567000.000000,1871892833000.000000,1882581400000.000000,1371638553000.000000,510942847000.000000,1882581400000.000000,1871892833000.000000,1360451892000.000000,511440941000.000000,1871892833000.000000
12M 2018,5035325429000.000000,-2616667124000.000000,2418658305000.000000,-1735153758000.000000,-262405074000.000000,-1015453907000.000000,,,,-179935082000.000000,-277359695000.000000,-1735153758000.000000,683504547000.000000,-486765835000.000000,51185864000.000000,240268901000.000000,71145637000.000000,-849366237000.000000,-486765835000.000000,196738712000.000000,-3008420000.000000,193730292000.000000,,193730292000.000000,54480182000.000000,54480182000.000000,54480182000.000000,248210474000.000000,193730292000.000000,29557039000.000000,164173253000.000000,193730292000.000000,248210474000.000000,79594911000.000000,168615563000.000000,248210474000.000000
