Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Karyawan,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Untuk Beban Operasional Lainnya",Pembayaran Beban Bunga Dan Keuangan,Penerimaan Pengembalian (Pembayaran) Pajak Penghasilan,Pembayaran Beban Pajak Final,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Saham Entitas Anak,Penerimaan Bunga,Penerimaan Piutang Kepada Pihak Berelasi,Pemberian Piutang Kepada Pihak Berelasi,Penerimaan Dividen Entitas Asosiasi,Pemberian Piutang Kepada Pihak Ketiga,Penerimaan Dividen Aset Keuangan Lainnya Investasi Saham Dan Unit,Pengembalian Aset Keuangan Lainnya Investasi Saham Dan Unit,Pencairan (Penempatan) Deposito Berjangka,Pencairan Deposito Berjangka,Penempatan Deposito Berjangka,Total Pencairan (Penempatan) Deposito Berjangka,Penambahan Beban Ditangguhkan,Penerimaan Dividen,Penjualan Aset Tetap,Penjualan Properti Investasi,Penambahan Properti Investasi,Perolehan Aset Hak Guna,Rekening Yang Dibatasi Penggunannya,Perolehan Aset Tetap,Penempatan Investasi Saham Pada Entitas Asosiasi,Pencairan Aset Keuangan Lainnya,Penempatan Aset Keuangan Lainnya,Pengembalian Uang Muka Investasi Saham,Pembayaran Uang Muka Investasi,Penempatan Uang Muka Investasi Saham,Penempatan Investasi Pada Shreit,Pembayaran Biaya Yang Ditangguhkan,Peningkatan Investasi Saham Pada Entitas Anak Melalui Entitas Kepentingan Nonpengendali,Penurunan Kas Dan Bank Akibat Pelepasan Entitas Anak,Sarus Kas Bersih Dari Akuisisi Entitas Anak,Penerimaan Dari Pelepasan Entitas Anak,Hasil Penjualan Aset Tetap Entitas Anak,Penjualan Investasi Saham Pada Entitas Asosiasi,Perolehan Entitas Anak - Bersih,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal,Pembayaran Biaya Emisi Saham,Penerimaan Dari Eksekusi Opsi Saham Karyawan,Penerimaan Utang Obligasi,Pembayaran Utang Obligasi,Pembayaran Dana Obligasi Yang Jatuh Tempo,Pembayaran Biaya Emisi Obligasi,Penerimaan Utang Bank,Pembayaran Utang Bank,Penambahan Investasi Saham Pada Entitas Anak Melalui Entitas Kepentingan Nonpengendali,Penerimaan Setoran Modal Dan Uang Muka Setoran Modal Entitas Anak Dari Pemegang Saham Lainnya,Pembayaran Utang Bank Jangka Panjang,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Penerimaan Pinjaman Lainnya,Penerimaan Utang Bank Jangka Pendek,Pembayaran Pinjaman Lainnya,Pembayaran Dividen,Penjualan Sebagian Kepemilikan Saham Entitas Anak,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Penarikan (Penempatan) Pada Rekening Yang Dibatasi Penggunaannya,Penambahan (Pembayaran) Utang Pembelian Aset Tetap,Penerimaan (Pembayaran) Utang Kepada Pihak Ketiga,Penerimaan (Pembayaran) Utang Kepada Pihak Berelasi,Penerimaan Utang Kepada Pihak Berelasi,Pembayaran Utang Kepada Pihak Berelasi,Total Penerimaan (Pembayaran) Utang Kepada Pihak Berelasi,Penarikan Setoran Modal Entitas Anak Dari Pemegang Saham Lainnya,Pengembalian Uang Muka Setoran Modal Entitas Anak Kepada Pemegang Saham Sebelumnya,Penerimaan Setoran Modal Dari Hak Memesan Efek Terlebih Dahulu (Pmhmetd),Penerimaan (Pembayaran) Surat Utang Jangka Menengah,Penerimaan Uang Muka Setoran Modal,Pembayaran Kepemilikan Saham Kepentingan Non Pengendali,Pembayaran Untuk Perolehan Kepentingan Pihak Non Pengendali Pada Entitas Anak,Pembayaran Lembaga Keuangan Lainnya,Penerimaan Utang Lembaga Keuangan Lainnya,Perolehan Saham Diperoleh Kembali,Penambahan Uang Muka Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Penambahan Rekening Yang Dibatasi Penggunaannya,Kas Dan Setara Kas Akhir Periode
12M 2009,-561179585744.000000,1109925672223.000000,-52301072000.000000,-1409873615374.000000,-180705146727.000000,,,-28225423866.000000,-561179585744.000000,-429273906606.000000,,25976041941.000000,,-7218467000.000000,,,,,,,-1495902850.000000,-1495902850.000000,-8891632580.000000,,11603750.000000,,,,,-445637259867.000000,,,,,,,,,,,,,,7981710000.000000,,-429273906606.000000,1041089748413.000000,,,,,,,,632761299595.000000,,,,,,,,,,,,,,-23054633.000000,,,5813469261.000000,-24085985.000000,5789383276.000000,,,,,,,,,,,402562120175.000000,1041089748413.000000,50636256063.000000,340485696049.000000,-2532299000.000000,-70156930.000000,388519496182.000000
12M 2010,-878683711612.000000,1862492919396.000000,-130391003166.000000,-2253788216784.000000,-248385872125.000000,,,-108611538933.000000,-878683711612.000000,-489863317661.000000,43840169322.000000,29223805720.000000,29802294065.000000,-1221357968.000000,,,,,,658717826.000000,-7115314284.000000,-6456596458.000000,-17211614053.000000,,,,,,,-277539198159.000000,-122299070172.000000,,,,,,,,,,,,,682000000.000000,-168683749958.000000,-489863317661.000000,2853220853240.000000,2847398300386.000000,-66873956549.000000,,,,,,754958108792.000000,-484813117221.000000,,44100000000.000000,,,,,,,,,,,-355269600.000000,,,21842514068.000000,-37237752886.000000,-15395238818.000000,,-225797973750.000000,,,,,,,,,,2853220853240.000000,1484673823967.000000,388519496182.000000,-2585869824.000000,-769538499.000000,1869837911826.000000
12M 2011,-313502448000.000000,3478046628000.000000,-196483499000.000000,-2968494469000.000000,-419078232000.000000,,,-207492876000.000000,-313502448000.000000,-1252419934000.000000,,69489772000.000000,,-990677000.000000,,,,,,,-18915660000.000000,-18915660000.000000,-1962712000.000000,12900000000.000000,,,-32095041000.000000,,,-948171308000.000000,,,,,,,,,,,,,,,-332674308000.000000,-1252419934000.000000,1538127854000.000000,,,,1200000000000.000000,,,-11529347000.000000,700359625000.000000,-507000000000.000000,,176276000000.000000,,,,,,,,,-2000000000.000000,,-510340000.000000,,,377914000.000000,-17845998000.000000,-17468084000.000000,,,,,,,,,,,,1538127854000.000000,-27794528000.000000,1874982700000.000000,-1381678000.000000,-11579295000.000000,1834227199000.000000
12M 2012,1212098318000.000000,5565478092000.000000,-278967135000.000000,-3381530057000.000000,-416278299000.000000,,,-276604283000.000000,1212098318000.000000,-1977347681000.000000,,86339686000.000000,492229000.000000,-22344339000.000000,,,,,,8068857000.000000,-11671704000.000000,-3602847000.000000,-21572703000.000000,32500000000.000000,99538000.000000,,-924270536000.000000,,,-444540394000.000000,-370000000.000000,,,,,-229200000000.000000,,,,,,,,,-450878315000.000000,-1977347681000.000000,1147974294000.000000,,,297993000.000000,1200000000000.000000,,,-12982284000.000000,131659566000.000000,-291480081000.000000,,336263058000.000000,,,,,,,-123005400000.000000,,,,-236731000.000000,,,1026938000.000000,-44167765000.000000,-43140827000.000000,-49401000000.000000,,,,,,,,,,,1147974294000.000000,382724931000.000000,1834551854000.000000,3001329000.000000,4821822000.000000,2225099936000.000000
12M 2013,1489047912000.000000,6784668348000.000000,-394098345000.000000,-4000909397000.000000,-549853726000.000000,,,-350758968000.000000,1489047912000.000000,-1400462601000.000000,,122292941000.000000,,-7779439000.000000,,,,,,,-43622977000.000000,-43622977000.000000,-10567166000.000000,174000000000.000000,20099000000.000000,,-579995969000.000000,,,-855344648000.000000,,87877000.000000,-2621200000.000000,,,-166200347000.000000,,,,,,,,,-50810673000.000000,-1400462601000.000000,846469569000.000000,,,,1200000000000.000000,,,-10389768000.000000,939249743000.000000,-1151947214000.000000,,300000.000000,,,,,,,-123005400000.000000,,-10100000000.000000,,-661533000.000000,,,13880468000.000000,-2666223000.000000,11214245000.000000,,150000000.000000,,,,-99900000.000000,,-7940904000.000000,,,,846469569000.000000,935054880000.000000,2225099936000.000000,12558716000.000000,4425302000.000000,3177138834000.000000
12M 2014,621187784000.000000,7458731094000.000000,-462469945000.000000,-5363147037000.000000,-647002111000.000000,,,-364924217000.000000,621187784000.000000,-530759873000.000000,,204408710000.000000,8134758000.000000,-4098812000.000000,,,,,,2898661000.000000,-24825347000.000000,-21926686000.000000,-13106929000.000000,68625000000.000000,826120000.000000,,-385915929000.000000,,-15947404000.000000,-426230375000.000000,,,-9000000000.000000,,,,,,,,,,,,63471674000.000000,-530759873000.000000,1061517047000.000000,,,,1201000000000.000000,,-325000000000.000000,-9799062000.000000,590119626000.000000,-554346188000.000000,,535331660000.000000,,,,,,,-123005400000.000000,,-12552660000.000000,,-1229473000.000000,,,6963249000.000000,-10392777000.000000,-3429528000.000000,-1418800000.000000,,,,,-163106902000.000000,,-9309213000.000000,,-61737013000.000000,,1061517047000.000000,1151944958000.000000,3177138834000.000000,7279116000.000000,,4336362908000.000000
12M 2015,-474735310000.000000,7053271659000.000000,-574171437000.000000,-5797298936000.000000,-413410505000.000000,,-718030983000.000000,-25095108000.000000,-474735310000.000000,-389374720000.000000,,296773237000.000000,13326993000.000000,-4405234000.000000,,,,,,8006560000.000000,-31775231000.000000,-23768671000.000000,-3596203000.000000,67400000000.000000,916324000.000000,,-320157242000.000000,,9068825000.000000,-444672354000.000000,,,,,,,,,,,,,19739605000.000000,,,-389374720000.000000,-634584557000.000000,,,,99000000000.000000,,,-1368484000.000000,,,,93592640000.000000,-417437094000.000000,166834000000.000000,-4730213000.000000,,,,,,-156128020000.000000,,-1878628000.000000,,,8700642000.000000,-937185000.000000,7763457000.000000,,,,,,-1350000000.000000,,-7782852000.000000,,-411099363000.000000,,-634584557000.000000,-1498694587000.000000,4336362908000.000000,56614914000.000000,,2894283235000.000000
12M 2016,-523713385000.000000,5511040469000.000000,-575759219000.000000,-4389499727000.000000,-771750699000.000000,-297744209000.000000,,,-523713385000.000000,-1274524249000.000000,,178361318000.000000,10406956000.000000,-9292739000.000000,,,,,,28866858000.000000,-15366742000.000000,13500116000.000000,-13330116000.000000,942375000000.000000,2021418000.000000,,-939756021000.000000,,-21578212000.000000,-542315233000.000000,,-13891736000.000000,,,,,,,,,,,,,-881025000000.000000,-1274524249000.000000,80211233000.000000,,,,,-875000000000.000000,,,1535300702000.000000,-461091039000.000000,,3400000000.000000,,,,,,-781991000.000000,,,-116482450000.000000,,,,,1203705000.000000,-6337694000.000000,-5133989000.000000,,,,,,,,,,,,80211233000.000000,-1718026401000.000000,2894283235000.000000,-3289908000.000000,,1172966926000.000000
12M 2017,-738623663000.000000,5548280445000.000000,-557414183000.000000,-4612633236000.000000,-859300355000.000000,-257556334000.000000,,,-738623663000.000000,-573360454000.000000,,82366254000.000000,,1506364000.000000,,,,,,,,,-19521632000.000000,74525000000.000000,1277289722000.000000,,-448347201000.000000,,-255106192000.000000,-496696064000.000000,,-134088600000.000000,-14856472000.000000,,-132929475000.000000,,,,,,,-16609133000.000000,,,-490893025000.000000,-573360454000.000000,2433195369000.000000,,,,3993300000000.000000,-1200000000000.000000,,-80168490000.000000,1051986625000.000000,-1433207639000.000000,,246549950000.000000,,,,300000000000.000000,,-759474000.000000,,,-316119592000.000000,,,,147722340000.000000,,,147722340000.000000,,,,,,,-276108351000.000000,,,,,2433195369000.000000,1121211252000.000000,1172966926000.000000,2869041000.000000,,2297047219000.000000
12M 2018,-806303905000.000000,3949140907000.000000,-541871090000.000000,-3023296699000.000000,-1033028069000.000000,,-126613288000.000000,-30635666000.000000,-806303905000.000000,-1149754348000.000000,,62743283000.000000,,-105533000.000000,,,,,,,,,-3016941000.000000,210500000000.000000,618220000.000000,,-686541717000.000000,,-151328977000.000000,-601259647000.000000,,-14089496000.000000,17260360000.000000,,15466100000.000000,,,,,,,,,,,-1149754348000.000000,493796839000.000000,,,,,-1200000000000.000000,,,,,,29959988000.000000,-517405479000.000000,2966716635000.000000,-27000000000.000000,-300000000000.000000,,-1629401000.000000,-176263004000.000000,,,,,,-269048000000.000000,,,-269048000000.000000,,-11533900000.000000,,,,,,,,,,493796839000.000000,-1462261414000.000000,2297047219000.000000,11193230000.000000,,845979035000.000000
