Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Operasional Lainnya,Pembayaran Untuk Gaji Dan Imbalan Kerja Karyawan,Pembayaran Biaya Bunga,Penerimaan Pendapatan Bunga,Penerimaan Dari Tagihan Pajak Penghasilan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Pelepasan (Peningkatan) Investasi Jangka Panjang,Pelepasan (Peningkatan) Investasi Jangka Pendek,Penjualan Aset Tetap,Pembayaran Uang Muka Perolehan Aset,Peningkatan Investasi Reksadana,Peningkatan Aset Lancar Lainnya,Pembayaran Uang Muka Emisi Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peningkatan Modal Disetor,Penerimaan Hasil Penerbitan Saham Pada Penawaran Umum Perdana Saham,Pembayaran Biaya Emisi Saham,Penerimaan (Pembayaran) Utang Lain-Lain Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Setoran Modal Dari Kepentingan Non Pengendali,Setoran Modal Yang Dikembalikan,Penerimaan Dari Surat Utang Jangka Menengah,Penerimaan Utang Bank,Dividen Untuk Kepentingan Non-Pengendali,Pembayaran Dividen Kas,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Pengaruh Neto Perubahan Nilai Tukar Pada Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,174717807625.000000,626720195105.000000,-397273283942.000000,-16884781425.000000,-21058012437.000000,-146621023.000000,10157104888.000000,,-26796793541.000000,174717807625.000000,-15074256543.000000,-14493956543.000000,,-690000000.000000,,109700000.000000,,,,,-15074256543.000000,-1694100344.000000,,,,,-1694100344.000000,,,,,,,-1694100344.000000,157949450738.000000,-38157569.000000,158302387392.000000,316213680561.000000
12M 2020,278734618024.000000,994903555829.000000,-632069039715.000000,-23940733128.000000,-33938574419.000000,-8549773325.000000,14945739776.000000,,-32616556994.000000,278734618024.000000,-49842464814.000000,-49896132914.000000,-2482406900.000000,-5000000.000000,,2608200000.000000,-67125000.000000,,,,-49842464814.000000,150825422858.000000,,,,,-2874577142.000000,,-5500000000.000000,159200000000.000000,,,,150825422858.000000,379717576068.000000,1097203818.000000,316213680561.000000,697028460447.000000
12M 2021,505108349950.000000,1773317983835.000000,-965634245319.000000,-63986433993.000000,-95254186721.000000,-17137610363.000000,16512787329.000000,,-142709944818.000000,505108349950.000000,-187055651423.000000,-82722068845.000000,-61942500.000000,690000000.000000,-105000000000.000000,38359922.000000,,,,,-187055651423.000000,-282972143352.000000,,,,,-17972143352.000000,,,,,-10000000000.000000,-255000000000.000000,-282972143352.000000,35080555175.000000,731571883.000000,697028460447.000000,732840587505.000000
12M 2022,92617254543.000000,1734279460559.000000,-1269860209411.000000,-78285275731.000000,-155496001938.000000,-16951638057.000000,14012081604.000000,,-135081162483.000000,92617254543.000000,-495099523858.000000,-35907390531.000000,-302246089.000000,-24477410000.000000,-395000000000.000000,350000.000000,-39160914268.000000,-251912970.000000,,,-495099523858.000000,493486469592.000000,,780578783656.000000,,,-36342314064.000000,,,,,-750000000.000000,-250000000000.000000,493486469592.000000,91004200277.000000,6704068988.000000,732840587505.000000,830548856770.000000
12M 2023,134354119519.000000,1715693668908.000000,-1236060557815.000000,-121422572801.000000,-173170824212.000000,-16957486633.000000,43178767993.000000,,-76906875921.000000,134354119519.000000,264593610876.000000,-118246988856.000000,-56122448.000000,-15914267596.000000,436354292295.000000,409937837.000000,-38138389426.000000,,185149070.000000,,264593610876.000000,-110578445990.000000,,,,,-25306891490.000000,505000000.000000,,,,,-85776554500.000000,-110578445990.000000,288369284405.000000,1654187538.000000,830548856770.000000,1120572328713.000000
12M 2024,351567715819.000000,1832772902525.000000,-1173977934842.000000,-148424820391.000000,-189733053869.000000,-17448515038.000000,56892260240.000000,51005933316.000000,-59519056122.000000,351567715819.000000,-164150762003.000000,-96985331914.000000,-19387753.000000,-35968204629.000000,-25851023941.000000,10873373.000000,-5337687139.000000,,,,-164150762003.000000,-95194522569.000000,,,,,-17265034569.000000,,,,,,-77929488000.000000,-95194522569.000000,92222431247.000000,11911015973.000000,1120572328713.000000,1224705775933.000000
