Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,300948146544.000000,-116666612053.000000,184281534491.000000,-193544332445.000000,-6797927960.000000,-186746404485.000000,-193544332445.000000,-9262797954.000000,-2959827858.000000,875587317.000000,-15073298017.000000,-3987919760.000000,15225802602.000000,-2959827858.000000,-12222625812.000000,,,,,,-12222625812.000000,-12222625812.000000,,,,-12222625812.000000,-12222625812.000000,-12219562376.000000,-3063436.000000,-12222625812.000000,-12222625812.000000,-12219562376.000000,-3063436.000000,-12222625812.000000
12M 2014,332577027233.000000,-146549055927.000000,186027971306.000000,-236709439642.000000,-5613020538.000000,-231096419104.000000,-236709439642.000000,-50681468336.000000,18971623264.000000,12668773820.000000,-3417249929.000000,-2180533177.000000,11900632550.000000,18971623264.000000,-31709845072.000000,-44493790.000000,-44493790.000000,,,-44493790.000000,-31754338862.000000,-31754338862.000000,,,,-31754338862.000000,-31754338862.000000,-31753315771.000000,-1023091.000000,-31754338862.000000,-31754338862.000000,-31753315771.000000,-1023091.000000,-31754338862.000000
12M 2015,399373570023.000000,-157762216606.000000,241611353417.000000,-279210645077.000000,-5495275750.000000,-273715369327.000000,-279210645077.000000,-37599291660.000000,1531023566.000000,6854276123.000000,-5798487776.000000,-2125000000.000000,2600235219.000000,1531023566.000000,-36068268094.000000,-29289231.000000,-29289231.000000,,,-29289231.000000,-36097557325.000000,-36097557325.000000,1894212758.000000,1894212758.000000,1894212758.000000,-34203344567.000000,-36097557325.000000,-36098949866.000000,1392541.000000,-36097557325.000000,-34203344567.000000,-34205073262.000000,1728695.000000,-34203344567.000000
12M 2016,574976719908.000000,-234013543403.000000,340963176505.000000,-359467164229.000000,-5158604850.000000,-354308559379.000000,-359467164229.000000,-18503987724.000000,3035418603.000000,8903489721.000000,1756195030.000000,-12302956934.000000,4678690786.000000,3035418603.000000,-15468569121.000000,-29440282.000000,-29440282.000000,,,-29440282.000000,-15498009403.000000,-15498009403.000000,-184603573.000000,-184603573.000000,-184603573.000000,-15682612976.000000,-15498009403.000000,-15501553253.000000,3543850.000000,-15498009403.000000,-15682612976.000000,-15686323524.000000,3710548.000000,-15682612976.000000
12M 2017,849242901000.000000,-484639341000.000000,364603560000.000000,-345125746000.000000,-2046389000.000000,-343079357000.000000,-345125746000.000000,19477814000.000000,-683160000.000000,8153215000.000000,-508481000.000000,-8013014000.000000,-314880000.000000,-683160000.000000,18794654000.000000,-6351381000.000000,-6351381000.000000,,,-6351381000.000000,12443273000.000000,12443273000.000000,-1171606000.000000,-1171606000.000000,-1171606000.000000,11271667000.000000,12443273000.000000,12438862000.000000,4411000.000000,12443273000.000000,11271667000.000000,11267034000.000000,4633000.000000,11271667000.000000
12M 2018,1184323064000.000000,-662430664000.000000,521892400000.000000,-435400179000.000000,-4294288000.000000,-431105891000.000000,-435400179000.000000,86492221000.000000,-35217321000.000000,3117871000.000000,10232017000.000000,-23746506000.000000,-24820703000.000000,-35217321000.000000,51274900000.000000,-16045811000.000000,-16045811000.000000,,,-16045811000.000000,35229089000.000000,35229089000.000000,1834534000.000000,1834534000.000000,1834534000.000000,37063623000.000000,35229089000.000000,35226673000.000000,2416000.000000,35229089000.000000,37063623000.000000,37061236000.000000,2387000.000000,37063623000.000000
12M 2019,1414593340000.000000,-872737854000.000000,541855486000.000000,-395549392000.000000,-3789734000.000000,-391759658000.000000,-395549392000.000000,146306094000.000000,-31591648000.000000,1073860000.000000,-23157641000.000000,-16745613000.000000,7237746000.000000,-31591648000.000000,114714446000.000000,-31368313000.000000,,,,-31368313000.000000,83346133000.000000,83346133000.000000,43446000.000000,43446000.000000,43446000.000000,83389579000.000000,83346133000.000000,83341717000.000000,4416000.000000,83346133000.000000,83389579000.000000,83385039000.000000,4540000.000000,83389579000.000000
12M 2020,255837658000.000000,-323190113000.000000,-67352455000.000000,-220476852000.000000,-1510606000.000000,-218966246000.000000,-220476852000.000000,-287829307000.000000,-245185823000.000000,4379684000.000000,-24219880000.000000,-119313192000.000000,-106032435000.000000,-245185823000.000000,-533015130000.000000,87186498000.000000,,,,87186498000.000000,-445828632000.000000,-445828632000.000000,-1643012000.000000,-1643012000.000000,-1643012000.000000,-447471644000.000000,-445828632000.000000,-445830743000.000000,2111000.000000,-445828632000.000000,-447471644000.000000,-447473800000.000000,2156000.000000,-447471644000.000000
12M 2021,284904939000.000000,-281111477000.000000,3793462000.000000,-205757488000.000000,-494811000.000000,-205262677000.000000,-205757488000.000000,-201964026000.000000,-153669954000.000000,994600000.000000,-19787159000.000000,-125020706000.000000,-9856689000.000000,-153669954000.000000,-355633980000.000000,90522266000.000000,,,,90522266000.000000,-265111714000.000000,-265111714000.000000,535656000.000000,535656000.000000,535656000.000000,-264576058000.000000,-265111714000.000000,-265112226000.000000,512000.000000,-265111714000.000000,-264576058000.000000,-264576873000.000000,815000.000000,-264576058000.000000
12M 2022,1058368091000.000000,-647004230000.000000,411363861000.000000,-310794103000.000000,-1975020000.000000,-308819083000.000000,-310794103000.000000,100569758000.000000,-157516122000.000000,4020304000.000000,-35274320000.000000,-132087166000.000000,5825060000.000000,-157516122000.000000,-56946364000.000000,-1921163000.000000,,,,-1921163000.000000,-58867527000.000000,-58867527000.000000,48027000.000000,48027000.000000,48027000.000000,-58819500000.000000,-58867527000.000000,-58872048000.000000,4521000.000000,-58867527000.000000,-58819500000.000000,-58824021000.000000,4521000.000000,-58819500000.000000
