Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Dalam Pelaksanaan,Adjusment,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Investasi Jangka Panjang,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Obligasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,10418520786.000000,,891648023.000000,891648023.000000,891648023.000000,10441400.000000,10441400.000000,10441400.000000,1257177039.000000,,,1140514146.000000,13718301394.000000,,,1047958500.000000,2223402074.000000,,360499698.000000,,192689189.000000,3824549461.000000,17542850855.000000,,,18514123877.000000,,,,13493295981.000000,1000000000.000000,14493295981.000000,90010885.000000,593317011.000000,3337500000.000000,,,,,,,18514123877.000000,846354855.000000,,,,,,,,846354855.000000,846354855.000000,19360478732.000000,,12223359288.000000,16047440712.000000,-30470485505.000000,,382057628.000000,-1817627877.000000,17542850855.000000,981323.000000
12M 2019,,,26014198933.000000,,2267356323.000000,2267356323.000000,2267356323.000000,572457063.000000,572457063.000000,572457063.000000,3446503805.000000,,,7637706392.000000,39938222516.000000,,,1019100000.000000,5844932568.000000,3444601400.000000,183721080.000000,,3059490621.000000,13551845669.000000,53490068185.000000,,,20818223904.000000,,,,15122918466.000000,,15122918466.000000,129430412.000000,5292033334.000000,,,,273841692.000000,,273841692.000000,,20818223904.000000,2131442891.000000,,,707869836.000000,,707869836.000000,,,1423573055.000000,2131442891.000000,22949666795.000000,,14136052824.000000,57319747176.000000,-41323712291.000000,,408313681.000000,30540401390.000000,53490068185.000000,1178004402.000000
12M 2020,,,42930889873.000000,31200000000.000000,25563719165.000000,25563719165.000000,25563719165.000000,1932048923.000000,1932048923.000000,1932048923.000000,12851851328.000000,11131477919.000000,,2329310207.000000,127939297415.000000,,,1047534000.000000,17191704052.000000,8050790451.000000,623295644.000000,44794782529.000000,224480667.000000,71932587343.000000,199871884758.000000,,,82653660529.000000,,51195016963.000000,,426516077.000000,,426516077.000000,1087543079.000000,16637835940.000000,,,746500192.000000,456822962.000000,228255316.000000,1431578470.000000,11875170000.000000,82653660529.000000,4358454966.000000,,338134848.000000,563055440.000000,,901190288.000000,,,3457264678.000000,4358454966.000000,87012115495.000000,,17173298484.000000,136964039650.000000,-48130905397.000000,6002298160.000000,851038366.000000,112859769263.000000,199871884758.000000,1431108207.000000
12M 2021,,,14425590085.000000,21525000000.000000,16603471401.000000,16603471401.000000,16603471401.000000,1651015628.000000,1651015628.000000,1651015628.000000,11540793385.000000,471009364.000000,,20485365590.000000,86702245453.000000,,,1024828500.000000,12721742669.000000,8904794275.000000,669947320.000000,44794782529.000000,169740667.000000,68285835960.000000,154988081413.000000,,,48150583189.000000,962075310.000000,16698703493.000000,,239929856.000000,,239929856.000000,458709345.000000,9287495123.000000,,,336587236.000000,131187826.000000,,467775062.000000,20035895000.000000,48150583189.000000,1693051444.000000,,,,,,,,1693051444.000000,1693051444.000000,49843634633.000000,,17173506204.000000,136972486930.000000,-58433701056.000000,7672965530.000000,1759189172.000000,105144446780.000000,154988081413.000000,1431125517.000000
12M 2022,,,9520350988.000000,11216000000.000000,11928622434.000000,11928622434.000000,11928622434.000000,1204436392.000000,1204436392.000000,1204436392.000000,10824907641.000000,1500940855.000000,,2707278236.000000,48902536546.000000,,,1066875000.000000,19474725343.000000,9426079891.000000,101769306985.000000,44794782529.000000,53000000.000000,176584769748.000000,225487306294.000000,,,38128300583.000000,5000000000.000000,22611772161.000000,,5947772710.000000,,5947772710.000000,1038938490.000000,1134257496.000000,,,,,238045455.000000,238045455.000000,2157514271.000000,38128300583.000000,2810797284.000000,,,,550642287.000000,550642287.000000,,615061882.000000,1645093115.000000,2810797284.000000,40939097867.000000,,17173506204.000000,136972486930.000000,-67221149499.000000,23870703650.000000,73752661142.000000,184548208427.000000,225487306294.000000,1431125517.000000
12M 2023,,,9656804949.000000,11216000000.000000,22163338949.000000,22163338949.000000,22163338949.000000,1598105766.000000,1598105766.000000,1598105766.000000,8481003841.000000,473867638.000000,5707367621.000000,1583460696.000000,60879949460.000000,,,1002669000.000000,14882765693.000000,16770382696.000000,91508320737.000000,44794782529.000000,3000000.000000,168961920655.000000,229841870115.000000,,,72653325590.000000,7944193460.000000,21639115108.000000,,25932313049.000000,,25932313049.000000,2058470667.000000,10881864206.000000,,,,,262086579.000000,262086579.000000,3935282521.000000,72653325590.000000,2289772864.000000,,,,288555708.000000,288555708.000000,,,2001217156.000000,2289772864.000000,74943098454.000000,,17173506204.000000,136972486930.000000,-95531182700.000000,21928529369.000000,74355431858.000000,154898771661.000000,229841870115.000000,1431125517.000000
12M 2024,,,17032722637.000000,,26870472303.000000,26870472303.000000,26870472303.000000,1771905370.000000,1771905370.000000,1771905370.000000,6178527008.000000,195989125.000000,,1655294238.000000,53704910681.000000,,9262965067.000000,1084944000.000000,15084877497.000000,25806983208.000000,83891171248.000000,44794782529.000000,,179925723549.000000,233630634230.000000,,,56442516546.000000,8562377506.000000,30923479967.000000,,12758488402.000000,,12758488402.000000,632232266.000000,612916837.000000,,,,,1336899782.000000,1336899782.000000,1616121786.000000,56442516546.000000,56058110445.000000,,,,1055042466.000000,1055042466.000000,52875000000.000000,,2128067979.000000,56058110445.000000,112500626991.000000,,17173506204.000000,136972486930.000000,-129261195722.000000,21396642723.000000,74848567104.000000,121130007239.000000,233630634230.000000,1431125517.000000
